colacion	titulo	promedio
53	Ingeniero Mecánico	6.93
51	Ingeniero Industrial	6.93
51	Ingeniero en Informática	6.93
50	Ingeniero en Petróleo	6.93
49	Ingeniero en Informática	6.93
48	Ingeniero en Informática	6.93
51	Ingeniero Industrial	6.92
51	Ingeniero Químico	6.92
51	Ingeniero en Informática	6.92
50	Ingeniero Industrial	6.92
48	Ingeniero Químico	6.92
47	Ingeniero Industrial	6.92
53	Ingeniero Químico	6.91
51	Ingeniero Industrial	6.91
50	Lic.en Administración y Sistemas	6.91
48	Ingeniero Industrial	6.91
48	Ingeniero Industrial	6.91
55	Ingeniero Industrial	6.9
54	Ingeniero Mecánico	6.9
53	Lic.en Administración y Sistemas	6.9
49	Ingeniero Industrial	6.9
49	Ingeniero Industrial	6.9
48	Ingeniero Mecánico	6.9
55	Ingeniero Industrial	6.89
55	Ingeniero Industrial	6.89
55	Ingeniero en Petróleo	6.89
54	Ingeniero Industrial	6.89
53	Ingeniero en Informática	6.89
51	Ingeniero Químico	6.89
47	Ingeniero Industrial	6.89
47	Ingeniero Industrial	6.89
54	Ingeniero Industrial	6.88
53	Ingeniero Químico	6.88
53	Ingeniero Industrial	6.88
52	Ingeniero Industrial	6.88
52	Lic.en Administración y Sistemas	6.88
51	Ingeniero Mecánico	6.88
51	Ingeniero Industrial	6.88
49	Ingeniero Químico	6.88
48	Ingeniero Industrial	6.88
47	Ingeniero Industrial	6.88
53	Lic.en Administración y Sistemas	6.87
53	Lic.en Administración y Sistemas	6.87
53	Ingeniero en Petróleo	6.87
53	Ingeniero Químico	6.87
52	Ingeniero en Informática	6.87
51	Ingeniero Industrial	6.87
50	Ingeniero en Informática	6.87
50	Ingeniero Industrial	6.87
48	Ingeniero Industrial	6.87
47	Ingeniero Mecánico	6.87
55	Ingeniero Mecánico	6.86
55	Ingeniero en Informática	6.86
53	Ingeniero Industrial	6.86
52	Ingeniero Industrial	6.86
50	Ingeniero Electrónico	6.86
49	Ingeniero Industrial	6.86
49	Ingeniero Industrial	6.86
48	Ingeniero Naval	6.86
55	Ingeniero en Petróleo	6.85
54	Ingeniero Mecánico	6.85
54	Ingeniero Industrial	6.85
53	Ingeniero Químico	6.85
52	Ingeniero Industrial	6.85
52	Lic.en Administración y Sistemas	6.85
49	Ingeniero Industrial	6.85
49	Ingeniero Industrial	6.85
55	Ingeniero Industrial	6.84
53	Ingeniero Químico	6.84
51	Ingeniero Mecánico	6.84
49	Ingeniero Industrial	6.84
48	Lic.en Administración y Sistemas	6.84
55	Ingeniero Industrial	6.83
54	Lic.en Administración y Sistemas	6.83
53	Ingeniero Industrial	6.83
53	Ingeniero Químico	6.83
53	Ingeniero en Informática	6.83
53	Ingeniero Mecánico	6.83
52	Ingeniero en Informática	6.83
52	Ingeniero en Informática	6.83
51	Ingeniero en Petróleo	6.83
51	Ingeniero Industrial	6.83
51	Ingeniero en Informática	6.83
51	Ingeniero Electrónico	6.83
50	Ingeniero Industrial	6.83
49	Ingeniero Industrial	6.83
49	Ingeniero Industrial	6.83
49	Ingeniero Industrial	6.83
49	Ingeniero Industrial	6.83
48	Ingeniero Industrial	6.83
53	Lic.en Administración y Sistemas	6.82
48	Ingeniero Químico	6.82
48	Ingeniero Industrial	6.82
47	Ingeniero en Informática	6.82
55	Lic.en Administración y Sistemas	6.81
54	Ingeniero Industrial	6.81
54	Ingeniero Industrial	6.81
54	Ingeniero Industrial	6.81
54	Ingeniero Mecánico	6.81
52	Ingeniero en Petróleo	6.81
52	Ingeniero Industrial	6.81
51	Lic.en Administración y Sistemas	6.81
50	Ingeniero en Petróleo	6.81
49	Ingeniero Industrial	6.81
48	Ingeniero en Informática	6.81
55	Lic.en Administración y Sistemas	6.8
54	Ingeniero en Informática	6.8
54	Ingeniero Químico	6.8
54	Lic.en Administración y Sistemas	6.8
54	Ingeniero Electrónico	6.8
52	Ingeniero Industrial	6.8
51	Lic.en Administración y Sistemas	6.8
51	Lic.en Administración y Sistemas	6.8
50	Ingeniero Electrónico	6.8
54	Ingeniero Industrial	6.79
54	Ingeniero Químico	6.79
53	Ingeniero Industrial	6.79
51	Ingeniero Industrial	6.79
51	Ingeniero Industrial	6.79
47	Ingeniero Industrial	6.79
47	Ingeniero Industrial	6.79
54	Ingeniero Industrial	6.78
54	Ingeniero Mecánico	6.78
54	Ingeniero en Informática	6.78
53	Ingeniero Mecánico	6.78
53	Ingeniero en Petróleo	6.78
51	Ingeniero Industrial	6.78
51	Ingeniero Industrial	6.77
50	Ingeniero Industrial	6.77
49	Ingeniero Industrial	6.77
48	Ingeniero Químico	6.77
54	Lic.en Administración y Sistemas	6.76
53	Ingeniero Industrial	6.76
51	Ingeniero Industrial	6.76
51	Ingeniero Electrónico	6.76
51	Ingeniero Industrial	6.76
50	Ingeniero Industrial	6.76
49	Lic.en Administración y Sistemas	6.76
47	Ingeniero Químico	6.76
55	Ingeniero en Informática	6.75
55	Ingeniero en Petróleo	6.75
54	Ingeniero Industrial	6.75
54	Ingeniero en Informática	6.75
53	Bioingeniero	6.75
51	Ingeniero Mecánico	6.75
48	Ingeniero en Petróleo	6.75
47	Ingeniero en Petróleo	6.75
47	Ingeniero Industrial	6.75
47	Ingeniero Industrial	6.75
55	Ingeniero Industrial	6.74
54	Ingeniero en Petróleo	6.74
53	Ingeniero en Informática	6.74
53	Ingeniero Químico	6.74
53	Ingeniero en Informática	6.74
48	Ingeniero Mecánico	6.74
48	Ingeniero en Informática	6.74
55	Ingeniero Industrial	6.73
54	Ingeniero Industrial	6.73
52	Ingeniero Industrial	6.73
51	Ingeniero Industrial	6.73
50	Ingeniero Electrónico	6.73
55	Lic.en Administración y Sistemas	6.72
53	Ingeniero Industrial	6.72
53	Lic.en Administración y Sistemas	6.72
51	Ingeniero Industrial	6.72
50	Ingeniero Industrial	6.72
47	Ingeniero en Informática	6.72
55	Ingeniero en Informática	6.71
55	Lic.en Administración y Sistemas	6.71
54	Ingeniero Químico	6.71
53	Ingeniero Químico	6.71
51	Ingeniero Industrial	6.71
50	Lic.en Administración y Sistemas	6.71
48	Ingeniero en Informática	6.71
47	Ingeniero en Informática	6.71
55	Ingeniero Químico	6.7
55	Ingeniero en Informática	6.7
54	Ingeniero Industrial	6.7
54	Lic.en Administración y Sistemas	6.7
54	Ingeniero Químico	6.7
53	Ingeniero Industrial	6.7
53	Lic.en Administración y Sistemas	6.7
52	Ingeniero en Informática	6.7
52	Ingeniero Industrial	6.7
52	Lic.en Administración y Sistemas	6.7
50	Ingeniero Electrónico	6.7
48	Ingeniero en Petróleo	6.7
48	Ingeniero Químico	6.7
48	Lic.en Administración y Sistemas	6.7
53	Ingeniero Industrial	6.69
52	Lic.en Administración y Sistemas	6.69
51	Ingeniero en Petróleo	6.69
51	Ingeniero Industrial	6.69
50	Ingeniero Industrial	6.69
50	Ingeniero Mecánico	6.69
49	Ingeniero Industrial	6.69
55	Ingeniero en Petróleo	6.68
55	Bioingeniero	6.68
54	Ingeniero Químico	6.68
54	Ingeniero Industrial	6.68
52	Ingeniero Industrial	6.68
51	Ingeniero Industrial	6.68
50	Ingeniero Industrial	6.68
50	Ingeniero Industrial	6.68
48	Ingeniero Industrial	6.68
48	Ingeniero Industrial	6.68
48	Lic.en Administración y Sistemas	6.68
47	Ingeniero Industrial	6.68
55	Ingeniero en Informática	6.67
54	Bioingeniero	6.67
53	Ingeniero Industrial	6.67
53	Ingeniero Industrial	6.67
51	Ingeniero Electrónico	6.67
48	Ingeniero Industrial	6.67
48	Ingeniero Industrial	6.67
48	Ingeniero Mecánico	6.67
55	Ingeniero Industrial	6.66
53	Ingeniero Industrial	6.66
51	Ingeniero Electrónico	6.66
50	Lic.en Administración y Sistemas	6.66
50	Ingeniero Industrial	6.66
49	Ingeniero Industrial	6.66
49	Lic.en Administración y Sistemas	6.66
48	Ingeniero en Petróleo	6.66
48	Ingeniero Industrial	6.66
54	Ingeniero Industrial	6.65
53	Ingeniero Industrial	6.65
51	Ingeniero Químico	6.65
51	Ingeniero Químico	6.65
50	Ingeniero Electrónico	6.65
50	Ingeniero Químico	6.65
50	Ingeniero Industrial	6.65
49	Ingeniero Industrial	6.65
49	Lic.en Administración y Sistemas	6.65
48	Ingeniero Industrial	6.65
48	Ingeniero Mecánico	6.65
55	Ingeniero Industrial	6.64
54	Ingeniero Industrial	6.64
53	Ingeniero Industrial	6.64
53	Lic.en Administración y Sistemas	6.64
51	Lic.en Administración y Sistemas	6.64
50	Ingeniero Industrial	6.64
49	Ingeniero Industrial	6.64
49	Ingeniero Industrial	6.64
48	Ingeniero Industrial	6.64
55	Ingeniero Mecánico	6.63
54	Lic.en Administración y Sistemas	6.63
54	Lic.en Administración y Sistemas	6.63
51	Ingeniero Industrial	6.63
50	Ingeniero Químico	6.63
50	Ingeniero Industrial	6.63
50	Ingeniero Industrial	6.63
49	Ingeniero Industrial	6.63
48	Ingeniero en Informática	6.63
48	Ingeniero Industrial	6.63
48	Ingeniero en Petróleo	6.63
53	Ingeniero Químico	6.62
52	Ingeniero en Informática	6.62
52	Lic.en Administración y Sistemas	6.62
52	Ingeniero Industrial	6.62
52	Lic.en Administración y Sistemas	6.62
52	Ingeniero Industrial	6.62
51	Ingeniero Industrial	6.62
51	Ingeniero Electricista	6.62
51	Lic.en Administración y Sistemas	6.62
50	Ingeniero Industrial	6.62
49	Ingeniero Químico	6.62
49	Lic.en Administración y Sistemas	6.62
48	Ingeniero Industrial	6.62
48	Ingeniero Mecánico	6.62
47	Ingeniero Industrial	6.62
47	Ingeniero en Informática	6.62
55	Lic.en Administración y Sistemas	6.61
54	Lic.en Administración y Sistemas	6.61
54	Ingeniero Mecánico	6.61
54	Ingeniero Químico	6.61
54	Ingeniero Industrial	6.61
52	Lic.en Administración y Sistemas	6.61
52	Ingeniero Industrial	6.61
50	Ingeniero Electrónico	6.61
49	Ingeniero en Petróleo	6.61
55	Ingeniero en Informática	6.6
55	Ingeniero en Informática	6.6
55	Bioingeniero	6.6
54	Ingeniero Industrial	6.6
50	Ingeniero Industrial	6.6
50	Ingeniero Industrial	6.6
49	Ingeniero en Informática	6.6
49	Ingeniero Industrial	6.6
48	Ingeniero en Informática	6.6
48	Ingeniero Industrial	6.6
48	Ingeniero Industrial	6.6
47	Ingeniero Electrónico	6.6
53	Ingeniero Industrial	6.59
52	Ingeniero Químico	6.59
52	Ingeniero en Informática	6.59
52	Ingeniero en Petróleo	6.59
51	Ingeniero Químico	6.59
49	Ingeniero Industrial	6.59
48	Lic.en Administración y Sistemas	6.59
55	Ingeniero Industrial	6.58
55	Lic.en Administración y Sistemas	6.58
54	Ingeniero Industrial	6.58
53	Ingeniero Químico	6.58
53	Ingeniero Industrial	6.58
52	Ingeniero Industrial	6.58
52	Lic.en Administración y Sistemas	6.58
51	Lic.en Administración y Sistemas	6.58
51	Ingeniero Mecánico	6.58
48	Ingeniero Electrónico	6.58
48	Ingeniero Electrónico	6.58
48	Lic.en Administración y Sistemas	6.58
47	Ingeniero Industrial	6.58
47	Ingeniero Químico	6.58
55	Ingeniero Industrial	6.57
54	Ingeniero en Petróleo	6.57
52	Ingeniero en Petróleo	6.57
48	Ingeniero Industrial	6.57
55	Ingeniero Industrial	6.56
51	Ingeniero Industrial	6.56
51	Ingeniero Electrónico	6.56
49	Ingeniero Industrial	6.56
48	Ingeniero en Petróleo	6.56
52	Ingeniero Industrial	6.55
51	Ingeniero Industrial	6.55
51	Ingeniero Mecánico	6.55
50	Ingeniero Mecánico	6.55
50	Ingeniero Industrial	6.55
50	Ingeniero en Informática	6.55
48	Ingeniero Industrial	6.55
47	Ingeniero Industrial	6.55
47	Ingeniero Mecánico	6.55
47	Ingeniero en Informática	6.55
52	Ingeniero en Informática	6.54
52	Ingeniero Industrial	6.54
52	Ingeniero Industrial	6.54
51	Ingeniero en Petróleo	6.54
51	Ingeniero Mecánico	6.54
51	Lic.en Administración y Sistemas	6.54
50	Ingeniero Industrial	6.54
50	Ingeniero Industrial	6.54
49	Ingeniero Químico	6.54
48	Ingeniero Industrial	6.54
48	Ingeniero Industrial	6.54
48	Lic.en Administración y Sistemas	6.54
55	Lic.en Administración y Sistemas	6.53
52	Ingeniero Industrial	6.53
51	Ingeniero en Petróleo	6.53
51	Ingeniero Industrial	6.53
51	Ingeniero Industrial	6.53
51	Lic.en Administración y Sistemas	6.53
48	Ingeniero Químico	6.53
48	Lic.en Administración y Sistemas	6.53
55	Ingeniero Industrial	6.52
55	Ingeniero Químico	6.52
53	Ingeniero en Petróleo	6.52
52	Ingeniero Mecánico	6.52
51	Ingeniero en Informática	6.52
51	Lic.en Administración y Sistemas	6.52
51	Ingeniero Industrial	6.52
50	Ingeniero Electrónico	6.52
48	Ingeniero en Informática	6.52
54	Lic.en Administración y Sistemas	6.51
54	Ingeniero en Informática	6.51
53	Lic.en Administración y Sistemas	6.51
53	Ingeniero Industrial	6.51
52	Ingeniero Químico	6.51
50	Ingeniero Mecánico	6.51
50	Ingeniero en Informática	6.51
49	Ingeniero Industrial	6.51
49	Ingeniero Industrial	6.51
55	Lic.en Administración y Sistemas	6.5
54	Ingeniero Electricista	6.5
54	Ingeniero en Informática	6.5
52	Lic.en Administración y Sistemas	6.5
51	Ingeniero en Petróleo	6.5
51	Ingeniero Industrial	6.5
49	Ingeniero Industrial	6.5
49	Ingeniero Industrial	6.5
52	Lic.en Administración y Sistemas	6.49
51	Ingeniero Mecánico	6.49
50	Ingeniero Químico	6.49
50	Ingeniero Industrial	6.49
48	Ingeniero en Informática	6.49
48	Ingeniero Industrial	6.49
48	Ingeniero Industrial	6.49
47	Ingeniero Químico	6.49
47	Ingeniero Industrial	6.49
55	Ingeniero Industrial	6.48
55	Ingeniero Químico	6.48
54	Ingeniero Industrial	6.48
53	Ingeniero Electrónico	6.48
53	Ingeniero Industrial	6.48
52	Ingeniero Químico	6.48
52	Ingeniero en Informática	6.48
51	Ingeniero Electrónico	6.48
50	Lic.en Administración y Sistemas	6.48
49	Ingeniero en Petróleo	6.48
48	Ingeniero Industrial	6.48
48	Ingeniero Industrial	6.48
48	Ingeniero Electrónico	6.48
55	Ingeniero Industrial	6.47
51	Ingeniero Industrial	6.47
51	Ingeniero Industrial	6.47
51	Ingeniero Industrial	6.47
50	Ingeniero Industrial	6.47
50	Ingeniero Industrial	6.47
49	Ingeniero en Informática	6.47
47	Ingeniero Industrial	6.47
55	Ingeniero Industrial	6.46
55	Ingeniero Industrial	6.46
54	Ingeniero Industrial	6.46
54	Ingeniero en Informática	6.46
54	Lic.en Administración y Sistemas	6.46
53	Ingeniero Industrial	6.46
53	Ingeniero Industrial	6.46
53	Ingeniero Químico	6.46
51	Ingeniero Mecánico	6.46
50	Ingeniero Industrial	6.46
50	Ingeniero Industrial	6.46
50	Ingeniero Industrial	6.46
49	Ingeniero Industrial	6.46
48	Ingeniero Industrial	6.46
48	Ingeniero Electrónico	6.46
47	Ingeniero Químico	6.46
55	Ingeniero en Informática	6.45
55	Ingeniero Industrial	6.45
52	Ingeniero Químico	6.45
52	Ingeniero en Petróleo	6.45
49	Ingeniero Industrial	6.45
48	Ingeniero en Informática	6.45
48	Ingeniero Industrial	6.45
55	Ingeniero Industrial	6.44
54	Ingeniero Mecánico	6.44
54	Lic.en Administración y Sistemas	6.44
54	Ingeniero Mecánico	6.44
52	Lic.en Administración y Sistemas	6.44
51	Ingeniero en Petróleo	6.44
50	Ingeniero Electrónico	6.44
50	Ingeniero Industrial	6.44
48	Ingeniero Industrial	6.44
54	Ingeniero en Petróleo	6.43
53	Ingeniero en Petróleo	6.43
51	Ingeniero Industrial	6.43
51	Ingeniero en Informática	6.43
51	Ingeniero Industrial	6.43
51	Ingeniero Industrial	6.43
50	Ingeniero Químico	6.43
50	Ingeniero Electrónico	6.43
49	Ingeniero Industrial	6.43
48	Ingeniero Industrial	6.43
55	Ingeniero en Informática	6.42
55	Ingeniero Industrial	6.42
53	Lic.en Administración y Sistemas	6.42
52	Ingeniero en Informática	6.42
52	Lic.en Administración y Sistemas	6.42
50	Ingeniero Industrial	6.42
50	Ingeniero Industrial	6.42
48	Ingeniero en Informática	6.42
48	Lic.en Administración y Sistemas	6.42
47	Ingeniero Industrial	6.42
47	Ingeniero Electrónico	6.42
54	Ingeniero Industrial	6.41
52	Ingeniero Industrial	6.41
51	Ingeniero Industrial	6.41
51	Ingeniero Electricista	6.41
50	Ingeniero Industrial	6.41
49	Ingeniero Químico	6.41
49	Ingeniero en Informática	6.41
47	Ingeniero Industrial	6.41
55	Ingeniero Industrial	6.4
55	Ingeniero en Petróleo	6.4
54	Ingeniero en Informática	6.4
53	Ingeniero Industrial	6.4
52	Ingeniero Industrial	6.4
51	Ingeniero Industrial	6.4
50	Ingeniero Mecánico	6.4
49	Lic.en Administración y Sistemas	6.4
49	Ingeniero Industrial	6.4
48	Ingeniero Industrial	6.4
48	Ingeniero Industrial	6.4
48	Ingeniero Industrial	6.4
48	Ingeniero Industrial	6.4
48	Ingeniero Mecánico	6.4
55	Ingeniero Químico	6.39
54	Ingeniero Industrial	6.39
54	Ingeniero Químico	6.39
53	Ingeniero Industrial	6.39
53	Lic.en Administración y Sistemas	6.39
52	Ingeniero Industrial	6.39
50	Ingeniero Industrial	6.39
50	Ingeniero Industrial	6.39
50	Ingeniero Químico	6.39
48	Ingeniero Industrial	6.39
48	Ingeniero Industrial	6.39
55	Ingeniero Electrónico	6.38
55	Ingeniero Industrial	6.38
53	Ingeniero en Petróleo	6.38
52	Ingeniero Industrial	6.38
52	Ingeniero en Informática	6.38
49	Ingeniero Industrial	6.38
48	Ingeniero en Informática	6.38
48	Ingeniero en Informática	6.38
47	Ingeniero Industrial	6.38
47	Ingeniero Industrial	6.38
54	Ingeniero Químico	6.37
54	Ingeniero en Informática	6.37
52	Ingeniero Mecánico	6.37
52	Ingeniero Industrial	6.37
52	Ingeniero Industrial	6.37
52	Ingeniero en Petróleo	6.37
50	Ingeniero Industrial	6.37
50	Ingeniero Electricista	6.37
48	Ingeniero Industrial	6.37
48	Ingeniero Industrial	6.37
55	Ingeniero Industrial	6.36
54	Ingeniero Químico	6.36
52	Ingeniero en Informática	6.36
52	Ingeniero Químico	6.36
52	Ingeniero Industrial	6.36
49	Ingeniero Industrial	6.36
48	Ingeniero Químico	6.36
55	Ingeniero Industrial	6.35
54	Ingeniero Industrial	6.35
53	Ingeniero en Petróleo	6.35
52	Ingeniero Industrial	6.35
50	Ingeniero Industrial	6.35
50	Ingeniero Industrial	6.35
49	Ingeniero Industrial	6.35
49	Ingeniero Industrial	6.35
48	Ingeniero en Informática	6.35
55	Ingeniero Industrial	6.34
55	Ingeniero Industrial	6.34
54	Ingeniero Industrial	6.34
53	Ingeniero Naval	6.34
52	Ingeniero Industrial	6.34
49	Ingeniero Electrónico	6.34
48	Ingeniero Industrial	6.34
55	Ingeniero Industrial	6.33
55	Ingeniero Industrial	6.33
53	Ingeniero Industrial	6.33
52	Ingeniero Electrónico	6.33
51	Ingeniero Industrial	6.33
50	Ingeniero Industrial	6.33
49	Ingeniero Industrial	6.33
49	Ingeniero Industrial	6.33
48	Lic.en Administración y Sistemas	6.33
54	Ingeniero Industrial	6.32
54	Ingeniero en Petróleo	6.32
54	Ingeniero en Informática	6.32
52	Lic.en Administración y Sistemas	6.32
52	Ingeniero Industrial	6.32
51	Ingeniero Mecánico	6.32
51	Ingeniero en Petróleo	6.32
50	Ingeniero Mecánico	6.32
49	Ingeniero Industrial	6.32
49	Lic.en Administración y Sistemas	6.32
48	Ingeniero Industrial	6.32
48	Ingeniero Industrial	6.32
48	Ingeniero Químico	6.32
55	Ingeniero Industrial	6.31
54	Ingeniero Industrial	6.31
54	Ingeniero Industrial	6.31
54	Ingeniero Industrial	6.31
51	Lic.en Administración y Sistemas	6.31
48	Ingeniero Mecánico	6.31
48	Ingeniero Industrial	6.31
47	Ingeniero Mecánico	6.31
55	Ingeniero Químico	6.3
54	Ingeniero Industrial	6.3
53	Ingeniero Industrial	6.3
53	Ingeniero en Petróleo	6.3
53	Ingeniero Industrial	6.3
50	Ingeniero Industrial	6.3
50	Ingeniero Electrónico	6.3
49	Ingeniero Electrónico	6.3
48	Ingeniero Industrial	6.3
48	Ingeniero Industrial	6.3
48	Ingeniero Industrial	6.3
47	Ingeniero Mecánico	6.3
55	Ingeniero Industrial	6.29
54	Ingeniero Industrial	6.29
54	Ingeniero Industrial	6.29
53	Ingeniero Industrial	6.29
53	Lic.en Administración y Sistemas	6.29
52	Ingeniero Industrial	6.29
52	Lic.en Administración y Sistemas	6.29
51	Ingeniero Industrial	6.29
51	Ingeniero Industrial	6.29
49	Ingeniero Industrial	6.29
49	Ingeniero Industrial	6.29
49	Ingeniero en Petróleo	6.29
48	Ingeniero Químico	6.29
47	Ingeniero Industrial	6.29
54	Ingeniero Industrial	6.28
54	Lic.en Administración y Sistemas	6.28
53	Ingeniero Químico	6.28
52	Ingeniero Industrial	6.28
51	Ingeniero en Informática	6.28
50	Ingeniero Industrial	6.28
50	Ingeniero Mecánico	6.28
48	Ingeniero Industrial	6.28
48	Ingeniero Industrial	6.28
48	Ingeniero Industrial	6.28
48	Ingeniero Mecánico	6.28
47	Ingeniero Industrial	6.28
55	Ingeniero en Informática	6.27
54	Bioingeniero	6.27
53	Ingeniero Industrial	6.27
53	Ingeniero Industrial	6.27
53	Ingeniero en Petróleo	6.27
52	Ingeniero Industrial	6.27
50	Ingeniero en Petróleo	6.27
48	Ingeniero Industrial	6.27
48	Ingeniero Electrónico	6.27
48	Lic.en Administración y Sistemas	6.27
55	Ingeniero Mecánico	6.26
55	Lic.en Administración y Sistemas	6.26
55	Ingeniero Químico	6.26
54	Ingeniero en Informática	6.26
53	Ingeniero Químico	6.26
52	Ingeniero Industrial	6.26
52	Lic.en Administración y Sistemas	6.26
51	Ingeniero Químico	6.26
48	Lic.en Administración y Sistemas	6.26
55	Ingeniero Mecánico	6.25
54	Ingeniero Industrial	6.25
54	Ingeniero Industrial	6.25
54	Ingeniero en Informática	6.25
54	Ingeniero Industrial	6.25
53	Ingeniero Industrial	6.25
51	Ingeniero Industrial	6.25
51	Ingeniero Mecánico	6.25
51	Ingeniero en Petróleo	6.25
49	Ingeniero Mecánico	6.25
49	Ingeniero Industrial	6.25
49	Ingeniero en Informática	6.25
48	Ingeniero Industrial	6.25
55	Lic.en Administración y Sistemas	6.24
55	Ingeniero Industrial	6.24
53	Ingeniero Industrial	6.24
53	Ingeniero Mecánico	6.24
51	Ingeniero Industrial	6.24
51	Ingeniero Industrial	6.24
50	Ingeniero Electrónico	6.24
50	Ingeniero Naval	6.24
49	Ingeniero Industrial	6.24
49	Ingeniero Industrial	6.24
55	Ingeniero Industrial	6.23
53	Ingeniero Industrial	6.23
53	Ingeniero Industrial	6.23
52	Ingeniero Industrial	6.23
52	Ingeniero en Informática	6.23
52	Ingeniero Industrial	6.23
51	Ingeniero Químico	6.23
49	Ingeniero Industrial	6.23
53	Ingeniero Industrial	6.22
53	Ingeniero Electrónico	6.22
53	Lic.en Administración y Sistemas	6.22
52	Ingeniero Industrial	6.22
52	Ingeniero Químico	6.22
52	Ingeniero Industrial	6.22
51	Ingeniero Mecánico	6.22
50	Ingeniero Electrónico	6.22
49	Ingeniero Electrónico	6.22
49	Ingeniero en Informática	6.22
49	Ingeniero Mecánico	6.22
49	Ingeniero en Informática	6.22
48	Ingeniero Industrial	6.22
48	Ingeniero Industrial	6.22
55	Ingeniero Industrial	6.21
54	Ingeniero Mecánico	6.21
52	Ingeniero en Informática	6.21
52	Ingeniero en Informática	6.21
51	Ingeniero Industrial	6.21
51	Ingeniero en Petróleo	6.21
50	Ingeniero Industrial	6.21
50	Ingeniero Mecánico	6.21
50	Ingeniero Industrial	6.21
49	Ingeniero Electricista	6.21
48	Ingeniero Químico	6.21
47	Ingeniero Industrial	6.21
55	Ingeniero Industrial	6.2
55	Ingeniero en Informática	6.2
54	Ingeniero en Petróleo	6.2
53	Ingeniero Industrial	6.2
52	Ingeniero Electricista	6.2
51	Ingeniero Químico	6.2
51	Ingeniero Químico	6.2
51	Ingeniero Industrial	6.2
50	Ingeniero Electricista	6.2
50	Ingeniero Industrial	6.2
49	Ingeniero Industrial	6.2
49	Ingeniero Industrial	6.2
48	Ingeniero Industrial	6.2
48	Ingeniero Electrónico	6.2
54	Ingeniero en Informática	6.19
53	Lic.en Administración y Sistemas	6.19
53	Ingeniero Industrial	6.19
53	Ingeniero Mecánico	6.19
52	Ingeniero Industrial	6.19
50	Ingeniero Industrial	6.19
50	Ingeniero Industrial	6.19
50	Ingeniero Mecánico	6.19
49	Ingeniero en Informática	6.19
49	Ingeniero Químico	6.19
48	Ingeniero Químico	6.19
48	Ingeniero Industrial	6.19
47	Ingeniero Industrial	6.19
55	Ingeniero Naval	6.18
55	Ingeniero Químico	6.18
54	Ingeniero Industrial	6.18
53	Ingeniero en Informática	6.18
53	Ingeniero Industrial	6.18
52	Ingeniero en Petróleo	6.18
51	Lic.en Administración y Sistemas	6.18
51	Ingeniero Industrial	6.18
50	Ingeniero Industrial	6.18
50	Ingeniero Industrial	6.18
50	Ingeniero Industrial	6.18
48	Ingeniero Industrial	6.18
48	Lic.en Administración y Sistemas	6.18
47	Ingeniero Industrial	6.18
47	Ingeniero Industrial	6.18
55	Ingeniero Mecánico	6.17
54	Lic.en Administración y Sistemas	6.17
53	Ingeniero Químico	6.17
53	Ingeniero Industrial	6.17
53	Ingeniero Industrial	6.17
52	Ingeniero Industrial	6.17
51	Ingeniero en Petróleo	6.17
49	Ingeniero en Petróleo	6.17
48	Ingeniero Industrial	6.17
47	Ingeniero Industrial	6.17
53	Ingeniero Industrial	6.16
53	Ingeniero Químico	6.16
52	Ingeniero Industrial	6.16
51	Ingeniero Industrial	6.16
51	Ingeniero en Petróleo	6.16
50	Ingeniero Industrial	6.16
50	Ingeniero Industrial	6.16
49	Ingeniero Industrial	6.16
55	Ingeniero Industrial	6.15
55	Ingeniero en Petróleo	6.15
55	Ingeniero en Petróleo	6.15
54	Ingeniero Industrial	6.15
52	Ingeniero Industrial	6.15
51	Ingeniero Industrial	6.15
50	Ingeniero Mecánico	6.15
49	Ingeniero Industrial	6.15
49	Ingeniero Electrónico	6.15
48	Ingeniero Industrial	6.15
48	Ingeniero Industrial	6.15
54	Ingeniero Industrial	6.14
54	Ingeniero en Informática	6.14
53	Ingeniero Industrial	6.14
52	Ingeniero en Petróleo	6.14
53	Ingeniero Industrial	6.14
52	Ingeniero Mecánico	6.14
51	Ingeniero Industrial	6.14
51	Ingeniero Mecánico	6.14
51	Ingeniero Industrial	6.14
50	Ingeniero Industrial	6.14
50	Ingeniero en Informática	6.14
50	Ingeniero Industrial	6.14
49	Ingeniero Industrial	6.14
48	Ingeniero Electrónico	6.14
47	Ingeniero Industrial	6.14
55	Ingeniero Químico	6.13
55	Ingeniero Industrial	6.13
53	Ingeniero Electricista	6.13
52	Ingeniero Industrial	6.13
51	Ingeniero Electrónico	6.13
51	Ingeniero Electrónico	6.13
50	Ingeniero Mecánico	6.13
49	Ingeniero en Informática	6.13
49	Ingeniero Industrial	6.13
48	Ingeniero Industrial	6.13
48	Ingeniero Industrial	6.13
54	Ingeniero en Informática	6.12
52	Ingeniero en Informática	6.12
51	Ingeniero Industrial	6.12
51	Ingeniero Industrial	6.12
51	Ingeniero Mecánico	6.12
49	Ingeniero Industrial	6.12
49	Ingeniero en Petróleo	6.12
48	Ingeniero Industrial	6.12
47	Ingeniero Industrial	6.12
51	Ingeniero en Petróleo	6.11
51	Ingeniero Químico	6.11
49	Lic.en Administración y Sistemas	6.11
48	Ingeniero Industrial	6.11
55	Ingeniero en Petróleo	6.1
54	Ingeniero Industrial	6.1
53	Ingeniero Industrial	6.1
53	Ingeniero en Informática	6.1
