colacion	titulo	promedio
49	Ingeniero Industrial	8.05
51	Ingeniero Electrónico	8.04
48	Ingeniero Industrial	8.04
53	Ingeniero en Informática	8.03
55	Lic.en Administración y Sistemas	8.02
51	Ingeniero Industrial	8.02
49	Ingeniero Mecánico	8.02
49	Ingeniero Industrial	8.02
54	Ingeniero Mecánico	8.01
51	Lic.en Administración y Sistemas	8.01
48	Ingeniero Electrónico	8.01
48	Ingeniero Químico	8.01
53	Ingeniero Mecánico	8
51	Ingeniero Electrónico	8
51	Ingeniero Químico	8
55	Lic.en Administración y Sistemas	7.99
55	Ingeniero Industrial	7.99
54	Ingeniero Industrial	7.99
54	Ingeniero Industrial	7.99
52	Ingeniero Industrial	7.99
52	Lic.en Administración y Sistemas	7.99
51	Lic.en Administración y Sistemas	7.99
55	Ingeniero en Petróleo	7.98
49	Ingeniero Industrial	7.98
50	Ingeniero Químico	7.97
55	Bioingeniero	7.96
55	Lic.en Administración y Sistemas	7.96
52	Ingeniero Químico	7.96
50	Ingeniero en Informática	7.96
50	Ingeniero Químico	7.96
50	Ingeniero Electrónico	7.96
49	Ingeniero Industrial	7.96
48	Ingeniero Industrial	7.96
52	Ingeniero Industrial	7.95
54	Ingeniero Industrial	7.94
51	Ingeniero en Informática	7.94
47	Ingeniero Industrial	7.94
55	Lic.en Administración y Sistemas	7.93
52	Ingeniero Electrónico	7.93
49	Ingeniero Industrial	7.93
54	Lic.en Administración y Sistemas	7.92
54	Lic.en Administración y Sistemas	7.92
49	Lic.en Administración y Sistemas	7.92
54	Ingeniero Industrial	7.91
54	Ingeniero Químico	7.91
51	Ingeniero Químico	7.91
48	Ingeniero Mecánico	7.91
51	Ingeniero Industrial	7.9
51	Ingeniero Industrial	7.9
51	Ingeniero en Informática	7.9
49	Ingeniero Químico	7.9
52	Lic.en Administración y Sistemas	7.89
49	Ingeniero Industrial	7.89
55	Ingeniero en Informática	7.88
51	Ingeniero Industrial	7.88
50	Ingeniero Mecánico	7.88
52	Ingeniero Electrónico	7.87
48	Lic.en Administración y Sistemas	7.87
54	Lic.en Administración y Sistemas	7.86
54	Ingeniero Industrial	7.86
53	Ingeniero Industrial	7.86
50	Ingeniero Químico	7.86
49	Lic.en Administración y Sistemas	7.86
55	Lic.en Administración y Sistemas	7.85
54	Ingeniero en Informática	7.85
53	Lic.en Administración y Sistemas	7.85
53	Lic.en Administración y Sistemas	7.85
51	Ingeniero Mecánico	7.85
51	Ingeniero Industrial	7.85
47	Ingeniero Químico	7.85
54	Ingeniero Industrial	7.84
52	Ingeniero Industrial	7.84
52	Ingeniero Industrial	7.84
49	Ingeniero Electrónico	7.84
49	Ingeniero Industrial	7.84
48	Ingeniero Industrial	7.84
54	Ingeniero Industrial	7.83
51	Ingeniero Mecánico	7.83
51	Ingeniero Industrial	7.83
53	Lic.en Administración y Sistemas	7.82
51	Ingeniero Mecánico	7.82
48	Lic.en Administración y Sistemas	7.82
48	Ingeniero Industrial	7.82
47	Ingeniero Industrial	7.81
52	Lic.en Administración y Sistemas	7.8
50	Ingeniero Industrial	7.8
53	Ingeniero Químico	7.79
48	Lic.en Administración y Sistemas	7.79
55	Ingeniero Electrónico	7.78
53	Ingeniero Químico	7.78
53	Ingeniero Industrial	7.78
52	Ingeniero Industrial	7.78
52	Ingeniero Industrial	7.78
48	Ingeniero Industrial	7.78
48	Ingeniero en Informática	7.78
55	Ingeniero Químico	7.77
50	Ingeniero en Petróleo	7.77
48	Ingeniero Mecánico	7.77
55	Ingeniero en Informática	7.76
54	Ingeniero en Informática	7.76
55	Ingeniero Mecánico	7.75
55	Ingeniero Industrial	7.75
54	Lic.en Administración y Sistemas	7.75
50	Lic.en Administración y Sistemas	7.75
49	Ingeniero en Petróleo	7.75
54	Ingeniero Industrial	7.74
52	Ingeniero Industrial	7.74
50	Ingeniero Mecánico	7.74
50	Lic.en Administración y Sistemas	7.74
49	Lic.en Administración y Sistemas	7.74
48	Ingeniero Industrial	7.74
54	Ingeniero Industrial	7.73
50	Lic.en Administración y Sistemas	7.73
49	Ingeniero Industrial	7.73
55	Ingeniero en Informática	7.72
49	Ingeniero Electricista	7.72
48	Ingeniero Químico	7.72
54	Lic.en Administración y Sistemas	7.71
52	Lic.en Administración y Sistemas	7.71
51	Ingeniero Químico	7.71
49	Ingeniero Industrial	7.71
55	Ingeniero en Petróleo	7.7
51	Ingeniero Industrial	7.7
50	Ingeniero Industrial	7.7
49	Ingeniero Industrial	7.7
55	Ingeniero Químico	7.69
53	Ingeniero Industrial	7.69
49	Ingeniero Electrónico	7.69
48	Ingeniero Industrial	7.69
53	Ingeniero Electricista	7.68
52	Ingeniero Mecánico	7.68
51	Lic.en Administración y Sistemas	7.68
51	Lic.en Administración y Sistemas	7.67
49	Lic.en Administración y Sistemas	7.67
48	Lic.en Administración y Sistemas	7.67
53	Ingeniero Industrial	7.66
53	Ingeniero Industrial	7.66
52	Lic.en Administración y Sistemas	7.66
54	Lic.en Administración y Sistemas	7.65
53	Ingeniero Químico	7.65
53	Ingeniero Industrial	7.65
52	Ingeniero Industrial	7.65
55	Ingeniero Químico	7.64
51	Ingeniero Industrial	7.64
50	Ingeniero Industrial	7.64
50	Ingeniero Industrial	7.64
49	Lic.en Administración y Sistemas	7.64
48	Ingeniero Químico	7.64
48	Lic.en Administración y Sistemas	7.64
54	Lic.en Administración y Sistemas	7.63
54	Ingeniero en Petróleo	7.63
54	Ingeniero Químico	7.63
51	Ingeniero Mecánico	7.63
49	Ingeniero Industrial	7.63
48	Ingeniero Industrial	7.63
48	Ingeniero en Petróleo	7.63
48	Ingeniero Industrial	7.63
53	Ingeniero en Petróleo	7.62
53	Ingeniero Químico	7.62
52	Ingeniero Industrial	7.62
51	Lic.en Administración y Sistemas	7.62
48	Lic.en Administración y Sistemas	7.62
54	Lic.en Administración y Sistemas	7.61
53	Ingeniero Electricista	7.61
53	Lic.en Administración y Sistemas	7.61
52	Ingeniero Industrial	7.61
51	Ingeniero Mecánico	7.61
50	Ingeniero Industrial	7.61
52	Ingeniero Industrial	7.6
51	Ingeniero Industrial	7.6
49	Ingeniero Industrial	7.6
48	Ingeniero Industrial	7.6
55	Ingeniero Químico	7.59
54	Ingeniero Industrial	7.59
54	Ingeniero Industrial	7.59
54	Ingeniero Químico	7.59
53	Ingeniero Industrial	7.59
52	Ingeniero Mecánico	7.59
52	Lic.en Administración y Sistemas	7.59
51	Ingeniero Industrial	7.59
51	Lic.en Administración y Sistemas	7.59
50	Ingeniero Industrial	7.59
54	Lic.en Administración y Sistemas	7.58
54	Ingeniero Industrial	7.58
51	Ingeniero Químico	7.58
49	Ingeniero Industrial	7.58
53	Bioingeniero	7.57
53	Ingeniero Industrial	7.57
49	Ingeniero Industrial	7.57
49	Lic.en Administración y Sistemas	7.57
48	Ingeniero Industrial	7.57
55	Bioingeniero	7.55
55	Ingeniero Industrial	7.55
53	Ingeniero Mecánico	7.55
51	Ingeniero Mecánico	7.55
48	Ingeniero en Informática	7.55
48	Ingeniero Industrial	7.55
55	Ingeniero en Informática	7.54
55	Ingeniero Industrial	7.54
52	Ingeniero Electrónico	7.54
50	Ingeniero Industrial	7.54
47	Ingeniero en Informática	7.54
47	Ingeniero en Informática	7.54
52	Ingeniero Químico	7.53
51	Ingeniero en Informática	7.53
49	Ingeniero Mecánico	7.53
47	Ingeniero Industrial	7.53
54	Lic.en Administración y Sistemas	7.52
52	Ingeniero Industrial	7.52
49	Ingeniero Químico	7.52
48	Ingeniero Químico	7.52
47	Lic.en Administración y Sistemas	7.52
55	Ingeniero Industrial	7.51
54	Bioingeniero	7.51
51	Ingeniero en Petróleo	7.51
54	Ingeniero Industrial	7.5
54	Bioingeniero	7.5
54	Lic.en Administración y Sistemas	7.5
55	Lic.en Administración y Sistemas	7.49
50	Ingeniero Químico	7.49
50	Lic.en Administración y Sistemas	7.49
50	Ingeniero en Petróleo	7.49
47	Ingeniero Mecánico	7.49
55	Ingeniero Industrial	7.48
54	Ingeniero Industrial	7.48
53	Lic.en Administración y Sistemas	7.48
53	Ingeniero Industrial	7.48
52	Ingeniero Electricista	7.48
51	Lic.en Administración y Sistemas	7.48
50	Ingeniero en Informática	7.48
53	Ingeniero Industrial	7.47
51	Ingeniero Industrial	7.47
48	Ingeniero Electrónico	7.47
49	Ingeniero Químico	7.47
55	Lic.en Administración y Sistemas	7.46
53	Ingeniero Industrial	7.46
53	Lic.en Administración y Sistemas	7.46
53	Ingeniero Químico	7.46
52	Ingeniero Industrial	7.46
51	Lic.en Administración y Sistemas	7.46
51	Ingeniero Industrial	7.46
49	Ingeniero Químico	7.46
49	Ingeniero en Informática	7.46
48	Ingeniero Industrial	7.46
48	Lic.en Administración y Sistemas	7.46
54	Lic.en Administración y Sistemas	7.45
53	Ingeniero Químico	7.45
51	Ingeniero Industrial	7.45
49	Ingeniero Mecánico	7.45
48	Lic.en Administración y Sistemas	7.45
55	Ingeniero en Informática	7.44
55	Ingeniero en Petróleo	7.44
47	Lic.en Administración y Sistemas	7.44
47	Ingeniero en Informática	7.44
54	Lic.en Administración y Sistemas	7.43
52	Ingeniero Industrial	7.43
51	Ingeniero Industrial	7.43
50	Ingeniero Industrial	7.43
55	Ingeniero Industrial	7.42
52	Ingeniero en Informática	7.42
51	Ingeniero Industrial	7.42
50	Ingeniero en Informática	7.42
49	Ingeniero en Informática	7.42
49	Ingeniero Industrial	7.42
48	Ingeniero Industrial	7.42
55	Lic.en Administración y Sistemas	7.41
54	Ingeniero Industrial	7.41
52	Ingeniero Industrial	7.41
51	Ingeniero Industrial	7.41
51	Ingeniero Electricista	7.41
50	Ingeniero Industrial	7.41
53	Lic.en Administración y Sistemas	7.4
51	Ingeniero Industrial	7.4
50	Ingeniero Químico	7.4
48	Ingeniero Industrial	7.4
48	Ingeniero Químico	7.4
48	Lic.en Administración y Sistemas	7.4
47	Ingeniero Mecánico	7.4
54	Lic.en Administración y Sistemas	7.39
54	Ingeniero en Petróleo	7.39
52	Ingeniero en Petróleo	7.39
52	Lic.en Administración y Sistemas	7.39
51	Ingeniero en Petróleo	7.39
50	Ingeniero Químico	7.39
48	Ingeniero Químico	7.39
47	Ingeniero Industrial	7.39
54	Lic.en Administración y Sistemas	7.38
54	Ingeniero Electrónico	7.38
54	Ingeniero Mecánico	7.38
50	Ingeniero Industrial	7.38
47	Ingeniero Industrial	7.38
55	Ingeniero Industrial	7.37
54	Lic.en Administración y Sistemas	7.37
52	Lic.en Administración y Sistemas	7.37
52	Ingeniero Industrial	7.37
49	Ingeniero Industrial	7.37
49	Ingeniero Industrial	7.37
48	Ingeniero Industrial	7.37
48	Ingeniero Industrial	7.37
55	Ingeniero en Informática	7.36
54	Ingeniero en Informática	7.36
53	Ingeniero Electrónico	7.36
53	Lic.en Administración y Sistemas	7.36
49	Ingeniero Mecánico	7.36
55	Lic.en Administración y Sistemas	7.35
55	Bioingeniero	7.35
52	Ingeniero Electricista	7.35
51	Ingeniero Electrónico	7.35
51	Ingeniero Electrónico	7.35
51	Lic.en Administración y Sistemas	7.35
50	Ingeniero Electrónico	7.35
49	Ingeniero Industrial	7.35
49	Ingeniero Industrial	7.35
55	Ingeniero en Informática	7.34
53	Ingeniero Industrial	7.34
52	Lic.en Administración y Sistemas	7.34
49	Ingeniero Químico	7.34
55	Ingeniero en Petróleo	7.33
55	Ingeniero Industrial	7.33
54	Lic.en Administración y Sistemas	7.33
53	Bioingeniero	7.33
53	Ingeniero Mecánico	7.33
53	Ingeniero Mecánico	7.33
50	Ingeniero Electrónico	7.33
50	Ingeniero en Informática	7.33
49	Ingeniero Mecánico	7.33
49	Lic.en Administración y Sistemas	7.33
54	Ingeniero Industrial	7.32
54	Lic.en Administración y Sistemas	7.32
53	Ingeniero en Petróleo	7.32
52	Lic.en Administración y Sistemas	7.32
51	Ingeniero Electrónico	7.32
49	Ingeniero Electrónico	7.32
49	Ingeniero Industrial	7.32
49	Ingeniero Industrial	7.32
55	Ingeniero Electrónico	7.31
54	Ingeniero Químico	7.31
54	Ingeniero Mecánico	7.31
53	Ingeniero en Petróleo	7.31
52	Ingeniero Industrial	7.31
52	Ingeniero Químico	7.31
50	Ingeniero Electrónico	7.31
49	Ingeniero Industrial	7.31
48	Ingeniero Mecánico	7.31
54	Ingeniero Industrial	7.3
54	Ingeniero en Petróleo	7.3
54	Lic.en Administración y Sistemas	7.3
53	Lic.en Administración y Sistemas	7.3
53	Ingeniero en Informática	7.3
50	Ingeniero Químico	7.3
49	Ingeniero Industrial	7.3
48	Ingeniero Industrial	7.3
48	Ingeniero Industrial	7.3
55	Ingeniero en Petróleo	7.29
55	Lic.en Administración y Sistemas	7.29
54	Ingeniero en Informática	7.29
54	Ingeniero en Informática	7.29
53	Ingeniero Químico	7.29
52	Ingeniero Industrial	7.29
51	Ingeniero Industrial	7.29
50	Ingeniero Industrial	7.29
50	Ingeniero Industrial	7.29
49	Ingeniero Industrial	7.29
48	Ingeniero Industrial	7.29
48	Ingeniero en Petróleo	7.29
55	Ingeniero en Informática	7.28
55	Ingeniero Industrial	7.28
53	Ingeniero en Informática	7.28
50	Ingeniero Industrial	7.28
50	Ingeniero Químico	7.28
50	Ingeniero Industrial	7.28
49	Lic.en Administración y Sistemas	7.28
53	Ingeniero Industrial	7.27
53	Ingeniero Industrial	7.27
52	Ingeniero Industrial	7.27
52	Ingeniero Químico	7.27
50	Ingeniero en Informática	7.27
50	Ingeniero Mecánico	7.27
50	Ingeniero Industrial	7.27
50	Lic.en Administración y Sistemas	7.27
53	Lic.en Administración y Sistemas	7.26
52	Lic.en Administración y Sistemas	7.26
49	Ingeniero Industrial	7.26
49	Ingeniero Industrial	7.26
55	Ingeniero Electrónico	7.25
53	Ingeniero Químico	7.25
53	Ingeniero Industrial	7.25
50	Ingeniero Industrial	7.25
50	Ingeniero Químico	7.25
54	Ingeniero en Petróleo	7.24
54	Ingeniero Mecánico	7.24
52	Ingeniero en Informática	7.24
52	Lic.en Administración y Sistemas	7.24
52	Ingeniero Químico	7.24
51	Ingeniero Industrial	7.24
50	Ingeniero Industrial	7.24
49	Ingeniero en Petróleo	7.24
48	Ingeniero en Informática	7.24
48	Ingeniero Industrial	7.24
55	Lic.en Administración y Sistemas	7.23
52	Ingeniero Industrial	7.23
51	Lic.en Administración y Sistemas	7.23
51	Ingeniero Industrial	7.23
48	Ingeniero Electrónico	7.23
55	Ingeniero en Informática	7.22
55	Ingeniero Químico	7.22
54	Ingeniero Químico	7.22
53	Ingeniero Industrial	7.22
49	Ingeniero Industrial	7.22
48	Ingeniero Electrónico	7.22
53	Ingeniero Químico	7.21
51	Ingeniero Químico	7.21
50	Lic.en Administración y Sistemas	7.21
48	Ingeniero Industrial	7.21
54	Ingeniero Industrial	7.2
53	Ingeniero Químico	7.2
52	Ingeniero Industrial	7.2
49	Ingeniero en Petróleo	7.2
49	Lic.en Administración y Sistemas	7.2
48	Ingeniero Industrial	7.2
47	Ingeniero Químico	7.2
52	Ingeniero Electrónico	7.19
52	Ingeniero Industrial	7.19
50	Ingeniero Industrial	7.19
51	Ingeniero Electrónico	7.18
51	Ingeniero Electrónico	7.18
49	Ingeniero Químico	7.18
48	Ingeniero Industrial	7.18
47	Ingeniero Industrial	7.18
47	Ingeniero Mecánico	7.18
53	Lic.en Administración y Sistemas	7.17
52	Ingeniero en Informática	7.17
51	Lic.en Administración y Sistemas	7.17
54	Lic.en Administración y Sistemas	7.16
53	Ingeniero Industrial	7.16
53	Lic.en Administración y Sistemas	7.16
52	Ingeniero Industrial	7.16
52	Ingeniero Industrial	7.16
51	Ingeniero Industrial	7.16
51	Ingeniero Industrial	7.16
55	Ingeniero Industrial	7.15
54	Ingeniero Industrial	7.15
52	Ingeniero Industrial	7.15
48	Ingeniero Mecánico	7.15
55	Ingeniero Industrial	7.14
55	Ingeniero Industrial	7.14
54	Ingeniero en Petróleo	7.14
53	Ingeniero Industrial	7.14
53	Ingeniero Industrial	7.14
53	Ingeniero Químico	7.14
52	Lic.en Administración y Sistemas	7.14
50	Ingeniero Industrial	7.14
49	Lic.en Administración y Sistemas	7.14
55	Ingeniero en Informática	7.13
54	Ingeniero en Informática	7.13
53	Ingeniero Industrial	7.13
53	Ingeniero Industrial	7.13
51	Ingeniero Industrial	7.13
51	Ingeniero Industrial	7.13
50	Ingeniero en Informática	7.13
49	Ingeniero Industrial	7.13
49	Ingeniero Industrial	7.13
48	Ingeniero en Informática	7.13
48	Ingeniero Químico	7.13
48	Ingeniero Químico	7.13
53	Ingeniero Industrial	7.12
53	Ingeniero Industrial	7.12
53	Ingeniero Industrial	7.12
52	Ingeniero Químico	7.12
52	Ingeniero Industrial	7.12
48	Ingeniero Mecánico	7.12
48	Ingeniero Electrónico	7.12
55	Lic.en Administración y Sistemas	7.11
54	Ingeniero Mecánico	7.11
52	Ingeniero Mecánico	7.11
51	Ingeniero Electrónico	7.11
48	Ingeniero Industrial	7.11
55	Ingeniero en Informática	7.1
55	Ingeniero Electrónico	7.1
55	Ingeniero Industrial	7.1
53	Ingeniero Electricista	7.1
53	Ingeniero Mecánico	7.1
48	Ingeniero Químico	7.1
48	Lic.en Administración y Sistemas	7.1
54	Ingeniero Químico	7.09
51	Lic.en Administración y Sistemas	7.09
50	Ingeniero Químico	7.09
49	Ingeniero en Petróleo	7.09
55	Ingeniero en Informática	7.08
55	Ingeniero en Petróleo	7.08
54	Ingeniero Industrial	7.08
52	Ingeniero Industrial	7.08
52	Ingeniero Industrial	7.08
51	Ingeniero Mecánico	7.08
51	Lic.en Administración y Sistemas	7.08
50	Ingeniero Industrial	7.08
49	Ingeniero Electrónico	7.08
49	Ingeniero en Informática	7.08
48	Ingeniero Industrial	7.08
48	Lic.en Administración y Sistemas	7.08
55	Ingeniero Químico	7.07
55	Ingeniero en Informática	7.07
54	Ingeniero Industrial	7.07
53	Ingeniero Industrial	7.07
52	Lic.en Administración y Sistemas	7.07
52	Ingeniero Químico	7.07
52	Lic.en Administración y Sistemas	7.07
50	Ingeniero Industrial	7.07
49	Ingeniero Mecánico	7.07
49	Ingeniero en Informática	7.07
49	Ingeniero en Informática	7.07
48	Ingeniero Industrial	7.07
48	Ingeniero Industrial	7.07
48	Lic.en Administración y Sistemas	7.07
51	Ingeniero Industrial	7.06
49	Ingeniero en Informática	7.06
55	Lic.en Administración y Sistemas	7.05
55	Bioingeniero	7.05
54	Ingeniero Industrial	7.05
50	Ingeniero Mecánico	7.05
50	Ingeniero Químico	7.05
47	Ingeniero Industrial	7.05
55	Bioingeniero	7.04
53	Ingeniero Electricista	7.04
53	Ingeniero en Petróleo	7.04
48	Lic.en Administración y Sistemas	7.04
53	Ingeniero en Informática	7.03
53	Lic.en Administración y Sistemas	7.03
52	Ingeniero en Petróleo	7.03
51	Ingeniero Químico	7.03
49	Ingeniero Industrial	7.03
49	Ingeniero Industrial	7.03
49	Lic.en Administración y Sistemas	7.03
54	Lic.en Administración y Sistemas	7.02
53	Ingeniero Industrial	7.02
51	Ingeniero Industrial	7.02
51	Ingeniero Industrial	7.02
50	Lic.en Administración y Sistemas	7.02
48	Ingeniero Industrial	7.02
53	Lic.en Administración y Sistemas	7.01
52	Ingeniero en Informática	7.01
54	Lic.en Administración y Sistemas	7
52	Ingeniero en Informática	7
52	Ingeniero Industrial	7
51	Ingeniero Industrial	7
50	Ingeniero Industrial	7
49	Ingeniero Electricista	7
55	Ingeniero Industrial	6.99
53	Ingeniero Industrial	6.99
52	Ingeniero Industrial	6.99
50	Ingeniero Químico	6.99
49	Ingeniero en Petróleo	6.99
48	Lic.en Administración y Sistemas	6.99
47	Ingeniero Químico	6.99
55	Ingeniero Industrial	6.98
53	Ingeniero Electricista	6.98
52	Ingeniero Industrial	6.98
52	Lic.en Administración y Sistemas	6.98
51	Ingeniero Industrial	6.98
51	Lic.en Administración y Sistemas	6.98
50	Ingeniero en Informática	6.98
48	Ingeniero Industrial	6.98
48	Ingeniero Industrial	6.98
48	Lic.en Administración y Sistemas	6.98
47	Ingeniero en Informática	6.98
55	Ingeniero en Informática	6.97
55	Ingeniero en Informática	6.97
55	Ingeniero Industrial	6.97
54	Ingeniero Mecánico	6.97
53	Ingeniero Químico	6.97
50	Ingeniero Mecánico	6.97
50	Ingeniero Mecánico	6.97
49	Ingeniero Industrial	6.97
48	Ingeniero Industrial	6.97
54	Lic.en Administración y Sistemas	6.96
53	Ingeniero Industrial	6.96
53	Lic.en Administración y Sistemas	6.96
53	Lic.en Administración y Sistemas	6.96
52	Lic.en Administración y Sistemas	6.96
50	Lic.en Administración y Sistemas	6.96
49	Ingeniero Industrial	6.96
48	Ingeniero Industrial	6.96
48	Ingeniero Industrial	6.96
47	Ingeniero Industrial	6.96
47	Ingeniero en Informática	6.96
55	Ingeniero Industrial	6.95
54	Ingeniero Industrial	6.95
54	Ingeniero Químico	6.95
53	Ingeniero Mecánico	6.95
51	Ingeniero Químico	6.95
49	Ingeniero Electrónico	6.95
48	Ingeniero en Petróleo	6.95
47	Ingeniero Mecánico	6.95
47	Ingeniero Químico	6.95
55	Ingeniero Electrónico	6.94
55	Ingeniero en Petróleo	6.94
53	Lic.en Administración y Sistemas	6.94
53	Ingeniero Químico	6.94
52	Ingeniero Industrial	6.94
50	Lic.en Administración y Sistemas	6.94
49	Ingeniero Electricista	6.94
48	Ingeniero en Informática	6.94
47	Ingeniero Industrial	6.94
55	Ingeniero Mecánico	6.93
54	Lic.en Administración y Sistemas	6.93
