trigram phrase,frequency
una pregunta que,2
y no veo,2
culto a la,2
pero también debo,2
esta elección es,2
hace 15 años,2
que darlo por,2
todo en la,2
que tienen más,2
época más profundo,2
muchísimo para entender,2
cien respuestas distintas,2
maría eugenia hace,2
ha sido acompañarlo,2
pero él tenía,2
con un contenido,2
consigue un mínimo,2
hoy da la,2
k no la,2
argentina como un,2
para demostrar que,2
lo va a,2
los días para,2
este esfuerzo por,2
los votantes que,2
por un lado,2
más prensa más,2
poder menos liderazgo,2
que está pasando,2
ser de la,2
en el 2003,2
la campaña del,2
hice el trabajo,2
es que hoy,2
competir habíamos sido,2
le damos mucha,2
un mínimo de,2
que se puedan,2
partir de ahí,2
aportó muchísimo para,2
del gabinete kirchnerista,2
elección después de,2
siete médicos nos,2
otros ministros kirchneristas,2
eso hay que,2
está claro lo,2
creemos más en,2
tiene que terminar,2
última presidenta reivindicativa,2
son poco conocidos,2
dignidad que no,2
debo ser el,2
la va a,2
y todavía hay,2
para entender que,2
líder que marcó,2
que decimos es,2
contenido muy antiguo,2
ese culto a,2
suicidándose y tirando,2
de época más,2
la historia argentina,2
tiempo distinto y,2
cámpora han sido,2
como usar spotify,2
por la borda,2
eugenia hace dos,2
habían dicho que,2
todo este esfuerzo,2
otra generación nosotros,2
te lo da,2
en función de,2
obsesionado con ser,2
se lo invitó,2
cierta dignidad que,2
de que quede,2
ser cristinista ser,2
que en función,2
dar una pequeña,2
mismo de la,2
posibilidad de que,2
puedan desarrollar y,2
es como usar,2
marcó una época,2
es una pregunta,2
súper k no,2
lógica de que,2
la liberación pasa,2
también debo ser,2
elección es tan,2
tantas cosas que,2
perversa del autoritarismo,2
él tenía derecho,2
presidentes desde el,2
gran líder que,2
mujer luciana mantero,2
compañeros seguimos muy,2
cambio de época,2
esa idea de,2
usar spotify para,2
claro y decir,2
qué es ser,2
prensa más poder,2
más votos sino,2
por ahí algunos,2
cambiar la cultura,2
todo te lo,2
aires que el,2
mesiánico narcisista que,2
no sé si,2
reivindicativa y al,2
nosotros por un,2
que no pensamos,2
un montón de,2
para que se,2
aventura de otra,2
la posibilidad de,2
poder más aparato,2
al final del,2
una época y,2
hay un nuevo,2
peronista ser menemista,2
hoy lo que,2
la gente de,2
más poder más,2
el camino que,2
momento pero él,2
para competir habíamos,2
de crecimientos de,2
que estamos viviendo,2
ordenaba el sistema,2
parecía un buen,2
el escenario de,2
y como un,2
etapa de la,2
es tan importante,2
se diera cuenta,2
de maría eugenia,2
hay un tiempo,2
que por ese,2
muy lejos de,2
no había ninguna,2
2003 ganó la,2
desde el 83,2
y es como,2
a quien le,2
tiene una cierta,2
de tratamientos siete,2
función de eso,2
del día creo,2
la última presidenta,2
como un transformador,2
que los representa,2
sensación que tiene,2
como un visionario,2
la personalidad detuvo,2
peronismo hoy por,2
otro lado que,2
de los 70,2
menem en el,2
y se puede,2
damos mucha bola,2
mucha bola a,2
un nuevo votante,2
va a recordar,2
y le damos,2
buenos aires que,2
la sensación sobre,2
por más desprestigio,2
cristinista ser de,2
pensamos lo mismo,2
en el grueso,2
creo que mauricio,2
con eso sobra,2
ninguna posibilidad de,2
a durán barba,2
siempre ha sido,2
sino por quién,2
por un punto,2
creo que haya,2
la tapa de,2
presidente por más,2
la sensación que,2
está claro que,2
eso esta elección,2
que cristina gane,2
silla de mauricio,2
vivir la aventura,2
de una etapa,2
la aventura de,2
liderazgo mesiánico narcisista,2
de lo que,2
que haya que,2
y el miedo,2
los principales presidentes,2
por lo que,2
es lo que,2
presidente o un,1
un buen trabajo,1
clara y siempre,1
como si fueran,1
sus defectos pero,1
la messi daría,1
luciana mantero que,1
como un oportunista,1
la campaña se,1
cosa no quiere,1
cumplió nueve llegó,1
todo el podrán,1
municipio el camino,1
bien nos unen,1
podés meterte con,1
en el país,1
y se presenta,1
valioso en un,1
mauricio al revés,1
que te ponés,1
que hacer pero,1
poder pero uno,1
a la noche,1
lo termina convirtiendo,1
