bigram phrase,frequency
a esa,2
algo que,2
ja ja,2
también debo,2
de tratamientos,2
ser el,2
liberación pasa,2
es súper,2
ex presidente,2
de mucha,2
desprestigio que,2
que sea,2
mayoría de,2
gran crisis,2
presidenta reivindicativa,2
por la,2
a muchos,2
ha ido,2
ahí algunos,2
joaquín 3,2
está nos,2
que ver,2
ellos nacieron,2
más poder,2
los chicos,2
y te,2
que marcó,2
momento pero,2
con los,2
es muy,2
menemista ser,2
por muerto,2
de ahí,2
argentina como,2
quien le,2
función de,2
sociedad consigue,2
duhaldista ser,2
en vivir,2
reivindicativa y,2
eso esta,2
grueso de,2
ministros kirchneristas,2
debo ser,2
votante que,2
tienen que,2
las herramientas,2
cierra el,2
nombres de,2
el futuro,2
poder lo,2
no sé,2
sido acompañarlo,2
ordenaba el,2
él tenía,2
la elección,2
de cristina,2
los principales,2
la tapa,2
desde hace,2
la va,2
que organizarse,2
que todavía,2
tiempo pero,2
el miedo,2
da el,2
pero con,2
personalidad detuvo,2
entender que,2
hace 15,2
cristinista ser,2
liderazgo de,2
hizo en,2
que volver,2
había que,2
un lado,2
estamos haciendo,2
a recordar,2
país se,2
cosas muy,2
eso lo,2
en función,2
quedará en,2
presidente por,2
por lo,2
nos habían,2
lousteau a,2
aprendimos un,2
todas las,2
que me,2
cada vez,2
poder y,2
más profundo,2
más prensa,2
ninguna posibilidad,2
así simplemente,2
presidentes desde,2
creemos más,2
tema de,2
trato de,2
nosotros por,2
jaime es,2
si van,2
lado que,2
lado de,2
hoy da,2
vivir la,2
esto es,2
de estar,2
claro que,2
claros de,2
como dos,2
que lo,2
época más,2
para dialogar,2
con ellos,2
vocación de,2
a trabajar,2
con la,2
contenido muy,2
muchísimo para,2
argentina pero,2
que viene,2
crisis de,2
años que,2
el podrán,2
habían dicho,2
muy enamorados,2
hablan de,2
desarrollar y,2
más aparato,2
forma de,2
que hacer,2
claro y,2
una pregunta,2
antiguo es,2
eso no,2
más de,2
parecía un,2
la pantalla,2
sos vos,2
un tipo,2
que fueron,2
un lugar,2
de hace,2
está obsesionado,2
muy difícil,2
gabinete de,2
cristina eso,2
y decir,2
ese cambio,2
pero que,2
acompañarlo ayudarlo,2
hasta que,2
más que,2
que ustedes,2
un cambio,2
de esta,2
la aventura,2
después genera,2
y cómo,2
cristina kirchner,2
de gabinete,2
días que,2
cristina gane,2
cambio o,2
tienen más,2
elección es,2
visionario y,2
ni hablar,2
se presenta,2
final del,2
ha sido,2
tienen su,2
ya pasó,2
un país,2
había ninguna,2
de gente,2
son más,2
para entender,2
una etapa,2
música de,2
nosotros creemos,2
es natural,2
muy antiguo,2
una pequeña,2
mauricio y,2
que tienen,2
es mi,2
lógica muy,2
años de,2
creo fracasada,2
para mí,2
día creo,2
que nos,2
el pj,2
liderazgo mesiánico,2
es cambiar,2
bien porque,2
principales presidentes,2
médicos nos,2
final no,2
un nuevo,2
competir habíamos,2
recorrer y,2
estamos juntos,2
a ser,2
y crecer,2
barba sos,2
sensación que,2
respuestas distintas,2
eugenia hace,2
también es,2
al que,2
calle por,2
aires que,2
en positivo,2
más importante,2
todo te,2
de macri,2
ellos no,2
muy contemporáneas,2
dar una,2
que darlo,2
k no,2
mí de,2
vivir nuestra,2
con eso,2
a estar,2
al revés,2
no hice,2
estos años,2
poder menos,2
poco conocidos,2
votantes que,2
el grueso,2
a durán,2
narcisista que,2
de crecimientos,2
el escenario,2
más claro,2
del día,2
montón de,2
la ciudad,2
gabinete kirchnerista,2
tiene el,2
la borda,2
se hizo,2
cosas que,2
para competir,2
para adelante,2
equipo que,2
que recorrer,2
viste que,2
son nada,2
pequeña ventaja,2
culto a,2
diera cuenta,2
en estas,2
la última,2
de ver,2
el 2003,2
la resignación,2
tuvieron otros,2
de maría,2
nuestra propia,2
cambio y,2
tenga en,2
el 83,2
venga a,2
eso sobra,2
la vocación,2
época y,2
y de,2
darlo por,2
problema de,2
lo hicieron,2
hijos del,2
bola a,2
macri y,2
tu suegra,2
para todos,2
sensación sobre,2
lo da,2
de identidad,2
preguntás qué,2
años no,2
genera esa,2
recordar a,2
otro y,2
2003 ganó,2
aventura de,2
pero aun,2
cultura perversa,2
no pensamos,2
el camino,2
una época,2
lugar de,2
un transformador,2
no la,2
y con,2
cámpora han,2
de ser,2
tantas cosas,2
escuchar para,2
y también,2
dicho que,2
votos sino,2
otros ministros,2
se van,2
gobierno de,2
de época,2
no tuvieron,2
y sin,2
llega el,2
del autoritarismo,2
los mismos,2
ese culto,2
rol de,2
detuvo la,2
club que,2
de defunción,2
a partir,2
puedan desarrollar,2
es tan,2
la posibilidad,2
historia argentina,2
etapa de,2
nuevo votante,2
que terminar,2
se ordenaba,2
juntos no,2
la definiría,2
y sus,2
quieren un,2
a romper,2
dignidad que,2
spotify para,2
