bigram phrase,frequency
todo porque,1
ayudarlo con,1
tendría que,1
pone la,1
adaptando su,1
esos candidatos,1
porque había,1
cuarenta años,1
presenta el,1
recorrés el,1
embarazada el,1
provincia es,1
mochilero por,1
para perder,1
los indecisos,1
presidente macri,1
muy tímido,1
difícil para,1
del presidente,1
alma ustedes,1
de menem,1
manera increíble,1
digo no,1
dijimos que,1
entonces vamos,1
día estaba,1
llegó al,1
lo manejamos,1
presenta hay,1
a perón,1
pibes para,1
renovador a,1
pensar que,1
parecía hacer,1
persona poco,1
que tenemos,1
florencio randazzo,1
gobierno e,1
y pieza,1
apuesta al,1
y está,1
3 estamos,1
tipo que,1
sea no,1
a marcos,1
piensan en,1
derecho el,1
que podamos,1
cuando estás,1
está buena,1
conmueve demasiado,1
esa parte,1
la casa,1
de néstor,1
están dudando,1
nosotros se,1
bien pero,1
se termina,1
tema es,1
personal porque,1
imaginas a,1
argentina que,1
a acompañarlo,1
punto tengo,1
me conmueve,1
rivales mauricio,1
sensación de,1
cultura de,1
a poner,1
tentadora para,1
representa lo,1
sesgo hacia,1
liderazgos es,1
quién lo,1
fluvio pompeo,1
mezclo lo,1
dé la,1
pensaba en,1
fragmentación de,1
veníamos de,1
de cuántos,1
de afuera,1
esconden el,1
haya una,1
hacer pero,1
demasiado algo,1
a tu,1
un asado,1
entonces desde,1
por bien,1
joven con,1
conozco a,1
ejemplo apostaron,1
él decía,1
mucho involucrarlos,1
o a,1
bien a,1
quede al,1
impide que,1
presidente qué,1
era tan,1
enfrentar a,1
fue rica,1
juntos somos,1
qué crees,1
hay mal,1
hacer por,1
aspiracional más,1
la revista,1
jefaturas de,1
suiza les,1
sin hablarme,1
más grande,1
del helicóptero,1
de equipo,1
años o,1
de enorme,1
pasillos de,1
útil su,1
miedo son,1
en davos,1
que cambiar,1
definís a,1
que permitió,1
más profundos,1
se entenderían,1
pompeo en,1
vínculo de,1
julio de,1
acumulo rencores,1
mal en,1
eso habla,1
dirías que,1
así el,1
rendimos no,1
a involucrarse,1
lo personal,1
vez menos,1
donde hacemos,1
aportó ya,1
que van,1
diciendo que,1
culta jaime,1
experiencia muy,1
cristina para,1
nos apoya,1
pantalla con,1
respaldar el,1
si fueran,1
pero está,1
explicación perón,1
la cama,1
salvás no,1
dirá que,1
podría vivir,1
gente nos,1
meterte con,1
descubierto el,1
un gabinete,1
cámpora o,1
les digo,1
tiempo qué,1
ido cada,1
presidentes más,1
si mi,1
las embajadas,1
aporte es,1
esto lo,1
y piensa,1
kirchnerista una,1
nada que,1
para ayudarlo,1
día son,1
piensan que,1
puedo creer,1
para rejuvenecerlo,1
escuchen menos,1
se presentan,1
una isla,1
ver con,1
así y,1
problemas desde,1
a traer,1
le ganamos,1
define marcos,1
qué cambiarla,1
del pj,1
aunque se,1
de las,1
randazzo lo,1
sí colonia,1
martín se,1
larreta a,1
de cambio,1
demostración de,1
sea que,1
buena la,1
más duro,1
como mochilero,1
permitió que,1
para así,1
nacieron con,1
imperio luchar,1
de luchar,1
y digo,1
patrimonio y,1
3 tardamos,1
país y,1
aceptaban a,1
viviendo la,1
juro que,1
y su,1
reflexión está,1
su rol,1
esta tarea,1
se la,1
lilita y,1
argentina es,1
están acá,1
el cerebro,1
ganamos de,1
embarazada se,1
que cambiemos,1
importante construir,1
también para,1
marido perfecto,1
y quedó,1
estaremos un,1
muchos la,1
hace cosas,1
mismo club,1
campaña se,1
ustedes entendieron,1
general que,1
los candidatos,1
ciertas personas,1
dos personas,1
herramientas a,1
tomado la,1
confiesa que,1
adentro el,1
agravios de,1
lilita le,1
el cariño,1
no conozco,1
los periodistas,1
ve como,1
cuidadosamente desprolija,1
quiere ir,1
en armonía,1
hacia el,1
quedó de,1
yo les,1
mauricio frigerio,1
gobierno cambiemos,1
hacer de,1
general de,1
suegra kirchnerista,1
periodistas y,1
bueno vamos,1
juntos creo,1
hablás de,1
gabinete no,1
sos candidato,1
nosotros estamos,1
a través,1
café en,1
qué le,1
pasando mal,1
capacidad de,1
llevarlo adelante,1
gente claro,1
porque el,1
diputación después,1
es espectacular,1
enero de,1
vocación siempre,1
la nostalgia,1
y ves,1
bien bueno,1
la experiencia,1
votante quiere,1
estamos unidos,1
pero poco,1
vez de,1
revista en,1
o superiores,1
judicial y,1
dando una,1
digan si,1
de poder,1
te regala,1
de amigos,1
acá para,1
padres de,1
e invita,1
tribunero adapta,1
2001 es,1
recomienda en,1
de randazzo,1
volver aníbal,1
en política,1
da bronca,1
votantes nos,1
lousteau pero,1
imposible se,1
municipio el,1
nuevo aire,1
cosas cambiaran,1
ahora no,1
en esto,1
aníbal cristina,1
peña sergio,1
su vida,1
montón estaba,1
hizo hace,1
esté unido,1
oportunista a,1
identidad desde,1
días es,1
pero las,1
duran hablan,1
marquitos es,1
para llevarlo,1
enorme confianza,1
y obviamente,1
casualidad que,1
diciendo ya,1
pre armado,1
estoy diciendo,1
barba aportó,1
una contradicción,1
confianza de,1
eso y,1
de decir,1
se comprometan,1
libertad que,1
dirías a,1
nicolás stulberg,1
una silla,1
un sello,1
raro es,1
obviamente vas,1
silla tentadora,1
cara hace,1
bueno te,1
un vínculo,1
piel al,1
valores la,1
al de,1
corrupción el,1
enemigos ni,1
gente primero,1
persona muy,1
cómodo de,1
ventaja para,1
le ganaron,1
se mantiene,1
para vos,1
pero es,1
y sí,1
banderas de,1
quiénes son,1
tiene como,1
más aspiracional,1
te hace,1
trabajan en,1
originarios donde,1
pero arranca,1
porque coartan,1
superponiendo y,1
estaba esa,1
contradicción de,1
que ha,1
llegó joaquín,1
mi rol,1
vivir acá,1
mediados de,1
poner la,1
dijo podés,1
amigos pero,1
nosotros es,1
más allá,1
estos que,1
comer no,1
de vuelta,1
un momento,1
menos tiempo,1
explicar los,1
k ahí,1
pública que,1
el 2001,1
grande de,1
el libro,1
es gracioso,1
cómo la,1
no meterlos,1
problemas un,1
de encontrar,1
invitó al,1
elección por,1
volver de,1
mundo que,1
entró a,1
un sesgo,1
pero lilita,1
supone que,1
o menos,1
con ambición,1
lilita que,1
néstor kirchner,1
triste a,1
a ver,1
soy el,1
nosotros hacemos,1
política había,1
esa gente,1
mismo círculo,1
joaquín sin,1
scioli también,1
la única,1
llegó solo,1
política romper,1
cambiemos cambiemos,1
político porque,1
calidad extrañás,1
la descalificación,1
candidato en,1
típica de,1
los protagonistas,1
nosotros para,1
moreno y,1
del trabajo,1
de nuestros,1
jefatura quién,1
vos vidal,1
cabeza mientras,1
a terminar,1
cómo cae,1
fernanda vallejos,1
un ecuatoriano,1
potencias para,1
gobierno y,1
a colocar,1
no vivía,1
idea más,1
día a,1
protectora de,1
tenso no,1
lo veo,1
está con,1
armonía hasta,1
pelo de,1
la razón,1
modernizar a,1
ganaron todo,1
ser una,1
las listas,1
una energía,1
respuesta en,1
enormemente generosa,1
persona pública,1
fue con,1
hicieron atrás,1
kirchnerismo es,1
la infertilidad,1
más a,1
mismos objetivos,1
cambiemos hoy,1
trabajar en,1
si se,1
sale de,1
amigos son,1
que puedo,1
yerno perfecto,1
veo rodeado,1
luciana cuenta,1
filmus aportó,1
raro pero,1
opinan como,1
despectivamente o,1
se siga,1
él despectivamente,1
asado con,1
malo tendrán,1
es parte,1
los van,1
un club,1
manejamos nosotros,1
un proceso,1
objetivos y,1
cristina todos,1
votar otra,1
peronista y,1
pobre hasta,1
retomando el,1
parecía imposible,1
algo nuevo,1
dentro del,1
del cambio,1
ríe somos,1
mismo durán,1
sos como,1
una alfombra,1
el votante,1
tiempo que,1
están todos,1
nacieron de,1
marketing y,1
optimismo a,1
dijo margarita,1
personal y,1
es porque,1
que venga,1
es periodista,1
años club,1
cambió el,1
su piel,1
demasiado ya,1
parte protectora,1
que esté,1
alternativa por,1
él prefirió,1
única elección,1
que adapta,1
pero sé,1
salió de,1
siendo alguien,1
hizo mucho,1
vuelta el,1
menos está,1
cambiarla creo,1
una mayoría,1
que confían,1
tan agresivo,1
verdad no,1
o esconden,1
en algunos,1
nosotros pero,1
argentina estaba,1
lo tenés,1
crecer el,1
peinado eso,1
al líder,1
podemos dudar,1
enfermo en,1
tocarlo a,1
que salvar,1
perón fue,1
he dicho,1
lo he,1
confianza es,1
también dicen,1
equipos a,1
permanentemente a,1
entendernos siempre,1
2005 y,1
ser auténtico,1
filmus no,1
guerra fría,1
el quiso,1
terminar así,1
el elegante,1
una familia,1
a casa,1
ayudarlo sin,1
cuándo apareció,1
que demostrar,1
kirchneristas el,1
hace 20,1
martín creo,1
para ir,1
a florencio,1
siempre impregnado,1
candidatos son,1
se están,1
buscar ser,1
juliana awada,1
país distinto,1
haciendo un,1
los adversarios,1
propias ideas,1
apasionante y,1
del resentimiento,1
oxigenar la,1
definime el,1
eso te,1
un tratamiento,1
difícil de,1
familia ser,1
como fue,1
le hizo,1
pero vivimos,1
hablar con,1
que hace,1
diferente todo,1
chicos es,1
de uno,1
pudo no,1
es inútil,1
tiene para,1
tiene algunas,1
de todas,1
al poder,1
rato pero,1
al volver,1
está en,1
relajaron y,1
podés darles,1
este cuando,1
a vivir,1
kirchner y,1
desierta y,1
de argentinos,1
por uno,1
para acá,1
menos a,1
con mauricio,1
que aporte,1
es qué,1
mundo esa,1
dudando les,1
autenticidad me,1
por otro,1
señor que,1
les da,1
también lo,1
unidos eso,1
gobierno muy,1
poco alto,1
bien nos,1
sí o,1
personas y,1
su partido,1
el proceso,1
adelante no,1
ir por,1
la rúa,1
tiene del,1
también modernizar,1
problemas son,1
el ataque,1
te describe,1
dejás en,1
la están,1
aprende de,1
trabajo pero,1
mayoría respalda,1
más durán,1
nota es,1
ponés tenso,1
adrián escandar,1
enteré que,1
una lógica,1
punto o,1
años y,1
pero retomando,1
les suma,1
yo trabajo,1
política en,1
no podés,1
vez alguien,1
un intelectual,1
de toda,1
termina enfermando,1
que comprometerse,1
vos sos,1
adversarios políticos,1
historia lo,1
lousteau lo,1
y joaquín,1
llama la,1
fueran grandes,1
de él,1
acá entonces,1
y confía,1
trabajo por,1
en muchas,1
más prestigiosos,1
isla desierta,1
involucrarlos porque,1
guardando para,1
estaba muy,1
juventud maravillosa,1
hijos van,1
se ha,1
ya cumplió,1
equipo sos,1
ella estaba,1
que ojalá,1
de pedro,1
macri vino,1
campaña o,1
diferenciaría la,1
esa enorme,1
ahí diferenciaría,1
ocurra tocarlo,1
obviamente crees,1
bueno son,1
presentan con,1
hoy son,1
lugar muy,1
históricas tienen,1
romper eso,1
tarea si,1
si vos,1
cerebro detrás,1
américa latina,1
habré estado,1
al resentimiento,1
lo conocés,1
lousteau mauricio,1
borda te,1
respuestas pero,1
a fallar,1
esperanza pero,1
eso fue,1
no podemos,1
dialogar cuándo,1
no quiere,1
romper esa,1
ese camino,1
ellos siempre,1
peña y,1
definió muy,1
veces agresiva,1
porque si,1
lado no,1
ricos sos,1
personales marcos,1
puede viajar,1
barba se,1
importante durán,1
fría donde,1
descalificación y,1
peronismo yo,1
juntos hace,1
no practican,1
seguir laburando,1
seamos de,1
decimos de,1
awada en,1
algo súper,1
la paloma,1
del 2005,1
habíamos hecho,1
estaba leyendo,1
el imperio,1
cristina apuesta,1
persona enormemente,1
gran padre,1
rica pero,1
menos me,1
bielsa en,1
mundo generando,1
dato político,1
pienso en,1
de mí,1
tenemos mucho,1
macri es,1
mucho bien,1
les pregunto,1
ganaron al,1
la messi,1
pj es,1
es verte,1
siga gritando,1
importante es,1
mantiene con,1
ejemplo re,1
eso le,1
semana quedó,1
terminó con,1
pasó todavía,1
paso para,1
que salen,1
el culpable,1
muchos políticos,1
quiere otra,1
días pone,1
fueron los,1
mi suegra,1
no si,1
líder del,1
esa capacidad,1
importante hoy,1
confía en,1
él es,1
hablan del,1
y escritora,1
hace salir,1
mayor cambio,1
cada uno,1
hermanos mis,1
mauricio vino,1
indecisos a,1
quintana y,1
mira las,1
fueron de,1
15 de,1
lados y,1
hablando con,1
de jefe,1
la tarea,1
aparte no,1
muy triste,1
la idea,1
futuro para,1
confiable pero,1
función pública,1
porque lo,1
personas que,1
a día,1
nosotros si,1
qué rescatas,1
me hablás,1
consignas lo,1
puedo decirte,1
lopetegui por,1
rencores porque,1
perder que,1
mata por,1
quieren meterse,1
hipotecario y,1
tipo auténtico,1
y sigue,1
me llama,1
es verdad,1
stulberg vos,1
donde cuenta,1
hacemos marketing,1
pérdida de,1
prestigiosos del,1
frescas y,1
invade a,1
feliz creo,1
trabajar me,1
para los,1
uruguay cómo,1
ese lugar,1
grandes potencias,1
porque son,1
cuando repiten,1
así que,1
embajadas más,1
atrás de,1
demuestran que,1
las batallas,1
justifica en,1
talentosa pero,1
años si,1
mundo hoy,1
moreno ni,1
vez peor,1
para más,1
populista de,1
rogelio y,1
a toda,1
vos qué,1
comprometan pero,1
apostaron muy,1
gritando patria,1
le sale,1
infertilidad y,1
quita un,1
y futuro,1
revés pensaba,1
cambio ojalá,1
es viste,1
la función,1
que como,1
está para,1
demostrar todos,1
unido cosa,1
caos lo,1
muy culta,1
cloacas ahora,1
calle y,1
somos un,1
padre también,1
trajo cambiemos,1
una esperanza,1
el campeonato,1
periodista y,1
una revista,1
rescatado hubieras,1
reconoce en,1
una visión,1
9 y,1
pero esto,1
la de,1
hace 12,1
cambio que,1
noticias en,1
se arregló,1
mundo entero,1
los pibes,1
ganar elecciones,1
sus virtudes,1
nueva forma,1
mundo para,1
a ir,1
bueno finalmente,1
si todos,1
padres y,1
un campeón,1
nos venga,1
historia nosotros,1
primera respuesta,1
tan obvia,1
gran calidad,1
antebrazo derecho,1
adelante pero,1
noche en,1
ahora cristina,1
el problema,1
ganas de,1
pero critican,1
los titulares,1
rúa ese,1
barba por,1
de baño,1
acompañándolos hablabas,1
que las,1
amigo no,1
la demostración,1
es poco,1
arregló no,1
la panadería,1
eso el,1
parece un,1
ganas del,1
son amigos,1
la confianza,1
oportunista y,1
julio faltan,1
se hayan,1
para ellos,1
lucas que,1
perdiendo por,1
olviden de,1
es bastante,1
provincia se,1
nuestro hijo,1
no era,1
washington el,1
esperanza que,1
estar clara,1
viene por,1
peronismo florencio,1
del primer,1
liderazgo muy,1
se vaya,1
experiencia de,1
gabinete eso,1
un candidato,1
argentina muchas,1
notó sí,1
muy útil,1
como gobierno,1
eso que,1
fue una,1
en uno,1
de casualidad,1
no aspiro,1
veo que,1
manera y,1
hace 26,1
hijo mayor,1
digo esto,1
se notó,1
somos una,1
espinoza si,1
que también,1
señor de,1
sé claro,1
podés meterte,1
marcha peronista,1
lo cual,1
si uno,1
nostalgia del,1
identidad no,1
darles las,1
ó 50,1
hay para,1
tattoo zen,1
espectacular me,1
tímido más,1
ahí durán,1
político para,1
te imaginas,1
uno mismo,1
eso siempre,1
vos por,1
lo salvás,1
eso invade,1
comunicación en,1
veo trabajar,1
o tribunero,1
de acá,1
2005 ganaron,1
generación que,1
encuestas también,1
en estos,1
helicóptero que,1
lo tendría,1
gente formaron,1
ver la,1
lugares se,1
abajo vamos,1
de esas,1
ya repartió,1
aire y,1
transformador definime,1
avión y,1
vacaciones familiares,1
hace pocos,1
a mediados,1
el cuervo,1
también le,1
cuando esconden,1
mauricio creo,1
mucho de,1
culpable en,1
rico mauricio,1
ahora llega,1
que sos,1
trabajo lo,1
te ocurra,1
a futuro,1
afirma marcos,1
sin fuerzas,1
primero que,1
larroque qué,1
mayor aporte,1
duro ya,1
baño muy,1
van superponiendo,1
lloraba y,1
la líder,1
vos se,1
se fueron,1
como el,1
traje de,1
el yerno,1
extrema confianza,1
presidente la,1
mis hermanos,1
buen trabajo,1
político no,1
porque hay,1
políticos de,1
pierde se,1
kirchner ojalá,1
la cabeza,1
pierden en,1
necesita tener,1
fuerte a,1
sacrificio personal,1
y más,1
patria sí,1
en cristina,1
sea definís,1
al presidente,1
arranca la,1
también está,1
está feliz,1
que estás,1
años trabajando,1
increíble viene,1
nos pusieron,1
coartan su,1
el vínculo,1
lo termina,1
hacer tienen,1
que ser,1
todo cuando,1
les quita,1
buscar quién,1
piensa y,1
más raro,1
incluís a,1
autoritarismo querés,1
son padres,1
saber quién,1
y hay,1
invitó a,1
en américa,1
peña mata,1
trabajo para,1
vinieron estos,1
lo recomendaron,1
misma generación,1
y esta,1
describe de,1
daría la,1
derecho está,1
trató de,1
se levanta,1
corría el,1
hace lo,1
parece no,1
uno no,1
ego y,1
pero tiene,1
atrasar 40,1
toalla no,1
de pensar,1
distinto al,1
familia la,1
tenés a,1
vocación es,1
la tentación,1
un gobierno,1
le acariciabas,1
del ego,1
ganaron es,1
conectar el,1
que dé,1
entenderían bien,1
quedaron y,1
gran sacrificio,1
la decisión,1
consignas de,1
yo no,1
grupo cerrado,1
también joven,1
hacemos la,1
eso digo,1
o construir,1
jugar con,1
definición creo,1
criticó a,1
cosa que,1
un café,1
que esos,1
persona talentosa,1
invita a,1
cuánta gente,1
viendo es,1
tiene todo,1
ventaja un,1
pasando en,1
de marzo,1
una gente,1
muerto hay,1
mayor porque,1
obvia para,1
identidad pero,1
cristina pierde,1
fue pobre,1
un señor,1
nos quedó,1
luciana para,1
cambiar de,1
26 años,1
face time,1
no venga,1
pensando sos,1
el marido,1
siempre han,1
cristina perdiendo,1
tengo mucho,1
a jugar,1
esté tan,1
se está,1
y esa,1
al resto,1
y muchas,1
sobrina súper,1
a estados,1
de margarita,1
y desafiante,1
para darle,1
como forzado,1
margarita stolbizer,1
murió el,1
consignas en,1
a moreno,1
quiere más,1
pregunto cuánta,1
las elecciones,1
la agenda,1
armar una,1
apoya y,1
por asia,1
nos unen,1
como estamos,1
impregnado de,1
en las,1
cambiemos pensaba,1
pongo tenso,1
hemos construido,1
son nuestros,1
nunca trató,1
amigo trabajamos,1
oscuro impide,1
a hacer,1
en mi,1
politólogo cómo,1
eso votar,1
su explicación,1
83 y,1
recién me,1
una barba,1
viaje como,1
vos que,1
esta expresión,1
mismo y,1
amigos de,1
menem cantando,1
porque ellos,1
hay macri,1
aparato y,1
sus vacaciones,1
empezó a,1
él podría,1
momento él,1
la esperanza,1
muy orgullosos,1
a comer,1
la jefatura,1
pone tenso,1
hace bullying,1
bueno está,1
a suiza,1
como pequeñas,1
horacio largo,1
equipo por,1
manejo sano,1
claro decilo,1
perfecto el,1
poco anticuada,1
cuánto duran,1
esa visión,1
líder un,1
firmar certificados,1
de quién,1
dujovne son,1
no está,1
aires ve,1
la izquierda,1
cuando ella,1
cruz nunca,1
que llegó,1
preso un,1
sobra humildemente,1
cambiemos no,1
randazzo nosotros,1
ustedes tienen,1
entendieron eso,1
familia quiero,1
viva mejor,1
nada lopetegui,1
confianza pero,1
recuerde a,1
agresiva y,1
creer vos,1
país espectacular,1
sí me,1
haciendo es,1
como politólogo,1
amasa un,1
ríe mucho,1
iban a,1
hoy mauricio,1
familia el,1
con él,1
cada provincia,1
estrategias siempre,1
por lejos,1
pero de,1
con ganas,1
ataque la,1
es adrián,1
peña no,1
superiores yo,1
segundo cada,1
estás en,1
cara dar,1
no hablo,1
no todas,1
respetuoso y,1
nueve llegó,1
cerrado e,1
romper con,1
2017 con,1
da para,1
lousteau o,1
cosa no,1
gabinete marcos,1
en traje,1
clima tan,1
pensaba cuáles,1
ir al,1
un problema,1
lo conozco,1
quedaste pensando,1
confianza en,1
se necesita,1
una suegra,1
lilita el,1
van los,1
para respaldar,1
cambiemos está,1
pesarle camina,1
importantes del,1
el arranque,1
para mi,1
mucho diálogo,1
una lista,1
que compitió,1
eso pasa,1
pares o,1
sus espaldas,1
él y,1
partido político,1
da pena,1
puede dar,1
hijos que,1
que uno,1
ustedes me,1
en que,1
permanentemente su,1
lograr llega,1
habíamos tomado,1
el vicepresidente,1
puede conectar,1
que parecía,1
y fluvio,1
peña está,1
todos eso,1
vidal michetti,1
no pesarle,1
y mauricio,1
muchos que,1
confiable y,1
nuestros rivales,1
que hizo,1
a que,1
pero marquitos,1
no y,1
vicepresidente scioli,1
día escuché,1
día de,1
tiempo se,1
sí y,1
de lucas,1
elección lilita,1
o ganando,1
que demuestran,1
ver vos,1
susana malcorra,1
así se,1
conoce demasiado,1
y trato,1
tan dividido,1
cierra que,1
si no,1
poder pero,1
santa cruz,1
maravillosa y,1
muy afectiva,1
significa armonía,1
mauricio un,1
xxi por,1
común al,1
nosotros estaremos,1
distintas y,1
que opinan,1
autoritario muy,1
nosotros pudimos,1
cable a,1
lado el,1
florencio massa,1
todo eso,1
y bueno,1
massa en,1
le faltaba,1
del 20o1,1
prefirió volver,1
que agradecer,1
muy ligada,1
argentinos decir,1
dudar de,1
lo malo,1
trabajar a,1
ser padre,1
aparato nicolás,1
pregunta saber,1
desafiante cuando,1
campeonato del,1
pj va,1
embarazada no,1
perdiendo patrimonio,1
lo hubieras,1
le ha,1
me dirías,1
en carlos,1
y hablan,1
2003 en,1
sometido a,1
meterse y,1
uno puede,1
también el,1
está bien,1
rencor de,1
muy concentrador,1
de empoderar,1
xxi para,1
le tenés,1
muy fuerte,1
grande del,1
y dicen,1
todavía tenemos,1
otra manera,1
cosas le,1
83 para,1
sabe ellos,1
un futuro,1
deseo más,1
me decías,1
pensando en,1
confían en,1
candidatos digan,1
su mayor,1
con tu,1
una costumbre,1
organizarse para,1
tierra sobre,1
que cuando,1
pero muchos,1
nueva generación,1
a horacio,1
davos fue,1
una explicación,1
nombres no,1
que seamos,1
gente común,1
fue la,1
elecciones que,1
decisiones personales,1
churro haciendo,1
han estado,1
pueblos originarios,1
un optimismo,1
decís de,1
porque ni,1
amigos él,1
el hombre,1
e incluso,1
un face,1
me pongo,1
está martín,1
político más,1
elecciones y,1
interna habíamos,1
representa si,1
generando conocimiento,1
candidato jaime,1
stolbizer en,1
regala algo,1
explicación más,1
con suplentes,1
respalda el,1
no obviamente,1
optimismo un,1
rodeado de,1
me enteré,1
te juro,1
tirar la,1
porque los,1
siempre es,1
son qué,1
grandes estadistas,1
no de,1
historia dirá,1
generación les,1
personas las,1
promueve que,1
te ponés,1
decisión y,1
si súper,1
anticuada una,1
estaba pensando,1
de martín,1
pleno siglo,1
tienen el,1
un tribunero,1
tenés una,1
ellos tienen,1
a todos,1
importante cristina,1
deportes juntos,1
el dato,1
decir si,1
ese manejo,1
cosas bastante,1
su pelo,1
ninguneando a,1
seis causas,1
ir a,1
las banderas,1
reivindicativa muy,1
nuestros principales,1
sos un,1
discurso a,1
vos marcos,1
donde en,1
que susurra,1
mauricio mi,1
cuidarlos justifica,1
en esa,1
argentinos diciendo,1
estas elecciones,1
no mezclo,1
listas de,1
discusión dentro,1
levanta todos,1
más tirar,1
que ganar,1
digo que,1
tratamiento lucas,1
cosa típica,1
argentina tuviera,1
año 2017,1
libertad a,1
más escucha,1
empezado ese,1
de adentro,1
estás con,1
de estos,1
jaime la,1
agenda de,1
hoy ocupa,1
auténtico porque,1
tenso cuando,1
y los,1
de rencor,1
qué vas,1
50 años,1
del 2003,1
ciudad el,1
la pregunta,1
también muy,1
veces uno,1
estado todo,1
proceso de,1
este año,1
costumbre que,1
es al,1
una idea,1
convirtiendo en,1
más o,1
una manera,1
van guardando,1
que quedará,1
autoestima que,1
vallejos el,1
agradecer a,1
futuro no,1
libertad y,1
una expresión,1
salón de,1
todos para,1
me gusta,1
qué construimos,1
frente renovador,1
agresivo tan,1
necesitamos un,1
barba no,1
lo recomienda,1
y bielsa,1
ni siquiera,1
agarrado a,1
la primera,1
ayudarlo define,1
natural menem,1
2017 para,1
afectiva pero,1
sin corbata,1
le puede,1
ambición de,1
mismo aunque,1
protagonistas de,1
cristina moreno,1
humildemente no,1
ser respetuoso,1
y conocida,1
súper valioso,1
asia corría,1
lo dejás,1
pedro fernanda,1
elecciones excepto,1
mal qué,1
te quedaste,1
la discusión,1
tengo un,1
bronca eso,1
estado muy,1
pasó y,1
verdad o,1
hay mucho,1
cierta crisis,1
vaya a,1
me encanta,1
metido que,1
reaccionaria esa,1
margarita pero,1
dar nombres,1
a randazzo,1
saúl menem,1
y siempre,1
transformador así,1
venga no,1
su antebrazo,1
de agravios,1
que esta,1
intelectual en,1
cristina se,1
kirchner gane,1
símbolo significa,1
que nosotros,1
nuestra identidad,1
por vos,1
lo definís,1
identidad la,1
para bloquear,1
mismo que,1
protagonismo sí,1
relación de,1
decía escuchen,1
cuando el,1
pieza clave,1
apoyo ahora,1
eso promueve,1
clara y,1
hoy como,1
ve el,1
o lo,1
bueno viene,1
de alguien,1
gobierno la,1
lo respaldan,1
su momento,1
de jaime,1
futuro tenga,1
tentación de,1
repiten consignas,1
algunos son,1
con comodidad,1
pero distinto,1
el alma,1
estar muy,1
la gran,1
hayan metido,1
eso sergio,1
cuando le,1
mantero son,1
fuerzas la,1
importante en,1
por darles,1
viajar en,1
elegante saco,1
traer ideas,1
porque termina,1
adelante y,1
nuestros candidatos,1
una argentina,1
habla de,1
crisis que,1
flaco y,1
