word,frequency
manejo,1
habla,1
rescatas,1
reflexión,1
interna,1
extrema,1
hipotecario,1
escuché,1
viaje,1
afirma,1
corría,1
contradicción,1
juro,1
autoestima,1
hijo,1
asfalto,1
resto,1
viajar,1
suiza,1
clima,1
quedaron,1
expresan,1
respetuoso,1
quedaste,1
reaccionaria,1
pasión,1
energía,1
semana,1
dejar,1
peinado,1
trabaja,1
juegan,1
extrañás,1
diálogo,1
metodológicamente,1
revivir,1
funciona,1
modernizar,1
ocultarlo,1
saber,1
pudo,1
entendieron,1
talentosa,1
justifica,1
hablabas,1
decisiones,1
cuanto,1
perder,1
fragmentación,1
valioso,1
acumulo,1
valores,1
deseo,1
sostienen,1
cae,1
sabe,1
desierta,1
uruguay,1
subestimar,1
suplentes,1
regala,1
ambos,1
carnets,1
entendernos,1
recién,1
mezclo,1
pompeo,1
aranguren,1
colonia,1
autoritario,1
amistad,1
viendo,1
malcorra,1
pleno,1
provincias,1
impulsó,1
cómodo,1
horacio,1
rodeado,1
íbamos,1
iban,1
dato,1
calidad,1
mediados,1
hombre,1
incluís,1
comparto,1
vivía,1
útil,1
saúl,1
rúa,1
demostración,1
comprometerse,1
culta,1
primera,1
ego,1
vaya,1
ovodonación,1
llevarlo,1
leyendo,1
nacimos,1
fallar,1
repiten,1
llama,1
atención,1
zen,1
cerrado,1
trabajan,1
clave,1
hacia,1
diputación,1
lados,1
creatividad,1
digan,1
20,1
entró,1
nostalgia,1
espinoza,1
2019,1
conoce,1
pena,1
ninguneando,1
2016,1
originarios,1
listas,1
colocar,1
susana,1
metido,1
camina,1
marzo,1
rencores,1
opción,1
arregló,1
imperio,1
dirá,1
fuerte,1
trabajamos,1
aspiracional,1
pasillos,1
dividido,1
forzado,1
descalificación,1
recorrés,1
carlos,1
armado,1
buena,1
cuándo,1
dudar,1
apoya,1
larreta,1
meterte,1
larroque,1
scioli,1
bloquear,1
significa,1
cloacas,1
defectos,1
arranca,1
generosa,1
mata,1
decís,1
antebrazo,1
despectivamente,1
rencor,1
campeón,1
quita,1
veníamos,1
dudando,1
siendo,1
importantes,1
obra,1
pares,1
pasaron,1
adaptando,1
sacando,1
gusta,1
escuchen,1
compitió,1
segundo,1
pierde,1
aspiro,1
excepto,1
confían,1
podemos,1
promueve,1
ocupa,1
formaron,1
única,1
saco,1
potencias,1
vallejos,1
sienten,1
calmabas,1
elegante,1
joven,1
orgullosos,1
aire,1
notó,1
anticuada,1
alfombra,1
panadería,1
comunicación,1
ambición,1
adentro,1
peso,1
desafiante,1
laburando,1
lugares,1
cerebro,1
escandar,1
persecución,1
ambiente,1
manejamos,1
impregnado,1
agarrado,1
encanta,1
cambió,1
lograr,1
periodista,1
podamos,1
marquitos,1
reconocen,1
batallas,1
faltaba,1
dijimos,1
dejás,1
sello,1
invita,1
definición,1
lloraba,1
quiso,1
aparte,1
amasa,1
cuidadosamente,1
construido,1
stolbizer,1
profeta,1
gustavo,1
ricos,1
trabajando,1
acompañándolos,1
nota,1
latina,1
empezó,1
estadistas,1
cuáles,1
agenda,1
demuestran,1
familiares,1
pibes,1
máquina,1
mochilero,1
mario,1
explicar,1
pesarle,1
afuera,1
seguir,1
protagonistas,1
casualidad,1
tardamos,1
mantiene,1
obvia,1
sale,1
gritando,1
face,1
cama,1
50,1
equipos,1
vivimos,1
costumbre,1
cuarenta,1
objetivos,1
campeonato,1
flaco,1
20o1,1
dice,1
lista,1
ganando,1
permitió,1
mañana,1
rico,1
vicepresidente,1
unido,1
frescas,1
indecisos,1
libro,1
rica,1
embargo,1
apasionante,1
prueba,1
fluvio,1
verte,1
meterse,1
necesitamos,1
cuervo,1
certificados,1
superiores,1
través,1
bielsa,1
awada,1
oscuro,1
ó,1
silencio,1
guerra,1
daría,1
culpable,1
stanley,1
vacaciones,1
pérdida,1
ecuatoriano,1
enemigos,1
kirchnerismo,1
reconoce,1
cariño,1
corrupción,1
frente,1
dé,1
26,1
querés,1
ligada,1
detrás,1
pudimos,1
paloma,1
deportes,1
cree,1
humildemente,1
ocurra,1
definime,1
chiquito,1
común,1
comer,1
pre,1
jugando,1
capas,1
imaginas,1
apuesta,1
retomando,1
quiénes,1
guardando,1
salvás,1
decilo,1
levanta,1
recomienda,1
inútil,1
cualquiera,1
aprende,1
cabeza,1
impide,1
confía,1
conocida,1
involucrarlos,1
agresiva,1
profundos,1
feliz,1
agresivo,1
agregado,1
discusión,1
