Date	Title	Source	url
Mon, 18 Feb 2019 22:16:22 GMT	Tras la derrota del PRO en La Pampa, el macrismo bajó a su precandidato en Santa Fe y el radical José Corral irá por la gobernación	infobae	https://www.infobae.com/politica/2019/02/18/tras-la-derrota-del-pro-en-la-pampa-el-gobierno-clausuro-la-interna-en-santa-fe-y-el-radical-jose-corral-sera-candidato-a-gobernador/
Mon, 18 Feb 2019 20:04:37 GMT	Mestre negoció con De Loredo y competirá en la interna para intendente con Luis Juez	Vía País	https://viapais.com.ar/cordoba/867637-mestre-negocia-con-de-loredo-y-competiria-en-la-interna-para-intendente-con-luis-juez/
Mon, 18 Feb 2019 17:02:00 GMT	Para Dall’Aglio, Mestre está fortalecido para la interna	Cadena 3	https://www.cadena3.com/noticias/sintesis-noticias/para-dallaglio-mestre-esta-fortalecido-para-interna_133959
Mon, 18 Feb 2019 13:56:45 GMT	La primera derrota del PRO en La Pampa: la UCR toma fuerza en las PASO	BigBangNews	https://www.bigbangnews.com/politica/La-primera-derrota-del-PRO-en-La-Pampa-la-UCR-toma-fuerza-en-las-PASO-20190218-0004.html
Mon, 18 Feb 2019 02:00:00 GMT	Córdoba: se define si Mestre desafía a Negri en internas	Noticias de	https://www.noticiasde.com.ar/politica/cordoba-se-define-si-mestre-desafia-a-negri-en-internas-11107
Mon, 18 Feb 2019 00:01:00 GMT	Alto voltaje: Mestre ratifica que irá a internas contra Negri	ámbito.com	https://m.ambito.com/alto-voltaje-mestre-ratifica-que-ira-internas-contra-negri-n5016539
Sun, 17 Feb 2019 22:31:00 GMT	El bellvillense Briner será compañero de fórmula de Mestre	Cadena 3	https://www.cadena3.com/noticias/politica-economia/bellvillense-briner-sera-companero-formula-mestre_133900
Sun, 17 Feb 2019 20:11:00 GMT	Más de 30 heridos al derrumbarse una tribuna en un corsódromo en Córdoba	Crónica	https://www.cronica.com.ar/info-general/Mas-de-30-heridos-al-derrumbarse-una-tribuna-en-un-corsodromo-en-Cordoba-20190217-0032.html
Sun, 17 Feb 2019 18:13:03 GMT	Mestre anunció que Briner lo acompañará como vice en la interna de Cambiemos	Vía País	https://viapais.com.ar/cordoba/865685-mestre-anuncio-que-briner-lo-acompanara-como-vice-en-la-interna-de-cambiemos/
Sun, 17 Feb 2019 17:47:00 GMT	Carnaval en Córdoba: al menos 34 heridos tras desplomarse una tribuna	ROSARIO PLUS	https://www.rosarioplus.com/ensacoycorbata/Carnaval-en-Cordoba-al-menos-34-heridos-tras-desplomarse-una-tribuna-20190217-0005.html
Sun, 17 Feb 2019 14:08:35 GMT	Cambiemos eligió a Negri como candidato, pero Mestre no se baja	El Doce	http://eldoce.tv/politica/cambiemos-mario-negri-candidato-gobernador-cordoba-ramon-mestre-intendente-interna-luis-juez-baldassi_80160
Sun, 17 Feb 2019 08:30:00 GMT	Se profundizan las tensiones en la UCR respecto de la estrategia electoral y la alianza con el PRO	Grupo La Provincia	https://www.grupolaprovincia.com/politica/se-profundizan-las-tensiones-en-la-ucr-respecto-de-la-estrategia-electoral-y-la-alianza-con-el-pro-230300
Fri, 15 Feb 2019 19:00:00 GMT	Mestre sobre la inseguridad en Córdoba	Crónica	https://www.cronica.com.ar/politica/Mestre-sobre-la-inseguridad-en-Cordoba--20190215-0039.html
Fri, 15 Feb 2019 09:16:39 GMT	Mestre justificó su viaje a Brasil para ver a Talleres	Vía País	https://viapais.com.ar/cordoba/862430-mestre-justifico-su-viaje-a-brasil-para-ver-a-talleres/
Sun, 10 Feb 2019 12:01:03 GMT	El político cordobés que buscará su tercer cargo en cuatro años	infobae	https://www.infobae.com/circulo-rojo/2019/02/10/el-politico-cordobes-que-buscara-su-tercer-cargo-en-cuatro-anos/
Fri, 08 Feb 2019 22:46:00 GMT	Dieron de alta a Schiaretti tras la angioplastia	Cadena 3	https://www.cadena3.com/noticias/informados-regreso/dieron-alta-schiaretti-tras-angioplastia_133337
Fri, 08 Feb 2019 06:00:00 GMT	Con Misiones suman doce las provincias que desdoblarán sus elecciones para cargos locales	Grupo La Provincia	https://www.grupolaprovincia.com//politica/con-misiones-suman-doce-las-provincias-que-desdoblaran-sus-elecciones-para-cargos-locales-225298
Fri, 08 Feb 2019 00:01:00 GMT	Sellan alianza y marchan a interna	ámbito.com	https://www.ambito.com/sellan-alianza-y-marchan-interna-n5014950
Tue, 05 Feb 2019 14:41:42 GMT	Mario Negri y Héctor Baldassi cerraron acuerdo y competirán en la interna de Cambiemos en Córdoba	infobae	https://www.infobae.com/politica/2019/02/05/mario-negri-y-hector-baldassi-cerraron-acuerdo-e-iran-a-las-paso-de-cambiemos-en-cordoba/
Sun, 03 Feb 2019 20:08:00 GMT	Interna en Cambiemos: Negri y Baldassi competirán contra Mestre en Córdoba	ámbito.com	https://www.ambito.com/interna-cambiemos-negri-y-baldassi-competiran-contra-mestre-cordoba-n5013987
Fri, 01 Feb 2019 19:30:33 GMT	Con reclamos al Gobierno y llamados a “trabajar juntos”, Schiaretti inauguró el período legislativo en Córdoba	infobae	https://www.infobae.com/politica/2019/02/01/con-reclamos-al-gobierno-y-llamados-a-trabajar-juntos-schiaretti-inauguro-el-periodo-legislativo-en-cordoba/
Fri, 01 Feb 2019 06:30:00 GMT	Schiaretti inauguró las sesiones ordinarias y llamó a cerrar la grieta trabajando todos juntos más allá de las diferencias	Grupo La Provincia	https://www.grupolaprovincia.com//politica/schiaretti-inauguro-las-sesiones-ordinarias-y-llamo-a-cerrar-la-grieta-trabajando-todos-juntos-mas-alla-de-las-diferencias-221039
Fri, 01 Feb 2019 01:00:00 GMT	Schiaretti: A esta Argentina la sacamos trabajando todos juntos.	Noticias de	https://www.noticiasde.com.ar/politica/schiaretti-a-esta-argentina-la-sacamos-trabajando-todos-juntos-5458
Thu, 31 Jan 2019 13:43:00 GMT	Lábaque y Bee Sellares confirman su precandidatura	Cadena 3	https://www.cadena3.com/noticias/juntos/labaque-bee-sellares-confirman-precandidatura_132725
Mon, 28 Jan 2019 12:07:00 GMT	Elecciones 2019 | Córdoba: estalló la interna en Cambiemos y la Casa Rosada abandona a sus candidatos	El Destape	https://www.eldestapeweb.com/elecciones-2019-cordoba-estallo-la-interna-cambiemos-y-la-casa-rosada-abandona-sus-candidatos-n55271
Mon, 28 Jan 2019 00:01:00 GMT	"Si no hay alguien que ceda, no queda otra que la interna del 17-M"	ámbito.com	https://www.ambito.com/si-no-hay-alguien-que-ceda-no-queda-otra-que-la-interna-del-17-m-n5012864
Sun, 27 Jan 2019 11:23:57 GMT	Mestre volvió a criticar la gestión de Schiaretti y apuntó contra Epec y la policía	Vía País	https://viapais.com.ar/cordoba/827857-mestre-volvio-a-criticar-la-gestion-de-schiaretti-y-apunto-contra-epec-y-la-policia/
Sun, 27 Jan 2019 03:49:48 GMT	Elecciones 2019: la batalla virtual de Cambiemos en Córdoba	infobae	https://www.infobae.com/circulo-rojo/2019/01/27/elecciones-2019-la-batalla-virtual-de-cambiemos-en-cordoba/
Thu, 24 Jan 2019 01:33:50 GMT	Cambiemos no quiere testimoniales y se cae una especulación K sobre Vidal	Diario El Dia de La Plata	https://www.eldia.com/nota/2019-1-23-2-32-9-cambiemos-no-quiere-testimoniales-y-se-cae-una-especulacion-k-sobre-vidal-politica-y-economia
Tue, 22 Jan 2019 14:26:09 GMT	Cambiemos prohíbe que sus candidatos a gobernadores en elecciones desdobladas se postulen a un cargo nacional	infobae	https://www.infobae.com/politica/2019/01/22/cambiemos-prohibe-que-sus-candidatos-a-gobernadores-en-elecciones-desdobladas-se-postulen-a-un-cargo-nacional/
Tue, 22 Jan 2019 00:01:00 GMT	Contra reloj, Cornejo media en duelo cordobés de Cambiemos	ámbito.com	https://www.ambito.com/c5011767
Sun, 20 Jan 2019 07:36:45 GMT	Luis Juez: “Si Cambiemos se maneja sin caprichos tiene chances de ganar” en Córdoba	Vía País	https://viapais.com.ar/cordoba/815289-luis-juez-si-cambiemos-se-maneja-sin-caprichos-tiene-chances-de-ganar-en-cordoba/
Thu, 17 Jan 2019 09:00:57 GMT	Los políticos que se tentaron con el "10 years challenge"	infobae	https://www.infobae.com/circulo-rojo/2019/01/17/los-politicos-que-se-tentaron-con-el-10-years-challenge/
Sat, 12 Jan 2019 10:10:00 GMT	Negri, Baldassi y Juez consolidaron su alianza en Córdoba	Cadena 3	https://www.cadena3.com/noticias/politica-economia/negri-baldassi-juez-consolidaron-alianza-cordoba_131476
Sat, 12 Jan 2019 09:46:07 GMT	Mestre, Rodríguez Machado y Frizza juntos en Jesús María	Vía País	https://viapais.com.ar/cordoba/801966-mestre-rodriguez-machado-y-frizza-juntos-en-jesus-maria/
Thu, 10 Jan 2019 00:02:00 GMT	Córdoba: Schiaretti candidato aprovecha ventaja de la diáspora en Cambiemos	ámbito.com	https://www.ambito.com/c5009815
Wed, 09 Jan 2019 14:17:59 GMT	Luis Juez quiere ser intendente de Córdoba: "Seré precandidato"	El Doce	https://eldoce.tv/politica/luis-juez-quiere-ser-intendente-de-cordoba-sere-precandidato-cambiemos-elecciones-interna_78288
Tue, 08 Jan 2019 19:27:00 GMT	El PRO se demora en definir candidatos en Córdoba y tiembla Cambiemos en esa provincia	A24.com	https://www.a24.com/politica/pro-demora-definir-candidatos-cordoba-tiembla-cambiemos-provincia-01072019_SJKH9r-MN
Thu, 03 Jan 2019 14:14:46 GMT	Mestre volvió a jubilar a Rubén Daniele por decreto	Vía País	https://viapais.com.ar/cordoba/788078-mestre-volvio-a-jubilar-a-ruben-daniele-por-decreto/
Mon, 31 Dec 2018 08:35:21 GMT	Ferraro, presidente de la Coalición Cívica: “Negri sería un muy buen candidato para Córdoba”	Vía País	https://viapais.com.ar/cordoba/783625-ferraro-presidente-de-la-coalicion-civica-negri-seria-un-muy-buen-candidato-para-cordoba/
Sun, 30 Dec 2018 13:24:11 GMT	Mestre avisa que habrá una interna en Córdoba si no hay acuerdo dentro de Cambiemos	Vía País	https://viapais.com.ar/cordoba/782968-mestre-avisa-que-habra-una-interna-en-cordoba-si-no-hay-acuerdo-dentro-de-cambiemos/
Thu, 27 Dec 2018 23:03:00 GMT	Mestre insistió en que aspiran a un candidato "del consenso"	Cadena 3	https://www.cadena3.com/noticias/informados-regreso/mestre-insistio-que-aspiran-candidato-del-consenso_130502
Thu, 27 Dec 2018 20:28:18 GMT	Los cordobeses elegirán intendente y gobernador el mismo día	El Doce	https://eldoce.tv/politica/los-cordobeses-elegiran-intendente-y-gobernador-el-mismo-dia-12-mayo-elecciones-municipales-provinciales-schiaretti-mestre_77766
Sun, 23 Dec 2018 10:26:12 GMT	El Radicalismo cordobés ratificó su continuidad en el espacio de Cambiemos	Vía País	https://viapais.com.ar/cordoba/773692-el-radicalismo-cordobes-ratifico-su-continuidad-en-el-espacio-de-cambiemos/
Tue, 18 Dec 2018 18:36:02 GMT	Ramón Mestre lanzó su precandidatura a gobernador de Córdoba	Vía País	https://viapais.com.ar/cordoba/766493-ramon-mestre-lanzo-su-precandidatura-a-gobernador-de-cordoba/
