screen_name	date	fav	retweet	text	url	hashtags	mencionado	hashtag
NardaLepes	Sat Apr 13 15:15:55 +0000 2019	494	105	Listo, no duermo mas. https://t.co/yj7I1pDiYS	https://twitter.com/NardaLepes/status/1117084001615872000	[]		
NardaLepes	Fri Apr 12 17:44:24 +0000 2019	1141	79	Un recordatorio a los que elaboran  lacteos... se copan con hacer un cottage. Hago campaña en redes gratis. #cottage	https://twitter.com/NardaLepes/status/1116758984239865856	[{'text': 'cottage', 'indices': [108, 116]}]		#cottage
NardaLepes	Wed Apr 10 11:28:51 +0000 2019	470	6	@cnnradioarg @majulluis Dije que hay paises , donde el 80%  de la poblacion es vegetariana ( India por ejemplo)	https://twitter.com/NardaLepes/status/1115939697224818688	[]	@cnnradioarg	
NardaLepes	Mon Apr 08 14:10:49 +0000 2019	393	7	Gracias a todos los que nos mandaron mensajes ayer, los que llamaron, y a los que nos escucharon. Musica, comer , beber, viajar y pasarla bien. Eso queremos compartir. Todos los domingos de 12 a 14. @Metro951 #mesacompartida951	https://twitter.com/NardaLepes/status/1115255683035881473	[{'text': 'mesacompartida951', 'indices': [209, 227]}]	@Metro951	#mesacompartida951
NardaLepes	Mon Apr 08 01:35:24 +0000 2019	3	0	@fjarach Remington Steele	https://twitter.com/NardaLepes/status/1115065572373532672	[]	@fjarach	
NardaLepes	Sun Apr 07 21:47:05 +0000 2019	66	2	Mis idolas de la niñez: Emma Peel, Kelly Garret, Diana Prince, Laura Halt.	https://twitter.com/NardaLepes/status/1115008115093790720	[]		
NardaLepes	Sun Apr 07 14:07:26 +0000 2019	261	7	"En una hora arrancamos con @nsalvarrey en @Metro951 
Mesa Compartida! (😬nerviosa pero 🥳feliz)"	https://twitter.com/NardaLepes/status/1114892440882880512	[]	@nsalvarrey	
NardaLepes	Sun Apr 07 14:05:16 +0000 2019	3	0	@ernestomartelli @brunch951 @Metro951 @sommelierdecafe @nsalvarrey Jajajjaa droopy	https://twitter.com/NardaLepes/status/1114891895535276032	[]	@ernestomartelli	
NardaLepes	Thu Apr 04 23:15:58 +0000 2019	8	0	@MercedesFunes @sgigantic @soyingridbeck @radioconvos899 No esta pensada asi la carta. Es mas hay mucha gente que va sola. Los “principales” son lo mas clasico del menu.	https://twitter.com/NardaLepes/status/1113943320554819584	[]	@MercedesFunes	
NardaLepes	Thu Apr 04 23:13:10 +0000 2019	3	0	@MercedesFunes @sgigantic @soyingridbeck @radioconvos899 Solo 4 platos de la carta son grandes el resto es todo chico o mediano. Con 2 o 3 platos chicos come uno perfecto y al mediodia es ideal para ir solo!	https://twitter.com/NardaLepes/status/1113942614607368193	[]	@MercedesFunes	
NardaLepes	Wed Apr 03 05:26:58 +0000 2019	9	0	@AxelKuschevatzk Mel Torme	https://twitter.com/NardaLepes/status/1113311911695745024	[]	@AxelKuschevatzk	
NardaLepes	Wed Apr 03 05:26:32 +0000 2019	35	0	@AxelKuschevatzk Un antes y un despues de esta peli	https://twitter.com/NardaLepes/status/1113311803080085504	[]	@AxelKuschevatzk	
NardaLepes	Sun Mar 31 22:47:22 +0000 2019	4	0	@marceGeo66 Un vinagre digno ante todo	https://twitter.com/NardaLepes/status/1112486573180944385	[]	@marceGeo66	
NardaLepes	Sun Mar 31 22:46:56 +0000 2019	4	0	@BelloniOM De acidez, no es nada amargo	https://twitter.com/NardaLepes/status/1112486464980504576	[]	@BelloniOM	
NardaLepes	Sun Mar 31 21:44:07 +0000 2019	29	1	@Donatodesantis Zapping entre plataformas	https://twitter.com/NardaLepes/status/1112470654329196546	[]	@Donatodesantis	
NardaLepes	Sun Mar 31 21:13:43 +0000 2019	245	10	los vinagres (aparte de utiles domesticamente) son impresindibles! Suman , equilibran, alegran , ideal tener distintas variedades y calidades.	https://twitter.com/NardaLepes/status/1112463005474791431	[]		
NardaLepes	Sun Mar 31 15:44:49 +0000 2019	24	0	@rsalvop Estas a cmts del bloqueo definitivo	https://twitter.com/NardaLepes/status/1112380233553006592	[]	@rsalvop	
NardaLepes	Sun Mar 31 13:25:07 +0000 2019	60	5	Cuando fue la ultima vez que se te acabo el vinagre?	https://twitter.com/NardaLepes/status/1112345078599696384	[]		
NardaLepes	Sat Mar 30 18:10:46 +0000 2019	986	16	Cuando no veo algunas pelis x q me dejo llevar x los q hablan al pedo. Ame Roma.	https://twitter.com/NardaLepes/status/1112054577304608768	[]		
NardaLepes	Thu Mar 28 16:04:02 +0000 2019	63	6	Charle con @garbulsky y lo pueden escuchar (y ver) aca: https://t.co/DrIsbhTX8J	https://twitter.com/NardaLepes/status/1111297907792269316	[]	@garbulsky	
NardaLepes	Wed Mar 27 20:34:51 +0000 2019	1	0	@donpowa Ya vienen!	https://twitter.com/NardaLepes/status/1111003673289781248	[]	@donpowa	
NardaLepes	Mon Mar 25 12:17:42 +0000 2019	1	0	@LopaLoca Gracias	https://twitter.com/NardaLepes/status/1110153782309068802	[]	@LopaLoca	
NardaLepes	Mon Mar 25 11:57:22 +0000 2019	13	0	@AxelKuschevatzk @HowardHawks5 Yo tengo un amigo goy	https://twitter.com/NardaLepes/status/1110148665342156800	[]	@AxelKuschevatzk	
NardaLepes	Sun Mar 24 17:44:49 +0000 2019	8	0	@MujerDemente Bobo de camarao	https://twitter.com/NardaLepes/status/1109873716358451201	[]	@MujerDemente	
NardaLepes	Sun Mar 24 15:33:42 +0000 2019	35	0	@Vanity_Sexx ❤️🧡💛💚💙💜	https://twitter.com/NardaLepes/status/1109840719659835393	[]	@Vanity_Sexx	
NardaLepes	Fri Mar 22 12:28:01 +0000 2019	0	0	@martinw3 @DeAcaEnMas951 Nodulos	https://twitter.com/NardaLepes/status/1109069217171673089	[]	@martinw3	
NardaLepes	Fri Mar 22 10:21:26 +0000 2019	160	20	Nivel miedo mil. https://t.co/m8o1PNwdF1	https://twitter.com/NardaLepes/status/1109037360145158144	[]		
NardaLepes	Thu Mar 21 22:09:54 +0000 2019	151	1	@MicaelaLibson Hold my beer.	https://twitter.com/NardaLepes/status/1108853266044080128	[]	@MicaelaLibson	
NardaLepes	Tue Mar 19 11:41:49 +0000 2019	1	0	@disalch @margarita Total	https://twitter.com/NardaLepes/status/1107970425785602048	[]	@disalch	
NardaLepes	Mon Mar 18 22:42:55 +0000 2019	12	2	@zoocrumbs @MobiDocOK No, fue asombro y agradecimiento posta! Todavia no puedo creer lo rapido y facil que fue.	https://twitter.com/NardaLepes/status/1107774412189847553	[]	@zoocrumbs	
NardaLepes	Mon Mar 18 19:13:27 +0000 2019	69	9	Listo ! Tengo pantalla nueva. Entre  a @MobiDocOK y fue todo simple e impecable servicio . Gracias!	https://twitter.com/NardaLepes/status/1107721694725226499	[]	@MobiDocOK	
NardaLepes	Mon Mar 18 12:17:42 +0000 2019	4	0	@martinp5_ @MicaelaLibson No no, tengo mucho listo o a medio terminar. Se resuelve en 20. (Zan rallada, tortilla hecha, mila congelada, arroz cocido, etc)	https://twitter.com/NardaLepes/status/1107617068285939712	[]	@martinp5_	
NardaLepes	Mon Mar 18 11:43:00 +0000 2019	54	5	Donde cambio la pantalla estallada de un 6S?	https://twitter.com/NardaLepes/status/1107608336793505792	[]		
NardaLepes	Mon Mar 18 11:41:04 +0000 2019	4	0	@MicaelaLibson @martinp5_ Antes de las 21 es ideal	https://twitter.com/NardaLepes/status/1107607851076337667	[]	@MicaelaLibson	
NardaLepes	Sun Mar 17 17:58:27 +0000 2019	14	0	@ebrenman Higo	https://twitter.com/NardaLepes/status/1107340434307719169	[]	@ebrenman	
NardaLepes	Sun Mar 17 11:31:39 +0000 2019	18	0	@charolopez Las de nike me van, lo que hacen en gral.	https://twitter.com/NardaLepes/status/1107243092816605184	[]	@charolopez	
NardaLepes	Wed Mar 13 22:25:44 +0000 2019	36	0	@charolopez Jajajjaja primer posteo que leo, despues de 20 min trabada en insta...	https://twitter.com/NardaLepes/status/1105958145447350280	[]	@charolopez	
NardaLepes	Tue Mar 12 13:18:17 +0000 2019	18	1	@gaston_acurio Quiero uno al menos 2 veces x semana. Como lo ves? @gaston_acurio	https://twitter.com/NardaLepes/status/1105457988465250304	[]	@gaston_acurio	
