id	monto_contrato	area_responsable
382	14446296	Ministerio De Desarrollo Humano Y Hábitat
1114	14118038	Ministerio De Ambiente Y Espacio Público
386	13933231	Subsecretaría De Gestión Comunal
1029	13912013	Corporación Buenos Aires Sur
122	13906212	Ministerio De Desarrollo Urbano Y Transporte
1203	13637154	Ministerio De Educación
5115	13416902	Ministerio De Ambiente Y Espacio Público
1121	13333334	Ministerio De Ambiente Y Espacio Público
1152	13231160	Ministerio De Ambiente Y Espacio Público
19006	12815554	Ministerio De Salud
1225	12499378	Ministerio De Educación
113	12450513	Ministerio De Desarrollo Urbano Y Transporte
486	12326581	Subsecretaría De Gestión Comunal
1200	12176766	Ministerio De Educación
1125	11974000	Ministerio De Ambiente Y Espacio Público
1224	11937896	Ministerio De Educación
1253	11919911	Ministerio De Educación
124	11917967	Ministerio De Desarrollo Urbano Y Transporte
19013	11637039	Ministerio De Salud
1268	11612519	Ministerio De Educación
1048	11468882	Corporación Buenos Aires Sur
598	11089624	Ministerio De Salud
46	10984180	Ministerio De Desarrollo Urbano Y Transporte
1027	10834430	Corporación Buenos Aires Sur
152	10786799	Ministerio De Desarrollo Humano Y Hábitat
86	10781000	Ministerio De Desarrollo Urbano Y Transporte
5096	10332604	Ministerio De Ambiente Y Espacio Público
5112	10215407	Ministerio De Ambiente Y Espacio Público
96	10197000	Ministerio De Desarrollo Urbano Y Transporte
1243	10054869	Ministerio De Educación
230	10004793	Ministerio De Salud
1096	10000000	Ministerio De Ambiente Y Espacio Público
1115	9981000	Ministerio De Ambiente Y Espacio Público
2	9950017	Ministerio De Desarrollo Urbano Y Transporte
5126	9780037	Ministerio De Ambiente Y Espacio Público
5107	9754155	Ministerio De Ambiente Y Espacio Público
1136	9700000	Ministerio De Ambiente Y Espacio Público
1056	9681112	Subsecretaría De Gestión Comunal
1153	9547014	Ministerio De Ambiente Y Espacio Público
5104	9541428	Ministerio De Ambiente Y Espacio Público
19001	9378358	Ministerio De Salud
1131	9226000	Ministerio De Ambiente Y Espacio Público
72	9133269	Ministerio De Desarrollo Urbano Y Transporte
13310	8948590	Ministerio De Educación
5117	8940014	Ministerio De Ambiente Y Espacio Público
53	8897525	Ministerio De Desarrollo Urbano Y Transporte
101	8825149	Ministerio De Desarrollo Urbano Y Transporte
392	8791277	Subsecretaría De Gestión Comunal
55	8755881	Ministerio De Desarrollo Urbano Y Transporte
1128	8700000	Ministerio De Ambiente Y Espacio Público
448	8660000	Ministerio De Salud
461	8250000	Ministerio De Salud
82	8245624	Ministerio De Desarrollo Urbano Y Transporte
1108	8200000	Ministerio De Ambiente Y Espacio Público
451	8110000	Ministerio De Salud
648	8108578	Ministerio De Salud
1139	8075034	Ministerio De Ambiente Y Espacio Público
380	8051000	Ministerio De Desarrollo Humano Y Hábitat
1248	8007198	Ministerio De Educación
13309	8000000	Ministerio De Educación
452	7981530	Ministerio De Salud
447	7817140	Ministerio De Salud
192	7782123	Ministerio De Salud
13230	7750834	Ministerio De Educación
1144	7700002	Ministerio De Ambiente Y Espacio Público
13308	7614048	Ministerio De Educación
5110	7603543	Ministerio De Ambiente Y Espacio Público
652	7489486	Ministerio De Salud
229	7360782	Ministerio De Desarrollo Humano Y Hábitat
1081	7346340	Corporación Buenos Aires Sur
381	7334313	Ministerio De Desarrollo Humano Y Hábitat
1254	7244094	Ministerio De Educación
13307	7203420	Ministerio De Educación
770	7112537	Subsecretaría De Gestión Comunal
752	7048897	Ministerio De Salud
1281	7030271	Ministerio De Educación
5	6990315	Ministerio De Desarrollo Urbano Y Transporte
773	6987575	Subsecretaría De Gestión Comunal
468	6842615	Ministerio De Salud
19011	6711165	Ministerio De Salud
388	6654020	Subsecretaría De Gestión Comunal
482	6629196	Subsecretaría De Gestión Comunal
1265	6603217	Ministerio De Educación
19010	6548728	Ministerio De Salud
1197	6499921	Ministerio De Educación
1269	6495745	Ministerio De Educación
772	6392935	Subsecretaría De Gestión Comunal
1252	6380743	Ministerio De Educación
1026	6357735	Corporación Buenos Aires Sur
80	6353999	Ministerio De Desarrollo Urbano Y Transporte
1195	6339454	Ministerio De Educación
730	6292554	Subsecretaría De Gestión Comunal
462	6263000	Ministerio De Salud
1161	6161000	Ministerio De Ambiente Y Espacio Público
181	6150537	Ministerio De Salud
640	6081664	Subsecretaría De Gestión Comunal
13306	6017102	Ministerio De Educación
764	6000002	Subsecretaría De Gestión Comunal
1196	5977447	Ministerio De Educación
384	5971260	Ministerio De Desarrollo Humano Y Hábitat
224	5971259	Ministerio De Desarrollo Humano Y Hábitat
13196	5928273	Ministerio De Desarrollo Humano Y Hábitat
5121	5846323	Ministerio De Ambiente Y Espacio Público
596	5813679	Ministerio De Salud
732	5725064	Subsecretaría De Gestión Comunal
1137	5725000	Ministerio De Ambiente Y Espacio Público
1321	5600000	Ministerio De Educación
13195	5521581	Ministerio De Desarrollo Humano Y Hábitat
215	5480674	Subsecretaría De Gestión Comunal
489	5420623	Subsecretaría De Gestión Comunal
649	5394334	Ministerio De Salud
1154	5361000	Ministerio De Ambiente Y Espacio Público
1093	5224224	Ministerio De Ambiente Y Espacio Público
13305	5199700	Ministerio De Educación
754	5175000	Ministerio De Salud
1169	5127000	Ministerio De Ambiente Y Espacio Público
1198	5006510	Ministerio De Educación
669	5000000	Ministerio De Salud
1174	5000000	Ministerio De Ambiente Y Espacio Público
1075	4998364	Corporación Buenos Aires Sur
1247	4997258	Ministerio De Educación
133	4926076	Ministerio De Desarrollo Urbano Y Transporte
757	4900460	Ministerio De Salud
217	4870300	Subsecretaría De Gestión Comunal
57	4756449	Ministerio De Desarrollo Urbano Y Transporte
572	4669930	Ministerio De Modernización, Innovación Y Tecnología
210	4646695	Subsecretaría De Gestión Comunal
1074	4614679	Corporación Buenos Aires Sur
1112	4596094	Ministerio De Ambiente Y Espacio Público
13304	4576809	Ministerio De Educación
1076	4557686	Corporación Buenos Aires Sur
87	4553909	Ministerio De Desarrollo Urbano Y Transporte
13194	4500081	Ministerio De Desarrollo Humano Y Hábitat
1175	4500000	Ministerio De Ambiente Y Espacio Público
661	4466925	Ministerio De Salud
13303	4374885	Ministerio De Educación
19000	4269045	Ministerio De Salud
1278	4246602	Ministerio De Educación
1148	4212906	Ministerio De Ambiente Y Espacio Público
660	4131009	Ministerio De Salud
203	4130000	Subsecretaría De Gestión Comunal
121	4111783	Ministerio De Desarrollo Urbano Y Transporte
1077	4093977	Corporación Buenos Aires Sur
62	4062200	Ministerio De Desarrollo Urbano Y Transporte
767	4025249	Subsecretaría De Gestión Comunal
644	4000000	Ministerio De Salud
758	4000000	Ministerio De Salud
5099	4000000	Ministerio De Ambiente Y Espacio Público
1160	4000000	Ministerio De Ambiente Y Espacio Público
1045	3993192	Corporación Buenos Aires Sur
645	3983941	Ministerio De Salud
221	3903839	Subsecretaría De Gestión Comunal
647	3881756	Ministerio De Salud
5122	3840887	Ministerio De Ambiente Y Espacio Público
1047	3808672	Corporación Buenos Aires Sur
83	3788185	Ministerio De Desarrollo Urbano Y Transporte
664	3723201	Ministerio De Salud
1002	3690673	Corporación Buenos Aires Sur
1046	3672574	Corporación Buenos Aires Sur
1085	3659055	Corporación Buenos Aires Sur
160	3650000	Ministerio De Modernización, Innovación Y Tecnología
729	3586854	Subsecretaría De Gestión Comunal
1084	3578479	Corporación Buenos Aires Sur
220	3576650	Subsecretaría De Gestión Comunal
159	3556000	Ministerio De Modernización, Innovación Y Tecnología
13302	3499886	Ministerio De Educación
1151	3494572	Ministerio De Ambiente Y Espacio Público
1156	3480616	Ministerio De Ambiente Y Espacio Público
5090	3453493	Ministerio De Ambiente Y Espacio Público
1246	3318737	Ministerio De Educación
589	3317643	Ministerio De Salud
1324	3292976	Ministerio De Educación
1307	3281376	Ministerio De Educación
1035	3268701	Corporación Buenos Aires Sur
1147	3200000	Ministerio De Ambiente Y Espacio Público
1263	3183752	Ministerio De Educación
488	3136293	Subsecretaría De Gestión Comunal
303	3127027	Ministerio De Modernización, Innovación Y Tecnología
308	3123200	Ministerio De Modernización, Innovación Y Tecnología
158	3113000	Ministerio De Modernización, Innovación Y Tecnología
734	3107789	Subsecretaría De Gestión Comunal
1071	3086742	Corporación Buenos Aires Sur
650	3046562	Ministerio De Salud
19007	3037690	Ministerio De Salud
1301	2999056	Ministerio De Educación
1329	2992583	Ministerio De Educación
1299	2991405	Ministerio De Educación
13301	2991264	Ministerio De Educación
223	2984325	Ministerio De Desarrollo Humano Y Hábitat
1314	2979477	Ministerio De Educación
13300	2969250	Ministerio De Educación
1311	2951151	Ministerio De Educación
657	2933662	Ministerio De Salud
13201	2929698	Ministerio De Educación
694	2911675	Corporación Buenos Aires Sur
728	2904871	Subsecretaría De Gestión Comunal
585	2891513	Ministerio De Desarrollo Humano Y Hábitat
309	2890571	Ministerio De Modernización, Innovación Y Tecnología
651	2888560	Ministerio De Salud
1295	2875610	Ministerio De Educación
13299	2873156	Ministerio De Educación
1287	2870371	Ministerio De Educación
800	2853390	Ministerio De Modernización, Innovación Y Tecnología
727	2847482	Subsecretaría De Gestión Comunal
238	2829803	Corporación Buenos Aires Sur
756	2828072	Ministerio De Salud
485	2800659	Subsecretaría De Gestión Comunal
19005	2784361	Ministerio De Salud
13298	2781936	Ministerio De Educación
1133	2780000	Ministerio De Ambiente Y Espacio Público
188	2766296	Ministerio De Salud
1023	2736856	Corporación Buenos Aires Sur
1241	2736733	Ministerio De Educación
1049	2715512	Corporación Buenos Aires Sur
1305	2708684	Ministerio De Educación
1005	2697238	Ministerio De Desarrollo Humano Y Hábitat
297	2685000	Ministerio De Modernización, Innovación Y Tecnología
13297	2681984	Ministerio De Educación
13193	2675563	Ministerio De Desarrollo Humano Y Hábitat
1326	2626095	Ministerio De Educación
1080	2615466	Corporación Buenos Aires Sur
491	2592231	Ministerio De Desarrollo Humano Y Hábitat
13296	2588218	Ministerio De Educación
5114	2586851	Ministerio De Ambiente Y Espacio Público
1320	2583611	Ministerio De Educación
591	2579655	Ministerio De Salud
1255	2577752	Ministerio De Educación
1159	2522918	Ministerio De Ambiente Y Espacio Público
189	2500000	Ministerio De Salud
1010	2499979	Ministerio De Desarrollo Humano Y Hábitat
1158	2485100	Ministerio De Ambiente Y Espacio Público
71	2462636	Ministerio De Desarrollo Urbano Y Transporte
1199	2457851	Ministerio De Educación
741	2450010	Subsecretaría De Gestión Comunal
408	2434966	Ministerio De Modernización, Innovación Y Tecnología
459	2391883	Ministerio De Salud
13192	2380554	Ministerio De Desarrollo Humano Y Hábitat
13295	2370996	Ministerio De Educación
753	2368032	Ministerio De Salud
222	2342595	Ministerio De Desarrollo Humano Y Hábitat
1303	2324381	Ministerio De Educación
1142	2319000	Ministerio De Ambiente Y Espacio Público
13294	2289491	Ministerio De Educación
656	2279344	Ministerio De Salud
1059	2275049	Corporación Buenos Aires Sur
1089	2272672	Corporación Buenos Aires Sur
13191	2251194	Ministerio De Desarrollo Humano Y Hábitat
1244	2226402	Ministerio De Educación
1319	2198571	Ministerio De Educación
1028	2186776	Corporación Buenos Aires Sur
19003	2169707	Ministerio De Salud
768	2154964	Subsecretaría De Gestión Comunal
1057	2131772	Corporación Buenos Aires Sur
987	2120440	Ministerio De Modernización, Innovación Y Tecnología
722	2106085	Ministerio De Modernización, Innovación Y Tecnología
1007	2084504	Ministerio De Desarrollo Humano Y Hábitat
1327	2044025	Ministerio De Educación
1245	2003221	Ministerio De Educación
670	2000000	Ministerio De Salud
13293	1998000	Ministerio De Educación
13292	1965719	Ministerio De Educación
1256	1949681	Ministerio De Educación
594	1900011	Ministerio De Salud
298	1888807	Ministerio De Modernización, Innovación Y Tecnología
304	1888390	Ministerio De Modernización, Innovación Y Tecnología
1078	1875949	Corporación Buenos Aires Sur
760	1851143	Subsecretaría De Gestión Comunal
695	1832840	Corporación Buenos Aires Sur
13291	1814036	Ministerio De Educación
1093	1805153	Corporación Buenos Aires Sur
460	1800000	Ministerio De Salud
13224	1787987	Ministerio De Educación
1088	1782915	Corporación Buenos Aires Sur
1001	1776493	Ministerio De Desarrollo Humano Y Hábitat
1141	1761000	Ministerio De Ambiente Y Espacio Público
1025	1760971	Corporación Buenos Aires Sur
1039	1760971	Corporación Buenos Aires Sur
1288	1757811	Ministerio De Educación
13290	1757009	Ministerio De Educación
1266	1753837	Ministerio De Educación
597	1748496	Ministerio De Salud
1024	1747859	Corporación Buenos Aires Sur
487	1741124	Subsecretaría De Gestión Comunal
13289	1724982	Ministerio De Educación
744	1716682	Subsecretaría De Gestión Comunal
1291	1716020	Ministerio De Educación
698	1655046	Corporación Buenos Aires Sur
1082	1649652	Corporación Buenos Aires Sur
301	1649170	Ministerio De Modernización, Innovación Y Tecnología
407	1645600	Ministerio De Modernización, Innovación Y Tecnología
13288	1644438	Ministerio De Educación
1270	1641553	Ministerio De Educación
1138	1640000	Ministerio De Ambiente Y Espacio Público
1309	1629592	Ministerio De Educación
583	1611936	Subsecretaría De Gestión Comunal
19012	1605362	Ministerio De Salud
1051	1600495	Corporación Buenos Aires Sur
1318	1582695	Ministerio De Educación
13287	1573000	Ministerio De Educación
5093	1534678	Ministerio De Ambiente Y Espacio Público
1072	1528495	Corporación Buenos Aires Sur
13286	1498959	Ministerio De Educación
13227	1495632	Ministerio De Educación
13285	1493450	Ministerio De Educación
775	1485973	Corporación Buenos Aires Sur
1312	1484859	Ministerio De Educación
672	1477190	Subsecretaría De Gestión Comunal
1012	1467448	Corporación Buenos Aires Sur
698	1460667	Corporación Buenos Aires Sur
1018	1458602	Subsecretaría De Gestión Comunal
743	1452016	Subsecretaría De Gestión Comunal
1092	1436125	Corporación Buenos Aires Sur
1096	1411966	Corporación Buenos Aires Sur
582	1408272	Subsecretaría De Gestión Comunal
1298	1390972	Ministerio De Educación
1306	1369534	Ministerio De Educación
1053	1366669	Corporación Buenos Aires Sur
1030	1349397	Corporación Buenos Aires Sur
1285	1338602	Ministerio De Educación
1052	1299141	Corporación Buenos Aires Sur
1012	1295968	Ministerio De Desarrollo Humano Y Hábitat
19004	1284062	Ministerio De Salud
1073	1283329	Corporación Buenos Aires Sur
1079	1283329	Corporación Buenos Aires Sur
161	1282982	Ministerio De Modernización, Innovación Y Tecnología
78	1276501	Ministerio De Desarrollo Urbano Y Transporte
699	1273708	Corporación Buenos Aires Sur
766	1248000	Subsecretaría De Gestión Comunal
13234	1243828	Ministerio De Educación
990	1243000	Ministerio De Modernización, Innovación Y Tecnología
19009	1231889	Ministerio De Salud
13225	1191991	Ministerio De Educación
13208	1176216	Ministerio De Educación
13284	1132387	Ministerio De Educación
1005	1119649	Corporación Buenos Aires Sur
1022	1115236	Corporación Buenos Aires Sur
799	1109724	Ministerio De Modernización, Innovación Y Tecnología
84	1106885	Ministerio De Desarrollo Urbano Y Transporte
1304	1106680	Ministerio De Educación
19015	1103965	Ministerio De Salud
1157	1100000	Ministerio De Ambiente Y Espacio Público
776	1093413	Corporación Buenos Aires Sur
13283	1062622	Ministerio De Educación
13233	1036524	Ministerio De Educación
1036	1016896	Corporación Buenos Aires Sur
13204	1015751	Ministerio De Educación
1031	1011801	Corporación Buenos Aires Sur
1003	1000000	Ministerio De Desarrollo Humano Y Hábitat
1083	994435	Corporación Buenos Aires Sur
13228	989750	Ministerio De Educación
590	985752	Ministerio De Salud
1340	978750	Ministerio De Cultura
667	955126	Ministerio De Salud
1060	950170	Corporación Buenos Aires Sur
1070	937131	Corporación Buenos Aires Sur
1086	931469	Corporación Buenos Aires Sur
1006	928987	Corporación Buenos Aires Sur
755	924967	Ministerio De Salud
409	916817	Ministerio De Modernización, Innovación Y Tecnología
1056	901584	Corporación Buenos Aires Sur
13282	901100	Ministerio De Educación
1091	899466	Corporación Buenos Aires Sur
1018	883917	Corporación Buenos Aires Sur
13197	883167	Ministerio De Educación
13207	883167	Ministerio De Educación
1090	840030	Corporación Buenos Aires Sur
646	834229	Ministerio De Salud
13235	829219	Ministerio De Educación
13281	823125	Ministerio De Educación
1044	820006	Corporación Buenos Aires Sur
775	792212	Corporación Buenos Aires Sur
13202	776730	Ministerio De Educación
1020	773279	Corporación Buenos Aires Sur
1040	763546	Corporación Buenos Aires Sur
13280	762905	Ministerio De Educación
61	756353	Ministerio De Desarrollo Urbano Y Transporte
584	755686	Subsecretaría De Gestión Comunal
1058	755445	Corporación Buenos Aires Sur
305	753065	Ministerio De Modernización, Innovación Y Tecnología
1037	749302	Corporación Buenos Aires Sur
19014	742690	Ministerio De Salud
1337	739347	Ministerio De Cultura
13217	728807	Ministerio De Educación
13203	712437	Ministerio De Educación
13221	710606	Ministerio De Educación
1297	695486	Ministerio De Educación
1300	695486	Ministerio De Educación
13236	688681	Ministerio De Educación
13213	688681	Ministerio De Educación
593	640667	Ministerio De Salud
13215	624752	Ministerio De Educación
1043	623000	Corporación Buenos Aires Sur
1019	622514	Corporación Buenos Aires Sur
13219	621780	Ministerio De Educación
1003	617280	Corporación Buenos Aires Sur
307	610907	Ministerio De Modernización, Innovación Y Tecnología
1013	601511	Corporación Buenos Aires Sur
808	593236	Ministerio De Salud
13232	589409	Ministerio De Educación
991	583820	Ministerio De Modernización, Innovación Y Tecnología
311	576399	Ministerio De Modernización, Innovación Y Tecnología
1323	574615	Ministerio De Educación
1338	547000	Ministerio De Cultura
13218	532955	Ministerio De Educación
