id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
730523779150734132,Recoleta Chic - 2 Bdr / WiFi / Washer/ Dishwasher: Welcome2BA Team,2597734,Welcome2BA,,Recoleta,-34.59012,-58.39162,Entire home/apt,25470,3,1,2022-10-09,0.17,46,193,1,
753060559180899880,Lovely 2BR in the heart of Palermo,74885919,Be Local,,Recoleta,-34.59316,-58.40973,Entire home/apt,10354,1,14,2023-03-13,2.96,76,79,14,
39444211,Beautiful apartment in the heart of Buenos Aires,302406695,Diego Alejandro,,San Nicolas,-34.60708,-58.38339,Entire home/apt,4881,5,58,2023-03-21,1.55,8,226,38,
575193115855308184,Bed in 6Bed Female Dormitory Room @CHE Juan Hostel,149461466,Juan Francisco,,San Nicolas,-34.60289,-58.37334,Shared room,5030,1,5,2023-02-08,0.58,12,365,5,
726872174420822586,Perfecto Estar Excelente  Ubicación,409366431,Matías Eloy,,Palermo,-34.5746121,-58.43433460000001,Entire home/apt,7012,3,13,2023-03-10,2.17,1,157,13,
46526611,Excelente departamento en Almagro!,205920092,Agustin,,Almagro,-34.60211,-58.41683,Entire home/apt,6212,2,11,2023-02-15,0.39,4,325,9,11535742176
53380631,Palermo / Villa Crespo French Style,432179341,Ezequiel,,Palermo,-34.59005,-58.42988,Entire home/apt,4349,15,1,2023-01-15,0.41,6,187,1,
764742692536224551,Depto en Palermo Monoambiente,219941584,Emanuelly,,Villa Crespo,-34.59367,-58.44656,Entire home/apt,11315,2,0,,,10,364,0,
702719939264229648,Moderno 2 amb. con piscina y seguridad en Palermo,21607424,Angel,,Palermo,-34.5949318,-58.4219281,Entire home/apt,15738,2,14,2023-03-21,2.32,11,254,14,
47582197,Cómodo departamento en Recoleta,170638758,Ruben,,Retiro,-34.59743,-58.38674,Entire home/apt,12425,2,27,2023-03-27,2.17,1,356,26,
554473311283432523,Hermoso departamento en barrio audiovisual,22296667,Gerardo,,Chacarita,-34.58145,-58.45221,Entire home/apt,8283,3,28,2023-03-21,2.23,1,355,26,
807869158040512800,"Modern Condo near Puerto Madero, Recoleta",401553838,Park Royal Buenos Aires,,Retiro,-34.59446813511038,-58.38116104645625,Entire home/apt,48767,1,0,,,35,365,0,
29147597,LOFT C/PISCINA/VIGILANCIA  HASTA 40% DE DESCUENTO!,28074169,Flavia,,Recoleta,-34.59577,-58.40783,Entire home/apt,11739,30,1,2018-11-27,0.02,2,0,0,
51300207,Departamento tipo casa en Palermo Hollywood,1653462,Andrea Alicia,,Palermo,-34.57604,-58.43687,Entire home/apt,11182,3,21,2023-02-15,1.07,5,167,12,
564464600714499559,Appart super vue avec piscine,4986026,Heloise,,Palermo,-34.58321,-58.42326,Entire home/apt,8321,5,8,2023-02-13,0.60,16,168,6,
613604542005959123,Nuevo y luminoso   departamento en Palermo,160713918,Alejandro,,Palermo,-34.57796,-58.42483,Entire home/apt,7489,7,68,2023-03-25,6.11,10,349,68,
826062982859943467,Luminoso Departamento en Retiro,459557096,Nomad,,Retiro,-34.59817057890054,-58.37786131235545,Entire home/apt,3834,1,5,2023-03-16,4.69,53,137,5,
763186374948441460,Único en el centro de Palermo!,58996500,Emmanuel,,Palermo,-34.5761022,-58.4199998,Entire home/apt,8614,3,6,2023-03-16,1.42,1,307,6,
53587931,Departamento Alassio Parana de categoria,128531736,Enzo,,Recoleta,-34.5988,-58.38889,Entire home/apt,18637,30,0,,,1,365,0,
9112693,S4 - DOUBLE BED PRIVATE ROOM W/ BALCONY,4372509,Vicky,,San Telmo,-34.61695,-58.37163,Private room,4142,30,11,2023-03-01,0.13,19,271,3,
744219,"5 stars studio in Palermo ,new B ,C",444416,Claudia,,Palermo,-34.59667,-58.42179,Entire home/apt,4142,3,31,2023-01-30,0.25,25,88,2,
519296494895334034,1BR Apart w/Balcony at a Quiet Area Close to Metro,1845492,Maga,,Colegiales,-34.56904220581055,-58.452632904052734,Entire home/apt,10354,4,9,2022-12-30,0.68,16,76,7,
21596636,Stunning 2 BR Apartment in Recoleta,5597544,Pia & Silvia,,Recoleta,-34.58824,-58.38601,Entire home/apt,20708,7,5,2023-01-31,0.08,31,350,1,
338631,AltoPalermo renovated 1bdr apartmen,1714257,Martin,,Recoleta,-34.59054,-58.40984,Entire home/apt,7248,7,175,2023-03-01,1.31,5,313,8,
34205272,Amplio y luminoso departamento en Palermo Viejo,129649456,Flor,,Palermo,-34.5902,-58.42344,Private room,3106,2,6,2022-12-21,0.13,1,350,2,
41030512,Increíble departamento en Plaza San Martin,12016427,Valeria,,Retiro,-34.59238,-58.3806,Entire home/apt,6212,1,6,2023-03-01,0.90,5,328,6,
11459565,"PH EN PLENO SOHO TERRAZA , PARRILLA",49480723,Delia Concepcion,,Palermo,-34.58826,-58.42388,Entire home/apt,31061,2,13,2023-01-30,0.21,54,242,9,
687018221863247249,Monoambiente calle Matienzo 1500 Cañitas,473518181,Maria Cecilia,,Palermo,-34.56548,-58.43395,Entire home/apt,6865,3,21,2023-03-07,2.84,5,345,21,
43830584,Luxurious and Spectacular in Apartment Complex,34512192,Patricio,,Palermo,-34.58134,-58.42986,Entire home/apt,33284,75,0,,,1,364,0,
53825138,Hermoso departamento en Palermo Chico (2P),412273127,Ornella,,Recoleta,-34.58368,-58.40578,Entire home/apt,13460,4,3,2022-05-22,0.24,2,82,2,
37430541,La Torre de Babel - Habitacion 8,140773210,Analia,,Almagro,-34.60067,-58.42929,Private room,2692,1,0,,,7,0,0,
5403329,Cozy Studio barrio Norte,21181258,Clarisa,,Recoleta,-34.59255,-58.40916,Entire home/apt,16980,1,0,,,9,0,0,
8463160,Alto Palermo Departamento,3467529,Maria Elisa,,Palermo,-34.5859,-58.41085,Entire home/apt,7248,2,0,,,1,0,0,
24494467,Cheerful Apartment in Recoleta,15466789,Juan,,Recoleta,-34.58867,-58.39443,Entire home/apt,18637,7,0,,,53,0,0,
13045068,Great Apartament & Centrally Located - DOWNTOWN,72173578,Andrea,,Retiro,-34.59703,-58.37435,Entire home/apt,7248,80,19,2019-11-18,0.23,1,10,0,
27186409,"Best area, Best apartment",15466789,Juan,,Palermo,-34.58552,-58.41366,Entire home/apt,17601,7,0,,,53,0,0,
639679526882507396,♡ Heart of Recoleta ♡ 2BR home with sunset views,74885919,Be Local,,Recoleta,-34.59055,-58.39517,Entire home/apt,13992,1,42,2023-03-13,4.24,76,70,42,
842215466805249195,Piso 7 al frente con balcon en Recoleta,504377111,Maria,,Recoleta,-34.59222966917224,-58.39815301177287,Entire home/apt,6212,1,0,,,1,353,0,
11862925,Palermo Plaza Serrano,31143670,Wolfgang,,Palermo,-34.58798,-58.42872,Private room,10354,6,7,2017-10-24,0.08,2,301,0,
31639140,AGRADABLE Y LUMINOSO !!!,3064801,Liz,,San Nicolas,-34.59922,-58.38014,Entire home/apt,6865,2,5,2019-04-21,0.10,1,0,0,
16577247,Apartment Desing Abasto,63759927,Eugenia,,Almagro,-34.60498,-58.41491,Entire home/apt,850,3,26,2018-04-03,0.35,1,0,0,
1763734,Room#4 w Private Bathroom Belgrano,568403,Maria,,Belgrano,-34.56174,-58.44357,Private room,14288,180,0,,,2,364,0,
54207979,Increíble casa a metros del obelisco! Palacio Lima,113078673,Fede,,Monserrat,-34.60933,-58.38303,Private room,5384,1,7,2023-02-07,0.57,15,362,6,
854513656630654241,Departamento 2 ambientes!,110591936,Jennyfer,,Palermo,-34.574858243250425,-58.412786833941944,Entire home/apt,11596,1,0,,,3,363,0,
633868915760849905,Luminoso Departamento en Belgrano,358007800,Patricio,,Belgrano,-34.56453,-58.45732,Entire home/apt,6034,2,24,2023-03-26,2.70,7,68,24,
42660532,Luxury apartment in front of the Hilton Hotel PM,212317549,Victoria,,Puerto Madero,-34.60435,-58.36388,Entire home/apt,22778,15,2,2022-08-21,0.25,4,332,2,
53182253,Demare Room Tango Hotel,5796183,David,,Almagro,-34.60064,-58.41297,Private room,4933,2,2,2022-07-29,0.16,9,362,1,
