screen_name	date	fav	retweet	text
CFKArgentina	Thu Mar 21 15:32:23 +0000 2019	8913	2127	Para los médicos y auxiliares que trabajan en el CIMEQ de La Habana, todo mi reconocimiento y agradecimiento. Especialmente al Dr. Roberto Castellanos Gutiérrez y al Dr. Charles Hall Smith, por su capacidad pero sobre todo por su humanidad.
CFKArgentina	Thu Mar 21 15:31:26 +0000 2019	3910	1436	Aunque en realidad, sabiendo cómo funciona el tándem Partido judicial - Medios de comunicación, ni bien se presente el certificado en mesa de entradas, sólo es una cuestión de tiempo su filtración a los medios y su difusión masiva. Así está hoy la Argentina.
CFKArgentina	Thu Mar 21 15:31:25 +0000 2019	4279	1479	Piensa que de este modo terminará el circo de violencia sobre ella y su estado de salud... No se... La verdad es que me hubiera gustado no tener que hacerlo, pero es tanto el odio y la violencia que ejercen contra su persona, que tal vez tenga razón.
CFKArgentina	Thu Mar 21 15:30:37 +0000 2019	4487	1873	El viernes, en Tribunales, presentaremos el resumen de la historia clínica de Florencia donde se detallan los diagnósticos médicos sobre su salud. Fue ella, en virtud de las mentiras y falsedades publicadas en estos días, quien me pidió que se conozcan públicamente. https://t.co/pBn32xSwh7
CFKArgentina	Thu Mar 21 15:30:34 +0000 2019	15823	4645	En una hora parto desde La Habana hacia Buenos Aires. La foto que ves es la del CIMEQ, el centro de referencia de salud en Cuba, en el que Florencia continúa con sus análisis y su tratamiento ambulatorio. https://t.co/7A3QLCRpUG
CFKArgentina	Thu Mar 14 10:00:01 +0000 2019	42865	17641	Quiero compartir con ustedes lo que nos está pasando. https://t.co/kGszGfzbzb
CFKArgentina	Fri Mar 08 19:34:08 +0000 2019	24729	6619	Parafraseando a una publicidad muy vieja de cigarrillos, en este día podemos decirle al colectivo feminista argentino: han recorrido un largo camino muchachas. La profundización del cambio cultural logrado demandará más fuerza y unidad… No lo duden ni un instante.<br><br>#8M2019
CFKArgentina	Thu Mar 07 19:40:47 +0000 2019	13009	5540	Sólo durante las dictaduras se expuso tan claramente un sistema donde los opositores al régimen no tienen ni derechos ni garantías constitucionales y los oficialistas toda la impunidad política, judicial y mediática.
CFKArgentina	Thu Mar 07 19:40:15 +0000 2019	8755	3563	Hoy Stornelli decidió no presentarse a prestar declaración indagatoria en el proceso judicial en el que está acusado, junto a otros, de formar parte de una asociación ilícita por extorsión y espionaje ilegal en la causa de las fotocopias de los cuadernos, en la que él es fiscal.
CFKArgentina	Thu Mar 07 19:39:32 +0000 2019	5976	2406	Sin embargo, se pidió mi desafuero, mis domicilios fueron allanados y cuadros y objetos personales secuestrados.
CFKArgentina	Thu Mar 07 19:39:05 +0000 2019	5924	2516	Siempre recusé a Bonadío y siempre me presenté en absolutamente todas las causas -sin fueros primero y con ellos después-, pese a no ser judiciables algunas -dólar futuro y memorándum- y carecer de pruebas en mi contra las otras.
CFKArgentina	Thu Mar 07 19:37:38 +0000 2019	6970	2822	Ya van 15 indagatorias. 12 pedidas por Bonadío y 10 por Stornelli. Y algo inédito en la historia judicial argentina: la última vez, el día del cumpleaños de Néstor, me citaron a 8 indagatorias en un día. Un verdadero dúo dinámico... pero no son ni Batman ni Robin.
CFKArgentina	Thu Mar 07 19:37:37 +0000 2019	5840	2370	Desde 1989 fui 2 veces diputada provincial, 5 veces legisladora nacional y 2 veces presidenta de los argentinos electa por el voto popular. En 2016, por primera vez en mi vida, fui citada a declaración indagatoria.
CFKArgentina	Thu Mar 07 19:36:44 +0000 2019	6285	2890	Sí, el fiscal que fue fotografiado, filmado, grabado y whatsapeado con D’Alessio extorsionando a empresarios en la causa de las fotocopias, no se presentó a prestar declaración indagatoria en la que se investigan dichas maniobras de extorsión. Tampoco entregó su teléfono.
CFKArgentina	Thu Mar 07 19:36:43 +0000 2019	17416	7358	Acabo de bajar del avión y abrí mi computadora para ver las noticias. Leo en Tiempo Argentino que el fiscal de la causa de las fotocopias de los cuadernos, Carlos Stornelli, faltó -textual- a la declaración indagatoria a la que había sido citado para hoy.
CFKArgentina	Tue Mar 05 17:44:15 +0000 2019	10229	2254	Lamento mucho el fallecimiento de Esteban Righi, jurista argentino con el que hace poco tiempo, luego de algunos años, nos habíamos reencontrado. <br><br>Mis condolencias a sus familiares, compañeros y amigos.
CFKArgentina	Sun Mar 03 16:00:23 +0000 2019	48290	6489	Al presidente Mauricio Macri y su familia, mis condolencias por el fallecimiento de su padre.
CFKArgentina	Wed Feb 27 22:24:37 +0000 2019	18250	6841	Siento la responsabilidad de no estar sentada en esta banca para cobrar un sueldo o para calentarla, sino para decir lo que está pasando en la República Argentina.<br>https://t.co/4WI8nxneXj
CFKArgentina	Mon Feb 25 21:31:24 +0000 2019	0	1752	RT @UniCiudadanaAR: Cristina recibió hoy en el @inst_PATRIAar a un grupo de artistas plásticos argentinos. https://t.co/WFOgMP3Lm9
CFKArgentina	Mon Feb 25 20:03:11 +0000 2019	10123	2461	Hoy recibí a un grupo de grandes artistas argentinos.<br><br>Gracias enormes a todos y todas.<br>📸 https://t.co/bqRk5i51Pr https://t.co/WwY2TqPtvw
CFKArgentina	Mon Feb 25 12:08:38 +0000 2019	8257	3424	Acá les dejo el escrito que estoy presentando en cada una de las ocho indagatorias.<br><br>https://t.co/m5MfNNoKwL
CFKArgentina	Mon Feb 25 10:05:04 +0000 2019	13352	4674	Mientras proyectan esa película por la cadena nacional de medios oficialistas, los argentinos y argentinas ya no saben como hacer para pagar los útiles del colegio, las facturas de luz, gas y agua, la cuota de la prepaga, las expensas y alquileres, el changuito del supermercado.
CFKArgentina	Mon Feb 25 10:03:46 +0000 2019	10155	3790	La única y verdadera asociación ilícita son ellos… que no sólo arman causas para hacer operaciones políticas de estigmatización y destrucción de opositores, sino que recaudan dinero en divisa extranjera coimeando a empresarios e imputados.
CFKArgentina	Mon Feb 25 10:02:54 +0000 2019	7967	3149	El guión es del fiscal Carlos Stornelli y uno de sus socios Marcelo D’Alessio; fotografiados, filmados, grabados y whatsapeados extorsionando y coimeando empresarios en la causa de las fotocopias de los cuadernos. Montaje y producción: Cambiemos. Dirige Claudio Bonadío.
CFKArgentina	Mon Feb 25 10:01:46 +0000 2019	7067	2621	En el marco de una persecución y ensañamiento al que sólo se atrevieron gobiernos totalitarios en tiempos en que el Estado de Derecho se encontraba suspendido... aunque debo reconocer que, en términos cinematográficos, esta película merecería recibir un Oscar por su originalidad.
CFKArgentina	Mon Feb 25 10:01:45 +0000 2019	6478	2453	Pretende hacerme responsable, una vez más, de la misma presunta asociación ilícita por la cual ya estoy siendo investigada ante otro Juzgado de este fuero y ante dos Tribunales Orales. Algo inédito e inexplicable que únicamente puede comprenderse...
CFKArgentina	Mon Feb 25 10:00:05 +0000 2019	7864	3022	Este año eligió el cumpleaños de Néstor para citarme en su juzgado. ¿El motivo? Prestar declaraciones indagatorias múltiples y simultáneas en ocho supuestas “investigaciones judiciales”, en una suerte de función de cine continuado…
CFKArgentina	Mon Feb 25 10:00:04 +0000 2019	28307	9618	Hoy, 25 de febrero, Néstor cumpliría años y yo debería estar en Río Gallegos, como siempre. No voy a poder porque Bonadío, que en 2015 allanó las oficinas de Máximo el día del cumpleaños de su hijo y el año pasado allanó mi casa durante el cumpleaños de la hija de Florencia...
CFKArgentina	Tue Feb 19 23:51:27 +0000 2019	49909	8781	Muchas gracias a todos y a todas las que se acercaron hoy a saludarme, a lxs que me llamaron y a lxs que me enviaron mensajes por las redes. Lxs quiero mucho ❤️ https://t.co/eSsW2xa9Qm
CFKArgentina	Tue Feb 19 21:39:31 +0000 2019	23524	4673	Hace un rato recibí en el @inst_PATRIAar a @Macasanchezj, futbolista, feminista y valiente luchadora por sus derechos y los de sus compañeras. Hay que seguir peleando por la igualdad, en todos los lugares. https://t.co/MP4XBtEG2o
CFKArgentina	Thu Feb 14 14:21:17 +0000 2019	35425	17683	Felicitaciones a @mundotkmcom <br><br>Excelente sátira sobre el estado de cierto “periodismo” y sus “noticias”. https://t.co/843mliTuWC
CFKArgentina	Sat Jan 26 15:13:28 +0000 2019	21628	10382	Me gustó mucho este video que pasaron hoy los compañeros y compañeras del peronismo de la provincia de Buenos Aires en el encuentro de Santa Teresita. Quiero compartirlo con ustedes.<br><br>Como decía Néstor en ese mismo lugar en 2010: “No dejemos que nos hipotequen el futuro”. https://t.co/4AFdSkAeRu
CFKArgentina	Tue Jan 15 15:22:58 +0000 2019	14025	6872	Ayer en Jujuy, un paso más en la brutal persecución que sufre Milagro Sala, con una condena a medida de Macri y Gerardo Morales.<br><br>#ArgentinaSinEstadoDeDerecho https://t.co/BgnQVu16po
CFKArgentina	Wed Jan 02 13:48:07 +0000 2019	0	7826	"RT @gracepenafort: 1. Me levanto y leo esta nota canalla de Joaquin Morales Solá en La Nacion, titulada ""El uso politico de una muerte"" don…"
CFKArgentina	Mon Dec 31 18:54:05 +0000 2018	12896	3637	Y para el 2019 que comienza, fuerza y los mejores deseos para los argentinos y las argentinas.<br><br>Siempre unidos, para adelante, con nuestra bandera 🇦🇷 y con mucho amor ❤️ https://t.co/0kE8anm0IS
CFKArgentina	Mon Dec 31 18:51:20 +0000 2018	27189	9541	A un año lleno de malas noticias, vamos a despedirlo con humor.<br><br>Seguro que ya lo viste, es uno de los mejores videos del año. Para los que lo hicieron, chapeau! https://t.co/f3PePBmFO6
CFKArgentina	Sun Dec 30 18:41:18 +0000 2018	8327	2541	Querido Héctor: judío, peronista y por sobre toda las cosas argentino, gracias y hasta siempre. https://t.co/fq5m5Owp94
CFKArgentina	Sun Dec 30 18:40:23 +0000 2018	5436	1830	la figura de Héctor Timerman, no tengo ninguna duda, será recordada y reconocida por la historia por su dignidad y su incansable lucha por la defensa de los intereses nacionales. https://t.co/SlfoRcHWc7
CFKArgentina	Sun Dec 30 18:40:20 +0000 2018	2741	1078	En épocas de endeudamientos seriales. En tiempos de la vuelta al FMI y de diplomáticos que “reconocen” a los ingleses como autoridades en Malvinas,
CFKArgentina	Sun Dec 30 18:38:58 +0000 2018	2989	1141	Héctor había logrado que el voto negativo de muchos países que estaban siendo presionados para votar negativamente se convirtieran en abstención y obtuvo una victoria inédita en la historia de la diplomacia argentina.
CFKArgentina	Sun Dec 30 18:38:57 +0000 2018	2502	951	Héctor había asumido esa tarea con la pasión de siempre y una dedicación inclaudicable. El 10 de septiembre del 2015 la Asamblea General de la ONU votó por 136 a favor, seis en contra y 41 abstenciones la serie de principios básicos recomendados ante ese tipo de procesos.
CFKArgentina	Sun Dec 30 18:37:36 +0000 2018	3687	1445	Lo recuerdo como el verdadero artífice, junto a Axel Kicillof, de la resolución de la ONU sobre la restructuración de deuda soberana, en el marco de nuestra defensa de los intereses nacionales contra la depredación de los fondos buitres. https://t.co/8JZUxEhSyi
CFKArgentina	Sun Dec 30 18:37:33 +0000 2018	2008	788	Pero hoy no sería justo, ni histórico, que esa fuera su última imagen. <br>https://t.co/KxGEzCuDWv
CFKArgentina	Sun Dec 30 18:34:39 +0000 2018	2530	1009	Me viene hoy a la memoria esa escena tantas veces repetida. La persecución judicial posterior, dirigida por el actual gobierno y la insólita, aunque no inédita, calificación de traidores a la patria lo acabaron de demoler.
CFKArgentina	Sun Dec 30 18:34:38 +0000 2018	2349	925	Pude percibirlo desde el primer momento y me llevó en muchas oportunidades a decirle “Por favor Héctor no les des bolilla, te vas a enfermar, mirá cómo estás”. Es que a medida que me relataba las cosas que habían dicho o habían hecho se ponía muy tenso y nervioso.
CFKArgentina	Sun Dec 30 18:34:38 +0000 2018	2183	833	Me contaba en detalle lo que cada uno de ellos había dicho sobre él y nuestro gobierno por la firma del acuerdo. No me lo contaba enojado o indignado. Lo que Héctor transmitía, era una profunda angustia.
CFKArgentina	Sun Dec 30 18:32:44 +0000 2018	2595	1075	Nunca he visto sufrir tanto a nadie por los ataques, las calumnias y las injurias que le propinaban. Me acuerdo en muchísimas oportunidades cuando venía a verme a mi despacho, lo notaba que estaba muy mal por los ataques de las instituciones de la comunidad judía.
CFKArgentina	Sun Dec 30 18:32:43 +0000 2018	3056	1070	Me sugirió que debía también visitar Palestina para honrar la postura histórica de la Argentina y el peronismo del reconocimiento de los dos estados. Porque, claro, Héctor además de judío era por sobre toda las cosas argentino y peronista. https://t.co/Frv0a4wRGu
