x,y
-58.387303,-34.594316
-58.41399200000001,-34.5827604
-58.429912,-34.59942
-58.447841000000004,-34.633739
-58.433164500000004,-34.579620899999995
-58.413676,-34.587501
-58.468306999999996,-34.661398999999996
-58.432520999999994,-34.580996999999996
-58.428265,-34.598101
-58.401233999999995,-34.61761
-58.383953000000005,-34.622378999999995
-58.44915699999999,-34.56433
-58.388304000000005,-34.610095
-58.445935,-34.620558
-58.379785999999996,-34.597974
-58.411269999999995,-34.587087
-58.426023,-34.621726
-58.40541999999999,-34.585851
-58.446654,-34.620843
-58.45144820000001,-34.5590782
-58.4812436,-34.6416293
-58.487083999999996,-34.553613
-58.43334399999999,-34.625855
-58.489652,-34.568531
-58.361422999999995,-34.619076
-58.462348999999996,-34.563998
-58.42541310000001,-34.585728499999995
-58.403327000000004,-34.59698
-58.39941999999999,-34.59218
-58.409538,-34.605751
-58.4225969,-34.586284
-58.422033,-34.598976
-58.461698999999996,-34.562566
-58.4533213,-34.5843153
-58.454257,-34.565017
-58.42525799999999,-34.615977
-58.490924,-34.579516
-58.46139399999999,-34.6230464
-58.427352,-34.604616
-58.436893000000005,-34.602558
-58.441638,-34.564244
-58.511768000000004,-34.619869
-58.4559973,-34.631115
-58.453493,-34.569257
-58.469784999999995,-34.608146999999995
-58.383506999999994,-34.607012
-58.411995,-34.625440999999995
-58.488884,-34.608961
-58.49342270000001,-34.588058700000005
-58.433358999999996,-34.574875
-58.4135461,-34.59859779999999
-58.386175300000005,-34.612216
-58.4270111,-34.58377410000001
-58.460235,-34.601181
-58.453285,-34.568408000000005
-58.41657779999999,-34.60694470000001
-58.468095999999996,-34.551089000000005
-58.477585700000006,-34.5644672
-58.418397,-34.588407000000004
-58.42730400000001,-34.617412
-58.409787,-34.604141
-58.50946170000001,-34.614605299999994
-58.428559,-34.613434000000005
-58.3774394,-34.6253473
-58.4524294,-34.6182541
-58.493735,-34.5992519
-58.4574245,-34.623192200000005
-58.430032999999995,-34.590083
-58.437047,-34.609541
-58.410799,-34.557975
-58.426316,-34.583591
-58.44679300000001,-34.594378000000006
-58.4467209,-34.6208206
-58.434536,-34.614961
-58.397496,-34.606029
-58.460113,-34.627419
-58.428265,-34.598101
-58.40900799999999,-34.588899
-58.405976,-34.648861
-58.428653000000004,-34.58845
-58.4304294,-34.6274761
-58.469716000000005,-34.562484000000005
-58.374529,-34.586498
-58.3619,-34.61613
-58.383029,-34.620191999999996
-58.471031999999994,-34.624291
-58.389902,-34.607886
-58.52370500000001,-34.605745
-58.4407452,-34.608825200000005
-58.47888100000001,-34.63058
-58.406413,-34.6226307
-58.3646934,-34.627358
-58.48559300000001,-34.5729
-58.440554000000006,-34.629886
-58.423531999999994,-34.585142
-58.4265652,-34.5791282
-58.4708054,-34.626252799999996
-58.368024,-34.638935
-58.421964,-34.586342
-58.426055000000005,-34.60522
-58.392035,-34.658421999999995
-58.436232999999994,-34.580759
-58.399141,-34.608788
-58.411320999999994,-34.586106
-58.441638,-34.564244
-58.399587,-34.637145000000004
-58.40538000000001,-34.598125
-58.4308458,-34.594845299999996
-58.396302,-34.599793
-58.39881999999999,-34.592758
-58.413495999999995,-34.596853
-58.443866799999995,-34.6273987
-58.501247,-34.587246
-58.4519834,-34.5741146
-58.472874,-34.633148999999996
-58.407540000000004,-34.594318
-58.3848926,-34.59930670000001
-58.381637,-34.603716
-58.381964,-34.622275
-58.440392,-34.60014
-58.374275100000006,-34.6058718
-58.425764,-34.604359
-58.432593000000004,-34.588439
-58.3836793,-34.6034792
-58.414393200000006,-34.6164779
-58.422526,-34.589403000000004
-58.406368500000006,-34.630519299999996
-58.46696850000001,-34.5984266
-58.408533,-34.622338
-58.419217,-34.585634000000006
-58.409533700000004,-34.59425170000001
-58.450842,-34.564318
-58.517091,-34.596486
-58.411350399999996,-34.6492346
-58.383848,-34.616559
-58.3593458,-34.6180351
-58.405801000000004,-34.610927000000004
-58.377283999999996,-34.621235
-58.477661,-34.546566
-58.473603000000004,-34.558175
-58.430896999999995,-34.642439
-58.488613,-34.599696
-58.401197200000006,-34.6195348
-58.431312,-34.6035
