id_viaje	id_taxista	distancia	duracion	cantidad_pasajeros
281	130	1221	273	1
282	87	905	602	3
283	258	1844	742	1
284	87	3938	1292	1
285	167	8329	1204	1
286	596	1922	400	2
287	79	11384	1217	1
288	195	3658	925	1
289	246	6170	1193	1
290	43	4935	1323	1
291	167	1671	731	2
292	87	3420	718	1
293	133	7366	1192	1
294	547	3318	751	1
295	796	1263	289	1
296	189	7778	1253	1
297	898	3043	653	2
298	5	5972	826	1
299	834	2189	818	1
300	30	2764	754	1
301	56	4896	991	1
302	717	4476	1211	1
303	158	3780	1122	1
304	796	5217	1159	1
305	205	4501	1132	1
306	669	6082	1450	1
307	770	4359	1200	1
308	276	4518	888	1
309	327	2659	746	1
310	914	3779	961	2
311	888	6989	1812	1
312	92	10560	1211	1
313	407	8170	1120	1
314	724	2547	915	1
315	482	11	332	1
316	462	6681	1540	1
317	625	4505	912	2
318	594	6161	1120	2
319	126	5020	1048	1
320	576	5528	1422	1
321	883	3663	988	1
322	88	5967	1419	2
323	24	3581	1004	3
324	806	34	657	1
325	588	1125	465	2
326	189	1380	528	2
327	548	14410	1324	2
328	31	4256	879	1
329	112	688	318	1
330	781	5344	1414	2
331	745	1738	553	1
332	446	1967	773	1
333	769	2734	585	1
334	313	6479	1346	1
335	477	7289	1619	1
336	105	2205	601	1
337	446	2080	676	1
338	883	1976	490	1
339	580	4955	1107	1
340	230	7133	1086	1
341	42	2124	472	1
342	541	1407	522	1
343	200	7973	1489	1
344	548	1521	492	2
345	420	2119	615	1
346	545	1428	879	2
347	693	1654	474	1
348	477	4243	761	2
349	295	4471	914	1
350	37	4578	1008	1
351	258	2880	478	1
352	94	8424	1500	1
353	857	2119	443	2
354	664	4977	1212	1
355	395	4676	953	1
356	588	3026	839	1
357	39	5132	1169	2
358	1	146	1115	1
359	409	2361	654	1
360	457	10629	1723	2
361	398	6398	1544	2
362	181	6240	1276	1
363	594	5335	1487	4
364	609	6256	1407	1
365	105	5110	1046	1
366	588	2328	590	1
367	693	4026	881	1
368	822	4912	1242	2
369	258	5847	1415	1
370	660	1317	481	1
371	437	4781	1191	2
372	761	1875	509	2
373	554	3882	955	1
374	589	3751	978	2
375	37	5177	1382	1
376	115	1240	375	1
377	420	9034	2012	3
378	523	5356	1485	1
379	842	372	224	1
380	766	4706	995	1
381	803	4036	779	1
382	523	2008	514	1
383	317	5266	1195	1
384	766	4768	1418	1
385	209	12282	1497	1
386	128	1478	486	1
387	519	2202	533	1
388	223	2060	620	1
389	819	911	314	2
390	34	1348	336	1
391	359	4928	1323	1
392	682	3219	985	2
393	758	4350	1083	1
394	85	1683	450	1
395	925	7896	1098	1
396	819	4770	879	2
397	465	2381	568	1
398	385	2555	692	3
399	215	3722	683	1
400	547	8148	1833	1
401	650	2443	784	1
402	203	6021	1033	2
403	36	494	401	3
404	44	1486	413	2
405	89	2350	478	2
406	359	4992	1033	3
407	806	4818	947	3
408	881	4695	1079	2
409	129	3400	981	1
410	405	1514	571	1
411	834	2591	701	1
412	854	2668	948	1
413	319	5298	1187	1
414	511	2663	635	1
415	796	2715	663	1
416	229	1340	1092	2
417	511	9626	2018	1
418	42	978	355	1
419	811	5535	1398	1
