screen_name	date	fav	retweet	text
mauriciomacri	Sat Dec 01 20:16:46 +0000 2018	5385	833	Reunión con Angela Merkel, la canciller de Alemania. #G20Argentina https://t.co/Yj85zkHpvU
mauriciomacri	Sat Dec 01 19:45:43 +0000 2018	1958	419	En vivo: encuentro con el Primer Ministro de Japón, Shinzo Abe. https://t.co/5jFp3ZSKxL
mauriciomacri	Sat Dec 01 18:05:26 +0000 2018	12939	3423	Cierre de la cumbre del G20 en la Argentina. #G20Argentina https://t.co/Et1agyF9fQ
mauriciomacri	Sat Dec 01 17:49:50 +0000 2018	1462	367	En vivo: conferencia de prensa. #G20Argentina https://t.co/lnPo7WfZfn
mauriciomacri	Sat Dec 01 16:52:15 +0000 2018	2289	443	Nos reunimos con el presidente de Turquía, Recep Tayyip Erdoğan. #G20Argentina https://t.co/YBD9hxMP3X
mauriciomacri	Sat Dec 01 16:08:13 +0000 2018	5321	1367	También nos reunimos con el Presidente de la República de Corea, Moon Jae-in https://t.co/SktXAUWCy0
mauriciomacri	Sat Dec 01 15:48:30 +0000 2018	6143	1258	Hoy recibimos al Primer Ministro de la India, Narendra Modi, en la Quinta de Olivos. https://t.co/L8Ki36in9i
mauriciomacri	Sat Dec 01 14:55:16 +0000 2018	12544	2981	¡Feliz cumpleaños, Sebastián! @sebastianpinera https://t.co/ik49liBRFU
mauriciomacri	Sat Dec 01 14:33:25 +0000 2018	3827	785	Encuentro con el presidente de la República de Corea, Moon Jae-in. 🇰🇷 🇦🇷 https://t.co/c5G3n0iWoO
mauriciomacri	Sat Dec 01 13:23:32 +0000 2018	4221	722	Recibimos al Primer Ministro de la India, Narendra Modi, en Olivos 🇮🇳🇦🇷. @narendramodi https://t.co/9eChvOxmA2
mauriciomacri	Sat Dec 01 12:25:19 +0000 2018	28442	7031	Una noche inolvidable en el Teatro Colón. https://t.co/6sBEBtHUKg
mauriciomacri	Sat Dec 01 00:11:42 +0000 2018	75098	16973	ORGULLOSO DE LA ARGENTINA Y DE LOS ARGENTINOS https://t.co/gkCMUat5T0
mauriciomacri	Fri Nov 30 23:43:49 +0000 2018	6001	1576	Mark Rutte, Primer Ministro de los Países Bajos. #G20Argentina https://t.co/SVPBT8TTQB
mauriciomacri	Fri Nov 30 23:30:37 +0000 2018	2377	394	También nos reunimos con el presidente del Gobierno de España, Pedro Sánchez. #G20Argentina https://t.co/G0N20rJrSi
mauriciomacri	Fri Nov 30 23:30:32 +0000 2018	4072	675	Hoy nos reunimos con Theresa May, la Primera Ministra del Reino Unido. #G20Argentina https://t.co/pFUMHdf2ZI
mauriciomacri	Fri Nov 30 22:22:16 +0000 2018	4014	1009	Andrew Holness, Primer Ministro de Jamaica. #G20Argentina https://t.co/GlbKBmhI2j
mauriciomacri	Fri Nov 30 21:44:03 +0000 2018	4492	917	En vivo desde el Teatro Colón: el presidente Macri recibe a los líderes del G20. https://t.co/wRcl7YiGpm
