estacion	hora	total
Once	7	45455
Once	8	60437
Once	9	53113
Once	10	40351
Once	11	42382
Once	12	45037
Once	13	49685
Once	14	43648
Once	15	41548
Once	16	41988
Once	17	42332
Once	18	43923
Once	19	31752
Once	20	21023
Once	21	14401
Once	22	6973
Once	23	1329
Palermo	0	9
Palermo	3	0
Palermo	4	0
Palermo	5	2610
Palermo	6	14695
Palermo	7	36201
Palermo	8	58134
Palermo	9	56101
Palermo	10	42597
Palermo	11	40659
Palermo	12	43786
Palermo	13	45115
Palermo	14	45335
Palermo	15	44764
Palermo	16	49558
Palermo	17	57048
Palermo	18	63801
Palermo	19	42488
Palermo	20	36251
Palermo	21	27966
Palermo	22	14705
Palermo	23	1533
Pasco	0	0
Pasco	2	0
Pasco	5	422
Pasco	6	1557
Pasco	7	4427
Pasco	8	9202
Pasco	9	11546
Pasco	10	11879
Pasco	11	13053
Pasco	12	13337
Pasco	13	13947
Pasco	14	13594
Pasco	15	11449
Pasco	16	11507
Pasco	17	10922
Pasco	18	10990
Pasco	19	7341
Pasco	20	5309
Pasco	21	2959
Pasco	22	1474
Pasco	23	132
Pasteur	0	0
Pasteur	3	0
Pasteur	5	739
Pasteur	6	3816
Pasteur	7	10807
Pasteur	8	20202
Pasteur	9	24548
Pasteur	10	29166
Pasteur	11	36112
Pasteur	12	43540
Pasteur	13	45016
Pasteur	14	43500
Pasteur	15	41111
Pasteur	16	43191
Pasteur	17	45807
Pasteur	18	47872
Pasteur	19	29650
Pasteur	20	18754
Pasteur	21	10873
Pasteur	22	6142
Pasteur	23	732
Patricios	0	15
Patricios	5	3919
Patricios	6	16862
Patricios	7	35119
Patricios	8	46443
Patricios	9	35729
Patricios	10	24815
Patricios	11	24151
Patricios	12	26056
Patricios	13	26878
Patricios	14	24657
Patricios	15	24156
Patricios	16	28637
Patricios	17	40693
Patricios	18	53209
Patricios	19	21334
Patricios	20	17811
Patricios	21	8619
Patricios	22	4419
Patricios	23	918
Peru	0	0
Peru	1	0
Peru	2	1
Peru	3	0
Peru	4	0
Peru	5	743
Peru	6	2966
Peru	7	5231
Peru	8	6478
Peru	9	9374
Peru	10	16525
Peru	11	23711
Peru	12	30217
Peru	13	35509
Peru	14	44928
Peru	15	57105
Peru	16	63787
Peru	17	101882
Peru	18	107918
Peru	19	52113
Peru	20	36448
Peru	21	21775
Peru	22	7065
Peru	23	1346
Pichincha	5	474
Pichincha	6	2630
Pichincha	7	6497
Pichincha	8	9849
Pichincha	9	8980
Pichincha	10	7025
Pichincha	11	6621
Pichincha	12	6705
Pichincha	13	6232
Pichincha	14	5326
Pichincha	15	5100
Pichincha	16	5529
Pichincha	17	5592
Pichincha	18	5169
Pichincha	19	4147
Pichincha	20	3474
Pichincha	21	2270
Pichincha	22	1357
Pichincha	23	258
Piedras	5	383
Piedras	6	2334
Piedras	7	4129
Piedras	8	6054
Piedras	9	7556
Piedras	10	10766
Piedras	11	13739
Piedras	12	16873
Piedras	13	19247
Piedras	14	22447
Piedras	15	31839
Piedras	16	36339
Piedras	17	58524
Piedras	18	61217
Piedras	19	24361
Piedras	20	14168
Piedras	21	11338
Piedras	22	4052
Piedras	23	911
Plaza de Mayo	4	0
Plaza de Mayo	5	1523
Plaza de Mayo	6	8579
Plaza de Mayo	7	16280
Plaza de Mayo	8	19322
Plaza de Mayo	9	18738
Plaza de Mayo	10	21827
Plaza de Mayo	11	25334
Plaza de Mayo	12	30771
Plaza de Mayo	13	38592
Plaza de Mayo	14	42301
Plaza de Mayo	15	57599
Plaza de Mayo	16	78687
Plaza de Mayo	17	134406
Plaza de Mayo	18	133269
Plaza de Mayo	19	55193
Plaza de Mayo	20	31654
Plaza de Mayo	21	16049
Plaza de Mayo	22	6238
Plaza de Mayo	23	1095
Plaza Italia	0	0
Plaza Italia	1	1
Plaza Italia	4	0
Plaza Italia	5	1260
Plaza Italia	6	7706
Plaza Italia	7	23900
Plaza Italia	8	41571
Plaza Italia	9	38638
Plaza Italia	10	30834
Plaza Italia	11	29499
Plaza Italia	12	31181
Plaza Italia	13	31165
Plaza Italia	14	30688
Plaza Italia	15	32245
Plaza Italia	16	37490
Plaza Italia	17	42406
Plaza Italia	18	42984
Plaza Italia	19	36226
Plaza Italia	20	28897
Plaza Italia	21	18804
Plaza Italia	22	8729
Plaza Italia	23	1019
Plaza Miserere	0	2
Plaza Miserere	1	0
Plaza Miserere	2	0
Plaza Miserere	4	0
Plaza Miserere	5	3290
Plaza Miserere	6	19168
Plaza Miserere	7	40653
Plaza Miserere	8	57585
Plaza Miserere	9	60548
Plaza Miserere	10	49412
Plaza Miserere	11	47861
Plaza Miserere	12	49224
Plaza Miserere	13	52528
Plaza Miserere	14	44628
Plaza Miserere	15	38050
Plaza Miserere	16	36842
Plaza Miserere	17	38400
Plaza Miserere	18	39437
Plaza Miserere	19	26914
Plaza Miserere	20	17923
Plaza Miserere	21	12001
Plaza Miserere	22	6268
Plaza Miserere	23	787
Primera Junta	0	3
Primera Junta	3	0
Primera Junta	5	2772
Primera Junta	6	16377
Primera Junta	7	46456
Primera Junta	8	76792
Primera Junta	9	72337
Primera Junta	10	45181
Primera Junta	11	37801
Primera Junta	12	36249
Primera Junta	13	35130
Primera Junta	14	29939
Primera Junta	15	27129
Primera Junta	16	26768
Primera Junta	17	29425
Primera Junta	18	27735
Primera Junta	19	22002
Primera Junta	20	17997
Primera Junta	21	10263
Primera Junta	22	4597
Primera Junta	23	434
Puan	0	0
Puan	1	0
Puan	4	0
Puan	5	741
Puan	6	6353
Puan	7	24871
Puan	8	43226
Puan	9	35650
Puan	10	22231
Puan	11	18722
Puan	12	18475
Puan	13	17173
Puan	14	15114
Puan	15	14679
Puan	16	15753
Puan	17	15724
Puan	18	15167
Puan	19	11495
Puan	20	10025
Puan	21	5750
Puan	22	2409
Puan	23	183
Pueyrredon	0	0
Pueyrredon	1	0
Pueyrredon	2	0
Pueyrredon	3	1
Pueyrredon	5	1526
Pueyrredon	6	8071
Pueyrredon	7	20402
Pueyrredon	8	32955
Pueyrredon	9	35204
Pueyrredon	10	33076
Pueyrredon	11	40400
Pueyrredon	12	44518
Pueyrredon	13	46590
Pueyrredon	14	43916
Pueyrredon	15	42822
Pueyrredon	16	42582
Pueyrredon	17	41758
Pueyrredon	18	42111
Pueyrredon	19	27656
Pueyrredon	20	16795
Pueyrredon	21	7851
Pueyrredon	22	3540
Pueyrredon	23	544
Pueyrredon.D	0	0
Pueyrredon.D	2	0
Pueyrredon.D	3	0
Pueyrredon.D	4	0
Pueyrredon.D	5	703
Pueyrredon.D	6	3926
Pueyrredon.D	7	17715
Pueyrredon.D	8	36063
Pueyrredon.D	9	39007
Pueyrredon.D	10	27812
Pueyrredon.D	11	26798
Pueyrredon.D	12	27877
Pueyrredon.D	13	28566
Pueyrredon.D	14	30134
Pueyrredon.D	15	29367
Pueyrredon.D	16	31820
Pueyrredon.D	17	30834
Pueyrredon.D	18	27689
Pueyrredon.D	19	24155
Pueyrredon.D	20	21899
Pueyrredon.D	21	12218
Pueyrredon.D	22	5554
Pueyrredon.D	23	781
Pza. de los Virreyes	0	0
Pza. de los Virreyes	3	0
Pza. de los Virreyes	4	1
Pza. de los Virreyes	5	5371
Pza. de los Virreyes	6	22200
Pza. de los Virreyes	7	47184
Pza. de los Virreyes	8	55126
Pza. de los Virreyes	9	37610
Pza. de los Virreyes	10	24682
Pza. de los Virreyes	11	21085
Pza. de los Virreyes	12	20927
Pza. de los Virreyes	13	19308
Pza. de los Virreyes	14	14892
Pza. de los Virreyes	15	13196
Pza. de los Virreyes	16	13601
Pza. de los Virreyes	17	14127
Pza. de los Virreyes	18	11803
Pza. de los Virreyes	19	7427
Pza. de los Virreyes	20	6446
Pza. de los Virreyes	21	3909
Pza. de los Virreyes	22	1633
Pza. de los Virreyes	23	76
Retiro	0	2
Retiro	1	0
Retiro	3	1
Retiro	4	0
Retiro	5	11880
Retiro	6	52494
Retiro	7	90799
Retiro	8	139213
Retiro	9	132855
Retiro	10	101672
Retiro	11	92069
Retiro	12	91679
Retiro	13	96473
Retiro	14	107271
Retiro	15	96635
Retiro	16	110518
Retiro	17	153799
Retiro	18	156041
Retiro	19	104557
Retiro	20	69376
Retiro	21	45228
Retiro	22	20060
Retiro	23	1557
Rio de Janeiro	0	1
Rio de Janeiro	3	0
Rio de Janeiro	5	1163
Rio de Janeiro	6	7359
Rio de Janeiro	7	25986
Rio de Janeiro	8	37998
Rio de Janeiro	9	40341
Rio de Janeiro	10	31286
Rio de Janeiro	11	27914
Rio de Janeiro	12	27459
Rio de Janeiro	13	26575
Rio de Janeiro	14	23447
Rio de Janeiro	15	23045
Rio de Janeiro	16	24142
Rio de Janeiro	17	26209
Rio de Janeiro	18	23269
Rio de Janeiro	19	19667
Rio de Janeiro	20	16049
Rio de Janeiro	21	10639
Rio de Janeiro	22	5411
Rio de Janeiro	23	700
Rosas	0	0
Rosas	2	0
Rosas	3	0
Rosas	4	1
Rosas	5	7850
Rosas	6	50276
Rosas	7	145414
Rosas	8	211518
Rosas	9	147000
Rosas	10	85814
Rosas	11	66559
Rosas	12	62946
Rosas	13	60604
Rosas	14	52659
Rosas	15	48713
Rosas	16	50860
Rosas	17	62686
Rosas	18	59243
Rosas	19	39212
Rosas	20	32703
Rosas	21	22034
Rosas	22	11148
Rosas	23	352
Saenz Peña	0	0
Saenz Peña	5	601
Saenz Peña	6	4191
Saenz Peña	7	9772
Saenz Peña	8	14863
Saenz Peña	9	18039
Saenz Peña	10	22126
Saenz Peña	11	25597
Saenz Peña	12	28228
Saenz Peña	13	31662
Saenz Peña	14	33710
Saenz Peña	15	35484
Saenz Peña	16	37681
Saenz Peña	17	40618
Saenz Peña	18	38429
Saenz Peña	19	24794
Saenz Peña	20	17163
Saenz Peña	21	10722
Saenz Peña	22	3971
Saenz Peña	23	611
San Jose	0	0
San Jose	4	0
San Jose	5	334
San Jose	6	2762
San Jose	7	6922
San Jose	8	8981
San Jose	9	7789
San Jose	10	6163
San Jose	11	6257
San Jose	12	6518
San Jose	13	6000
San Jose	14	5650
San Jose	15	6536
San Jose	16	7384
San Jose	17	6710
San Jose	18	6505
San Jose	19	5315
San Jose	20	4453
San Jose	21	3125
San Jose	22	1444
San Jose	23	196
San Juan	0	0
San Juan	5	1402
San Juan	6	6897
San Juan	7	13200
San Juan	8	20960
San Juan	9	20683
San Juan	10	15530
San Juan	11	13709
San Juan	12	13940
San Juan	13	14499
San Juan	14	13884
San Juan	15	13352
San Juan	16	14642
San Juan	17	17256
San Juan	18	16807
San Juan	19	11123
San Juan	20	8275
San Juan	21	5765
San Juan	22	2556
San Juan	23	247
San Pedrito	0	2
San Pedrito	2	1
San Pedrito	3	0
San Pedrito	4	2
San Pedrito	5	7333
San Pedrito	6	48021
San Pedrito	7	137906
San Pedrito	8	192361
San Pedrito	9	136297
San Pedrito	10	84713
San Pedrito	11	75245
San Pedrito	12	74632
San Pedrito	13	77062
San Pedrito	14	64065
San Pedrito	15	54784
San Pedrito	16	59167
San Pedrito	17	71516
San Pedrito	18	49838
San Pedrito	19	26190
San Pedrito	20	18830
San Pedrito	21	12407
San Pedrito	22	5293
San Pedrito	23	343
Santa Fe	0	7
Santa Fe	5	553
Santa Fe	6	3805
Santa Fe	7	12686
Santa Fe	8	21365
Santa Fe	9	22694
Santa Fe	10	22166
Santa Fe	11	26109
Santa Fe	12	30245
Santa Fe	13	31346
Santa Fe	14	35910
Santa Fe	15	37814
Santa Fe	16	41440
Santa Fe	17	44147
Santa Fe	18	46389
Santa Fe	19	38004
Santa Fe	20	34214
Santa Fe	21	18911
Santa Fe	22	9006
Santa Fe	23	1753
Scalabrini Ortiz	0	1
Scalabrini Ortiz	1	0
Scalabrini Ortiz	4	0
Scalabrini Ortiz	5	977
Scalabrini Ortiz	6	7947
Scalabrini Ortiz	7	30334
Scalabrini Ortiz	8	57958
Scalabrini Ortiz	9	53475
Scalabrini Ortiz	10	36756
Scalabrini Ortiz	11	32096
Scalabrini Ortiz	12	33678
Scalabrini Ortiz	13	32478
Scalabrini Ortiz	14	31619
Scalabrini Ortiz	15	32749
Scalabrini Ortiz	16	35447
Scalabrini Ortiz	17	37445
Scalabrini Ortiz	18	36104
Scalabrini Ortiz	19	30681
Scalabrini Ortiz	20	27203
Scalabrini Ortiz	21	15336
Scalabrini Ortiz	22	7489
Scalabrini Ortiz	23	1054
Tribunales	0	0
Tribunales	1	0
Tribunales	2	0
Tribunales	5	455
Tribunales	6	2967
Tribunales	7	8605
Tribunales	8	17910
Tribunales	9	24001
Tribunales	10	30550
Tribunales	11	37716
Tribunales	12	44140
Tribunales	13	59284
Tribunales	14	52195
Tribunales	15	53420
Tribunales	16	55620
Tribunales	17	61066
Tribunales	18	64830
Tribunales	19	37275
Tribunales	20	23005
Tribunales	21	10323
Tribunales	22	5418
Tribunales	23	854
Tronador	0	2
Tronador	5	480
Tronador	6	4757
Tronador	7	14908
Tronador	8	23867
Tronador	9	20415
Tronador	10	14440
Tronador	11	13098
Tronador	12	15228
Tronador	13	13082
Tronador	14	13855
Tronador	15	14425
Tronador	16	17625
Tronador	17	25310
Tronador	18	23207
Tronador	19	11255
Tronador	20	9230
Tronador	21	4775
Tronador	22	4095
Tronador	23	120
Urquiza	0	2
Urquiza	1	0
Urquiza	5	592
Urquiza	6	3514
Urquiza	7	7907
Urquiza	8	11589
Urquiza	9	11825
Urquiza	10	8485
Urquiza	11	7844
Urquiza	12	7861
Urquiza	13	7541
Urquiza	14	6808
Urquiza	15	6145
Urquiza	16	7302
Urquiza	17	6429
Urquiza	18	5994
Urquiza	19	4639
Urquiza	20	4040
Urquiza	21	2664
Urquiza	22	1123
Urquiza	23	114
Uruguay	0	0
Uruguay	3	1
Uruguay	5	626
Uruguay	6	3324
Uruguay	7	8635
Uruguay	8	15750
Uruguay	9	22265
Uruguay	10	31776
Uruguay	11	40460
Uruguay	12	48719
Uruguay	13	56826
Uruguay	14	55612
Uruguay	15	58439
Uruguay	16	60695
Uruguay	17	65582
Uruguay	18	65525
Uruguay	19	40506
Uruguay	20	26887
Uruguay	21	15744
Uruguay	22	10184
Uruguay	23	2317
Varela	4	0
Varela	5	742
Varela	6	4309
Varela	7	9829
Varela	8	14330
Varela	9	9363
Varela	10	6237
Varela	11	6006
Varela	12	5808
Varela	13	4997
Varela	14	4075
Varela	15	4009
Varela	16	4299
Varela	17	4967
Varela	18	3875
Varela	19	3032
Varela	20	2470
Varela	21	1537
Varela	22	566
Varela	23	25
Venezuela	0	6
Venezuela	4	0
Venezuela	5	1579
Venezuela	6	8772
Venezuela	7	21486
Venezuela	8	35193
Venezuela	9	29854
Venezuela	10	22916
Venezuela	11	22796
Venezuela	12	24222
Venezuela	13	23352
Venezuela	14	20757
Venezuela	15	20569
Venezuela	16	21805
Venezuela	17	21436
Venezuela	18	22871
Venezuela	19	17010
Venezuela	20	13995
Venezuela	21	9338
Venezuela	22	3811
Venezuela	23	623
