estacion	hora	total
Callao.B	19	48815
Callao.B	20	39637
Callao.B	21	25629
Callao.B	22	14257
Callao.B	23	2716
Carabobo	0	1
Carabobo	1	0
Carabobo	4	0
Carabobo	5	1797
Carabobo	6	11601
Carabobo	7	44977
Carabobo	8	72904
Carabobo	9	55087
Carabobo	10	36169
Carabobo	11	31161
Carabobo	12	29252
Carabobo	13	28429
Carabobo	14	26001
Carabobo	15	24152
Carabobo	16	25233
Carabobo	17	27216
Carabobo	18	25200
Carabobo	19	18198
Carabobo	20	15685
Carabobo	21	9525
Carabobo	22	3795
Carabobo	23	306
Carlos Gardel	0	0
Carlos Gardel	3	0
Carlos Gardel	5	974
Carlos Gardel	6	6755
Carlos Gardel	7	17397
Carlos Gardel	8	28109
Carlos Gardel	9	29249
Carlos Gardel	10	29052
Carlos Gardel	11	33532
Carlos Gardel	12	39426
Carlos Gardel	13	44420
Carlos Gardel	14	46495
Carlos Gardel	15	51509
Carlos Gardel	16	60371
Carlos Gardel	17	64168
Carlos Gardel	18	63795
Carlos Gardel	19	57146
Carlos Gardel	20	51659
Carlos Gardel	21	44713
Carlos Gardel	22	36674
Carlos Gardel	23	3784
Carlos Pellegrini	0	6
Carlos Pellegrini	4	1
Carlos Pellegrini	5	2432
Carlos Pellegrini	6	13376
Carlos Pellegrini	7	30284
Carlos Pellegrini	8	34639
Carlos Pellegrini	9	34186
Carlos Pellegrini	10	38857
Carlos Pellegrini	11	49112
Carlos Pellegrini	12	58287
Carlos Pellegrini	13	68208
Carlos Pellegrini	14	67766
Carlos Pellegrini	15	78558
Carlos Pellegrini	16	83604
Carlos Pellegrini	17	100373
Carlos Pellegrini	18	114897
Carlos Pellegrini	19	69239
Carlos Pellegrini	20	55287
Carlos Pellegrini	21	40661
Carlos Pellegrini	22	24969
Carlos Pellegrini	23	4873
Caseros	0	6
Caseros	2	3
Caseros	3	1
Caseros	4	1
Caseros	5	1376
Caseros	6	6941
Caseros	7	15435
Caseros	8	25321
Caseros	9	20750
Caseros	10	16201
Caseros	11	16752
Caseros	12	19960
Caseros	13	19510
Caseros	14	17864
Caseros	15	20115
Caseros	16	23418
Caseros	17	31201
Caseros	18	34775
Caseros	19	14879
Caseros	20	10016
Caseros	21	5458
Caseros	22	2802
Caseros	23	836
Castro Barros	0	2
Castro Barros	5	950
Castro Barros	6	7201
Castro Barros	7	20597
Castro Barros	8	29994
Castro Barros	9	32519
Castro Barros	10	27383
Castro Barros	11	25709
Castro Barros	12	26793
Castro Barros	13	25143
Castro Barros	14	24677
Castro Barros	15	23784
Castro Barros	16	26075
Castro Barros	17	27431
Castro Barros	18	27135
Castro Barros	19	20773
Castro Barros	20	16225
Castro Barros	21	10519
Castro Barros	22	4673
Castro Barros	23	456
Catedral	0	2
Catedral	1	0
Catedral	2	1
Catedral	3	0
Catedral	4	1
Catedral	5	1643
Catedral	6	9423
Catedral	7	21949
Catedral	8	29493
Catedral	9	30715
Catedral	10	40402
Catedral	11	54480
Catedral	12	69861
Catedral	13	80325
Catedral	14	86051
Catedral	15	110710
Catedral	16	137253
Catedral	17	242876
Catedral	18	244037
Catedral	19	107110
Catedral	20	56767
Catedral	21	27048
Catedral	22	8877
Catedral	23	1472
Congreso	0	4
Congreso	1	2
Congreso	4	0
Congreso	5	1234
Congreso	6	6579
Congreso	7	13637
Congreso	8	21383
Congreso	9	24720
Congreso	10	27713
Congreso	11	32433
Congreso	12	36321
Congreso	13	39841
Congreso	14	42335
Congreso	15	46254
Congreso	16	47602
Congreso	17	50678
Congreso	18	44439
Congreso	19	35987
Congreso	20	30946
Congreso	21	18393
Congreso	22	9785
Congreso	23	1778
Congreso de Tucuman	0	0
Congreso de Tucuman	1	0
Congreso de Tucuman	2	0
Congreso de Tucuman	3	0
Congreso de Tucuman	4	0
Congreso de Tucuman	5	5450
Congreso de Tucuman	6	41348
Congreso de Tucuman	7	133705
Congreso de Tucuman	8	203811
Congreso de Tucuman	9	158036
Congreso de Tucuman	10	102643
Congreso de Tucuman	11	82305
Congreso de Tucuman	12	78483
Congreso de Tucuman	13	79126
Congreso de Tucuman	14	69961
Congreso de Tucuman	15	69030
Congreso de Tucuman	16	75021
Congreso de Tucuman	17	98115
Congreso de Tucuman	18	109140
Congreso de Tucuman	19	66949
Congreso de Tucuman	20	49859
Congreso de Tucuman	21	31905
Congreso de Tucuman	22	13438
Congreso de Tucuman	23	406
Constitucion	0	2
Constitucion	2	2
Constitucion	4	0
Constitucion	5	76749
Constitucion	6	321834
Constitucion	7	491488
Constitucion	8	537075
Constitucion	9	436394
Constitucion	10	283188
Constitucion	11	232439
Constitucion	12	212087
Constitucion	13	205668
Constitucion	14	170499
Constitucion	15	140469
Constitucion	16	140111
Constitucion	17	149607
Constitucion	18	141147
Constitucion	19	103818
Constitucion	20	81008
Constitucion	21	58149
Constitucion	22	21454
Constitucion	23	1766
Cordoba	0	10
Cordoba	5	554
Cordoba	6	3684
Cordoba	7	9031
Cordoba	8	15633
Cordoba	9	16088
Cordoba	10	14314
Cordoba	11	16513
Cordoba	12	18818
Cordoba	13	19975
Cordoba	14	22549
Cordoba	15	21690
Cordoba	16	23068
Cordoba	17	27628
Cordoba	18	25680
Cordoba	19	18666
Cordoba	20	15522
Cordoba	21	10533
Cordoba	22	5460
Cordoba	23	604
Corrientes	0	2
Corrientes	3	0
Corrientes	4	0
Corrientes	5	334
Corrientes	6	2399
Corrientes	7	6857
Corrientes	8	12726
Corrientes	9	12171
Corrientes	10	11941
Corrientes	11	15557
Corrientes	12	19102
Corrientes	13	20788
Corrientes	14	19552
Corrientes	15	20281
Corrientes	16	21298
Corrientes	17	24634
Corrientes	18	28901
Corrientes	19	18559
Corrientes	20	12704
Corrientes	21	6566
Corrientes	22	4863
Corrientes	23	798
Diagonal Norte	0	2
Diagonal Norte	1	0
Diagonal Norte	2	0
Diagonal Norte	3	0
Diagonal Norte	5	204
Diagonal Norte	6	1484
Diagonal Norte	7	3364
Diagonal Norte	8	4710
Diagonal Norte	9	5445
Diagonal Norte	10	7498
Diagonal Norte	11	9230
Diagonal Norte	12	11988
Diagonal Norte	13	14516
Diagonal Norte	14	17056
Diagonal Norte	15	23920
Diagonal Norte	16	23280
Diagonal Norte	17	34420
Diagonal Norte	18	32957
Diagonal Norte	19	16057
Diagonal Norte	20	12236
Diagonal Norte	21	11179
Diagonal Norte	22	2297
Diagonal Norte	23	227
Dorrego	0	1
Dorrego	1	0
Dorrego	5	1423
Dorrego	6	9102
Dorrego	7	25699
Dorrego	8	40735
Dorrego	9	37243
Dorrego	10	26554
Dorrego	11	24524
Dorrego	12	25058
Dorrego	13	25613
Dorrego	14	25442
Dorrego	15	25206
Dorrego	16	29178
Dorrego	17	40230
Dorrego	18	43963
Dorrego	19	23989
Dorrego	20	17002
Dorrego	21	11036
Dorrego	22	5745
Dorrego	23	428
Echeverria	5	866
Echeverria	6	8555
Echeverria	7	30014
Echeverria	8	49349
Echeverria	9	34409
Echeverria	10	19917
Echeverria	11	15795
Echeverria	12	14759
Echeverria	13	13983
Echeverria	14	12171
Echeverria	15	11325
Echeverria	16	12477
Echeverria	17	14616
Echeverria	18	13502
Echeverria	19	10097
Echeverria	20	8863
Echeverria	21	5903
Echeverria	22	2664
Echeverria	23	118
Emilio Mitre	0	0
Emilio Mitre	4	0
Emilio Mitre	5	999
Emilio Mitre	6	6399
Emilio Mitre	7	19154
Emilio Mitre	8	31023
Emilio Mitre	9	25499
Emilio Mitre	10	16203
Emilio Mitre	11	14541
Emilio Mitre	12	14364
Emilio Mitre	13	12969
Emilio Mitre	14	11813
Emilio Mitre	15	11460
Emilio Mitre	16	12408
Emilio Mitre	17	12967
Emilio Mitre	18	11790
Emilio Mitre	19	9988
Emilio Mitre	20	10311
Emilio Mitre	21	5768
Emilio Mitre	22	2923
Emilio Mitre	23	305
Entre Rios	0	1
Entre Rios	5	452
Entre Rios	6	2334
Entre Rios	7	5832
Entre Rios	8	9044
Entre Rios	9	7696
Entre Rios	10	6671
Entre Rios	11	6787
Entre Rios	12	7541
Entre Rios	13	7385
Entre Rios	14	7043
Entre Rios	15	6784
Entre Rios	16	6832
Entre Rios	17	7135
Entre Rios	18	5907
Entre Rios	19	4393
Entre Rios	20	4375
Entre Rios	21	2604
Entre Rios	22	1523
Entre Rios	23	223
Facultad de Derecho	0	0
Facultad de Derecho	4	1
Facultad de Derecho	5	147
Facultad de Derecho	6	915
Facultad de Derecho	7	2190
Facultad de Derecho	8	3167
Facultad de Derecho	9	3742
Facultad de Derecho	10	4872
Facultad de Derecho	11	8686
Facultad de Derecho	12	7164
Facultad de Derecho	13	7348
Facultad de Derecho	14	9059
Facultad de Derecho	15	10138
Facultad de Derecho	16	14890
Facultad de Derecho	17	22360
Facultad de Derecho	18	26777
Facultad de Derecho	19	21647
Facultad de Derecho	20	24819
Facultad de Derecho	21	12138
Facultad de Derecho	22	4920
Facultad de Derecho	23	1040
Facultad de Medicina	5	763
Facultad de Medicina	6	5232
Facultad de Medicina	7	14723
Facultad de Medicina	8	29296
Facultad de Medicina	9	35283
Facultad de Medicina	10	33314
Facultad de Medicina	11	40402
Facultad de Medicina	12	43756
Facultad de Medicina	13	43776
Facultad de Medicina	14	43679
Facultad de Medicina	15	41111
Facultad de Medicina	16	45960
Facultad de Medicina	17	43930
Facultad de Medicina	18	38069
Facultad de Medicina	19	30741
Facultad de Medicina	20	27066
Facultad de Medicina	21	23449
Facultad de Medicina	22	7836
Facultad de Medicina	23	781
Federico Lacroze	0	0
Federico Lacroze	2	0
Federico Lacroze	3	0
Federico Lacroze	4	0
Federico Lacroze	5	16708
Federico Lacroze	6	63370
Federico Lacroze	7	142781
Federico Lacroze	8	220584
Federico Lacroze	9	176783
Federico Lacroze	10	115778
Federico Lacroze	11	91251
Federico Lacroze	12	84107
Federico Lacroze	13	82132
Federico Lacroze	14	69472
Federico Lacroze	15	64273
Federico Lacroze	16	64410
Federico Lacroze	17	74106
Federico Lacroze	18	70079
Federico Lacroze	19	43710
Federico Lacroze	20	35619
Federico Lacroze	21	23106
Federico Lacroze	22	10458
Federico Lacroze	23	1440
Flores	0	0
Flores	5	2650
Flores	6	16603
Flores	7	54627
Flores	8	87864
Flores	9	57292
Flores	10	36813
Flores	11	32487
Flores	12	31606
Flores	13	30386
Flores	14	24457
Flores	15	19146
Flores	16	21321
Flores	17	20952
Flores	18	18433
Flores	19	12674
Flores	20	9687
Flores	21	4983
Flores	22	2049
Flores	23	122
Florida	1	1
Florida	2	1
Florida	5	546
Florida	6	2276
Florida	7	5221
Florida	8	8886
Florida	9	12941
Florida	10	25605
Florida	11	40208
Florida	12	53727
Florida	13	62115
Florida	14	69107
Florida	15	85093
Florida	16	95550
Florida	17	150609
Florida	18	153334
Florida	19	79882
Florida	20	49489
Florida	21	27025
Florida	22	8709
Florida	23	1284
General Belgrano	0	0
General Belgrano	5	241
General Belgrano	6	1031
General Belgrano	7	2092
General Belgrano	8	3092
General Belgrano	9	3464
General Belgrano	10	4308
General Belgrano	11	5097
General Belgrano	12	6244
General Belgrano	13	6813
General Belgrano	14	7430
General Belgrano	15	9462
General Belgrano	16	11860
General Belgrano	17	15888
General Belgrano	18	17058
General Belgrano	19	6795
General Belgrano	20	4677
General Belgrano	21	3125
General Belgrano	22	1400
General Belgrano	23	228
General San Martin	1	0
General San Martin	4	0
General San Martin	5	436
General San Martin	6	2466
General San Martin	7	6578
General San Martin	8	9353
General San Martin	9	11218
General San Martin	10	14945
General San Martin	11	17830
General San Martin	12	22229
General San Martin	13	24566
General San Martin	14	24945
General San Martin	15	30518
General San Martin	16	41294
General San Martin	17	59826
General San Martin	18	69424
General San Martin	19	36835
General San Martin	20	21685
General San Martin	21	12754
General San Martin	22	4523
General San Martin	23	505
Hospitales	0	1
Hospitales	3	0
Hospitales	4	0
Hospitales	5	7462
Hospitales	6	38503
Hospitales	7	81643
Hospitales	8	91513
Hospitales	9	59739
Hospitales	10	35317
Hospitales	11	31263
Hospitales	12	33487
Hospitales	13	33519
Hospitales	14	27277
Hospitales	15	25069
Hospitales	16	25513
Hospitales	17	29183
Hospitales	18	27709
Hospitales	19	13455
Hospitales	20	10040
Hospitales	21	5821
Hospitales	22	2632
Hospitales	23	479
Humberto I	0	7
Humberto I	5	783
Humberto I	6	6157
Humberto I	7	17053
Humberto I	8	27842
Humberto I	9	22783
Humberto I	10	17376
Humberto I	11	16324
Humberto I	12	17222
Humberto I	13	17073
Humberto I	14	15858
Humberto I	15	16364
Humberto I	16	18019
Humberto I	17	18655
Humberto I	18	17330
Humberto I	19	12559
Humberto I	20	10289
Humberto I	21	5826
Humberto I	22	2962
Humberto I	23	817
Inclan	0	5
Inclan	5	1198
Inclan	6	6324
Inclan	7	17557
