pos	nombre	categoria	club	puntos	variacion	n_categoria
1	Bayona, Lucas	División de Honor	La Reja	3284	4	0
2	Bentancor, Martín	División de Honor	Ferrocarril Oeste	3197	4	0
3	Fuentes, Leandro	División de Honor	Alvear Club	3097	4	0
4	Lorenzo, Santiago	División de Honor	Atlanta	3000	26	0
5	Orencel Melnick, Alexis	División de Honor	San Lorenzo	2909	7	0
6	Joffre, Tomás	División de Honor	Ntra. Señora Lourdes	2826	0	0
7	Sato Coria, Lautaro	División de Honor	Alvear Club	2825	4	0
8	Remon, Juan Pablo	División de Honor	River Plate	2796	21	0
9	Guadalupe, Matías	División de Honor	Ferrocarril Oeste	2793	3	0
10	Bayona, Rodrigo	División de Honor	La Reja	2757	-19	0
11	Costantino, Daniel	División de Honor	River Plate	2739	-20	0
12	Gibo, Nicolás	División de Honor	Alvear Club	2690	9	0
13	Velarde, Matias	División de Honor	La Reja	2660	6	0
14	Acciaresi, Mariano	División de Honor	UGAB	2645	9	0
15	Jang, Luciano	División de Honor	Ferrocarril Oeste	2619	6	0
16	Pighini, Matías	División de Honor	Ntra. Señora Lourdes	2577	-34	0
17	Costantino, Gabriel	División de Honor	CEDIMA	2549	4	0
18	Yamamoto, Leandro	División de Honor	Alvear Club	2518	0	0
19	De Francesco, Nicolás	División de Honor	Fenix	2515	-7	0
20	Criado, Federico	División de Honor	Fenix	2497	7	0
21	Mendez, Mariano	División de Honor	UGAB	2488	-16	0
22	Sotto, Tomás	División de Honor	Ntra. Señora Lourdes	2459	22	0
23	Gabaldon, Christopher	División de Honor	Fenix	2427	32	0
24	Cieza, Ivan	División de Honor	UGAB	2413	0	0
25	Mariño, Ignacio Javier	Primera División	CEDIMA	2380	0	1
26	Iwasa, Agustina	Primera División	River Plate	2270	0	1
27	Conde Meira, Matías	Primera División	Peretz	2269	3	1
28	Lopez Marquez, Ezequiel	Primera División	Fenix	2253	0	1
29	Casal, Octavio	Primera División	Peretz	2252	-2	1
30	Beloqui, Ramón	Primera División	River Plate	2238	0	1
31	Delgadillo, Rodrigo	Primera División	San Lorenzo	2216	0	1
32	Blasco, Francisco Thomas	Primera División	La Legión TDM	2210	-3	1
33	Ciancio, Nicolás	Primera División	Top Minc	2198	-5	1
34	Marini, Santiago	Primera División	Ferrocarril Oeste	2196	0	1
35	Spinelli, Franco	Primera División	Ferrocarril Oeste	2191	9	1
36	Ramos, Mauro	Primera División	Fenix	2131	4	1
37	Gonzalez Dos Santos, Patricio	Primera División	Ntra. Señora Lourdes	2122	9	1
