pos	nombre	categoria	club	puntos	variacion	n_categoria
1	Bayona, Lucas	División de Honor	La Reja	3280	8	0
2	Bentancor, Martín	División de Honor	Ferrocarril Oeste	3193	3	0
3	Fuentes, Leandro	División de Honor	Alvear Club	3093	7	0
4	Lorenzo, Santiago	División de Honor	Atlanta	2974	3	0
5	Orencel Melnick, Alexis	División de Honor	San Lorenzo	2902	0	0
6	Joffre, Tomás	División de Honor	Ntra. Señora Lourdes	2826	10	0
7	Sato Coria, Lautaro	División de Honor	Alvear Club	2821	12	0
8	Guadalupe, Matías	División de Honor	Ferrocarril Oeste	2790	4	0
9	Bayona, Rodrigo	División de Honor	La Reja	2776	23	0
10	Remon, Juan Pablo	División de Honor	River Plate	2775	17	0
11	Costantino, Daniel	División de Honor	River Plate	2759	7	0
12	Gibo, Nicolás	División de Honor	Alvear Club	2681	25	0
13	Velarde, Matias	División de Honor	La Reja	2654	1	0
14	Acciaresi, Mariano	División de Honor	UGAB	2636	14	0
15	Jang, Luciano	División de Honor	Ferrocarril Oeste	2613	14	0
16	Pighini, Matías	División de Honor	Ntra. Señora Lourdes	2611	-7	0
17	Costantino, Gabriel	División de Honor	CEDIMA	2545	5	0
18	De Francesco, Nicolás	División de Honor	Fenix	2522	15	0
19	Yamamoto, Leandro	División de Honor	Alvear Club	2518	2	0
20	Mendez, Mariano	División de Honor	UGAB	2504	17	0
21	Criado, Federico	División de Honor	Fenix	2490	50	0
22	Sotto, Tomás	División de Honor	Ntra. Señora Lourdes	2437	32	0
23	Cieza, Ivan	División de Honor	UGAB	2413	4	0
24	Gabaldon, Christopher	División de Honor	Fenix	2395	2	0
25	Mariño, Ignacio Javier	Primera División	CEDIMA	2380	25	1
26	Iwasa, Agustina	Primera División	River Plate	2270	0	1
27	Conde Meira, Matías	Primera División	Peretz	2266	5	1
28	Casal, Octavio	Primera División	Peretz	2254	2	1
29	Lopez Marquez, Ezequiel	Primera División	Fenix	2253	7	1
30	Beloqui, Ramón	Primera División	River Plate	2238	-6	1
31	Delgadillo, Rodrigo	Primera División	San Lorenzo	2216	2	1
32	Blasco, Francisco Thomas	Primera División	La Legión TDM	2213	-8	1
33	Ciancio, Nicolás	Primera División	Top Minc	2203	0	1
34	Marini, Santiago	Primera División	Ferrocarril Oeste	2196	-5	1
35	Spinelli, Franco	Primera División	Ferrocarril Oeste	2182	-2	1
36	Ramos, Mauro	Primera División	Fenix	2127	14	1
37	Bronstein, Leandro	Primera División	River Plate	2117	-6	1
38	Gonzalez Dos Santos, Patricio	Primera División	Ntra. Señora Lourdes	2113	11	1
39	Merkin, Alan Gabriel	Primera División	River Plate	2102	0	1
40	Novizki, Pablo	Primera División	UBA Exactas	2087	5	1
41	Tchintchinian, Mariano	Primera División	UGAB	2064	4	1
42	Neira, Darío	Primera División	Top Minc	2051	-4	1
43	Valdes, Tobias D.	Primera División	CEDIMA	2047	0	1
44	Melluso, Salvador	Primera División	Gimnasty	2037	0	1
45	Kamimura, Emilio	Primera División	Soc. Fomento CAVA	1997	-4	1
46	Lovera Arteaga, Mainor	Primera División	La Legión TDM	1976	4	1
47	Viotti, Lucas	Primera División	Nikkei TDM	1966	-3	1
48	Carvalho, Lucas	Primera División	Top Minc	1962	-2	1
49	Marginet Campos, Alejandro	Primera División	La Reja	1951	6	1
50	Satriani, Genaro	Primera División	Ferrocarril Oeste	1948	0	1
51	Fernandez, Axel	Primera División	UGAB	1934	3	1
52	Lamazon, Gustavo Gabriel	Primera División	Soc. Fomento CAVA	1921	6	1
53	Gurevich, Ariel	Primera División	Macabi	1916	0	1
54	Morrazo, Agustín	Primera División	Atlanta	1911	0	1
55	Felscher, Jonathan	Primera División	Ateneo de Versailles	1899	-35	1
56	Valdez, Eduardo	Primera División	Alvear Club	1880	0	1
57	Tresca, Gastón	Primera División	Fenix	1848	0	1
58	Avian, Ignacio	Primera División	Fenix	1830	15	1
59	Buzzi, Maximiliano	Primera División	Top Minc	1821	-2	1
60	Callaba, Nicolás	Primera División	Gimnasty	1819	0	1
61	Bellusci, Nicolás	Segunda División	Fenix	1817	0	2
62	Achaval, Joaquin	Segunda División	Nikkei TDM	1813	0	2
63	Cisilin, Estanislao	Segunda División	Inst. Compañía María	1812	-55	2
64	Bellusci, Pablo	Segunda División	Fenix	1801	19	2
65	Strah, Juan Pablo	Segunda División	Ntra. Señora Lourdes	1791	-3	2
66	Basso, Valentin	Segunda División	Gimnasty	1776	0	2
67	Romero, Santiago	Segunda División	Ateneo de Versailles	1768	26	2
68	Ortega, Maximiliano	Segunda División	Soc. Fomento CAVA	1762	10	2
69	Peña, Franco	Segunda División	Atlanta	1755	0	2
70	Olmos, Agustin	Segunda División	Zenit	1749	7	2
71	Marini, Joaquín	Segunda División	Ferrocarril Oeste	1749	0	2
72	Waitzel, Ariel	Segunda División	Inst. Compañía María	1746	-2	2
73	Quintana, Lucas	Segunda División	Ntra. Señora Lourdes	1723	0	2
74	Blasco, Lisandro	Segunda División	Top Minc	1707	-2	2
75	Olmedo, Pablo	Segunda División	Ntra. Señora Lourdes	1687	0	2
76	Lovera Arteaga, Crismi Paola	Segunda División	La Legión TDM	1685	11	2
77	Mallo, Federico Oscar	Segunda División	Alvear Club	1675	0	2
78	Sato, Maximiliano	Segunda División	Rioja	1673	-4	2
79	Aguirre, Daniel	Segunda División	TMR	1662	3	2
80	Sculco, Nahuel	Segunda División	Alvear Club	1662	0	2
81	Bertran, Ezequiel	Segunda División	Inst. Compañía María	1648	-12	2
82	Garcia, Román	Segunda División	Gimnasty	1644	0	2
83	Weiss, Alan	Segunda División	La Legión TDM	1643	0	2
84	Sanabria, Oscar	Segunda División	La Reja	1642	0	2
85	Sarso, Luciano	Segunda División	Soc. Fomento CAVA	1640	-4	2
86	Uesugui, Rafael	Segunda División	Soc. Fomento CAVA	1639	0	2
87	Pighini, Pablo	Segunda División	Ntra. Señora Lourdes	1637	0	2
88	Pierini, Ariel	Segunda División	Ateneo de Versailles	1636	19	2
89	Aguirre, Sebastián	Segunda División	Inst. Compañía María	1636	0	2
90	Kaniuka, Aleksy	Segunda División	CEDIMA	1635	0	2
91	Marchese, Ignacio	Segunda División	Zenit	1635	-16	2
92	Samaja, Facundo	Segunda División	CTDM Pato Nizetich	1628	23	2
93	Buscema, Milton	Segunda División	Alvear Club	1625	0	2
94	Candela, Juan	Segunda División	Fenix	1625	0	2
95	Hurevich, Tobias	Segunda División	Ferrocarril Oeste	1613	0	2
96	Tula, Ricardo	Segunda División	Nikkei TDM	1611	0	2
97	Moscato, Alejandro	Segunda División	Alvear Club	1608	0	2
98	Peralta Bello, Tiago	Segunda División	Gimnasty	1601	0	2
99	Rossi, Mauro	Segunda División	CPCN Villa Gesell	1599	0	2
100	Grimoldi, Maximiliano	Segunda División	UGAB	1599	0	2
101	Burotto, Pablo	Segunda División	San Fernando TDM	1598	0	2
102	Palazzo, Didier	Segunda División	Ateneo de Versailles	1593	12	2
103	Gutierrez, Marcelo	Segunda División	Libertad	1585	0	2
104	Almiron, Esteban	Segunda División	Ferrocarril Oeste	1582	0	2
105	Correas Espeche, Ezequiel	Segunda División	Peretz	1573	0	2
106	Fermanelli, Pedro	Segunda División	Ntra. Señora Lourdes	1570	0	2
107	Marchese, Joaquín	Segunda División	Zenit	1566	-2	2
108	Camagna, Diego Andrés	Segunda División	Fenix	1562	0	2
109	Deym, Federico	Segunda División	Tigre Juniors	1558	8	2
110	Fazio, Agustín	Segunda División	UGAB	1557	0	2
111	Nakagama, Alex R.	Tercera División	CTDM Pato Nizetich	1550	0	3
112	Kravetz, Daniel	Tercera División	Ferrocarril Oeste	1546	0	3
113	Rojo, Santiago	Tercera División	La Legión TDM	1540	14	3
114	Huici, Julián	Tercera División	Alvear Club	1538	19	3
115	Jang, Agustín	Tercera División	Ferrocarril Oeste	1538	0	3
116	Pastore, Daniel	Tercera División	Rioja	1533	0	3
117	Perez, Alejandro	Tercera División	CEDIMA	1526	0	3
118	Medina, Nicolas	Tercera División	CTDM Pato Nizetich	1517	-10	3
119	Milgram, Uriel	Tercera División	Macabi	1511	-9	3
120	Cassara, Omar	Tercera División	River Plate	1508	0	3
121	Acuña, Luis	Tercera División	Inst. Compañía María	1503	-25	3
122	Vera, Joaquín	Tercera División	La Reja	1489	0	3
123	Rotryng Alvarez, Facundo	Tercera División	Macabi	1485	-4	3
124	Carusso, Roberto	Tercera División	San Lorenzo	1484	0	3
125	Bordenave, Galo	Tercera División	Nikkei TDM	1482	22	3
126	Chapuis, Kevin N.	Tercera División	TMR	1471	39	3
127	Cespedes, Osvaldo	Tercera División	TMR	1470	0	3
128	Selvaggi, Pablo	Tercera División	La Legión TDM	1470	0	3
129	Baltaian, Leandro Alfredo	Tercera División	CTDM Pato Nizetich	1470	0	3
130	Armoa, Santiago	Tercera División	Alvear Club	1465	4	3
131	Jaimovich, Ignacio	Tercera División	Top Minc	1463	-1	3
132	Sanucci, Matías	Tercera División	La Reja	1461	0	3
133	Otero Saumell, Juan	Tercera División	CTDM Pato Nizetich	1444	15	3
134	Vigolo, Alejandro	Tercera División	Padilla	1434	-16	3
135	Regner, Martín	Tercera División	U.V.V.A.	1425	-12	3
136	Camposaragna, Gian Franco	Tercera División	La Legión TDM	1424	14	3
137	Fusaro, Pablo	Tercera División	Fenix	1419	0	3
138	Maza, Diego Hernán	Tercera División	San Fernando TDM	1410	-17	3
139	Salvatierra, Marcelo	Tercera División	TMR	1406	0	3
140	Gonzalez Castañon, Hernán	Tercera División	Inst. Compañía María	1405	0	3
141	Acosta Rios, Juan Ignacio	Tercera División	Top Minc	1405	-1	3
142	Ortiz, Carlos N.	Tercera División	Libertad	1404	24	3
143	Miyagi, Dario	Tercera División	Nikkei TDM	1402	0	3
144	Navarro, Sergio Fernando	Tercera División	Inst. Compañía María	1402	0	3
145	Delgado, Gastón	Tercera División	Fenix	1401	0	3
146	Faranca, Matias	Tercera División	CTDM Pato Nizetich	1398	0	3
147	Casanova, Eduardo	Tercera División	UGAB	1397	0	3
148	Albanese, Juan Manuel	Tercera División	Padilla	1388	85	3
149	Bernasconi, Felipe	Tercera División	CTDM Pato Nizetich	1382	14	3
150	Elnen, Mariano	Tercera División	La Legión TDM	1380	0	3
151	Martinez, Federico	Tercera División	UGAB	1378	0	3
152	Opazo, David	Tercera División	Padilla	1377	-17	3
153	Assennato, Sebastián	Tercera División	River Plate	1369	0	3
154	Completa, Martín	Tercera División	UBA Exactas	1357	9	3
155	Maeshiro, Kevin	Tercera División	Alvear Club	1354	0	3
156	Slinin, Julio	Tercera División	UGAB	1349	12	3
157	Grondona, Sebastián	Tercera División	Gimnasty	1347	0	3
158	Cardoso, Andres N	Tercera División	Soc. Fomento CAVA	1341	0	3
159	Mortula, Luciano	Tercera División	La Legión TDM	1339	0	3
160	Amendola, Julio	Tercera División	Soc. Fomento CAVA	1333	0	3
161	Gonzalez Fernandez, Agustín	Cuarta División	Ntra. Señora Lourdes	1326	0	4
162	Lomovasky, Andrés	Cuarta División	CTDM Pato Nizetich	1326	0	4
163	Frasson, Gabriel	Cuarta División	TMR	1325	17	4
164	Bonanata, Ignacio	Cuarta División	Ntra. Señora Lourdes	1325	10	4
165	Liebana, Juan Cruz	Cuarta División	La Legión TDM	1312	0	4
166	Szeinfain, Thomas	Cuarta División	Ateneo de Versailles	1310	10	4
167	Mirabelli, Ariel	Cuarta División	Alvear Club	1300	0	4
168	Bancora, Máximo	Cuarta División	Inst. Compañía María	1296	0	4
169	Barg, Matias Javier	Cuarta División	Atlanta	1295	0	4
170	Pollini, Santiago	Cuarta División	Ntra. Señora Lourdes	1292	10	4
171	Suarez, Agustin	Cuarta División	Nikkei TDM	1279	25	4
172	Rizzo, Juan	Cuarta División	Garin Tenis de Mesa	1279	16	4
173	Greco, Juan Carlos	Cuarta División	Ferrocarril Oeste	1278	0	4
174	Gans, Ignacio	Cuarta División	Macabi	1277	28	4
175	Gomez, Tomas	Cuarta División	Tigre Juniors	1277	-3	4
176	Falles, Miguel Angel	Cuarta División	Gimnasty	1275	0	4
177	Tula, Fabio	Cuarta División	Nikkei TDM	1275	0	4
178	Porciello, Angel David	Cuarta División	Oeste TDM Catán	1266	15	4
179	Tamashiro, Daniel	Cuarta División	Inst. Compañía María	1264	0	4
180	Dorigoni, Enzo	Cuarta División	Libertad	1262	-9	4
181	Vera, Agustín	Cuarta División	La Reja	1253	0	4
182	Yonamine, Ricardo	Cuarta División	UGAB	1252	12	4
183	Rajmil, Bernardo	Cuarta División	Peretz	1244	0	4
184	Valenzuela, Jonathan	Cuarta División	Adrogue Sith Spin	1241	17	4
185	Cohen, Claudio	Cuarta División	Cedem no 2	1239	0	4
186	Atamian, Martín	Cuarta División	Alvear Club	1234	4	4
187	Krotsch, Pablo	Cuarta División	CPCN Villa Gesell	1231	0	4
188	Martinez, Diego O.	Cuarta División	C.A.S.A. de Padua	1225	7	4
189	Olmos, Alan	Cuarta División	Zenit	1220	17	4
190	Cuska, Daniel Eduardo	Cuarta División	Ntra. Señora Lourdes	1220	0	4
191	Ortiz, Cristian	Cuarta División	TMR	1217	0	4
192	Viñas, Nicolás	Cuarta División	Atlanta	1215	0	4
193	Cabrera, Tomas	Cuarta División	Ingeniero Acosta	1214	0	4
194	Saul, Felipe	Cuarta División	Alvear Club	1211	30	4
195	Gonzalez, Lucas Horacio	Cuarta División	Top Minc	1207	0	4
196	Berutti, Miguel	Cuarta División	Alvear Club	1194	3	4
197	Autorino, José	Cuarta División	Nikkei TDM	1188	0	4
198	Guglielmone, Gustavo	Cuarta División	Fenix	1181	0	4
199	Gonzalez, José	Cuarta División	Ntra. Señora Lourdes	1179	0	4
200	Rodriguez Salem, Ignacio	Cuarta División	Gimnasty	1170	0	4
201	Aizemberg, Ariel	Cuarta División	Fenix	1162	0	4
202	Petrasso, Leonardo	Cuarta División	Soc. Fomento CAVA	1160	0	4
203	Erlich, Damian Ariel	Cuarta División	Top Minc	1144	0	4
204	Müller, Daniel	Cuarta División	La Legión TDM	1140	0	4
205	Fernandez Pizzella, Valentin	Cuarta División	Ferrocarril Oeste	1140	0	4
206	Aquino, Manuel	Cuarta División	River Plate	1138	0	4
207	Anguillesi, Miguel	Cuarta División	Fenix	1122	0	4
208	Ferro, Pablo	Cuarta División	TMR	1122	0	4
209	Stefanini, Sebastián	Cuarta División	C.A.S.A. de Padua	1115	7	4
210	Fernandez Lombardo, Ramiro	Cuarta División	UGAB	1110	7	4
211	Dorrego, Javier	Quinta División	Ferrocarril Oeste	1109	30	5
212	Yamaguchi, Luis Alberto	Quinta División	Peñarol	1104	1	5
213	Bisforo, Lucas	Quinta División	Padilla	1097	0	5
214	Luciani, Daniel H.	Quinta División	C.A.S.A. de Padua	1079	0	5
215	Bustamante, Matías	Quinta División	Ntra. Señora Lourdes	1073	3	5
216	Santellan, Wilfredo Germán	Quinta División	Fenix	1072	0	5
217	De Bonis, Ignacio	Quinta División	U.V.V.A.	1069	-25	5
218	Ghini, Bruno	Quinta División	Ateneo de Versailles	1054	52	5
219	Faranca, Dario	Quinta División	La Reja	1052	0	5
220	Demoor, Rodrigo A.	Quinta División	Ingeniero Acosta	1049	0	5
221	Leon, Tomas	Quinta División	Top Minc	1048	0	5
222	Convertini, Pablo	Quinta División	Top Minc	1047	0	5
223	Sosa, Mateo	Quinta División	River Plate	1046	0	5
