pos	nombre	categoria	club	puntos	variacion
1	Bayona, Lucas	División de Honor	La Reja	3245	-16
2	Bentancor, Martín	División de Honor	Ferrocarril Oeste	3190	0
3	Fuentes, Leandro	División de Honor	Alvear Club	3059	46
4	Lorenzo, Santiago	División de Honor	Atlanta	2929	76
5	Orencel Melnick, Alexis	División de Honor	San Lorenzo	2910	3
6	Guadalupe, Matías	División de Honor	Ferrocarril Oeste	2822	4
7	Bayona, Rodrigo	División de Honor	La Reja	2799	-1
8	Sato Coria, Lautaro	División de Honor	Alvear Club	2685	22
9	Pighini, Matías	División de Honor	Ntra. Señora Lourdes	2602	12
10	Acciaresi, Mariano	División de Honor	UGAB	2567	0
11	Criado, Federico	División de Honor	Fenix	2560	0
12	De Vincenzo, Matias	División de Honor	La Legión TDM	2537	0
13	Jang, Luciano	División de Honor	Ferrocarril Oeste	2528	-5
14	Velarde, Matias	División de Honor	Padilla	2527	46
15	Costantino, Gabriel	División de Honor	CEDIMA	2512	-27
16	Yamamoto, Leandro	División de Honor	Alvear Club	2511	-14
17	Mendez, Mariano	División de Honor	UGAB	2496	27
18	De Francesco, Nicolás	División de Honor	Fenix	2472	0
19	Sotto, Tomás	División de Honor	Ntra. Señora Lourdes	2403	15
20	Len, Daniel	División de Honor	Atlanta	2354	0
21	Lopez Marquez, Ezequiel	División de Honor	Fenix	2318	0
22	Cieza, Ivan	División de Honor	UGAB	2314	66
23	Delgadillo, Rodrigo	División de Honor	San Lorenzo	2310	-21
24	Gabaldon, Christopher	División de Honor	Fenix	2290	-18
25	Conde Meira, Matías	Primera División	La Patriada	2284	0
26	Mariño, Ignacio Javier	Primera División	CEDIMA	2282	28
27	Marini, Santiago	Primera División	Ferrocarril Oeste	2279	-7
28	Casal, Octavio	Primera División	Peretz	2226	-9
29	Blasco, Francisco Thomas	Primera División	La Legión TDM	2180	-3
30	Spinelli, Franco	Primera División	Ferrocarril Oeste	2175	73
31	De Simone, Mariano	Primera División	Nichia Gakuin	2152	0
32	Duran, Ian	Primera División	Peretz	2141	0
33	Ramos, Mauro	Primera División	Fenix	2138	4
34	Novizki, Pablo	Primera División	UBA Exactas	2126	54
35	Gonzalez Dos Santos, Patricio	Primera División	Ntra. Señora Lourdes	2089	-83
36	Tchintchinian, Mariano	Primera División	UGAB	2079	-15
37	Satriani, Genaro	Primera División	Ferrocarril Oeste	2079	-92
38	Fernandez, Leoncio	Primera División	Ferrocarril Oeste	2061	-90
39	Ciancio, Nicolás	Primera División	Top Minc	2005	-10
40	Perez, Hernán	Primera División	Peretz	1993	0
41	Nievas, Diego Gustavo	Primera División	CEDIMA	1984	0
42	Huergo, Maximiliano Román	Primera División	Nichia Gakuin	1977	20
43	Marginet Campos, Alejandro	Primera División	La Reja	1950	38
44	Valdez, Eduardo	Primera División	Alvear Club	1942	37
45	Strah, Juan Pablo	Primera División	Ntra. Señora Lourdes	1918	-15
46	Lovera Arteaga, Mainor	Primera División	La Legión TDM	1907	67
47	Lamazon, Gustavo Gabriel	Primera División	Soc. Fomento CAVA	1906	67
48	Achaval, Joaquin	Primera División	Nikkei TDM	1899	0
49	Cisilin, Estanislao	Primera División	Inst. Compañía María	1886	-11
50	Buzzi, Maximiliano	Primera División	Top Minc	1859	28
51	Morrazo, Agustín	Primera División	Atlanta	1851	62
52	Melluso, Salvador	Primera División	Gimnasty	1851	-12
53	Felscher, Jonathan	Primera División	Ateneo de Versailles	1823	0
54	Ding, Divina	Primera División	Obras Sanitarias	1821	10
55	Avian, Ignacio	Primera División	Fenix	1820	30
56	Darcyl, Leonardo	Primera División	Padilla	1797	0
57	Olmedo, Pablo	Primera División	Ntra. Señora Lourdes	1758	74
58	Waitzel, Ariel	Primera División	Inst. Compañía María	1747	8
59	Bellusci, Nicolás	Primera División	Fenix	1737	1
60	Sanabria, Oscar	Primera División	La Reja	1726	0
61	Sculco, Nahuel	Segunda División	Alvear Club	1711	34
62	Romero, Santiago	Segunda División	Ateneo de Versailles	1707	95
63	Bellusci, Pablo	Segunda División	Fenix	1701	6
64	Lemos, Ulises	Segunda División	Fenix	1684	0
65	Caram, Alejo	Segunda División	Inst. Compañía María	1662	0
66	Sato, Maximiliano	Segunda División	Rioja	1656	11
67	Bertran, Ezequiel	Segunda División	Inst. Compañía María	1655	2
68	Sarso, Luciano	Segunda División	Soc. Fomento CAVA	1649	2
69	Mallo, Federico Oscar	Segunda División	Alvear Club	1645	-11
70	Ortega, Maximiliano	Segunda División	Soc. Fomento CAVA	1630	0
71	Rossi, Mauro	Segunda División	CPCN Villa Gesell	1628	0
72	Deym, Federico	Segunda División	Tigre Juniors	1622	111
73	Moscato, Alejandro	Segunda División	Alvear Club	1616	-11
74	Burotto, Pablo	Segunda División	San Fernando TDM	1606	0
75	Camagna, Diego Andrés	Segunda División	Fenix	1596	-2
76	Uesugui, Rafael	Segunda División	Soc. Fomento CAVA	1594	-46
77	Cassara, Omar	Segunda División	River Plate	1591	0
78	Grimoldi, Maximiliano	Segunda División	UGAB	1588	10
79	Jang, Agustín	Segunda División	Ferrocarril Oeste	1566	90
80	Pastore, Daniel	Segunda División	Rioja	1566	17
81	Olmos, Agustin	Segunda División	Zenit	1565	59
82	Weiss, Alan	Segunda División	La Legión TDM	1562	123
83	Kravetz, Daniel	Segunda División	Ferrocarril Oeste	1546	4
84	Vera, Joaquín	Segunda División	La Reja	1546	-21
85	Acosta Rios, Juan Ignacio	Segunda División	Top Minc	1542	-49
86	Garcia, Román	Segunda División	Gimnasty	1541	58
87	Rotryng Alvarez, Facundo	Segunda División	Macabi	1534	-18
88	Perez, Alejandro	Segunda División	CEDIMA	1532	-45
89	Correas Espeche, Ezequiel	Segunda División	Peretz	1526	7
90	Hurevich, Tobias	Segunda División	Ferrocarril Oeste	1524	64
91	Buscema, Milton	Segunda División	Alvear Club	1522	-22
92	Pierini, Ariel	Segunda División	Ateneo de Versailles	1516	51
93	Armoa, Santiago	Segunda División	Alvear Club	1516	0
94	Tresca, Gastón	Segunda División	Fenix	1512	155
95	Fermanelli, Pedro	Segunda División	Ntra. Señora Lourdes	1508	-7
96	Basso, Valentin	Segunda División	Gimnasty	1505	254
97	Selvaggi, Pablo	Segunda División	La Legión TDM	1470	6
98	Palazzo, Didier	Segunda División	Ateneo de Versailles	1469	45
99	Sanucci, Matías	Segunda División	La Reja	1469	17
100	Jaimovich, Ignacio	Segunda División	Top Minc	1468	-8
101	Almiron, Esteban	Segunda División	Ferrocarril Oeste	1465	-19
102	Medina, Nicolas	Segunda División	CTDM Pato Nizetich	1464	48
103	Cespedes, Osvaldo	Segunda División	MTMs	1464	0
104	Nakagama, Alex R.	Segunda División	CTDM Pato Nizetich	1464	-31
105	Acuña, Luis	Segunda División	Inst. Compañía María	1461	25
106	Marini, Joaquín	Segunda División	Ferrocarril Oeste	1453	56
107	Barg, Matias Javier	Segunda División	Atlanta	1433	-34
108	Candela, Juan	Segunda División	Fenix	1425	0
109	Camposaragna, Gian Franco	Segunda División	La Legión TDM	1414	12
110	Amendola, Julio	Segunda División	Soc. Fomento CAVA	1413	-33
111	Peralta Bello, Tiago	Tercera División	Gimnasty	1402	0
112	Casanova, Eduardo	Tercera División	UGAB	1394	-32
113	Martinez, Federico	Tercera División	UGAB	1388	-34
114	Completa, Martín	Tercera División	UBA Exactas	1386	0
115	Fusaro, Pablo	Tercera División	Fenix	1374	-14
116	Navarro, Sergio Fernando	Tercera División	Inst. Compañía María	1366	0
117	Blasco, Lisandro	Tercera División	Top Minc	1358	46
118	Maeshiro, Kevin	Tercera División	Alvear Club	1354	-15
119	Mirabelli, Ariel	Tercera División	Alvear Club	1351	-63
120	Delgado, Gastón	Tercera División	Fenix	1349	-40
121	Suarez, Agustin	Tercera División	Nikkei TDM	1338	70
122	Bordenave, Galo	Tercera División	Nikkei TDM	1335	17
123	Lomovasky, Andrés	Tercera División	CTDM Pato Nizetich	1326	84
124	Aguirre, Daniel	Tercera División	TMR	1326	5
125	Gonzalez Fernandez, Agustín	Tercera División	Ntra. Señora Lourdes	1326	-10
126	Rojo, Santiago	Tercera División	La Legión TDM	1320	21
127	Faranca, Matias	Tercera División	CTDM Pato Nizetich	1316	12
128	Bancora, Máximo	Tercera División	Inst. Compañía María	1315	19
129	Greco, Juan Carlos	Tercera División	Ferrocarril Oeste	1314	0
