posicion	jugador	club	puntos	categoria
909	Cannon, Patricio                   	Ferrocarril Oeste             	1094	4
910	Stefanini, Sebastián               	C.A.S.A. de Padua             	1093	4
911	Arias, Lucas                       	Inst. Compañía María          	1092	4
912	Lodieu, Gastón                     	Top Minc                      	1091	4
913	Diaz, Armín                        	Libre                         	1091	4
914	Cimino, Lucas                      	TMR                           	1089	4
915	Gallardo, Leonardo                 	Garin Tenis de Mesa           	1087	4
916	Recalde, Rodolfo                   	Alvear Club                   	1085	4
917	Ferreyra, Luis                     	Libre                         	1085	4
918	De Sousa, Maximiliano              	River Plate                   	1085	4
919	Anguillesi, Miguel                 	Fenix                         	1085	4
920	Fanucchi, Carlos                   	Libre                         	1084	4
921	Revah, Ismael                      	River Plate                   	1084	4
922	Blanco, Santiago                   	Adrogue Sith Spin             	1083	4
923	Rodini, Juan                       	Zenit                         	1083	4
924	Mera, Diego                        	UGAB                          	1082	4
925	Devito, Tomás                      	Fenix                         	1082	4
926	Bruno, Sergio                      	CTDM Pato Nizetich            	1081	4
927	Dorado, Enrique                    	U.V.V.A.                      	1081	4
928	Romero, Gastón                     	TMR                           	1080	4
929	Cuño, Sebastián                    	Top Minc                      	1079	4
930	Señaris, Tomás                     	Ferrocarril Oeste             	1079	4
931	Zalagione, Emiliano                	Gimnasty                      	1077	4
932	Yentaro Kitamikado, Dario          	Libre                         	1077	4
933	Ferrer, Javier                     	Peretz                        	1076	4
934	Alagia, Virginia                   	Ferrocarril Oeste             	1076	4
935	Toledo, Cristian                   	San Lorenzo                   	1076	4
936	Bentancor, Omar                    	Ferrocarril Oeste             	1076	4
937	Pozzi, Roberto                     	Ateneo de Versailles          	1075	4
938	Miño, Hugo                         	Garin Tenis de Mesa           	1075	4
939	Lococo, Juan                       	Nichia Gakuin                 	1075	4
940	Esmet, José                        	Libre                         	1074	4
941	La Marca, Hugo                     	Peretz                        	1073	4
942	Egert, Sergio                      	River Plate                   	1073	4
943	Di Salvo, Nahuel                   	Peretz                        	1072	4
944	Titolo, José                       	Alvear Club                   	1072	4
945	Huarachi, Adrian                   	Alvear Club                   	1072	4
946	Cebreiro, Ariel                    	Ingeniero Acosta              	1071	4
947	Escobar, Gabriel D.                	Def. Santos Lugares           	1071	4
948	Cevallos, Iván                     	Inst. Compañía María          	1070	4
949	Bisforo, Lucas                     	Padilla                       	1070	4
950	Lopez, Facundo                     	ASTECA                        	1069	4
951	Cavedale, Hernán                   	Cedem nº 2                    	1069	4
952	Chiguay, Rocío                     	Padilla                       	1069	4
953	Orge Portela, Arturo               	Libre                         	1067	4
954	Muñoz, Giselle                     	CEDIMA                        	1067	4
955	Velasco, Mariano Eduardo           	Nikkei TDM                    	1067	4
956	Jait, Damián                       	Libre                         	1066	4
957	De Pinto, Emilio                   	Ntra. Señora Lourdes          	1066	4
958	De Nadai, Eduardo                  	Fenix                         	1066	4
959	Fernandez, Alejo                   	UGAB                          	1066	4
960	Sequeira, Carlos                   	TMR                           	1064	4
961	Rivero, Mariano Nicolás            	Vito Dumas TdM                	1064	4
962	Malakian, Martín                   	Libre                         	1063	4
963	Yamauchi, Jorge                    	Escuela Cangallo              	1063	4
964	Proaño, Carlos                     	Libre                         	1062	4
965	Fadel, Anat                        	Macabi                        	1062	4
966	Vilte Bosch, Matias                	Social Club TDM               	1062	4
967	Munno, Alvaro                      	Peretz                        	1062	4
968	Arakaki, Ariel                     	Arroyo TMC                    	1061	4
969	Mayer, Agustín                     	Top Minc                      	1061	4
970	Caligaris, Juan                    	UGAB                          	1061	4
971	Demoor, Rodrigo A.                 	Ingeniero Acosta              	1061	4
972	Russo, Antonio                     	La Patriada                   	1060	4
973	Vernocchi, Julia                   	Ntra. Señora Lourdes          	1059	4
974	Makarov, Eugenio                   	Fenix                         	1059	4
975	Quiroga, Walter                    	TMR                           	1059	4
976	Waicman, Nicolas                   	CTDM Pato Nizetich            	1059	4
977	Barak, Norberto                    	Libre                         	1058	4
978	Lertora, Leandro                   	Top Minc                      	1058	4
979	Deandrea, Hernan                   	Social Club TDM               	1058	4
980	Samaniego, Franco                  	La Huella                     	1056	4
981	Fernandez, Maximiliano             	ASTECA                        	1055	4
982	Percival, Jorge                    	Ferrocarril Oeste             	1054	4
983	Cabrera, Salvador                  	Escuela Cangallo              	1054	4
984	Herrera, Maximiliano               	Gral. Sarmiento               	1054	4
985	Tinnirello, Sebastián              	Alvear Club                   	1054	4
986	De Lorenzi, Gastón                 	Libre                         	1054	4
987	Stern, Daniel                      	Social Club TDM               	1054	4
988	Mora, Cristian                     	Yupanqui                      	1053	4
989	Fadel, Uriel                       	Macabi                        	1053	4
990	Cabrera, Federico                  	Nichia Gakuin                 	1053	4
991	Arroyo, Osvaldo                    	La Patriada                   	1052	4
992	Paz, Talita                        	Libre                         	1052	4
993	Luciani, Daniel H.                 	C.A.S.A. de Padua             	1052	4
994	Luna, Mauro                        	TMR                           	1051	4
995	Gonzalez, Leandro                  	Atlanta                       	1050	4
996	Gomez, Nicolas                     	Social Club TDM               	1050	4
997	Moscoso, Maximiliano               	Social Club TDM               	1050	4
998	Carranza, Ariel                    	Tigre TDM                     	1050	4
999	Benseñor, Beatriz                  	Sociedad Hebraica             	1050	4
1000	Costantino, Mariana                	CEDIMA                        	1050	4
1001	Sirianni, Rubén                    	Libre                         	1049	4
1002	Pozzi, Roberto                     	Top Minc                      	1049	4
1003	Nievas, Yannick Ezequiel           	CEDIMA                        	1049	4
1004	Eidelstein, Ariel                  	Libre                         	1048	4
1005	Parri, Fernando                    	Nichia Gakuin                 	1048	4
1006	D angelo, Jonathan                 	Libre                         	1048	4
1007	Maravenik, Gabriel                 	Libre                         	1048	4
1008	Aguerreche, Iñaki                  	Peretz                        	1048	4
1009	Pedernera, Pablo                   	Libre                         	1047	4
1010	Parodi, Oscar                      	Alvear Club                   	1047	4
1011	Pomiro, Sebastián                  	Top Minc                      	1046	4
1012	Capara, Gustavo                    	Rioja                         	1045	4
1013	Tamashiro, Leandro                 	Libre                         	1044	4
1014	Perez, Emiliano                    	Inst. Compañía María          	1044	4
1015	Costo, Hernan A.                   	Tigre TDM                     	1044	4
1016	Nashiro, Evelyn                    	Peretz                        	1043	4
1017	Cherny, Sebastián                  	CTDM Pato Nizetich            	1043	4
1018	Kim, Alejandro                     	Top Minc                      	1043	4
1019	Pecci, Pablo                       	Oeste TDM Catán               	1043	4
1020	Martinez, Mario Raúl               	TMR                           	1043	4
1021	Fernandez Mugica, Mariano          	Inst. Compañía María          	1042	4
1022	Lescano, Ramiro                    	Urquiza                       	1042	4
1023	Convertini, Pablo                  	Top Minc                      	1042	4
1024	Iwasa, Mauricio                    	Gimnasty                      	1041	4
1025	Putnik, Gastón                     	Gimnasty                      	1041	4
1026	Cobanera, Marcos                   	Gimnasty                      	1040	4
1027	Putnik, Gerardo                    	Libre                         	1040	4
1028	Santa Cruz, Walter                 	Fenix                         	1040	4
1029	Mena, Gaspar                       	Gimnasty                      	1039	4
1030	Bublath, Gastón                    	Tigre TDM                     	1038	4
1031	Roig, Dante                        	Tigre TDM                     	1038	4
1032	Sirianni, Israel                   	Libre                         	1037	4
1033	Cardozo, Samuel                    	Garin Tenis de Mesa           	1037	4
1034	Gabay, Marcelo                     	Ferrocarril Oeste             	1036	4
1035	Rodriguez, Matías                  	Libre                         	1036	4
1036	Sirianni, Eleazar                  	Libre                         	1036	4
1037	Romero, Nicolás                    	La Legión TDM                 	1036	4
1038	Bronstein, Marcelo                 	Libre                         	1035	4
1039	Shinzato, Adrián                   	Nikkei TDM                    	1035	4
1040	Garrott, Mario                     	UBA Exactas                   	1034	5
1041	Ramos Olie, Milco                  	Peretz                        	1034	5
1042	Yasuda, Cintia                     	Peretz                        	1033	5
1043	Sacarias, Matías                   	Peretz                        	1033	5
1044	Aramburu, Bruno                    	Gimnasty                      	1032	5
1045	Traverso, Federico                 	La Legión TDM                 	1032	5
1046	Nuñez, Virgilio                    	Sol Argentino                 	1032	5
1047	Marrapodi, Nicolás                 	Ferrocarril Oeste             	1032	5
1048	Gualtieri, Héctor                  	Ntra. Señora Lourdes          	1032	5
1049	Gavelan, Juan                      	CPCN Villa Gesell             	1032	5
1050	Segade, Satur                      	Top Minc                      	1031	5
1051	Parola, Valentina                  	Alvear Club                   	1031	5
1052	Godoy, Javier                      	Libre                         	1030	5
1053	Castillo, Diego                    	Libre                         	1030	5
1054	Heidkamp, Diego                    	Libre                         	1030	5
1055	Perez Molet, Luis                  	Fenix                         	1030	5
1056	Bianchi, Mathew                    	Libre                         	1029	5
1057	Galindez, Oscar                    	Ntra. Señora Lourdes          	1029	5
1058	Siscaro, Jorge                     	Cedem nº 2                    	1027	5
1059	Rotryng Alvarez, Cielo             	Alvear Club                   	1027	5
1060	Tovar Medina, Juan Carlos          	Urquiza                       	1027	5
1061	Ferreyra, E                        	Libre                         	1026	5
1062	Lomastro, Darío                    	Peretz                        	1026	5
1063	Pintos, Oscar                      	Gral. Sarmiento               	1025	5
1064	Gonzalez, Tomás                    	Inst. Compañía María          	1024	5
1065	Longhi, Analía                     	Inst. Compañía María          	1024	5
1066	Christ, Franco                     	Top Minc                      	1024	5
1067	Paz, Santiago                      	Fenix                         	1024	5
1068	Altamirano, Agustín                	Peretz                        	1023	5
1069	Penesse, Daniel                    	Libre                         	1023	5
1070	Lucero, Martín                     	Top Minc                      	1023	5
1071	Mielnik, Eduardo                   	Rioja                         	1023	5
1072	Nakayama, Daisuke                  	Top Minc                      	1023	5
1073	Palacios, Darío                    	CTDM Pato Nizetich            	1022	5
1074	Galeano, Nicolás                   	Libre                         	1022	5
1075	Ferreyra, Ángel                    	Libre                         	1022	5
1076	Cruz, Gastón                       	Peñarol                       	1022	5
1077	Lopez, Gerónimo                    	TMR                           	1022	5
1078	Babuini, Matías                    	Fenix                         	1022	5
1079	Levit, Alejandro                   	Padilla                       	1022	5
1080	Tokumon, Nicolás                   	Libre                         	1021	5
1081	Bernardez, Santiago                	Fenix                         	1021	5
1082	Luzzi, Gustavo                     	Escuela Cangallo              	1020	5
1083	Morguenfeld, Juan                  	Libre                         	1020	5
1084	Bustamante, Julián                 	Gimnasty                      	1020	5
1085	Kruger, Daniel                     	Libre                         	1020	5
1086	Groisman, Leandro                  	Libre                         	1020	5
1087	Aranda, Mauricio                   	Yupanqui                      	1019	5
1088	Molentino, Luciano                 	Chacarita Jrs                 	1017	5
1089	Khatcherian, Daniel                	Alvear Club                   	1017	5
1090	Barr, Cristian                     	Soc. Fomento CAVA             	1017	5
1091	Iza, Daniel                        	Nichia Gakuin                 	1017	5
1092	Hurevich, Javier                   	Macabi                        	1016	5
1093	Vasquez, Mauricio                  	Top Minc                      	1016	5
1094	De Stefano, Pablo                  	Alvear Club                   	1016	5
1095	Santacroce, Fernando               	Fenix                         	1016	5
1096	Lombardi, Lucas                    	Gimnasty                      	1016	5
1097	Mira, Pablo                        	Top Minc                      	1016	5
1098	Pollini, Mariano                   	Ntra. Señora Lourdes          	1016	5
1099	Muszkat, Gastón                    	Hacoaj                        	1015	5
1100	Levenzon, Tomás                    	Libre                         	1015	5
1101	Coy Roldan, Pablo                  	Top Minc                      	1015	5
1102	Melano, Cristián                   	Gimnasty                      	1014	5
1103	Michardi, Jorge                    	Libre                         	1014	5
1104	Faranca, Dario                     	La Reja                       	1014	5
1105	Persico, Axel                      	Top Minc                      	1013	5
1106	Silva Castillo, Luciano            	Libre                         	1012	5
1107	Nardelli, Federico                 	Ingeniero Acosta              	1012	5
1108	Poledo, Alan                       	River Plate                   	1011	5
1109	Alcantara, Ramiro                  	Libre                         	1011	5
1110	Ochoa, Malena                      	Peretz                        	1011	5
1111	Gomez, Yéssica                     	Ferrocarril Oeste             	1011	5
1112	Montero, Santiago                  	Nichia Gakuin                 	1011	5
1113	Vazquez, Alejandro                 	River Plate                   	1010	5
1114	Sansone, Ariel                     	Libre                         	1009	5
1115	Soria, Juan Manuel                 	Arroyo TMC                    	1009	5
1116	Mayer, Andrés                      	UGAB                          	1009	5
1117	Etorena, Octavio                   	Gimnasty                      	1009	5
1118	Bercellini, Andrés                 	Nikkei TDM                    	1009	5
1119	Sigampa, Matías                    	Ferrocarril Oeste             	1008	5
1120	Jara, Luciano                      	Libre                         	1008	5
1121	Galeazzi, Marcelo                  	Arroyo TMC                    	1008	5
1122	Aquino, Manuel                     	River Plate                   	1008	5
1123	Martinez, Ayelen                   	Libre                         	1007	5
1124	Ischia, Javier                     	C.A.S.A. de Padua             	1007	5
1125	Marchegiani, Cristian              	Libre                         	1006	5
1126	Szekasy, Valentín                  	Inst. Compañía María          	1006	5
1127	Alcantara, Carlos                  	Libre                         	1005	5
1128	Polderman, Sandra                  	Top Minc                      	1005	5
1129	Vittori, Luciano                   	UGAB                          	1005	5
1130	Vilotta, Marco                     	Escuela Cangallo              	1005	5
1131	Lemos, Leandro                     	Garin Tenis de Mesa           	1005	5
1132	Hoffmann, Conrado                  	Libertad                      	1005	5
1133	Lanzafame, Luis                    	La Legión TDM                 	1004	5
1134	Bernardou, Tomas                   	Ateneo de Versailles          	1004	5
1135	Korchman, Adrián                   	Libre                         	1003	5
1136	Rodriguez, Pablo                   	Libre                         	1002	5
1137	Fleischer, Ricardo                 	Libre                         	1002	5
1138	Danelli, Alejandro                 	Inst. Compañía María          	1002	5
1139	Lopez, Martín                      	Escuela Cangallo              	1000	5
1140	Llanos, Florencia                  	C.A.S.A. de Padua             	1000	5
1141	Polanco Carrillo, Franky           	Atlanta                       	1000	5
1142	Higa, Facundo E                    	Peretz                        	1000	5
1143	Corbalan, Alejandro                	CEDIMA                        	1000	5
1144	Heredia, Edgardo                   	Libre                         	1000	5
1145	Lamarina, Martin                   	Peñarol                       	1000	5
1146	Traverso, Adrian                   	La Reja                       	1000	5
1147	Kalomiris, Lucas                   	La Reja                       	1000	5
1148	Traverso, Lautaro                  	La Reja                       	1000	5
1149	Antunez, Franco                    	La Reja                       	1000	5
1150	Vignolo, Matias Daniel             	Fenix                         	1000	5
1151	Vergara, N                         	Libre                         	999	5
1152	Hsueh, Daniel                      	Escuela Cangallo              	999	5
1153	Rodriguez, Fernan                  	Fenix                         	999	5
1154	Pantegnies, Hervé                  	UGAB                          	999	5
1155	Maraviglia, Claudio                	Escuela Cangallo              	998	5
1156	Cantilo, Rafael                    	Ferrocarril Oeste             	998	5
1157	Schoua, Horacio                    	HCD                           	998	5
1158	Ferreyra, Germán                   	Libre                         	997	5
1159	Arce, Agustín                      	Ingeniero Acosta              	997	5
1160	Escobar, Guillermo                 	Ferrocarril Oeste             	997	5
1161	Ballon, Pablo                      	Rioja                         	997	5
1162	Cantilo, Rocío                     	Ateneo de Versailles          	996	5
1163	Stancich, Juan                     	Libre                         	996	5
1164	Ricciardeli, Lautaro               	Fenix                         	996	5
1165	Avendaño, Cristian                 	Ingeniero Acosta              	996	5
1166	Cantarian, Aníbal                  	Garin Tenis de Mesa           	996	5
1167	Caputi, Joel                       	Peñarol                       	996	5
1168	Della Rocca, Federico              	Ingeniero Acosta              	996	5
1169	Soldi, Juan Andres                 	Gimnasty                      	996	5
1170	Linfozzi, Marcelo                  	Libre                         	995	5
1171	Kelmanovich, Matías                	Escuela Cangallo              	995	5
1172	Okada, Eduardo                     	TMR                           	995	5
1173	Vique, Daniel                      	TMR                           	993	5
1174	Castillo, Daniel F.                	Gimnasty                      	993	5
1175	Altamirano, Luis                   	Peretz                        	992	5
1176	Trovato, Leandro                   	Sol Argentino                 	992	5
1177	Perez, Federico Agustín            	Peretz                        	992	5
1178	Bannert, Braian                    	TMR                           	992	5
1179	Predazzi, Andrés                   	Padilla                       	992	5
1180	Peralta, Gabriel Horacio           	Libre                         	992	5
1181	Geronimo, Ismael Alejandro         	Top Minc                      	991	5
1182	Gimenez Tombuer, Hernán            	Sol Argentino                 	990	5
1183	Minc, Adrián                       	Libre                         	990	5
1184	Zurlo, Fernando                    	Escuela Cangallo              	990	5
1185	Valle Palacios, Tomás              	Soc. Fomento CAVA             	990	5
1186	Lagoa, Gabriel                     	Padilla                       	990	5
1187	Iwasa, Laura                       	Gimnasty                      	989	5
1188	Rodiño, Leandro                    	Escuela Cangallo              	988	5
1189	Chehebar, Mariano                  	Top Minc                      	988	5
1190	Madero, Oscar                      	Oeste TDM Catán               	988	5
1191	Ferrero, Federico                  	CEDIMA                        	987	5
1192	Zelada, Federico                   	CEDIMA                        	987	5
1193	Mokorel, Antonio                   	Zenit                         	987	5
1194	Gonzalez, Roberto Antonio          	Ntra. Señora Lourdes          	987	5
1195	Burghi, Natalio                    	UGAB                          	986	5
1196	Cherny, Fabián                     	CTDM Pato Nizetich            	986	5
1197	Sisaric, Andrés                    	Peretz                        	986	5
1198	Lobo, Agustín                      	Ferrocarril Oeste             	985	5
1199	Bermudez, Matías                   	Libre                         	985	5
1200	Zaourak, Javier                    	Ntra. Señora Lourdes          	985	5
1201	Mario, Federico                    	Fenix                         	984	5
1202	Rizzutti, Gerardo                  	Libre                         	983	5
1203	Belaustegui, Miguel                	River Plate                   	983	5
1204	Tiercin, Gonzalo                   	Atlanta                       	983	5
1205	Paolini, Santiago                  	Ferrocarril Oeste             	983	5
1206	Arancibia, Eduardo                 	La Patriada                   	983	5
1207	Medina, Sebastian                  	CTDM Pato Nizetich            	983	5
1208	Basseterre, Nicolás                	Intendente Agüero             	982	5
1209	Leiva, Pablo                       	Alvear Club                   	982	5
1210	Bentancor, Javier                  	Ferrocarril Oeste             	981	5
1211	Mendez, Lucas                      	Libre                         	980	5
1212	Mercau, Flavio                     	Padilla                       	979	5
1213	Bandi, Andrés                      	Top Minc                      	979	5
1214	Ronis, Nicolas                     	River Plate                   	979	5
1215	Lemos, Andrés                      	Garin Tenis de Mesa           	978	5
1216	Rodriguez Novillo, Diego           	Alvear Club                   	978	5
1217	Schuklapper, Alejandro             	Libre                         	977	5
1218	Yamasato, Pablo                    	Peretz                        	977	5
1219	Peralta, Hernán                    	Intendente Agüero             	976	5
1220	Matsumoto, Karen                   	Peretz                        	976	5
1221	Garcia Mingrone, Alejandro         	Nichia Gakuin                 	975	5
1222	Doino, Jorgelina                   	Nichia Gakuin                 	975	5
1223	Lacoa, Marcos                      	Inst. Compañía María          	974	5
1224	Campodonico, Diego M               	Padilla                       	974	5
1225	Etcheverry, Sebastián              	Peretz                        	973	5
1226	Garcia, Miguel                     	Libre                         	973	5
1227	Liebana, Sebastian                 	La Legión TDM                 	973	5
1228	Malenchini, Jorge Daniel           	CTDM Pato Nizetich            	973	5
1229	Maciel, Marcelo                    	CEDIMA                        	972	5
1230	Vergara, Coralia del Carmen        	Rioja                         	972	5
1231	Quiroga, Gustavo                   	Ingeniero Acosta              	972	5
1232	Cheong Cutreta, Agustín            	Estacion Ping Pong            	972	5
1233	Beviglia, Alejandro                	Rioja                         	971	5
1234	Plaskin, Gabriel                   	CISSAB                        	970	5
1235	Cajal, Eduardo Ignacio             	Oeste TDM Catán               	970	5
1236	Mauas, Adrián                      	CTDM Pato Nizetich            	970	5
1237	Amorin, Alejandro                  	Nichia Gakuin                 	970	5
1238	Vaisenstein, Claudio               	Libre                         	969	5
1239	Lara, Diego                        	Rioja                         	969	5
1240	Oliveira Mori, Dorian              	UGAB                          	969	5
1241	Canteros, Cristian                 	Ferrocarril Oeste             	969	5
1242	Blaksley, Carlos                   	Libre                         	968	5
1243	Baumlis, Debora                    	River Plate                   	968	5
1244	Schvartz, Ivan                     	Macabi                        	968	5
1245	Sosa Torales, Álvaro               	Oeste TDM Catán               	967	5
1246	Muralidharan, Ambarish             	La Legión TDM                 	966	5
1247	Ferrero, Gonzalo                   	CEDIMA                        	965	5
1248	Cardalda, Gustavo                  	Fenix                         	965	5
1249	Lopez, Sebastián                   	Gral. Sarmiento               	965	5
1250	Jorge, Joel                        	Ingeniero Acosta              	965	5
1251	Poloni Napoli, Valentin            	Libertad                      	965	5
1252	De Falco, Matías                   	Libre                         	963	5
1253	Akamine, Nicolás                   	Peretz                        	963	5
1254	Vazquez Magnani, Pablo G.          	Nikkei TDM                    	963	5
1255	Pisabarro, Mauricio                	Libre                         	962	5
1256	Ferrero, Santiago                  	CEDIMA                        	961	5
1257	Tissenbaum, Santiago               	Libre                         	961	5
1258	Aguirre, Miqueas                   	Padilla                       	961	5
1259	Rodriguez, Gonzalo                 	Inst. Compañía María          	961	5
1260	Santellan, Wilfredo Germán         	Fenix                         	961	5
1261	Lucero, Juan Roberto               	Soc. Fomento CAVA             	960	5
1262	La Boccetta, Ignacio               	Peretz                        	959	5
1263	Pirelli, Nelson                    	Ferrocarril Oeste             	958	5
1264	Cañizales, Efrain                  	CEDIMA                        	957	5
1265	Fernandez Mugica, Santiago         	Inst. Compañía María          	957	5
1266	Gonzalez, María                    	Peretz                        	956	5
1267	Bebebino, Natalia                  	Top Minc                      	956	5
1268	Aspauzo, Pablo                     	UGAB                          	956	5
1269	Cuska, Danilo                      	Adrogue Sith Spin             	956	5
1270	Turco, Juan Cruz                   	Ntra. Señora Lourdes          	955	5
1271	Werthamer, David                   	Social Club TDM               	955	5
1272	Fares, Hernan G.                   	Social Club TDM               	955	5
1273	Nigra, Guido                       	Peñarol                       	954	5
1274	Torcivia, Juan                     	Ingeniero Acosta              	953	5
1275	Wickmann, Lautaro                  	Nichia Gakuin                 	953	5
1276	Paccaloni, Sergio                  	Peretz                        	952	5
1277	Levy, Damián                       	Libre                         	951	5
1278	Linares, Exequiel                  	Soc. Fomento CAVA             	951	5
1279	Vasallo, Diego                     	Cultural Chelín               	951	5
1280	Petriz, Rodolfo                    	Fenix                         	951	5
1281	Penalva, Santiago                  	San Lorenzo                   	951	5
1282	Escalante, Eduardo                 	Gral. Sarmiento               	950	5
1283	Toscano, Marcelo                   	Alvear Club                   	950	5
1284	Valdivia Pires, Carlos             	Ntra. Señora Lourdes          	950	5
1285	Saragovi, Daniel                   	River Plate                   	949	5
1286	Rosado, Facundo                    	Ingeniero Acosta              	949	5
1287	Camiser, Sebastián                 	Nichia Gakuin                 	948	5
1288	Michan, Federico                   	Libre                         	948	5
1289	Tertnik, Francisco                 	Inst. Compañía María          	948	5
1290	Mendaro, Adrian G                  	CTDM Pato Nizetich            	948	5
1291	Higa, Guido                        	Nichia Gakuin                 	947	5
1292	Chapuis, Humberto                  	TMR                           	947	5
1293	Dellacha, Juan                     	Brit Ajim                     	946	5
1294	Penedo, Oscar                      	Brit Ajim                     	946	5
1295	Striglio, Lidia                    	River Plate                   	946	5
1296	Viegas, Lucas                      	TMR                           	946	5
1297	Goya, Emilio                       	Libre                         	946	5
1298	Fernandez, Mariano Ezequiel        	Atlanta                       	946	5
1299	Gadacz, Román                      	Libre                         	945	5
1300	Ciuccio, Samuel                    	TMR                           	945	5
1301	Guibernau, Alejandro               	Libre                         	944	5
1302	Varela, Facundo                    	River Plate                   	944	5
1303	Bellen, Ricardo                    	Ingeniero Acosta              	944	5
1304	Gramajo, Gustavo                   	Nichia Gakuin                 	943	5
1305	Dappen, Sergio                     	Alvear Club                   	942	5
1306	Escola, Pablo                      	Macabi                        	941	5
1307	Vargas, Mariela                    	Libre                         	940	5
1308	Giampaoli, Gustavo                 	Rioja                         	940	5
1309	Salim, Joel                        	Ingeniero Acosta              	940	5
1310	Cassano, Luis                      	Fenix                         	940	5
1311	Ferreyra, Federico Nicolas         	Top Minc                      	940	5
1312	Liebana, Benjamin                  	La Legión TDM                 	940	5
1313	Posadas, Julián                    	Padilla                       	939	5
1314	Fumagalli, Ricardo                 	Ferrocarril Oeste             	939	5
1315	Alcayaga, Iván                     	Nichia Gakuin                 	938	5
1316	Sirri, Eduardo Julio               	Def. Santos Lugares           	938	5
1317	Palazzo, Miqueas                   	Ateneo de Versailles          	938	5
1318	Fernandez, Ñaupac                  	Ferrocarril Oeste             	937	5
1319	Lertora, Fabian                    	Ferrocarril Oeste             	937	5
1320	Roitman, Alejandra                 	Nikkei TDM                    	937	5
1321	Dappiano, Martin                   	Fenix                         	937	5
1322	Dos Santos, Nelson                 	Soc. Fomento CAVA             	936	5
1323	Guerrero, Federico                 	Nichia Gakuin                 	936	5
1324	Huang, Meng Yu                     	Escuela Cangallo              	936	5
1325	Duek, Joaquin                      	Macabi                        	936	5
1326	Roig, Germán                       	Gimnasty                      	935	5
1327	Yamamoto, Irina                    	Alvear Club                   	935	5
1328	Valverde, Javier                   	Ferrocarril Oeste             	935	5
1329	Abud, Nicolás                      	Brit Ajim                     	934	5
1330	Rosado, Daniel                     	Ingeniero Acosta              	934	5
1331	Maeda, Dario                       	Inst. Compañía María          	934	5
1332	Jopia, Tomás Francis               	Ingeniero Acosta              	934	5
1333	Cañadas, Rubén                     	UGAB                          	933	5
1334	Tapari, Claudio                    	Rioja                         	933	5
1335	Gagliardo, Matías                  	River Plate                   	933	5
1336	Udias, Lautaro                     	Ingeniero Acosta              	932	5
1337	Alcaide, Carlos                    	CEDIMA                        	931	5
1338	Ferreyra, Federico                 	Libre                         	930	5
1339	Sarralih, Alejandro                	Gimnasty                      	930	5
1340	Fierro, Mariano                    	Ingeniero Acosta              	930	5
1341	Bonggio, Matias J.                 	Tigre TDM                     	930	5
1342	Bobba, Juan                        	Rioja                         	929	5
1343	Pueblas, Martín                    	Top Minc                      	929	5
1344	Mariño, Leonardo                   	CEDIMA                        	928	5
1345	Pozzi, Aldo                        	River Plate                   	928	5
1346	Martin, Nicolás                    	C.A.S.A. de Padua             	928	5
1347	Kim, Martín                        	Libre                         	927	5
1348	Tophan, Daniel                     	Libre                         	927	5
1349	Costantini, Uriel                  	Cedem nº 2                    	926	5
1350	Monrroes, Enzo Oscar               	Zenit                         	926	5
1351	Fernandez, Iván                    	CPCN Villa Gesell             	925	5
1352	Gonzalez, Lucas                    	Sp. Villa Ballester           	925	5
1353	Ferreiro, Eduardo                  	Gimnasty                      	924	5
1354	Gomez, Diego Alberto               	Nichia Gakuin                 	924	5
1355	Cisneros, Yonatan                  	Oeste TDM Catán               	923	5
1356	Girotti, Adrian                    	Nikkei TDM                    	923	5
1357	Zalazar, Braulio                   	Padilla                       	922	5
1358	Guibernau, Ignacio                 	Yupanqui                      	922	5
1359	Costallat, Enrique                 	Adrogue Sith Spin             	922	5
1360	Artemisi, Alberto                  	Inst. Compañía María          	922	5
1361	Albis, Daniela                     	TMR                           	922	5
1362	Rojas, Carlos                      	CEDIMA                        	921	5
1363	Ramos, Mario                       	Yupanqui                      	921	5
1364	Edgar, Ian                         	Cedem nº 2                    	921	5
1365	Lopez, Ariel                       	CEDIMA                        	919	5
1366	Bublath, Augusto                   	Tigre TDM                     	919	5
1367	Lussenhoff, Alexander              	Libre                         	919	5
1368	Musumeci, Marcelo                  	TMR                           	918	5
1369	Rios, Gustavo                      	Alvear Club                   	917	5
1370	Gonzalez, Darío                    	Top Minc                      	917	5
1371	Murashima, Guillermo               	Rioja                         	916	5
1372	Aguiar, Gonzalo                    	Tigre TDM                     	916	5
1373	Laiño, Alejandro Daniel            	Soc. Fomento CAVA             	916	5
1374	Falco, Sebastián                   	Libre                         	915	5
1375	Maza, Juan Carlos                  	Garin Tenis de Mesa           	915	5
1376	Ercolano, Marcelo                  	Peñarol                       	915	5
1377	Mendez, Martín                     	Libre                         	914	5
1378	Carabajal, Martín                  	Ntra. Señora Lourdes          	914	5
1379	Aliota, Matías                     	CEDIMA                        	914	5
1380	Collante, Axel                     	Urquiza                       	914	5
1381	Menendez, Iván                     	Escuela Cangallo              	913	5
1382	Lago, Claudio                      	Urquiza                       	913	5
1383	Fragapane, Leonardo  Domingo       	Nichia Gakuin                 	913	5
1384	Marcos, Ernesto                    	Libre                         	912	5
1385	Van Lerberghe, Carlos              	River Plate                   	911	5
1386	Takeishi, Valeria                  	Peretz                        	911	5
1387	Karacic, Francisco                 	Libre                         	911	5
