posicion	jugador	club	puntos	categoria
405	Anderson, Frederic                 	Peretz                        	1486	3
406	Carlevarino, Pablo                 	Ferrocarril Oeste             	1485	3
407	Josid, Alex                        	Macabi                        	1484	3
408	Venancio, Juan                     	Garin Tenis de Mesa           	1484	3
409	Armoa, Santiago                    	Alvear Club                   	1484	3
410	Volman, Andy                       	Ferrocarril Oeste             	1483	3
411	Amuedo, Gerardo                    	Alvear Club                   	1482	3
412	Pustilnik, Pablo                   	Libre                         	1482	3
413	Cespedes, Osvaldo                  	La Legión TDM                 	1480	3
414	Lomovasky, Sergio                  	Padilla                       	1478	3
415	Avellino, Jorge                    	Gimnasty                      	1476	3
416	Belaustegui, Nicolás               	Tigre TDM                     	1476	3
417	Lipinszki, Alberto                 	River Plate                   	1476	3
418	Arrigoni, Carlos                   	Soc. Fomento CAVA             	1475	3
419	Salé Acosta, Juan                  	Ferrocarril Oeste             	1475	3
420	Altman, Daniel                     	Sociedad Hebraica             	1474	3
421	Leiva, Nicolás                     	Ateneo de Versailles          	1474	3
422	Altman, Marcelo                    	Sociedad Hebraica             	1473	3
423	Lara, Katherine M.                 	CEDIMA                        	1471	3
424	Rojo, Santiago                     	La Legión TDM                 	1471	3
425	Selvaggi, Pablo                    	La Legión TDM                 	1470	3
426	Rodriguez, Aurelio                 	Inst. Compañía María          	1469	3
427	Camps, Federico                    	San Lorenzo                   	1468	3
428	Camposaragna, Gian Franco          	La Legión TDM                 	1468	3
429	Larrea, Daniel                     	Soc. Fomento CAVA             	1464	3
430	Hambardzumyan, Irina               	Ferrocarril Oeste             	1463	3
431	Moron, Matías                      	Gimnasty                      	1462	3
432	Baltaian, Leandro Alfredo          	CTDM Pato Nizetich            	1460	3
433	Weis, Federico                     	Libre                         	1459	3
434	Massidda, Ariel                    	Garin Tenis de Mesa           	1459	3
435	D' Amato, Pablo                    	U.V.V.A.                      	1457	3
436	Rodriguez, Diego                   	Rioja                         	1454	3
437	Vergez, Federico                   	Fenix                         	1454	3
438	Faranca, Matias                    	CTDM Pato Nizetich            	1453	3
439	Garcia, Gerardo                    	Sol Argentino                 	1452	3
440	Parra, Nicolás                     	TMR                           	1450	3
441	De Leon, Fausto                    	Libre                         	1450	3
442	Colmenares Arape, Emmanuel         	Social Club TDM               	1450	3
443	Tellas, Andrea                     	Sociedad Hebraica             	1450	3
444	Bisignano, Ariel                   	Nikkei TDM                    	1449	3
445	Elnen, Mariano                     	La Legión TDM                 	1449	3
446	Ponce, Diego                       	River Plate                   	1449	3
447	Albanese, Juan Manuel              	Padilla                       	1449	3
448	De Francesco, Agustín              	Libre                         	1447	3
449	Venancio, Emiliano                 	Garin Tenis de Mesa           	1447	3
450	Peralta, Lucas                     	Nichia Gakuin                 	1447	3
451	Brenlla, Pablo                     	Ferrocarril Oeste             	1445	3
452	Diaz, Iosu                         	Peretz                        	1445	3
453	Coria, Lautaro                     	Zenit                         	1445	3
454	Gonzalez Castañon, Hernán          	Inst. Compañía María          	1444	3
455	Assennato, Sebastián               	River Plate                   	1444	3
456	Balcaza, Jorge Rodrigo             	C.A.S.A. de Padua             	1444	3
457	Videla, Juan Ignacio               	Libre                         	1443	3
458	Contreras, Guillermo               	Escuela Cangallo              	1442	3
459	Nakasone, Claudio                  	Peretz                        	1441	3
460	Hagenbuch, Gabriel                 	Top Minc                      	1441	3
461	Roggero, Gabriel                   	TMR                           	1440	3
462	Levisman, Gabriel                  	Peñarol                       	1438	3
463	Postrygacz, Itamar                 	Libre                         	1434	3
464	Sanchez, Leandro                   	Libre                         	1434	3
465	Sanucci, Matías                    	La Reja                       	1433	3
466	Carusso, Roberto                   	San Lorenzo                   	1431	3
467	Acosta Rios, Juan Ignacio          	Top Minc                      	1429	3
468	Banszczyk, Brian                   	Fenix                         	1427	3
469	Gutierrez, Gonzalo                 	U.V.V.A.                      	1427	3
470	Farina, Ulises                     	TMR                           	1427	3
471	Suarez, Agustin                    	Nikkei TDM                    	1425	3
472	Frasson, Gabriel                   	Libertad                      	1421	3
473	Copola, Gabriel                    	Soc. Fomento CAVA             	1419	3
474	Urquiza, Ignacio                   	Gimnasty                      	1419	3
475	Imaray, Fernando                   	Libre                         	1419	3
476	Gesualdi, Marcelo                  	Gimnasty                      	1416	3
477	Barutta Sosa, Ignacio              	San Lorenzo                   	1416	3
478	Varela, Cecilia                    	Ferrocarril Oeste             	1415	3
479	Wior, Daniel                       	Atlanta                       	1413	3
480	Navarro, Sergio Fernando           	Inst. Compañía María          	1412	3
481	Fusaro, Pablo                      	Fenix                         	1410	3
482	Zinna, Kevin                       	CEDIMA                        	1410	3
483	Milgram, Uriel                     	Macabi                        	1407	3
484	Barrea, Ignacio                    	River Plate                   	1406	3
485	Salvatierra, Marcelo               	TMR                           	1406	3
486	Slinin, Julio                      	UGAB                          	1406	3
487	Casanova, Eduardo                  	UGAB                          	1405	3
488	Paz, Facundo                       	CEDIMA                        	1404	3
489	Meyer, Alfredo                     	River Plate                   	1403	3
490	Garcia, Juan Manuel                	Rioja                         	1402	3
491	Lixin, Ge                          	Urquiza                       	1402	3
492	Miyagi, Dario                      	Nikkei TDM                    	1402	3
493	Rosenfeld, Federico                	Nichia Gakuin                 	1401	3
494	Carvalho, Sergio                   	Top Minc                      	1400	3
495	Rodriguez Schoeller, Santiago      	Ateneo de Versailles          	1400	3
496	Guelerman, Leandro                 	Libre                         	1398	3
497	Smodlaka, Guido I.                 	Alvear Club                   	1398	3
498	Bernasconi, Felipe                 	Zenit                         	1397	3
499	Navarro, Victor                    	La Patriada                   	1396	3
500	Chu, Daniel                        	Gimnasty                      	1395	3
501	Puglisi, Federico                  	Ingeniero Acosta              	1395	3
502	Wilcke, Alejandro                  	Fenix                         	1394	3
503	Asesor, Pedro Javier               	Libre                         	1394	3
504	Arqueta, Agustín                   	Zenit                         	1394	3
505	Takizawa, Yuta                     	Escuela Cangallo              	1393	3
506	Yonamine, Ricardo                  	UGAB                          	1393	3
507	Gazzo, Alberto                     	Padilla                       	1392	3
508	Salinas, Federico                  	Libre                         	1390	3
509	Rubin, Alexander                   	Libre                         	1389	3
510	Iacono, Mauro                      	Ntra. Señora Lourdes          	1389	3
511	Sansegundo, Federico               	Peretz                        	1388	3
512	Rizzo, Juan                        	Garin Tenis de Mesa           	1388	3
513	Grebnicoff, Luis                   	Peretz                        	1388	3
