pos	nombre	categoria	club	puntos	variacion	n_categoria
1	Bayona, Lucas	División de Honor	La Reja	3294	10	0
2	Bentancor, Martín	División de Honor	Ferrocarril Oeste	3186	-11	0
3	Fuentes, Leandro	División de Honor	Alvear Club	3055	-42	0
4	Lorenzo, Santiago	División de Honor	Atlanta	3006	6	0
5	Orencel Melnick, Alexis	División de Honor	San Lorenzo	2919	10	0
6	Joffre, Tomás	División de Honor	Ntra. Señora Lourdes	2844	18	0
7	Sato Coria, Lautaro	División de Honor	Alvear Club	2807	-18	0
8	Guadalupe, Matías	División de Honor	Ferrocarril Oeste	2797	4	0
9	Remon, Juan Pablo	División de Honor	River Plate	2795	-1	0
10	Bayona, Rodrigo	División de Honor	La Reja	2775	18	0
11	Costantino, Daniel	División de Honor	River Plate	2730	-9	0
12	Jang, Luciano	División de Honor	Ferrocarril Oeste	2692	73	0
13	Velarde, Matias	División de Honor	La Reja	2670	10	0
14	Acciaresi, Mariano	División de Honor	UGAB	2650	5	0
15	Gibo, Nicolás	División de Honor	Alvear Club	2648	-42	0
16	Pighini, Matías	División de Honor	Ntra. Señora Lourdes	2596	19	0
17	Costantino, Gabriel	División de Honor	CEDIMA	2553	4	0
18	Mendez, Mariano	División de Honor	UGAB	2531	43	0
19	Yamamoto, Leandro	División de Honor	Alvear Club	2530	12	0
20	De Francesco, Nicolás	División de Honor	Fenix	2518	3	0
21	Criado, Federico	División de Honor	Fenix	2512	15	0
22	Sotto, Tomás	División de Honor	Ntra. Señora Lourdes	2511	52	0
23	Gabaldon, Christopher	División de Honor	Fenix	2477	50	0
24	Cieza, Ivan	División de Honor	UGAB	2420	7	0
25	Mariño, Ignacio Javier	Primera División	CEDIMA	2380	0	1
26	Marini, Santiago	Primera División	Ferrocarril Oeste	2316	120	1
27	Casal, Octavio	Primera División	Peretz	2252	0	1
28	Conde Meira, Matías	Primera División	Peretz	2241	-28	1
29	Beloqui, Ramón	Primera División	River Plate	2238	0	1
30	Iwasa, Agustina	Primera División	River Plate	2238	-32	1
31	Blasco, Francisco Thomas	Primera División	La Legión TDM	2224	14	1
