pos	nombre	categoria	club	puntos	variacion	n_categoria
1	Bayona, Lucas	División de Honor	La Reja	3219	39	0
2	Bentancor, Martín	División de Honor	Ferrocarril Oeste	3108	-24	0
3	Fuentes, Leandro	División de Honor	Ferrocarril Oeste	2993	28	0
4	Orencel Melnick, Alexis	División de Honor	Macabi	2799	-11	0
5	Saragovi, Pablo	División de Honor	Alvear Club	2756	-16	0
6	Costantino, Daniel	División de Honor	River Plate	2754	49	0
7	Criado, Federico	División de Honor	Club Fenix	2639	39	0
8	Guadalupe, Matías	División de Honor	Ferrocarril Oeste	2631	38	0
9	Pighini, Matías	División de Honor	Ntra. Señora Lourdes	2579	5	0
10	Waldszan, Matías	División de Honor	Macabi	2573	6	0
11	Bayona, Rodrigo	División de Honor	La Reja	2567	9	0
12	Acciaresi, Mariano	División de Honor	UGAB	2530	-6	0
13	Sato Coria, Lautaro	División de Honor	Alvear Club	2523	3	0
14	Costantino, Gabriel	División de Honor	Club Fenix	2488	-31	0
15	Yamamoto, Leandro	División de Honor	Alvear Club	2484	18	0
16	Jang, Luciano	División de Honor	Ferrocarril Oeste	2460	54	0
17	Delgadillo, Rodrigo	División de Honor	San Lorenzo	2345	-15	0
18	Lopez Marquez, Ezequiel	División de Honor	Club Fenix	2303	5	0
19	Alcaraz, Gonzalo	División de Honor	C.A.S.A. de Padua	2290	1	0
20	Mendez, Mariano	División de Honor	UGAB	2276	20	0
21	Fernandez, Leoncio	División de Honor	Ferrocarril Oeste	2272	12	0
22	Len, Daniel	División de Honor	Atlanta	2269	12	0
23	Neira, Darío	División de Honor	Top Minc	2260	-1	0
24	Beloqui, Ramón	División de Honor	River Plate	2256	0	0
25	Iwasa, Agustina	Primera División	River Plate	2247	-18	1
26	Gabaldon, Christopher	Primera División	Club Fenix	2214	14	1
27	Mariño, Ignacio Javier	Primera División	CEDIMA	2203	94	1
28	Peralta Bello, Valentino	Primera División	Gimnasty	2178	24	1
29	Ramos, Mauro	Primera División	Club Fenix	2145	59	1
30	Blasco, Francisco Thomas	Primera División	La Legión TDM	2145	22	1
31	Sotto, Tomás	Primera División	Ntra. Señora Lourdes	2138	26	1
32	Perez Altera, Ignacio	Primera División	Peretz	2137	57	1
33	Gonzalez Dos Santos, Patricio	Primera División	Ntra. Señora Lourdes	2130	-14	1
34	Casal, Octavio	Primera División	Peretz	2119	47	1
35	Merkin, Alan Gabriel	Primera División	River Plate	2109	-44	1
36	Bruno, Nicolás	Primera División	La Legión TDM	2108	-9	1
37	Fernandez, Emanuel	Primera División	C.A.S.A. de Padua	2069	5	1
38	De Simone, Mariano	Primera División	Nichia Gakuin	2058	7	1
39	Kamimura, Emilio	Primera División	Soc. Fomento CAVA	2057	-24	1
40	Spinelli, Franco	Primera División	Ferrocarril Oeste	2054	150	1
41	Marini, Santiago	Primera División	Ferrocarril Oeste	2038	-23	1
42	Perez, Hernán	Primera División	Peretz	2028	16	1
43	Cabrera, Braian	Primera División	Club Fenix	2021	-4	1
44	Duran, Ian	Primera División	Peretz	2016	89	1
45	Novizki, Pablo	Primera División	UBA Exactas	1985	-69	1
46	Marsaglia, Matías	Primera División	Tigre Juniors	1982	-21	1
47	Ciancio, Nicolás	Primera División	Top Minc	1976	11	1
48	Conde Meira, Matías	Primera División	La Patriada	1974	31	1
49	Pombo, Joaquín	Primera División	Ferrocarril Oeste	1962	80	1
50	Tchintchinian, Mariano	Primera División	UGAB	1961	-16	1
51	Bronstein, Leandro	Primera División	River Plate	1959	0	1
52	Wainsztok, Darío	Primera División	Ferrocarril Oeste	1957	-14	1
53	Fernandez, Axel	Primera División	UGAB	1950	5	1
54	Satriani, Genaro	Primera División	Ferrocarril Oeste	1942	-4	1
55	Huergo, Maximiliano Román	Primera División	Nichia Gakuin	1930	0	1
56	Valdez, Eduardo	Primera División	Alvear Club	1921	42	1
57	Cisilin, Estanislao	Primera División	Inst. Compañía María	1864	48	1
58	Azcoaga Puyó, Christian E.	Primera División	25 de Mayo	1859	-39	1
59	Strah, Juan Pablo	Primera División	Ntra. Señora Lourdes	1855	89	1
60	Viotti, Lucas	Primera División	Nikkei TDM	1839	5	1
61	Achaval, Joaquin	Segunda División	Nikkei TDM	1824	6	2
62	Felscher, Jonathan	Segunda División	Ateneo de Versailles	1810	39	2
63	Morrazo, Agustín	Segunda División	Atlanta	1788	0	2
64	Arroyo, Hernán	Segunda División	TMR	1778	10	2
65	Bellusci, Pablo	Segunda División	Club Fenix	1775	0	2
66	Pighini, Pablo	Segunda División	Ntra. Señora Lourdes	1772	63	2
67	Lamazon, Gustavo Gabriel	Segunda División	Soc. Fomento CAVA	1765	-52	2
68	Carpio, Francisco	Segunda División	La Patriada	1764	70	2
69	Buzzi, Maximiliano	Segunda División	Top Minc	1760	48	2
70	Darcyl, Leonardo	Segunda División	Club Urquiza	1759	0	2
71	Lovera Arteaga, Mainor	Segunda División	La Legión TDM	1754	130	2
72	Lemos, Ulises	Segunda División	Club Fenix	1751	40	2
73	Bellusci, Nicolás	Segunda División	Club Fenix	1731	9	2
74	Marginet Campos, Alejandro	Segunda División	La Reja	1730	46	2
75	Camagna, Diego Andrés	Segunda División	Club Fenix	1729	134	2
76	Peña, Franco	Segunda División	Atlanta	1726	-8	2
77	Callaba, Nicolás	Segunda División	Gimnasty	1724	162	2
78	Quintana, Lucas	Segunda División	Ntra. Señora Lourdes	1711	72	2
79	Lovera Arteaga, Crismi Paola	Segunda División	La Legión TDM	1704	-17	2
80	Sato, Maximiliano	Segunda División	Club Rioja	1688	8	2
81	Avian, Ignacio	Segunda División	Club Fenix	1679	14	2
82	Iwasa, Nicolás	Segunda División	Peretz	1676	0	2
83	Waitzel, Ariel	Segunda División	Inst. Compañía María	1655	36	2
84	Sanabria, Oscar	Segunda División	La Reja	1654	-1	2
85	Ortega, Maximiliano	Segunda División	Cedem no 2	1651	-30	2
86	Mallo, Federico Oscar	Segunda División	La Legión TDM	1643	-72	2
87	Samaja, Facundo	Segunda División	25 de Mayo	1635	-4	2
88	Daventini, Lucas	Segunda División	Ntra. Señora Lourdes	1634	0	2
89	Uesugui, Rafael	Segunda División	Soc. Fomento CAVA	1632	-4	2
90	Cassara, Omar	Segunda División	River Plate	1631	0	2
91	Moscato, Alejandro	Segunda División	Alvear Club	1622	6	2
92	Ence, Marcos Emmanuel	Segunda División	Ingeniero Acosta	1608	0	2
93	Rodriguez, Diego	Segunda División	Cedem no 2	1599	0	2
94	Deym, Federico	Segunda División	Tigre Juniors	1599	-60	2
95	Olmedo, Pablo	Segunda División	Ntra. Señora Lourdes	1596	22	2
96	Veron, Román	Segunda División	Ntra. Señora Lourdes	1580	0	2
97	Grimoldi, Maximiliano	Segunda División	UGAB	1577	0	2
98	Milgram, Uriel	Segunda División	Macabi	1577	-39	2
99	Vera, Joaquín	Segunda División	La Reja	1574	3	2
100	D' Ignazi, Luciano	Segunda División	Zenit	1571	0	2
101	Kravetz, Daniel	Segunda División	Nichia Gakuin	1568	5	2
102	Correas Espeche, Ezequiel	Segunda División	Peretz	1560	112	2
103	Acosta Rios, Juan Ignacio	Segunda División	Top Minc	1556	3	2
104	Depergola, Mauro	Segunda División	25 de Mayo	1554	0	2
105	Marchese, Ignacio	Segunda División	Zenit	1551	-40	2
106	Bertran, Ezequiel	Segunda División	Inst. Compañía María	1544	26	2
107	Valdez, Julián	Segunda División	Libre	1541	-60	2
108	Sculco, Nahuel	Segunda División	Alvear Club	1531	96	2
109	Gajic, Nikola	Segunda División	Ferrocarril Oeste	1524	39	2
110	Garcia, Román	Segunda División	Gimnasty	1523	0	2
111	Burotto, Pablo	Tercera División	San Fernando TDM	1518	0	3
112	Larrea, Daniel	Tercera División	Soc. Fomento CAVA	1518	-40	3
113	Cespedes, Osvaldo	Tercera División	MTMs	1514	150	3
114	Mouhamed, Amir Alexander	Tercera División	River Plate	1513	0	3
115	Belaustegui, Nicolás	Tercera División	Tigre Juniors	1509	0	3
116	Andino, Byron	Tercera División	Gimnasty	1509	-64	3
117	Rodriguez, Aurelio	Tercera División	Inst. Compañía María	1500	-8	3
118	Melluso, Salvador	Tercera División	Gimnasty	1497	540	3
119	Martinez, Federico	Tercera División	UGAB	1488	1	3
120	Gutierrez, Gonzalo	Tercera División	U.V.V.A.	1484	28	3
121	Josid, Alex	Tercera División	Macabi	1484	0	3
122	Romero, Elias	Tercera División	CEDIMA	1480	23	3
123	Kaniuka, Aleksy	Tercera División	CEDIMA	1467	17	3
124	Rotryng Alvarez, Facundo	Tercera División	Macabi	1458	-85	3
125	Maza, Diego Hernán	Tercera División	San Fernando TDM	1439	30	3
126	Perez, Alejandro	Tercera División	CEDIMA	1439	-86	3
127	Zinna, Kevin	Tercera División	CEDIMA	1425	-16	3
128	Tula, Ricardo	Tercera División	Nikkei TDM	1417	19	3
129	Fermanelli, Pedro	Tercera División	Ntra. Señora Lourdes	1417	17	3
130	Mirabelli, Ariel	Tercera División	Alvear Club	1417	0	3
131	Palazzo, Didier	Tercera División	Ateneo de Versailles	1415	-67	3
