indra	prov	depto	circuito	secelec	departamento	x	y
020480352	02	048	0352	5	General Paz	-58.29657834795733	-35.38238470683069
020490354	02	049	0354	4	General Pinto	-61.86104999699908	-34.83595407271324
020490355	02	049	0355	4	General Pinto	-62.10412846666365	-34.91853799733602
020490356	02	049	0356	4	General Pinto	-61.80174531391673	-34.6994738283886
020490357	02	049	0357	4	General Pinto	-62.05002592236325	-34.53893621099211
020490358	02	049	0358	4	General Pinto	-62.23188499479543	-34.56860415613272
020490359	02	049	0359	4	General Pinto	-62.10213829037959	-34.784926799541175
020490360	02	049	0360	4	General Pinto	-61.91399869582162	-34.41597951463986
020500364	02	050	0364	5	General Pueyrredon	-57.573465716440225	-38.03820112764774
020500365	02	050	0365	5	General Pueyrredon	-57.59644554765222	-37.96441614466814
020500366	02	050	0366	5	General Pueyrredon	-57.54493857472019	-38.01990147643555
020500366A	02	050	0366A	5	General Pueyrredon	-57.57350241125669	-38.00067824413893
020500367	02	050	0367	5	General Pueyrredon	-57.55308586239281	-37.972664849694766
020500368	02	050	0368	5	General Pueyrredon	-57.658012403290925	-37.883398363381346
020500369	02	050	0369	5	General Pueyrredon	-57.84718025949676	-37.903431835313306
020500370	02	050	0370	5	General Pueyrredon	-57.70406464576054	-38.09788577832593
020510374	02	051	0374	1	General  Rodriguez	-58.98671493662052	-34.65121102760843
020520376	02	052	0376	1	San Martin	-58.54041660690824	-34.57944548280154
020520377	02	052	0377	1	San Martin	-58.54681285052015	-34.54726321776502
020520377A	02	052	0377A	1	San Martin	-58.577833491441254	-34.52114851303958
020520378	02	052	0378	1	San Martin	-58.531943674597	-34.555030161127156
020520379	02	052	0379	1	San Martin	-58.521373533594534	-34.570052693238814
020520380	02	052	0380	1	San Martin	-58.52897052812172	-34.58853964093751
020520381	02	052	0381	1	San Martin	-58.58082418827683	-34.54004284022941
020520382	02	052	0382	1	San Martin	-58.548318668405	-34.56748993144348
020520383	02	052	0383	1	San Martin	-58.55386697802404	-34.56001579976746
020520384	02	052	0384	1	San Martin	-58.55741683094794	-34.585824638567736
020520388	02	052	0388	1	San Martin	-58.58463125659286	-34.559416211226214
020530397	02	053	0397	1	San Miguel	-58.71860497185788	-34.53745354356287
020530397A	02	053	0397A	1	San Miguel	-58.73416291041612	-34.5524950075276
020530397B	02	053	0397B	1	San Miguel	-58.75691999978928	-34.560362605264054
020530397C	02	053	0397C	1	San Miguel	-58.74402522561784	-34.57106474579842
020530400	02	053	0400	1	San Miguel	-58.718165086258246	-34.56435583774527
020530401	02	053	0401	1	San Miguel	-58.65116874846327	-34.53497491041837
020530401A	02	053	0401A	1	San Miguel	-58.68170621146251	-34.563372709496875
020530402	02	053	0402	1	San Miguel	-58.70762284579305	-34.5850034271766
020540404	02	054	0404	4	General Viamonte	-60.962884144713215	-34.99343591375296
020540405	02	054	0405	4	General Viamonte	-61.07316951494636	-35.073289572943004
020540406	02	054	0406	4	General Viamonte	-60.89666246223241	-35.00745186360418
020540407	02	054	0407	4	General Viamonte	-61.19979907009328	-35.00577104832134
020540408	02	054	0408	4	General Viamonte	-61.05988149324153	-34.79115745103945
020540409	02	054	0409	4	General Viamonte	-61.04216783675585	-34.89698088894468
020540410	02	054	0410	4	General Viamonte	-61.240009081119084	-35.14398242610321
020550411	02	055	0411	4	General Villegas	-62.90200446979134	-35.11663478129387
020550412	02	055	0412	4	General Villegas	-63.15008617008703	-35.04913255796095
020550413	02	055	0413	4	General Villegas	-63.292297013891925	-35.136939803908774
020550414	02	055	0414	4	General Villegas	-63.35463680622233	-35.30207422788006
020550415	02	055	0415	4	General Villegas	-63.208453550127054	-34.866435720023375
020550416	02	055	0416	4	General Villegas	-62.948018871347166	-34.8585307301224
020550417	02	055	0417	4	General Villegas	-62.78729112556475	-34.763798972860265
020550418	02	055	0418	4	General Villegas	-63.237760656759676	-34.64401554722197
020550419	02	055	0419	4	General Villegas	-63.20375933325214	-34.46181722111478
020550420	02	055	0420	4	General Villegas	-62.9243014568595	-34.491525154046116
020550421	02	055	0421	4	General Villegas	-62.69857114016328	-34.49321707153848
020550422	02	055	0422	4	General Villegas	-62.459694366272416	-34.50948543683364
020560424	02	056	0424	6	Adolfo Gonzales Chaves	-60.035969696915465	-38.00390692357016
020560427	02	056	0427	6	Adolfo Gonzales Chaves	-60.53442546984197	-38.025100475883825
020560428	02	056	0428	6	Adolfo Gonzales Chaves	-60.54792880225562	-37.82308481892805
020570430	02	057	0430	6	Guamini	-62.3928557001284	-37.0254064557779
020570431	02	057	0431	6	Guamini	-62.6586749130065	-36.909783215706156
020570432	02	057	0432	6	Guamini	-62.26713142361233	-36.78566577258012
020570433	02	057	0433	6	Guamini	-62.244151009856104	-37.06110770187518
020570434	02	057	0434	6	Guamini	-62.529937061795046	-36.65484752550772
020580742	02	058	0742	4	Hipolito Yrigoyen	-61.7682771482808	-36.33195131670978
020580742A	02	058	0742A	4	Hipolito Yrigoyen	-61.569291677275956	-36.206807308103876
020580742B	02	058	0742B	4	Hipolito Yrigoyen	-61.43598422148482	-36.10195502251099
020590436	02	059	0436	6	Benito Juarez	-59.80440560810513	-37.67845873877092
020590437	02	059	0437	6	Benito Juarez	-60.01355719302934	-37.63971605961286
020590438	02	059	0438	6	Benito Juarez	-59.70017244400645	-37.84258346402119
020590439	02	059	0439	6	Benito Juarez	-59.47638140273124	-37.678924686605264
020590440	02	059	0440	6	Benito Juarez	-59.64642418486597	-37.52736415025708
020590441	02	059	0441	6	Benito Juarez	-59.777566367299706	-37.3921480005494
020590442	02	059	0442	6	Benito Juarez	-60.254512998624676	-37.463492949971595
020600444	02	060	0444	4	Junin	-60.95489972335185	-34.58498945628636
020600445	02	060	0445	4	Junin	-60.92441722846984	-34.53226954166067
020600446	02	060	0446	4	Junin	-61.032375405099636	-34.59948219369419
020600447	02	060	0447	4	Junin	-60.85234707959143	-34.62882790852563
020600448	02	060	0448	4	Junin	-60.943110369970256	-34.713300143007174
020600449	02	060	0449	4	Junin	-60.75868012865461	-34.53887279145402
020600450	02	060	0450	4	Junin	-60.822913609726285	-34.71120628245233
020600451	02	060	0451	4	Junin	-60.83747301680552	-34.465877032048134
020600452	02	060	0452	4	Junin	-61.04620693916005	-34.48735729249461
020600453	02	060	0453	4	Junin	-60.92556396961739	-34.40223939600451
020600454	02	060	0454	4	Junin	-61.1500385042327	-34.66725350714602
020600455	02	060	0455	4	Junin	-61.23123149878766	-34.51999237635357
020600456	02	060	0456	4	Junin	-61.09591392902094	-34.37950914909892
020610626	02	061	0626	3	La Matanza	-58.57453380702346	-34.670508197345654
020610626A	02	061	0626A	3	La Matanza	-58.58444129896676	-34.69256934349062
020610627	02	061	0627	3	La Matanza	-58.53816578973652	-34.66760769792519
020610628	02	061	0628	3	La Matanza	-58.5622771238276	-34.65504067413552
020610629	02	061	0629	3	La Matanza	-58.60179553357761	-34.680903740268946
020610629A	02	061	0629A	3	La Matanza	-58.607879816458514	-34.70184563232952
020610629B	02	061	0629B	3	La Matanza	-58.56514840659221	-34.73407183763288
020610630	02	061	0630	3	La Matanza	-58.545645424948084	-34.649805464494385
020610631	02	061	0631	3	La Matanza	-58.52783198702943	-34.68403623545281
020610631A	02	061	0631A	3	La Matanza	-58.55435053151907	-34.71084964781685
020610631B	02	061	0631B	3	La Matanza	-58.52683767656558	-34.73270781019093
020610632	02	061	0632	3	La Matanza	-58.523251192888004	-34.704777483675905
020610633	02	061	0633	3	La Matanza	-58.48986546116679	-34.703099366341235
020610634	02	061	0634	3	La Matanza	-58.514418492205344	-34.675805259847884
020610635	02	061	0635	3	La Matanza	-58.62175064299501	-34.723992561594166
020610635A	02	061	0635A	3	La Matanza	-58.65025903343424	-34.76314326584972
020610635B	02	061	0635B	3	La Matanza	-58.58580579105651	-34.75134165968801
020610635C	02	061	0635C	3	La Matanza	-58.60760097632966	-34.78461761762946
020610635D	02	061	0635D	3	La Matanza	-58.6994916324235	-34.8322895053091
020610635E	02	061	0635E	3	La Matanza	-58.647671390493464	-34.85618205416738
020620259	02	062	0259	3	Lanus	-58.37739119295053	-34.69520898429208
020620260	02	062	0260	3	Lanus	-58.37732053389852	-34.70718744899553
020620261	02	062	0261	3	Lanus	-58.361724254041576	-34.71825385437924
020620262	02	062	0262	3	Lanus	-58.35536921467258	-34.732871813765044
020620263	02	062	0263	3	Lanus	-58.38430805816592	-34.72700463604898
020620264	02	062	0264	3	Lanus	-58.39901957320258	-34.72046823721065
020620265	02	062	0265	3	Lanus	-58.40801283423588	-34.72596610480287
020620271	02	062	0271	3	Lanus	-58.39268976554536	-34.684633547618645
020620272	02	062	0272	3	Lanus	-58.40716253446639	-34.66899592743733
020620273	02	062	0273	3	Lanus	-58.42550791713982	-34.681461799330805
020620274	02	062	0274	3	Lanus	-58.418728245995155	-34.697710544451915
020620275	02	062	0275	3	Lanus	-58.40937088016612	-34.71203000916863
020620276	02	062	0276	3	Lanus	-58.398286815111355	-34.699002660979474
020630460	02	063	0460	8	La Plata	-57.93966403114552	-34.90749931314041
020630461	02	063	0461	8	La Plata	-57.94757333518899	-34.91475200362119
020630462	02	063	0462	8	La Plata	-57.95114462164019	-34.918034645062775
020630463	02	063	0463	8	La Plata	-57.954739420569034	-34.92129383564188
020630464	02	063	0464	8	La Plata	-57.95881530334134	-34.92502491178559
020630465	02	063	0465	8	La Plata	-57.962873120042545	-34.922016616779565
020630466	02	063	0466	8	La Plata	-57.95877711012841	-34.91829397347008
020630467	02	063	0467	8	La Plata	-57.955243652930406	-34.914985795641776
020630468	02	063	0468	8	La Plata	-57.951646867028614	-34.9116976497862
020630469	02	063	0469	8	La Plata	-57.94376649315473	-34.90452069927407
020630471	02	063	0471	8	La Plata	-57.946476226281185	-34.89990802550962
020630472	02	063	0472	8	La Plata	-57.952356064035534	-34.905211990845125
020630473	02	063	0473	8	La Plata	-57.95746402022942	-34.909914371438916
020630474	02	063	0474	8	La Plata	-57.96515142287475	-34.91700739260246
020630475	02	063	0475	8	La Plata	-57.96869234666094	-34.90841650329857
020630476	02	063	0476	8	La Plata	-57.959472458032025	-34.899906672464304
020630477	02	063	0477	8	La Plata	-57.95358318912733	-34.89463046178941
020630480	02	063	0480	8	La Plata	-57.94628631908371	-34.92164846783806
020630481	02	063	0481	8	La Plata	-57.94992172754447	-34.924887272963474
020630482	02	063	0482	8	La Plata	-57.953990957103294	-34.92861037305109
020630483	02	063	0483	8	La Plata	-57.94846798939702	-34.93283149175031
020630484	02	063	0484	8	La Plata	-57.94430926516989	-34.92904836598642
020630485	02	063	0485	8	La Plata	-57.94069452065555	-34.925795693345414
020630486	02	063	0486	8	La Plata	-57.93363173452808	-34.93104285072822
020630487	02	063	0487	8	La Plata	-57.93720591018832	-34.934328242943145
020630488	02	063	0488	8	La Plata	-57.94136614479682	-34.93807425138571
020630493	02	063	0493	8	La Plata	-58.24996443381054	-34.18250643803488
020630495	02	063	0495	8	La Plata	-57.95641546088331	-34.94069128411868
020630496	02	063	0496	8	La Plata	-57.91411103717566	-34.93427270992651
020630496A	02	063	0496A	8	La Plata	-57.823895061347415	-34.97059535545682
020630496B	02	063	0496B	8	La Plata	-57.89224851874619	-34.95809500537332
020630496C	02	063	0496C	8	La Plata	-57.90840959906576	-34.96319944288133
020630496D	02	063	0496D	8	La Plata	-57.92387275556237	-34.972762911744375
020630496E	02	063	0496E	8	La Plata	-57.86295597315645	-34.99755880475887
020630496F	02	063	0496F	8	La Plata	-57.83284412850787	-35.02356315220731
020630497	02	063	0497	8	La Plata	-57.972258752038776	-34.94978531463824
020630497A	02	063	0497A	8	La Plata	-57.9439647665116	-35.054367202538664
020630497B	02	063	0497B	8	La Plata	-57.921343820443056	-34.99309164334871
020630497C	02	063	0497C	8	La Plata	-57.99422564157968	-34.96417077527933
020630497D	02	063	0497D	8	La Plata	-57.9873489893561	-34.969261788439916
020630497E	02	063	0497E	8	La Plata	-57.91523621449794	-35.02342618542442
020630497F	02	063	0497F	8	La Plata	-58.01628592591013	-35.00273620202099
020630498	02	063	0498	8	La Plata	-58.02377647484132	-35.10556058605788
020630501	02	063	0501	8	La Plata	-57.98695962866947	-34.92328952760114
020630502	02	063	0502	8	La Plata	-57.98066787317643	-34.89141209978434
020630503	02	063	0503	8	La Plata	-58.07075643604858	-34.916127776608846
020630503A	02	063	0503A	8	La Plata	-58.03266935356237	-34.919563564441404
020630504	02	063	0504	8	La Plata	-58.06106687273797	-34.87587506145314
020630504A	02	063	0504A	8	La Plata	-58.02161897439948	-34.88339022819717
020630505	02	063	0505	8	La Plata	-58.08569736264664	-34.853623735601836
020630505A	02	063	0505A	8	La Plata	-58.114384195349885	-34.8878556176717
020630505B	02	063	0505B	8	La Plata	-58.197126501448146	-34.969530801532365
020630508	02	063	0508	8	La Plata	-58.07390510951828	-34.95805485422923
020630509	02	063	0509	8	La Plata	-58.10627556585909	-35.02662003361441
020630516	02	063	0516	8	La Plata	-57.934795309234346	-34.911129523096506
020630517	02	063	0517	8	La Plata	-57.94271116615053	-34.918357084968136
020630518	02	063	0518	8	La Plata	-57.93710866414901	-34.922517127525026
020630519	02	063	0519	8	La Plata	-57.929188110168305	-34.91527945332398
020630520	02	063	0520	8	La Plata	-57.9221104299549	-34.92053003657978
020630521	02	063	0521	8	La Plata	-57.93004078572123	-34.92776022827051
020640524	02	064	0524	6	Laprida	-60.786133109768166	-37.55829576295473
020640525	02	064	0525	6	Laprida	-60.9043747955196	-37.71345513203383
020640526	02	064	0526	6	Laprida	-60.57759850186278	-37.5674393571985
020640527	02	064	0527	6	Laprida	-60.710392521282785	-37.37681403566827
020640528	02	064	0528	6	Laprida	-60.842047237498804	-37.21250639355168
020650538	02	065	0538	5	Las Flores	-59.066659868152456	-36.040016734652205
020650539	02	065	0539	5	Las Flores	-59.04224355714879	-36.142962766599425
020650540	02	065	0540	5	Las Flores	-58.857391626670605	-35.99086462416297
020650541	02	065	0541	5	Las Flores	-59.007902369164924	-35.88671339184567
020650542	02	065	0542	5	Las Flores	-59.17222760512997	-35.93353661519603
020650543	02	065	0543	5	Las Flores	-59.306211105835075	-36.25737827339119
020650544	02	065	0544	5	Las Flores	-59.233445124614235	-35.94877428538743
020650545	02	065	0545	5	Las Flores	-59.436151098971195	-35.93261426176629
020660549	02	066	0549	4	Leandro N. Alem	-61.5055029354286	-34.46929478721756
020660550	02	066	0550	4	Leandro N. Alem	-61.53870027057943	-34.3692170852306
020660551	02	066	0551	4	Leandro N. Alem	-61.3968524911976	-34.54002312859451
020660552	02	066	0552	4	Leandro N. Alem	-61.76211786514731	-34.50059888062837
020660553	02	066	0553	4	Leandro N. Alem	-61.58545421249078	-34.59178714275634
020670554	02	067	0554	4	Lincoln	-61.52834371064471	-34.86805268351721
020670555	02	067	0555	4	Lincoln	-61.53342957061426	-34.930060011942004
020670556	02	067	0556	4	Lincoln	-61.6382949411687	-34.77407761631466
020670557	02	067	0557	4	Lincoln	-61.44500620118982	-34.870129310930245
020670558	02	067	0558	4	Lincoln	-61.52254996954415	-34.80619098458705
020670559	02	067	0559	4	Lincoln	-61.32294685714705	-34.90772874178386
020670560	02	067	0560	4	Lincoln	-61.36364076040041	-34.722110290832966
020670561	02	067	0561	4	Lincoln	-61.72916423904945	-34.97212344121233
020670562	02	067	0562	4	Lincoln	-61.96279867667896	-35.13014400254085
020670563	02	067	0563	4	Lincoln	-61.501435566003266	-35.15420443795832
020670564	02	067	0564	4	Lincoln	-61.66277489247753	-35.2871381171326
020670565	02	067	0565	4	Lincoln	-61.824657722107084	-35.434230140369216
020670566	02	067	0566	4	Lincoln	-62.1495755116458	-35.17447519359191
020670567	02	067	0567	4	Lincoln	-61.5172617315892	-34.67013408442095
020670567A	02	067	0567A	4	Lincoln	-61.821783881545805	-35.32292904399393
020680568	02	068	0568	5	Loberia	-58.816032962940426	-38.15549819632278
020680568A	02	068	0568A	5	Loberia	-58.7464204942734	-38.20696906385458
020680569	02	068	0569	5	Loberia	-58.8820873984077	-38.03261061388098
020680569A	02	068	0569A	5	Loberia	-58.65814568741268	-38.12008533524798
020680570	02	068	0570	5	Loberia	-58.56720004397768	-38.39730218486113
020680571	02	068	0571	5	Loberia	-58.462349215143085	-38.147429897736565
020680572	02	068	0572	5	Loberia	-58.837657574504476	-37.7965212475716
020690574	02	069	0574	3	Lobos	-59.094095619243376	-35.185724764804746
020690575	02	069	0575	3	Lobos	-59.10286339528978	-35.16977937250137
020690576	02	069	0576	3	Lobos	-59.145896779883834	-35.10390547244769
020690576A	02	069	0576A	3	Lobos	-59.23983584671905	-35.16915264435625
020690577	02	069	0577	3	Lobos	-59.41340562917475	-35.244000556096196
020690578	02	069	0578	3	Lobos	-59.24373004876268	-35.281841783318725
020690579	02	069	0579	3	Lobos	-59.10281996440975	-35.31900498096135
020690580	02	069	0580	3	Lobos	-58.92735181152877	-35.25344184419551
020690581	02	069	0581	3	Lobos	-59.022226397490535	-35.092762058042105
020700583	02	070	0583	3	Lomas de Zamora	-58.45245851672759	-34.72821388094031
020700584	02	070	0584	3	Lomas de Zamora	-58.406191829576194	-34.74185619151247
020700585	02	070	0585	3	Lomas de Zamora	-58.388454359375366	-34.74443494049799
020700586	02	070	0586	3	Lomas de Zamora	-58.40773957193017	-34.75395922804771
020700587	02	070	0587	3	Lomas de Zamora	-58.43070947853093	-34.7617361768999
020700588	02	070	0588	3	Lomas de Zamora	-58.388295620019214	-34.757423056526065
020700589	02	070	0589	3	Lomas de Zamora	-58.368872054003745	-34.74680253461251
020700590	02	070	0590	3	Lomas de Zamora	-58.381975949716626	-34.77289097286775
020700590A	02	070	0590A	3	Lomas de Zamora	-58.35581257518759	-34.7558672203409
020700591	02	070	0591	3	Lomas de Zamora	-58.40586942278072	-34.780141379061014
020700592	02	070	0592	3	Lomas de Zamora	-58.40754574531778	-34.791219156293145
020700593	02	070	0593	3	Lomas de Zamora	-58.438142810696434	-34.787894815938195
020710596	02	071	0596	1	Lujan	-59.11432118416121	-34.569502262982695
020710597	02	071	0597	1	Lujan	-59.02623199692397	-34.544125913575
020710598	02	071	0598	1	Lujan	-59.132929547576936	-34.63547623232415
020710599	02	071	0599	1	Lujan	-59.21297632100389	-34.55829754663272
020710600	02	071	0600	1	Lujan	-59.143931495390234	-34.460862946565385
020710601	02	071	0601	1	Lujan	-59.24226372372937	-34.4913548958002
020710602	02	071	0602	1	Lujan	-59.06204884452709	-34.482325249910936
020710603	02	071	0603	1	Lujan	-59.193639262552324	-34.69799351680577
020720604	02	072	0604	3	Magdalena	-57.72601864599925	-35.058981412039664
020720605	02	072	0605	3	Magdalena	-57.55897438906589	-35.05265544331089
020720606	02	072	0606	3	Magdalena	-57.457866083856686	-35.15194206637118
020720607	02	072	0607	3	Magdalena	-57.63086820301316	-35.12353583085514
020720608	02	072	0608	3	Magdalena	-57.67753391670002	-35.194631981428415
020720609	02	072	0609	3	Magdalena	-57.56440715388568	-35.25892616521993
020720610	02	072	0610	3	Magdalena	-57.83176709297676	-35.284642628686825
020730615	02	073	0615	5	Maipu	-57.8112962914341	-36.88164843570594
020730616	02	073	0616	5	Maipu	-57.7186798699741	-37.03173754696749
020730617	02	073	0617	5	Maipu	-57.54364428980225	-36.728835310695345
020730617A	02	073	0617A	5	Maipu	-57.428852654471335	-36.871057891944844
020740619	02	074	0619	5	Mar Chiquita	-57.736151474759346	-37.43229031986307
020740620	02	074	0620	5	Mar Chiquita	-57.86295932805657	-37.33083381682536
020740621	02	074	0621	5	Mar Chiquita	-57.514512539319064	-37.492369065083736
020740621A	02	074	0621A	5	Mar Chiquita	-57.32210394916425	-37.561711655625835
020740622	02	074	0622	5	Mar Chiquita	-57.6362542500858	-37.68639459012974
020740622A	02	074	0622A	5	Mar Chiquita	-57.51274094698437	-37.84069410752505
020740622B	02	074	0622B	5	Mar Chiquita	-57.43880749213407	-37.6801774315014
020750624	02	075	0624	1	Marcos Paz	-58.873217682413525	-34.7798346344453
020750624A	02	075	0624A	1	Marcos Paz	-58.78760852385045	-34.89267815700789
020760638	02	076	0638	1	Mercedes	-59.43020256142315	-34.649651897600855
020760639	02	076	0639	1	Mercedes	-59.45213314669026	-34.6484998363505
020760640	02	076	0640	1	Mercedes	-59.45725166978975	-34.67308220369285
020760641	02	076	0641	1	Mercedes	-59.41220228553614	-34.68377536186272
020760642	02	076	0642	1	Mercedes	-59.403642519970354	-34.64301590002389
020760643	02	076	0643	1	Mercedes	-59.3080340089082	-34.663835418853516
020760644	02	076	0644	1	Mercedes	-59.33108300084794	-34.78076895877444
020760645	02	076	0645	1	Mercedes	-59.47707745799288	-34.75150845282213
020760646	02	076	0646	1	Mercedes	-59.558715752571494	-34.632075187676364
020760647	02	076	0647	1	Mercedes	-59.39297043233453	-34.5860265803979
020760648	02	076	0648	1	Mercedes	-59.332816958509234	-34.57155757856599
020770652	02	077	0652	1	Merlo	-58.72531704683065	-34.660849447416425
020770652A	02	077	0652A	1	Merlo	-58.7485462530301	-34.689127941468904
020770653	02	077	0653	1	Merlo	-58.67320246286297	-34.71054247920935
020770654	02	077	0654	1	Merlo	-58.71297656452855	-34.74912019096601
020770655	02	077	0655	1	Merlo	-58.697604071190696	-34.680508385865956
020770655A	02	077	0655A	1	Merlo	-58.79261504304843	-34.71638585216612
020780656	02	078	0656	5	Monte	-58.83685693696021	-35.42213384822858
020780657	02	078	0657	5	Monte	-58.895799220630586	-35.55001816586372
020780658	02	078	0658	5	Monte	-58.96889270178586	-35.394213848341096
020780659	02	078	0659	5	Monte	-58.62616434437024	-35.44533056098562
020780660	02	078	0660	5	Monte	-58.6953351508685	-35.5195660690469
020780661	02	078	0661	5	Monte	-58.78164519612066	-35.316101642621135
020780662	02	078	0662	5	Monte	-58.645083722650845	-35.67240296557009
020790663	02	079	0663	1	Moreno	-58.791468311564465	-34.650770763199354
020790663A	02	079	0663A	1	Moreno	-58.7538891359729	-34.63931872565593
020790663B	02	079	0663B	1	Moreno	-58.789388590111194	-34.61685710762216
020790663C	02	079	0663C	1	Moreno	-58.75711144675602	-34.59615994556235
020790663D	02	079	0663D	1	Moreno	-58.81516821010533	-34.559787493588125
020790664	02	079	0664	1	Moreno	-58.859116134945374	-34.60877977874859
020790664A	02	079	0664A	1	Moreno	-58.82303971033074	-34.62017888518709
020790664B	02	079	0664B	1	Moreno	-58.83990124334542	-34.66577504684675
020800665	02	080	0665	1	Moron	-58.62100535109946	-34.67128406546525
020800669	02	080	0669	1	Moron	-58.595787446020104	-34.64439974492188
020800670	02	080	0670	1	Moron	-58.57017978140558	-34.634207524997336
020800671	02	080	0671	1	Moron	-58.60094659751268	-34.618194418205505
020800672	02	080	0672	1	Moron	-58.637310611866106	-34.64323159333467
020800673	02	080	0673	1	Moron	-58.64779867794658	-34.67342037373219
020810675	02	081	0675	1	Navarro	-59.271715254739284	-34.99777730318656
020810676	02	081	0676	1	Navarro	-59.18444056793112	-34.962705166099276
020810677	02	081	0677	1	Navarro	-59.264182293581534	-34.87721777616772
020810678	02	081	0678	1	Navarro	-59.29715665266818	-35.033162681291756
020810679	02	081	0679	1	Navarro	-59.39990928560614	-34.9231296957644
020810680	02	081	0680	1	Navarro	-59.38098021100354	-35.102394874405675
020810681	02	081	0681	1	Navarro	-59.52424563877718	-35.05624925738558
020810681A	02	081	0681A	1	Navarro	-59.541056990280026	-34.961963907516704
020810682	02	081	0682	1	Navarro	-59.49544313646486	-35.17087925344834
020810683	02	081	0683	1	Navarro	-59.68421396969991	-35.144026873025204
020820686	02	082	0686	5	Necochea	-59.007861188917694	-38.52647563571376
020820686A	02	082	0686A	5	Necochea	-58.688104407479884	-38.54277817925219
020820687	02	082	0687	5	Necochea	-59.12549987795698	-38.330344019863084
020820688	02	082	0688	5	Necochea	-59.30580627683156	-38.60721867001449
020820689	02	082	0689	5	Necochea	-59.27953857128521	-38.208618481919636
020820691	02	082	0691	5	Necochea	-59.35938836607546	-37.98434260937898
020820691A	02	082	0691A	5	Necochea	-59.07020055885232	-38.162584687481754
020820692	02	082	0692	5	Necochea	-59.259887684574004	-37.782741195574395
020830696	02	083	0696	4	9 de Julio	-60.912287542429496	-35.459019317006494
020830697	02	083	0697	4	9 de Julio	-60.748747959040806	-35.35780349385012
020830698	02	083	0698	4	9 de Julio	-60.65741716908652	-35.463616929083884
020830699	02	083	0699	4	9 de Julio	-61.076783399374506	-35.575739013787114
020830700	02	083	0700	4	9 de Julio	-61.23580898696961	-35.426726805119415
020830701	02	083	0701	4	9 de Julio	-60.85620642558096	-35.23840005211375
020830701A	02	083	0701A	4	9 de Julio	-61.076972794434006	-35.26122114903182
020830703	02	083	0703	4	9 de Julio	-61.34271815410956	-35.322109482661915
020830704	02	083	0704	4	9 de Julio	-60.980368587758974	-35.346056914352786
020830705	02	083	0705	4	9 de Julio	-60.80243895824523	-35.577808767756565
020830705A	02	083	0705A	4	9 de Julio	-60.831430014490024	-35.499274206153686
020830706	02	083	0706	4	9 de Julio	-60.712250988735796	-35.63238077267398
020830707	02	083	0707	4	9 de Julio	-60.551344772844914	-35.48161971057684
020830708	02	083	0708	4	9 de Julio	-60.93320502419204	-35.78764520117802
020830709	02	083	0709	4	9 de Julio	-60.932855294318905	-35.604370912449745
020840711	02	084	0711	7	Olavarria	-60.332034538221905	-36.90380395173954
020840711A	02	084	0711A	7	Olavarria	-60.291174950066996	-36.87182681030112
020840711B	02	084	0711B	7	Olavarria	-60.342629419652596	-36.89601421296638
020840711C	02	084	0711C	7	Olavarria	-60.314242547004895	-36.87451835314311
020840711D	02	084	0711D	7	Olavarria	-60.31770306551771	-36.917721526376624
020840711E	02	084	0711E	7	Olavarria	-60.290165551605675	-36.89555029552634
020840712	02	084	0712	7	Olavarria	-60.43177850875359	-36.87304037887408
020840713	02	084	0713	7	Olavarria	-60.29166208434686	-36.72988167464737
020840714	02	084	0714	7	Olavarria	-60.27057445507132	-36.92247480629867
020840715	02	084	0715	7	Olavarria	-60.17526401197285	-36.871622398419774
020840716	02	084	0716	7	Olavarria	-60.1829592607021	-36.80117265806107
020840717	02	084	0717	7	Olavarria	-60.13386159733492	-36.90978259656366
020840718	02	084	0718	7	Olavarria	-60.09598247133263	-36.94100113543407
020840718A	02	084	0718A	7	Olavarria	-60.07579732275724	-36.84583213048019
020840719	02	084	0719	7	Olavarria	-60.22992895015703	-37.06569528913871
020840719A	02	084	0719A	7	Olavarria	-60.16958611273878	-36.982079243677155
020840720	02	084	0720	7	Olavarria	-60.38851464108556	-37.21873428626501
020840721	02	084	0721	7	Olavarria	-60.60235178380111	-37.01508593430106
020840722	02	084	0722	7	Olavarria	-60.91449998881028	-37.07333866662767
020840723	02	084	0723	7	Olavarria	-61.03244342403353	-36.68530341379741
020840723A	02	084	0723A	7	Olavarria	-60.87918596995953	-36.528270282395894
020840724	02	084	0724	7	Olavarria	-61.05475198307034	-36.87884252390527
020840725	02	084	0725	7	Olavarria	-60.66633807951809	-36.5304359659222
020840726	02	084	0726	7	Olavarria	-60.536347010156284	-36.69171500870727
020850734	02	085	0734	4	Pehuajo	-61.906284473579156	-35.78703582656573
020850734A	02	085	0734A	4	Pehuajo	-61.78634657838274	-35.775788314173006
020850735	02	085	0735	4	Pehuajo	-61.75788072281803	-35.9630246613685
020850736	02	085	0736	4	Pehuajo	-61.613661477515414	-36.05204318602333
020850738	02	085	0738	4	Pehuajo	-62.04812925512127	-35.96507959173323
020850738A	02	085	0738A	4	Pehuajo	-62.010653632032636	-35.6377633462523
020850739	02	085	0739	4	Pehuajo	-62.23782078038345	-35.866833874286485
020850740	02	085	0740	4	Pehuajo	-61.68928879390717	-35.66998364355783
020850741	02	085	0741	4	Pehuajo	-62.01299714536764	-36.2128475114705
020860743	02	086	0743	6	Pellegrini	-63.22587281956985	-36.272113367912304
