circuito	FRENTE DE TODOS	JUNTOS POR EL CAMBIO	CONSENSO FEDERAL	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	FRENTE NOS	MOVIMIENTO DE AVANZADA SOCIALISTA	FRENTE PATRIOTA	PARTIDO DIGNIDAD POPULAR	MOVIMIENTO ORGANIZACION DEMOCRATICA
02040000312	29	40	3	0	0	1	0	0	0
02040000313	1	4	0	0	0	0	0	0	0
02041000314	1558	1576	152	41	9	6	6	2	2
02041000315	47	73	3	1	0	0	0	0	0
02041000316	1057	1665	157	28	14	7	4	4	5
02041000317	770	771	97	11	12	1	4	2	0
02041000318	932	1074	113	25	9	7	0	5	1
02042000320	4810	5540	525	216	70	42	19	12	4
02042000321	3	1	2	0	0	0	0	0	0
02042000322	47	36	2	1	2	0	1	0	0
02042000323	1	9	0	0	0	0	0	0	0
02042000324	108	97	4	5	0	2	0	0	1
02043000326	416	707	14	8	5	5	2	0	0
02043000327	277	363	6	6	3	2	1	1	1
02043000328	2	19	0	0	0	0	0	0	0
02044000330	2563	2801	170	103	58	21	5	6	6
02044000332	100	77	3	2	2	2	0	0	0
02044000334	195	208	21	5	7	3	1	2	0
02044000335	86	137	5	4	0	1	2	1	0
02044000336	23	18	0	0	2	0	0	0	1
02045000547	4552	3277	446	165	57	24	11	11	8
02045000548	474	167	40	14	6	2	0	0	2
02046000338	700	896	40	32	12	2	1	3	2
02047000340	5362	5686	579	370	185	40	22	10	9
02047000341	2	7	0	0	1	0	0	0	0
02047000342	13	17	1	0	0	0	0	0	0
02047000343	29	31	6	0	2	1	2	0	0
02048000345	3099	2647	210	217	68	32	12	9	8
02048000346	30	25	2	0	0	0	0	0	0
02048000347	91	80	8	2	5	2	1	0	0
02048000348	323	269	19	8	11	0	2	1	2
02048000349	23	24	3	0	0	0	0	0	0
02048000350	11	21	3	0	0	0	0	0	0
02048000351	342	312	21	9	29	4	1	1	1
02048000352	33	57	9	0	6	1	0	0	0
02049000354	2564	1700	163	74	33	20	59	7	7
02049000356	11	11	0	0	2	0	0	0	0
02049000357	623	341	33	15	10	3	4	1	1
02049000358	31	19	2	0	0	0	0	0	0
02049000359	314	443	50	9	0	5	10	1	0
02049000360	242	243	26	18	3	2	3	0	1
02050000364	39352	32958	6317	3143	1898	832	249	239	116
02050000365	36378	27844	5367	2802	1535	763	165	227	103
02050000366	14687	34420	3495	1691	583	479	114	73	49
02050000367	14571	25579	3537	1812	555	492	82	87	45
02050000368	7270	3847	658	421	287	124	26	51	22
02050000369	1694	1444	212	122	43	29	5	9	3
02050000370	4733	3443	590	343	241	115	16	33	16
02051000374	32024	16801	2296	1341	892	464	138	259	57
02052000376	7581	8141	1459	942	358	178	63	33	16
02052000377	11367	11173	1996	1049	656	265	78	56	20
02052000378	10301	7452	1477	899	423	186	57	57	23
02052000379	7241	5699	1223	668	287	137	47	17	8
02052000380	5182	4128	944	534	255	112	39	39	12
02052000381	18340	9999	2275	1421	1005	263	93	88	35
02052000382	1864	2360	480	244	96	38	15	8	7
02052000383	1848	2504	433	257	125	45	24	6	0
02052000384	6465	4278	890	475	364	105	41	36	11
02052000388	28401	12020	2826	1805	1722	312	119	132	44
02053000397	17515	16950	2541	1655	634	398	96	109	43
02053000400	7108	8959	1162	685	275	183	34	51	19
02053000401	1246	1038	67	19	71	13	0	3	6
02053000402	10085	6701	692	454	568	99	24	57	20
02054000404	4839	4084	319	99	58	22	17	5	9
02054000405	76	62	4	0	0	0	0	0	0
02054000406	70	108	2	1	1	0	1	0	0
02054000407	13	39	6	0	0	1	0	0	1
02054000408	638	551	66	17	14	5	4	2	2
02054000409	90	169	8	3	0	0	0	0	0
02054000410	3	8	0	0	0	0	0	0	0
02055000411	3556	6528	275	132	107	28	14	51	6
02055000412	24	17	0	0	0	0	0	0	0
02055000413	209	475	15	6	3	2	2	1	0
02055000414	72	95	7	2	1	1	0	0	0
02055000415	249	625	37	10	6	3	1	2	0
02055000416	397	798	52	15	9	6	6	1	4
02055000417	40	151	16	0	0	0	0	1	0
02055000418	187	516	42	6	3	3	7	0	0
02055000419	115	146	20	4	3	2	1	0	0
02055000420	93	291	69	6	4	1	3	1	1
02055000421	64	109	3	0	1	1	0	0	0
02056000424	2918	2131	199	117	67	16	10	6	6
02056000427	664	465	50	16	4	4	2	2	0
02056000428	87	37	2	1	0	0	0	0	0
02057000430	752	778	61	34	6	10	5	1	1
02057000431	1559	1421	92	27	16	18	3	4	3
02057000432	521	556	44	9	11	2	2	0	0
02057000433	40	72	1	3	0	0	0	0	0
02057000434	329	276	18	2	3	6	2	1	0
02058000742	2583	2598	159	46	39	15	13	7	3
02059000436	5533	3405	839	185	45	36	9	12	5
02059000437	14	17	2	0	1	0	0	0	0
02059000438	9	7	0	0	0	0	0	0	0
02059000439	1049	527	174	44	24	14	0	2	3
02059000440	55	53	12	0	1	0	1	0	0
02059000441	38	64	6	3	3	0	1	0	0
02059000442	20	11	0	0	0	0	0	0	0
02060000444	21429	20350	3428	995	661	204	110	33	29
02060000445	988	574	92	44	26	14	8	2	2
02060000446	342	280	59	9	11	7	3	3	0
02060000447	324	192	34	10	6	4	0	1	0
02060000448	14	41	2	0	0	0	0	0	0
02060000449	4	26	0	0	1	0	0	0	0
02060000450	275	376	52	5	9	3	3	0	1
02060000451	315	323	37	13	17	2	2	2	1
02060000452	137	193	11	1	4	0	0	2	0
02060000453	7	24	2	0	0	0	0	0	0
02060000454	37	38	2	0	1	0	0	0	0
02060000455	4	12	2	0	0	0	2	0	0
02060000456	74	138	8	3	2	3	0	0	0
02061000626	17832	14714	3374	1916	635	417	139	78	50
02061000627	6058	4261	1208	597	206	122	46	26	15
02061000628	12924	18641	3485	1940	406	406	112	66	25
02061000629	15913	4686	1614	1008	413	154	49	61	52
02061000630	10610	10864	2401	1357	293	264	60	56	33
02061000631	12076	6496	1862	943	301	199	65	58	24
02061000632	4200	2807	813	413	104	69	38	18	6
02061000633	22870	12759	3263	1908	673	349	140	97	39
02061000634	11326	6219	1768	936	284	194	69	47	33
02061000635	53878	9621	2863	2306	1378	333	152	203	72
02062000259	3249	2560	541	336	55	83	15	39	12
02062000260	11471	10173	1914	1008	229	257	53	38	24
02062000261	13307	7693	1710	1002	257	236	45	36	37
02062000262	27108	8555	2196	1295	717	259	83	66	49
02062000263	8070	5434	1124	683	175	138	43	41	31
02062000264	2376	2417	483	262	46	61	17	6	2
02062000265	9471	5975	1165	809	223	135	59	31	24
02062000271	4290	3888	842	400	73	84	17	17	5
02062000272	6145	4872	1025	538	101	110	24	12	10
02062000273	24537	10091	2110	1294	442	251	79	72	28
02062000274	17808	10956	2345	1220	612	264	85	66	35
02062000275	9313	7560	1461	869	246	189	58	30	28
02062000276	9224	10446	1796	884	157	243	56	24	20
02063000460	553	724	91	69	18	14	2	0	0
02063000461	417	605	69	57	9	20	2	1	1
02063000462	401	720	70	45	19	9	2	0	0
02063000463	159	311	42	16	6	6	2	1	1
02063000464	544	759	114	75	17	23	3	2	1
02063000465	502	744	110	52	15	17	12	2	3
02063000466	582	961	106	87	31	13	2	2	2
02063000467	662	948	116	77	17	24	11	4	4
02063000468	579	747	84	67	20	29	5	3	2
02063000469	207	220	37	31	9	8	1	1	0
02063000471	632	567	99	78	14	17	4	2	3
02063000472	394	419	69	60	16	14	1	1	0
02063000473	949	1368	169	141	27	29	5	13	2
02063000474	1282	1940	276	179	26	46	3	3	3
02063000475	3916	6057	910	563	139	122	23	13	19
02063000476	733	1055	155	84	26	11	3	2	5
02063000477	2061	1974	364	232	74	58	16	8	13
02063000480	742	1006	124	78	24	23	3	3	0
02063000481	923	1270	170	113	39	15	10	3	7
02063000482	798	1051	165	103	28	27	7	1	5
02063000483	764	1021	142	111	26	24	4	2	5
02063000484	187	248	34	20	5	8	0	0	2
02063000485	634	717	114	93	13	23	7	2	4
02063000486	882	947	199	124	31	24	11	5	3
02063000487	596	746	95	111	13	27	4	2	2
02063000488	988	1104	202	146	22	40	5	2	7
02063000495	6733	8719	1491	875	205	214	49	37	38
02063000496	9798	8195	1522	996	364	242	69	40	39
02063000497	4234	4826	918	514	180	102	21	13	24
02063000498	743	248	43	23	11	6	3	1	2
02063000501	13338	14609	2568	1531	500	396	81	65	67
02063000502	13881	12346	2154	1235	475	275	69	32	50
02063000503	2024	1392	251	155	94	44	9	25	3
02063000504	10708	10719	1752	1192	447	297	47	50	43
02063000505	4930	4530	777	479	336	115	36	27	29
02063000508	5708	2433	459	358	184	93	11	19	14
02063000509	2733	1179	173	119	67	41	8	11	8
02063000516	738	965	139	89	20	32	3	4	2
02063000517	767	1056	149	115	19	31	4	4	3
02063000518	864	1050	125	135	33	29	3	4	2
02063000519	1575	1548	238	215	46	69	9	7	8
02063000520	2742	2696	469	370	86	62	31	7	25
02063000521	988	1048	145	117	19	32	6	2	3
02064000524	3889	2601	126	74	39	16	7	9	8
02064000525	5	5	0	0	0	0	0	0	0
02064000526	4	7	0	0	1	0	0	0	0
02064000528	111	83	3	4	0	0	0	1	1
02065000538	7315	6215	692	279	127	57	18	6	8
02065000539	24	35	1	1	0	0	0	0	0
02065000540	13	52	4	1	0	0	0	0	0
02065000541	7	28	0	0	0	0	0	0	0
02065000542	6	24	2	1	0	0	0	0	0
02065000543	63	101	10	3	2	1	1	2	0
02065000544	5	10	3	0	0	0	0	0	0
02065000545	21	47	3	0	0	0	0	0	0
02066000549	2937	2538	250	61	59	9	8	5	7
02066000550	48	23	2	1	0	0	0	0	0
02066000551	775	736	98	25	9	8	4	3	2
02066000552	1538	950	58	27	25	4	16	0	2
02066000553	116	117	12	3	2	2	0	1	0
02067000554	7936	9049	988	355	254	69	42	44	19
02067000555	19	24	1	0	0	0	0	1	0
02067000556	8	40	5	1	1	0	0	0	0
02067000557	19	42	3	3	1	1	0	0	0
02067000558	22	23	1	0	1	0	1	0	0
02067000559	213	208	17	7	2	1	1	1	0
02067000560	24	24	2	0	0	0	0	0	0
02067000561	458	458	74	14	17	3	6	6	1
02067000562	767	1174	139	31	19	10	10	5	4
02067000563	424	642	103	18	9	7	6	2	3
02067000564	320	414	56	10	2	2	5	2	1
02067000565	44	76	3	7	2	0	2	0	0
02067000566	478	756	103	32	15	2	5	0	0
02067000567	19	42	5	1	0	0	0	0	0
02068000568	3680	3940	222	223	118	22	9	6	5
02068000569	15	22	0	0	0	0	0	0	0
02068000570	6	25	1	3	0	0	0	0	0
02068000572	391	678	50	26	10	4	3	1	5
02069000574	7109	8121	904	576	258	76	29	18	25
02069000575	1602	1274	186	84	73	12	3	5	5
02069000576	93	117	18	5	2	1	0	1	0
02069000577	123	314	8	15	1	3	0	0	0
02069000578	168	442	35	10	9	3	2	3	2
02069000579	138	179	24	8	2	3	1	0	0
02069000580	52	94	8	2	2	1	0	0	0
02069000581	87	168	15	8	1	0	1	0	0
02070000583	97535	20974	5337	3617	1802	713	253	174	144
02070000584	5760	7202	1277	705	157	185	30	13	9
02070000585	2970	3900	683	434	73	110	24	7	10
02070000586	5858	6286	1061	533	129	121	38	17	9
02070000587	37985	18307	4359	2293	801	596	164	110	57
02070000588	3599	3865	816	466	78	114	24	16	10
02070000589	7256	4977	1232	744	184	178	49	24	15
02070000590	11410	10821	2276	1431	255	317	75	29	29
02070000591	4020	5515	975	501	126	150	36	19	7
02070000592	2069	2345	557	284	51	73	23	5	5
02070000593	8458	4429	1212	652	288	151	48	99	32
02071000596	20891	21513	3307	1394	494	273	112	69	40
02071000597	14	159	14	6	3	1	57	0	0
02071000598	1551	1306	228	82	37	15	7	7	5
02071000599	2731	1758	395	118	37	26	14	9	5
02071000600	522	553	111	21	11	9	5	3	5
02071000601	147	145	18	8	3	2	1	0	0
02071000602	1268	872	172	75	40	20	16	4	8
02071000603	845	329	74	36	16	14	3	4	0
02072000604	807	989	98	40	49	11	1	1	1
02072000605	168	147	21	14	0	2	0	1	2
02072000606	3301	3434	439	180	196	65	13	10	14
02072000607	29	38	6	1	5	1	0	1	0
02072000608	31	69	6	4	0	0	6	0	0
02072000609	35	68	19	3	3	1	0	0	1
02072000610	10	14	1	0	0	0	0	0	0
02073000615	3107	3232	265	102	92	25	7	6	9
02073000616	159	180	10	5	3	3	3	0	0
02073000617	23	65	3	1	0	0	0	0	0
02074000619	2718	2329	171	58	44	37	5	3	7
02074000620	823	940	51	12	7	9	1	0	1
02074000621	9	41	5	1	1	0	0	0	0
02074000622	558	397	34	18	9	15	1	2	0
02075000624	18822	7858	1202	782	479	132	65	354	98
02076000638	6469	9848	1103	584	173	88	34	27	8
02076000639	2368	1250	237	90	78	12	7	15	5
02076000640	3033	2859	405	220	84	26	11	11	5
02076000641	873	815	107	56	16	10	1	6	2
02076000642	3041	2540	358	177	67	33	13	24	9
02076000643	853	436	79	25	17	11	4	2	1
02076000644	275	279	40	13	4	1	1	1	0
02076000645	61	47	6	1	4	1	2	0	0
02076000646	93	115	9	3	2	2	1	1	0
02076000647	38	55	6	1	2	0	0	0	0
02076000648	71	50	4	2	0	1	1	1	0
02077000652	24372	13733	3205	1875	715	310	113	131	46
02077000653	27829	6947	1981	1501	952	260	67	127	33
02077000654	14842	3534	927	745	573	125	45	82	18
02077000655	20159	12075	2980	1832	640	345	85	83	58
02078000656	4779	6189	398	295	252	62	32	16	11
02078000657	83	127	0	4	3	2	1	0	0
02078000658	57	49	3	1	0	0	1	0	0
02078000659	6	26	0	1	2	0	0	0	0
02078000660	29	88	3	0	1	0	1	0	0
02078000661	217	240	25	9	1	2	2	1	0
02078000662	8	9	0	2	0	0	0	0	0
02079000663	17144	10693	1966	1236	453	263	83	31	28
02079000664	9453	4714	700	499	326	122	59	1	17
02080000665	38462	24541	5455	3108	1325	690	197	167	108
02080000669	9476	12828	2212	1250	292	289	58	37	27
02080000670	2941	4512	668	442	108	88	17	9	4
02080000671	14652	13373	2707	1330	897	291	105	64	45
02080000672	9823	12520	2123	1097	270	287	65	39	27
02080000673	15592	10990	2155	1283	557	312	82	44	30
02081000675	4139	4374	283	104	41	30	9	6	3
02081000676	161	182	12	0	1	1	0	0	1
02081000677	41	39	2	0	0	0	0	0	0
02081000678	47	95	7	2	1	1	1	0	0
02081000679	25	38	2	2	0	0	0	0	0
02081000680	22	76	8	1	1	1	0	0	0
02081000681	259	188	18	10	1	2	0	1	2
02081000682	12	39	1	0	0	0	0	0	0
02081000683	158	160	22	5	1	1	1	0	0
02082000686	14757	22711	2521	1199	574	213	63	76	221
02082000687	409	406	72	27	3	6	3	3	3
02082000688	61	87	9	0	0	1	1	0	1
02082000691	549	893	127	28	16	12	3	3	4
02082000692	136	200	29	4	5	3	1	0	0
02083000696	9528	11544	2214	493	178	119	42	14	26
02083000697	38	41	14	0	0	0	0	0	0
02083000698	263	204	25	7	3	2	1	0	0
02083000699	262	252	57	18	5	3	1	1	0
02083000700	137	153	44	5	2	1	0	0	0
02083000701	173	186	28	4	0	4	0	0	0
02083000703	480	459	62	13	27	3	5	1	2
02083000704	16	18	6	1	1	0	0	0	0
02083000705	18	24	0	1	0	0	0	0	0
02083000706	654	671	95	17	13	1	4	3	0
02083000707	97	140	27	1	0	0	0	1	0
02083000708	10	27	4	0	0	0	0	0	0
02083000709	73	97	17	4	1	0	0	0	0
02084000711	2577	5088	987	292	117	58	9	6	5
02084000712	73	53	7	2	2	0	0	0	0
02084000714	370	261	67	24	25	4	1	1	0
02084000715	1117	1038	301	40	34	14	4	10	2
02084000716	573	655	186	38	20	13	1	4	0
02084000717	1043	695	264	45	13	9	6	7	4
02084000718	266	108	25	5	6	2	0	3	0
02084000719	844	863	255	69	32	21	5	4	5
02084000721	3	15	3	1	0	0	1	0	0
02084000722	0	6	1	1	0	0	0	0	0
02084000723	57	83	35	5	1	2	3	0	1
02084000725	80	170	51	10	6	3	1	1	0
02085000734	10341	7882	631	340	128	61	32	27	14
02085000735	100	67	6	1	0	1	3	0	1
02085000736	53	83	8	6	1	0	0	0	1
02085000738	365	358	18	10	3	2	5	2	1
02085000739	523	688	23	23	5	3	7	1	2
02085000740	114	88	2	0	2	0	0	1	0
02085000741	504	644	12	16	5	2	3	1	0
02086000743	1214	1754	135	34	18	18	7	4	0
02087000747	32	58	6	4	2	1	1	0	0
02087000748	3054	7414	869	263	88	49	19	16	7
02087000749	314	410	62	13	9	2	1	1	1
02087000750	9	29	0	0	0	0	0	0	0
02087000751	351	613	94	39	2	12	3	3	3
02087000752	60	72	7	1	1	0	0	0	0
02087000753	373	442	45	10	5	1	2	0	5
02087000754	141	174	15	1	3	1	1	0	0
02087000755	109	188	25	12	6	1	0	0	0
02087000756	243	402	46	18	4	5	2	0	1
02087000757	0	7	1	0	0	0	0	0	0
02087000758	196	283	53	8	0	3	1	2	0
02087000759	253	330	39	10	4	5	3	0	0
02088000765	1297	913	67	22	12	4	3	2	1
02088000766	31	81	5	2	0	0	0	0	0
02089000768	3401	2025	385	172	161	28	1	14	5
02089000769	938	1129	125	43	55	10	2	8	0
02089000770	1672	941	160	80	63	17	5	8	1
02089000771	6340	2582	465	218	347	50	36	32	10
02089000772	5226	3544	604	256	341	54	18	32	9
02090000339	2817	4400	639	174	88	47	13	20	3
02091000776	1099	1996	115	86	30	14	6	6	3
02091000777	221	384	23	43	1	3	1	0	2
02091000778	1156	2193	138	140	20	17	9	7	8
02091000779	55	250	11	10	0	1	0	1	3
02091000780	338	783	57	79	7	7	2	1	5
02091000781	24	69	0	5	0	1	2	0	0
02091000782	119	335	3	19	0	2	2	0	1
02092000783	4865	7295	897	444	124	113	17	17	8
02092000784	7298	7875	1250	644	236	122	28	40	23
02092000785	11815	12300	2234	1207	300	282	70	54	34
02092000786	7640	4594	779	446	119	81	19	29	14
02092000787	5568	5067	815	442	140	90	24	34	17
02092000788	15024	3556	907	593	353	116	18	86	16
02092000791	7230	5070	1077	560	193	111	34	36	13
02093000797	4774	2935	479	220	104	32	14	47	12
02093000798	3178	3795	430	212	32	37	19	31	10
02093000800	665	271	62	27	49	6	3	7	1
02093000801	17	28	4	0	0	1	0	0	0
02093000802	8	7	0	0	0	0	0	0	0
02093000803	1194	1258	152	48	27	11	11	10	4
02093000804	147	250	29	7	3	1	1	1	1
02094000806	4318	4008	249	374	106	24	11	9	8
02094000807	7	11	0	1	0	1	0	0	0
02094000808	6	20	1	1	0	0	0	0	0
02094000810	11	19	0	0	0	0	0	0	0
02094000811	37	45	4	2	0	0	0	0	0
02094000812	5	16	1	0	0	0	0	0	0
02094000813	23	71	2	1	0	1	0	0	0
02095000815	3496	3756	225	71	63	28	9	7	3
02095000816	139	201	4	3	1	0	1	0	0
02095000817	475	437	13	5	4	1	5	1	0
02095000818	13	12	0	0	0	0	0	0	0
02095000819	64	113	3	2	2	2	2	1	2
02095000820	404	438	18	7	2	1	2	1	0
02095000821	4	4	1	0	0	0	1	0	0
02096000823	5788	6513	513	203	62	65	41	11	12
02096000824	17	24	2	0	2	0	0	0	0
02096000825	11	50	3	0	1	2	0	0	0
02096000826	40	68	1	0	1	0	0	0	0
02096000827	303	360	21	6	3	10	4	0	2
02096000828	17	20	1	1	0	0	0	0	0
02096000829	7	10	0	1	1	2	0	0	0
02096000830	253	548	22	6	6	1	0	0	0
02097000832	3059	3513	190	117	39	17	7	4	7
02097000833	51	99	9	0	0	0	0	0	0
02097000834	77	93	4	2	0	1	1	0	0
02097000835	35	83	3	1	0	0	0	0	0
02097000836	156	99	9	2	1	2	0	0	0
02097000837	29	57	1	0	1	0	0	0	0
02098000839	616	611	61	28	28	5	3	2	4
02098000840	3205	5041	373	162	238	44	10	11	8
02098000841	136	212	9	6	9	1	0	0	0
02098000842	168	422	32	11	5	1	1	1	1
02098000843	89	220	15	8	3	2	3	0	1
02098000844	62	119	9	4	2	0	1	0	2
02099000846	6470	8898	818	307	163	45	32	23	14
02099000847	92	139	14	4	0	2	0	0	0
02099000848	13	38	2	0	0	0	0	0	0
02099000849	363	376	42	17	10	3	0	2	0
02099000850	139	141	13	1	4	2	0	0	1
02099000851	11	33	4	1	0	0	1	0	0
02099000852	12	78	8	0	0	0	0	0	0
02100000746	1978	2477	157	46	25	7	4	9	0
02101000854	9012	7635	704	608	410	81	31	34	23
02101000855	412	688	52	45	8	4	1	1	2
02101000856	192	287	27	11	9	2	0	0	2
02101000857	282	355	33	10	8	3	2	1	2
02101000858	82	53	5	2	1	1	0	0	0
02102000860	5336	5209	630	168	180	45	23	16	19
02102000861	153	222	18	6	7	8	1	1	0
02102000862	18	40	1	1	0	0	0	0	1
02102000863	254	200	19	13	22	5	0	2	1
02102000864	353	214	32	5	14	1	2	0	3
02103000866	5739	6061	394	274	232	43	23	14	16
02103000867	251	189	7	12	12	1	2	0	1
02103000868	6	10	0	0	5	0	0	0	0
02103000869	250	302	29	9	7	0	0	0	0
02103000870	540	307	29	15	24	1	0	2	2
02104000871	1599	3024	181	56	43	14	6	7	5
02105000872	2125	3153	479	191	50	54	6	5	1
02105000873	730	1629	213	90	23	27	9	4	2
02105000874	556	504	84	44	21	15	2	1	0
02105000875	571	667	142	57	13	14	5	1	1
02105000876	825	503	113	72	25	12	3	2	0
02105000877	7181	3946	896	419	200	87	32	36	10
02105000878	7525	3533	872	488	261	96	28	32	9
02105000879	6842	4751	1069	532	227	99	34	27	10
02105000880	2652	7125	756	385	96	72	19	10	5
02105000881	168	82	13	8	13	4	0	0	1
02105000882	124	54	20	5	5	0	1	1	1
02106000887	2332	7682	463	303	165	64	20	16	7
02106000888	3176	9354	691	445	151	113	22	22	8
02106000889	6702	10102	953	608	297	146	41	42	7
02106000890	773	1554	127	76	62	18	5	2	2
02106000891	8722	24537	2423	1334	331	310	94	58	24
02106000892	20402	20178	2452	1769	1034	367	91	108	31
02106000893	8255	13874	1123	723	355	144	63	59	10
02106000894	539	3025	120	89	31	21	5	3	1
02106000895	1686	10817	497	297	77	83	10	7	1
02107000901	8866	12973	1951	637	605	139	38	34	43
02107000902	2558	2439	413	127	175	26	8	7	12
02107000903	2332	1234	320	101	168	16	12	7	12
02107000904	7012	4019	911	302	581	85	27	43	31
02107000905	4194	1421	280	150	194	20	15	18	9
02107000906	911	745	126	29	68	6	4	6	0
02107000907	423	289	46	19	23	4	0	1	1
02107000908	470	324	56	37	30	3	3	1	1
02107000909	102	180	45	8	3	5	0	1	0
02107000910	440	751	168	34	22	11	4	5	5
02107000911	1772	1430	217	95	117	20	9	10	9
02108000913	11992	12365	1935	636	478	149	51	226	43
02108000914	848	450	42	15	73	4	3	9	3
02108000915	527	438	71	26	24	7	4	14	0
02108000916	24	23	1	1	2	0	0	0	0
02108000917	1067	737	63	30	20	8	4	7	4
02108000918	67	75	15	0	2	1	0	1	0
02108000919	16	27	4	2	0	0	0	0	0
02108000920	256	182	22	8	5	7	2	11	1
02108000921	4	8	0	0	1	0	0	0	0
02108000922	805	682	121	42	17	16	3	25	3
02109000924	8733	5384	1119	386	132	79	33	36	20
02109000925	11742	4631	1066	464	292	106	43	20	43
02109000926	1166	437	108	51	15	12	7	2	4
02109000927	7	14	3	1	0	0	0	0	0
02110000929	3307	2516	207	78	40	19	2	3	1
02110000930	25	41	1	0	2	1	0	0	0
02110000931	285	207	14	2	5	0	0	1	2
02111000933	137	154	4	4	7	2	0	0	0
02111000935	5	52	4	1	0	0	0	1	0
02111000936	5	17	1	0	0	0	0	0	0
02111000937	629	615	83	29	22	13	3	2	4
02111000938	47	85	7	2	2	4	1	0	1
02111000939	16	66	3	0	0	0	0	0	0
02111000940	174	280	34	18	0	8	4	0	0
02112000944	3112	2371	176	70	61	18	8	6	3
02112000945	16	14	1	0	1	0	0	0	1
02112000946	9	11	1	0	0	0	0	0	0
02112000947	43	50	1	0	0	0	0	0	0
02112000948	8	20	2	0	0	0	0	0	0
02112000949	133	98	3	3	2	0	3	0	0
02113000530	21092	17421	2977	1702	773	344	93	111	46
02113000533	1825	1061	204	200	36	39	13	12	5
02113000534	11041	11054	1242	817	365	156	46	71	21
02113000535	16527	12414	2024	1514	800	234	70	128	32
02113000536	15322	7956	1457	972	859	198	51	168	30
02114000953	2213	2571	190	93	129	16	8	8	6
02114000954	94	247	22	6	2	2	0	2	0
02114000955	487	553	52	32	10	8	1	2	4
02114000956	48	87	4	1	7	1	0	1	1
02115000957	9478	10858	950	395	279	117	34	29	14
02115000958	255	252	19	7	7	2	3	1	2
02115000960	3	7	2	0	1	0	0	0	0
02115000961	1383	1649	119	35	43	14	9	4	4
02116000951	822	725	25	13	35	1	5	1	1
02117000964	14097	11943	1774	844	555	148	40	38	38
02117000968	9	15	1	1	0	0	0	0	0
02117000969	216	161	24	11	2	1	6	0	0
02117000970	24	15	1	2	0	0	2	0	0
02117000972	652	711	48	24	6	11	6	3	1
02117000973	203	148	15	7	4	1	1	1	0
02117000975	290	294	26	31	9	10	1	2	2
02117000977	0	3	0	0	0	0	0	0	0
02118000389	4248	4377	785	406	137	122	36	21	6
02118000390	5351	5657	1120	599	213	136	46	28	17
02118000391	25976	21071	4430	2418	1215	504	130	100	44
02118000392	4244	2282	540	296	191	65	16	24	9
02118000393	19187	11013	2320	1494	632	305	97	77	25
02118000394	20889	11027	2844	1539	1066	283	95	91	43
02118000395	14872	10304	2391	1105	842	226	79	63	50
02119000337	4048	3039	548	234	114	55	12	12	5
02120000239	2742	1843	241	109	71	18	7	7	4
02121000980	6464	7117	613	272	187	74	18	10	8
02121000981	26	62	4	1	0	1	0	0	0
02121000982	10	33	1	0	3	0	0	0	0
02121000983	1416	1694	151	53	22	17	7	0	3
02121000984	402	755	80	18	15	7	6	0	1
02121000985	109	169	10	3	2	0	0	0	0
02121000986	23	18	0	0	0	0	0	0	0
02121000987	5	27	3	1	0	0	0	0	0
02121000988	208	340	12	1	1	3	1	0	0
02121000989	103	107	3	6	1	0	0	0	0
02121000990	63	157	3	3	0	2	1	0	1
02121000991	229	224	13	3	0	1	1	0	0
02122000993	4038	11483	1276	660	166	170	25	20	10
02122000994	1863	6217	573	266	86	55	9	7	8
02122000995	2890	7161	761	495	155	125	11	12	3
02122000996	2639	6563	787	460	107	108	22	8	6
02122000997	2192	4784	452	328	120	80	15	4	5
02122000998	3865	6711	987	577	136	161	20	21	7
02122000999	9759	9920	1893	1005	366	219	60	43	81
02122001000	10801	15165	2717	1526	380	348	92	58	23
02122001001	6367	12212	1502	946	282	221	40	31	10
02123000344	9795	7628	815	528	472	78	21	26	12
02124001007	1504	1405	143	68	31	23	9	6	6
02124001008	476	746	73	24	9	11	1	2	6
02124001009	22	114	5	2	2	0	0	0	0
02124001010	1128	1420	85	57	37	25	8	11	14
02124001011	1784	2483	244	114	53	40	11	8	7
02125001013	6448	6914	865	499	204	88	38	58	16
02125001014	10418	4919	929	614	275	126	53	84	35
02125001015	2303	2175	373	213	94	37	18	22	4
02125001016	1482	1037	143	113	47	35	7	7	2
02125001017	8152	4021	738	445	271	102	44	87	23
02125001018	3402	1928	336	235	93	48	18	46	17
02125001019	129	119	16	14	1	0	1	0	1
02125001020	19	15	0	0	1	0	0	2	0
02125001021	4313	1455	494	121	174	43	10	86	13
02126000744	2419	1841	125	58	97	10	12	9	4
02126000745	60	45	1	0	0	2	0	0	0
02127000361	2518	2642	159	86	19	7	9	3	5
02127000362	104	143	13	2	1	1	0	1	0
02128000304	9819	2642	520	445	199	64	35	19	14
02129000398	34594	13600	3367	2199	1158	460	144	252	62
02130000399	33933	11111	2479	1602	1111	278	97	150	58
02131000611	21	28	2	1	0	1	0	1	0
02131000613	2501	2338	300	102	109	28	10	7	4
02132000289	18369	10837	2324	1289	719	210	67	71	48
02132000290	13570	4750	1311	796	504	145	61	62	38
02133000666	22534	12512	3310	1675	693	334	90	29	83
02133000667	17811	15792	3700	1776	512	410	85	7	55
02134000668	18390	15211	3072	1832	911	378	99	73	48
