circuito	FRENTE DE TODOS	JUNTOS POR EL CAMBIO	CONSENSO FEDERAL	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	FRENTE NOS	MOVIMIENTO DE AVANZADA SOCIALISTA	FRENTE PATRIOTA	PARTIDO DIGNIDAD POPULAR	MOVIMIENTO ORGANIZACION DEMOCRATICA
0206300497C	3653	1900	387	269	167	64	17	22	13
0206300497D	3213	2293	533	310	157	63	19	15	18
0206300497E	4194	2403	535	280	234	63	36	25	25
0206300497F	1211	654	149	71	49	18	9	5	10
0206300503A	3102	1782	305	277	84	65	11	14	8
0206300504A	7255	8921	1392	862	245	224	33	30	22
0206300505A	4387	2050	416	288	229	74	21	28	16
0206300505B	1816	522	111	66	38	15	3	2	3
0206300508A	4048	3622	731	401	198	95	37	20	18
0206300508B	3259	1133	247	160	117	36	15	15	8
0206300508C	2928	1394	291	200	122	32	12	16	11
0206300508D	3948	1828	347	203	139	39	15	25	12
0206300508E	2579	1514	392	218	113	41	9	14	15
0206300508F	867	441	99	60	29	12	3	2	1
0206300508G	272	104	20	7	5	3	0	0	0
0206300509A	2897	2259	444	238	94	59	13	14	18
0206700567A	100	196	17	4	4	1	4	0	1
0206800568A	157	109	5	7	0	0	0	0	0
0206800569A	3	3	2	0	0	0	0	0	0
0206900576A	13	44	2	1	2	1	0	0	0
0207000590A	19341	7417	1984	1307	422	268	78	47	39
0207000593A	4042	3330	850	448	99	114	17	14	9
0207300617A	3	9	2	0	0	0	0	0	0
0207400621A	3	15	2	0	0	0	0	0	0
0207400622A	3916	2489	421	213	102	111	14	11	6
0207400622B	505	537	72	32	4	22	0	2	3
0207500624A	99	33	6	1	2	0	1	2	0
0207700652A	63821	17211	5082	3390	1901	642	242	352	144
0207700655A	25791	6413	1768	1283	792	214	85	142	48
0207900663A	21096	9808	2010	1521	705	271	98	71	33
0207900663B	25658	7317	1632	1219	899	234	80	60	42
0207900663C	37274	9273	2367	1769	1201	336	99	11	50
0207900663D	16370	3192	639	451	509	76	39	15	18
0207900664A	11910	4136	752	585	417	136	40	0	22
0207900664B	13176	3696	816	605	535	136	44	31	21
0208100681A	87	62	3	0	1	2	0	0	0
0208200686A	4415	3761	560	262	183	72	29	25	44
0208200691A	3	4	0	0	0	0	0	0	0
0208300701A	2	8	2	0	0	0	0	0	0
0208300705A	144	134	25	5	2	2	1	0	1
0208400711A	1655	2515	599	150	56	22	6	6	2
0208400711B	2624	2573	744	208	97	55	10	9	9
0208400711C	4205	3690	1109	297	156	71	20	19	11
0208400711D	5629	5089	1530	420	218	94	33	21	14
0208400711E	4646	3676	1049	327	188	61	24	15	18
0208400718A	14	11	0	0	0	0	0	0	0
0208400719A	9	10	0	0	0	0	0	1	0
0208400723A	13	27	3	2	0	0	1	0	0
0208500734A	45	38	5	1	4	0	0	0	0
0208500738A	10	6	0	0	1	1	0	0	0
0208700747A	75	123	19	0	0	4	0	0	0
0208700748A	5037	5374	1018	251	215	59	21	15	11
0208700748B	4458	4759	815	236	200	39	19	22	11
0208700748C	4964	3989	768	208	252	45	14	17	17
0208700748D	4100	5136	799	232	210	46	15	9	9
0208700748E	34	19	5	1	0	1	0	0	0
