depto	circuito	consenso federal	frente de izquierda y de trabajadores - unidad	frente de todos	frente nos	juntos por el cambio
110	0930	2	0	23	1	44
110	0931	7	3	285	0	251
110	0929A	1	1	19	1	46
111	0933	10	0	105	1	120
111	0934	12	2	60	3	156
111	0935	6	2	9	0	58
111	0936	1	0	4	0	22
111	0937	92	30	716	17	695
111	0938	8	4	50	5	105
111	0939	2	0	18	1	65
111	0940	30	13	209	7	316
111	0933A	306	106	2749	59	1840
111	0933B	290	109	2419	62	2821
111	0933C	238	90	1333	27	3649
111	0933D	145	69	1167	22	1908
111	0933E	177	80	2013	43	1434
111	0933F	394	129	2490	51	2805
111	0933G	142	64	1805	52	836
111	0933H	212	56	1804	48	918
111	0933I	558	162	3790	113	3215
111	0933J	285	75	1874	50	2127
111	0933K	534	212	3418	78	7008
111	0933L	1131	377	6562	153	11270
111	0933M	14	1	53	0	81
112	0944	174	83	3214	51	2767
112	0945	1	0	17	0	19
112	0946	1	0	9	0	12
112	0947	1	1	46	0	48
112	0948	0	1	9	0	21
112	0949	3	0	151	4	108
113	0530	2901	1574	23487	660	21284
113	0533	176	173	1911	45	1266
113	0534	1064	697	11493	278	12399
113	0535	1907	1278	17405	684	14618
113	0536	1535	1027	17292	720	10020
113	0534A	2557	1493	22051	749	17104
113	0535A	2740	1702	26121	913	13205
113	0536A	183	89	1688	63	2523
114	0953	172	98	2476	98	3154
114	0954	15	6	110	3	279
114	0955	42	20	505	19	666
114	0956	0	6	64	3	100
114	0955A	73	69	638	22	1100
114	0955B	15	19	189	5	281
115	0957	834	328	10140	195	13378
115	0958	22	8	374	4	310
115	0959	0	0	0	0	4
115	0960	1	0	6	0	7
115	0961	133	39	1495	15	2046
115	0959A	0	0	0	0	3
115	0961A	2	0	10	1	22
115	0961B	1	0	4	0	3
115	0961C	0	0	3	0	12
115	0961D	3	0	57	0	80
116	0951	24	13	856	19	820
117	0964	1602	716	15300	382	14217
117	0968	2	1	9	0	17
117	0969	22	8	233	3	196
117	0970	2	1	22	0	18
117	0972	62	17	591	6	675
117	0973	17	7	215	3	170
117	0974	0	0	3	0	8
117	0975	38	31	322	7	357
117	0976	0	0	1	0	1
117	0977	0	0	0	0	4
117	0978	0	0	3	0	2
117	0973A	49	24	548	9	585
117	0975A	0	0	19	0	21
117	0975B	20	9	166	1	149
118	0389	598	357	4385	75	5077
118	0390	887	493	5528	107	6621
118	0391	3689	2066	28434	764	26979
118	0392	425	246	4260	125	2855
118	0393	1929	1159	20283	456	13701
118	0394	2461	1256	22122	746	14214
118	0395	1991	951	16533	607	13428
118	0394A	484	451	3833	53	7678
119	0337	421	242	4397	113	3790
119	0337A	196	129	2081	37	1654
119	0337B	480	340	5422	238	4802
119	0337C	263	202	2928	143	2590
119	0337D	332	212	3152	124	3579
119	0337E	518	375	6179	203	5505
120	0239	144	126	3374	63	2224
121	0980	500	232	7279	135	8534
121	0981	5	0	34	0	63
121	0982	1	0	11	1	34
121	0983	125	31	1502	12	1930
121	0984	58	14	419	5	872
121	0985	13	5	133	1	179
121	0986	0	0	23	1	23
121	0987	0	1	7	0	32
121	0988	11	3	218	3	383
121	0989	4	2	111	0	111
121	0990	5	3	69	6	163
121	0991	16	3	248	0	245
122	0993	827	584	4291	78	13005
122	0994	373	221	1974	29	6857
122	0995	499	406	2983	67	7989
122	0996	527	395	2868	57	7578
122	0997	308	304	2304	51	5492
122	0998	626	478	3872	69	7054
122	0999	1480	857	11393	248	12961
122	1000	1990	1268	12016	269	18853
122	1001	1056	783	6902	161	14145
122	0993A	323	234	1781	45	7502
122	1000A	340	212	2097	80	4419
122	1001A	243	198	1403	39	5715
123	0344	712	587	10785	338	8661
124	1007	143	53	1814	30	1803
124	1008	58	32	577	11	883
124	1009	4	2	26	2	135
124	1010	102	45	1225	25	1933
124	1011	213	89	2178	60	3491
124	1011A	60	41	1019	29	1260
125	1013	824	391	6663	151	7462
125	1014	1008	508	10857	250	5371
125	1015	350	189	2642	62	2462
125	1016	160	101	1613	41	1148
125	1017	782	350	8861	260	4239
125	1018	450	217	4019	101	2461
125	1019	10	11	149	4	134
125	1020	3	1	18	0	13
125	1021	296	92	3958	139	1424
125	1013A	4	1	79	2	27
126	0744	102	64	2354	64	1992
126	0745	4	0	58	0	54
127	0361	117	78	2738	16	3434
127	0362	7	1	231	0	357
127	0361A	3	1	43	0	79
128	0304	625	399	9587	288	3141
128	0304A	842	600	13581	325	4266
128	0304B	426	242	6480	255	2409
128	0304C	126	61	2344	61	481
129	0398	3094	1957	37809	1172	16443
129	0398A	2470	1550	43096	1333	10398
129	0398B	2417	1568	28751	860	11646
130	0399	2567	1531	37827	1109	13208
130	0399A	1334	712	18182	485	6943
130	0399B	1045	727	14199	394	6630
130	0399C	69	36	876	25	334
130	0399D	1165	758	14457	408	7175
130	0399E	824	537	9838	288	4571
130	0399F	2243	1452	23968	689	15770
130	0399G	621	351	10956	344	2885
131	0611	2	1	22	0	35
131	0612	6	2	70	0	112
131	0613	238	98	2558	83	2644
131	0613A	28	9	389	6	408
131	0613B	23	9	337	6	232
132	0289	2265	1125	19739	579	13348
132	0290	1352	687	14990	404	5787
132	0290A	1102	652	14352	376	5500
132	0290B	833	480	11122	233	3398
133	0666	2779	1487	24743	551	15287
133	0667	2802	1588	18905	414	18617
133	0666A	1410	789	12759	325	8887
134	0668	2614	1538	19193	585	17822
134	0668A	1926	916	20337	827	8506
134	0668B	2761	1550	23415	704	13518
135	0207L	149	45	1825	17	2042
