codigo	departamento	bullrich	cristina	suma	diferencia	signo	abs_diferencia	porcentaje
100	Salliqueló	2680	1353	4033	1327	1	1327	32.9
101	Salto	7478	5355	12833	2123	1	2123	16.5
102	San Andrés de Giles	5802	3723	9525	2079	1	2079	21.8
103	San Antonio de Areco	6424	3918	10342	2506	1	2506	24.2
104	San Cayetano	2443	894	3337	1549	1	1549	46.4
105	San Fernando	28356	26106	54462	2250	1	2250	4.1
106	San Isidro	110621	39021	149642	71600	1	71600	47.8
053	San Miguel	64213	61722	125935	2491	1	2491	2.0
107	San Nicolás	33030	28933	61963	4097	1	4097	6.6
108	San Pedro	15896	8586	24482	7310	1	7310	29.9
109	San Vicente	9029	11879	20908	-2850	-1	2850	13.6
110	Suipacha	2606	2109	4715	497	1	497	10.5
111	Tandil	34094	19971	54065	14123	1	14123	26.1
112	Tapalqué	2189	2048	4237	141	1	141	3.3
113	Tigre	65919	61416	127335	4503	1	4503	3.5
116	Tordillo	401	379	780	22	1	22	2.8
114	Tornquist	4286	1497	5783	2789	1	2789	48.2
115	Trenque Lauquén	11132	7399	18531	3733	1	3733	20.1
117	Tres Arroyos	13696	10157	23853	3539	1	3539	14.8
118	Tres de Febrero	76549	61616	138165	14933	1	14933	10.8
126	Tres Lomas	1705	1742	3447	-37	-1	37	1.1
121	Veinticinco de Mayo	9794	5553	15347	4241	1	4241	27.6
122	Vicente López	93543	32126	125669	61417	1	61417	48.9
123	Villa Gesell	6497	4900	11397	1597	1	1597	14.0
124	Villarino	6179	3422	9601	2757	1	2757	28.7
125	Zárate	22408	27913	50321	-5505	-1	5505	10.9
