Depto	Partido	Circuito	Mesa	Votos
Alberti	CAMBIANDO JUNTOS	0010	7	139
Alberti	CELESTE Y BLANCA U	0010	7	64
Alberti	CAMBIANDO JUNTOS	0010	8	114
Alberti	CELESTE Y BLANCA U	0010	8	52
Alberti	CAMBIANDO JUNTOS	0010	9	109
Alberti	CELESTE Y BLANCA U	0010	9	59
Alberti	CAMBIANDO JUNTOS	0010	10	144
Alberti	CELESTE Y BLANCA U	0010	10	42
Alberti	CAMBIANDO JUNTOS	0010	11	90
Alberti	CELESTE Y BLANCA U	0010	11	60
Alberti	CAMBIANDO JUNTOS	0010	12	122
Alberti	CELESTE Y BLANCA U	0010	12	49
Alberti	CAMBIANDO JUNTOS	0010	13	105
Alberti	CELESTE Y BLANCA U	0010	13	60
Alberti	CAMBIANDO JUNTOS	0010	14	103
Alberti	CELESTE Y BLANCA U	0010	14	53
Alberti	CAMBIANDO JUNTOS	0010	15	109
Alberti	CELESTE Y BLANCA U	0010	15	38
Alberti	CAMBIANDO JUNTOS	0010	16	93
Alberti	CELESTE Y BLANCA U	0010	16	63
Alberti	CAMBIANDO JUNTOS	0010	17	115
Alberti	CELESTE Y BLANCA U	0010	17	52
Alberti	CAMBIANDO JUNTOS	0010	18	113
Alberti	CELESTE Y BLANCA U	0010	18	50
Alberti	CAMBIANDO JUNTOS	0010	19	129
Alberti	CELESTE Y BLANCA U	0010	19	45
Alberti	CAMBIANDO JUNTOS	0010	20	116
Alberti	CELESTE Y BLANCA U	0010	20	33
Alberti	CAMBIANDO JUNTOS	0010	21	131
Alberti	CELESTE Y BLANCA U	0010	21	50
Alberti	CAMBIANDO JUNTOS	0010	22	88
Alberti	CELESTE Y BLANCA U	0010	22	17
Alberti	CAMBIANDO JUNTOS	0011	23	0
Alberti	CELESTE Y BLANCA U	0011	23	91
Alberti	CAMBIANDO JUNTOS	0011	24	21
Alberti	CELESTE Y BLANCA U	0011	24	30
Alberti	CAMBIANDO JUNTOS	0012	25	75
Alberti	CELESTE Y BLANCA U	0012	25	65
Alberti	CAMBIANDO JUNTOS	0013	26	85
Alberti	CELESTE Y BLANCA U	0013	26	7
Alberti	CAMBIANDO JUNTOS	0014	27	128
Alberti	CELESTE Y BLANCA U	0014	27	40
Alberti	CAMBIANDO JUNTOS	0014	28	107
Alberti	CELESTE Y BLANCA U	0014	28	20
Alberti	CAMBIANDO JUNTOS	0015	29	20
Alberti	CELESTE Y BLANCA U	0015	29	33
Almirante Brown	CAMBIANDO JUNTOS	0017	1	149
Almirante Brown	CELESTE Y BLANCA U	0017	1	58
Almirante Brown	CAMBIANDO JUNTOS	0017	2	159
Almirante Brown	CELESTE Y BLANCA U	0017	2	53
Almirante Brown	CAMBIANDO JUNTOS	0017	3	14
Almirante Brown	CELESTE Y BLANCA U	0017	3	50
Almirante Brown	CAMBIANDO JUNTOS	0017	4	164
Almirante Brown	CELESTE Y BLANCA U	0017	4	50
Almirante Brown	CAMBIANDO JUNTOS	0017	5	151
Almirante Brown	CELESTE Y BLANCA U	0017	5	62
Almirante Brown	CAMBIANDO JUNTOS	0017	6	134
Almirante Brown	CELESTE Y BLANCA U	0017	6	49
Almirante Brown	CAMBIANDO JUNTOS	0017	7	165
Almirante Brown	CELESTE Y BLANCA U	0017	7	44
Almirante Brown	CAMBIANDO JUNTOS	0017	8	157
Almirante Brown	CELESTE Y BLANCA U	0017	8	50
Almirante Brown	CAMBIANDO JUNTOS	0017	9	154
Almirante Brown	CELESTE Y BLANCA U	0017	9	41
Almirante Brown	CAMBIANDO JUNTOS	0017	10	168
Almirante Brown	CELESTE Y BLANCA U	0017	10	36
Almirante Brown	CAMBIANDO JUNTOS	0017	11	167
Almirante Brown	CELESTE Y BLANCA U	0017	11	44
Almirante Brown	CAMBIANDO JUNTOS	0017	12	148
Almirante Brown	CELESTE Y BLANCA U	0017	12	55
Almirante Brown	CAMBIANDO JUNTOS	0017	13	171
Almirante Brown	CELESTE Y BLANCA U	0017	13	44
Almirante Brown	CAMBIANDO JUNTOS	0017	14	162
Almirante Brown	CELESTE Y BLANCA U	0017	14	54
Almirante Brown	CAMBIANDO JUNTOS	0017	15	155
Almirante Brown	CELESTE Y BLANCA U	0017	15	55
Almirante Brown	CAMBIANDO JUNTOS	0017	16	171
Almirante Brown	CELESTE Y BLANCA U	0017	16	46
Almirante Brown	CAMBIANDO JUNTOS	0017	17	164
Almirante Brown	CELESTE Y BLANCA U	0017	17	56
Almirante Brown	CAMBIANDO JUNTOS	0017	18	138
Almirante Brown	CELESTE Y BLANCA U	0017	18	44
Almirante Brown	CAMBIANDO JUNTOS	0017	19	158
Almirante Brown	CELESTE Y BLANCA U	0017	19	35
Almirante Brown	CAMBIANDO JUNTOS	0017	20	173
Almirante Brown	CELESTE Y BLANCA U	0017	20	43
Almirante Brown	CAMBIANDO JUNTOS	0017	21	131
Almirante Brown	CELESTE Y BLANCA U	0017	21	46
Almirante Brown	CAMBIANDO JUNTOS	0017	22	179
Almirante Brown	CELESTE Y BLANCA U	0017	22	34
Almirante Brown	CAMBIANDO JUNTOS	0017	23	158
Almirante Brown	CELESTE Y BLANCA U	0017	23	46
Almirante Brown	CAMBIANDO JUNTOS	0017	24	169
Almirante Brown	CELESTE Y BLANCA U	0017	24	45
Almirante Brown	CAMBIANDO JUNTOS	0017	25	136
Almirante Brown	CELESTE Y BLANCA U	0017	25	64
Almirante Brown	CAMBIANDO JUNTOS	0017	26	154
Almirante Brown	CELESTE Y BLANCA U	0017	26	48
Almirante Brown	CAMBIANDO JUNTOS	0017	27	159
Almirante Brown	CELESTE Y BLANCA U	0017	27	47
Almirante Brown	CAMBIANDO JUNTOS	0017	28	162
Almirante Brown	CELESTE Y BLANCA U	0017	28	47
Almirante Brown	CAMBIANDO JUNTOS	0017	29	142
Almirante Brown	CELESTE Y BLANCA U	0017	29	50
Almirante Brown	CAMBIANDO JUNTOS	0017	30	148
Almirante Brown	CELESTE Y BLANCA U	0017	30	56
Almirante Brown	CAMBIANDO JUNTOS	0017	31	166
Almirante Brown	CELESTE Y BLANCA U	0017	31	48
Almirante Brown	CAMBIANDO JUNTOS	0017	32	152
Almirante Brown	CELESTE Y BLANCA U	0017	32	49
Almirante Brown	CAMBIANDO JUNTOS	0017	33	150
Almirante Brown	CELESTE Y BLANCA U	0017	33	51
Almirante Brown	CAMBIANDO JUNTOS	0017	34	162
Almirante Brown	CELESTE Y BLANCA U	0017	34	38
Almirante Brown	CAMBIANDO JUNTOS	0017	35	162
Almirante Brown	CELESTE Y BLANCA U	0017	35	63
Almirante Brown	CAMBIANDO JUNTOS	0017	36	161
Almirante Brown	CELESTE Y BLANCA U	0017	36	41
Almirante Brown	CAMBIANDO JUNTOS	0017	37	160
Almirante Brown	CELESTE Y BLANCA U	0017	37	31
Almirante Brown	CAMBIANDO JUNTOS	0017	38	139
Almirante Brown	CELESTE Y BLANCA U	0017	38	60
Almirante Brown	CAMBIANDO JUNTOS	0017	39	137
Almirante Brown	CELESTE Y BLANCA U	0017	39	59
Almirante Brown	CAMBIANDO JUNTOS	0017	40	162
Almirante Brown	CELESTE Y BLANCA U	0017	40	48
Almirante Brown	CAMBIANDO JUNTOS	0017	41	153
Almirante Brown	CELESTE Y BLANCA U	0017	41	48
Almirante Brown	CAMBIANDO JUNTOS	0017	42	168
Almirante Brown	CELESTE Y BLANCA U	0017	42	46
Almirante Brown	CAMBIANDO JUNTOS	0017	43	165
Almirante Brown	CELESTE Y BLANCA U	0017	43	41
Almirante Brown	CAMBIANDO JUNTOS	0017	44	168
Almirante Brown	CELESTE Y BLANCA U	0017	44	47
Almirante Brown	CAMBIANDO JUNTOS	0017	45	174
Almirante Brown	CELESTE Y BLANCA U	0017	45	50
Almirante Brown	CAMBIANDO JUNTOS	0017	46	146
Almirante Brown	CELESTE Y BLANCA U	0017	46	59
Almirante Brown	CAMBIANDO JUNTOS	0017	47	144
Almirante Brown	CELESTE Y BLANCA U	0017	47	52
Almirante Brown	CAMBIANDO JUNTOS	0017	48	137
