CODIGO PROVINCIA;CODIGO DEPARTAMENTO;CODIGO CIRCUITO   ;CODIGO MESA;AMBITO;CODIGO VOTOS;VOTOS
01;001;0001 ;0018; ;0135;136
01;001;0001 ;0019; ;9001;343
01;001;0001 ;0019; ;9002;258
01;001;0001 ;0019; ;9003;000
01;001;0001 ;0019; ;9004;006
01;001;0001 ;0019; ;9005;007
01;001;0001 ;0019; ;9006;000
01;001;0001 ;0019; ;0131;099
01;001;0001 ;0019; ;0135;146
01;001;0001 ;0020; ;9001;345
01;001;0001 ;0020; ;9002;273
01;001;0001 ;0020; ;9003;000
01;001;0001 ;0020; ;9004;002
01;001;0001 ;0020; ;9005;005
01;001;0001 ;0020; ;9006;000
01;001;0001 ;0020; ;0131;109
01;001;0001 ;0020; ;0135;157
01;001;0001 ;0021; ;9001;342
01;001;0001 ;0021; ;9002;253
01;001;0001 ;0021; ;9003;000
01;001;0001 ;0021; ;9004;006
01;001;0001 ;0021; ;9005;003
01;001;0001 ;0021; ;9006;008
01;001;0001 ;0021; ;0131;115
01;001;0001 ;0021; ;0135;122
01;001;0001 ;0022; ;9001;341
01;001;0001 ;0022; ;9002;257
01;001;0001 ;0022; ;9003;000
01;001;0001 ;0022; ;9004;009
01;001;0001 ;0022; ;9005;006
01;001;0001 ;0022; ;9006;003
01;001;0001 ;0022; ;0131;113
01;001;0001 ;0022; ;0135;128
01;001;0001 ;0023; ;9001;342
01;001;0001 ;0023; ;9002;272
01;001;0001 ;0023; ;9003;000
01;001;0001 ;0023; ;9004;005
01;001;0001 ;0023; ;9005;003
01;001;0001 ;0023; ;9006;000
01;001;0001 ;0023; ;0131;130
01;001;0001 ;0023; ;0135;134
01;001;0001 ;0024; ;9001;342
01;001;0001 ;0024; ;9002;259
01;001;0001 ;0024; ;9003;000
01;001;0001 ;0024; ;9004;009
01;001;0001 ;0024; ;9005;005
01;001;0001 ;0024; ;9006;000
01;001;0001 ;0024; ;0131;120
01;001;0001 ;0024; ;0135;125
01;001;0001 ;0025; ;9001;343
01;001;0001 ;0025; ;9002;258
01;001;0001 ;0025; ;9003;000
01;001;0001 ;0025; ;9004;007
01;001;0001 ;0025; ;9005;007
01;001;0001 ;0025; ;9006;000
01;001;0001 ;0025; ;0131;118
01;001;0001 ;0025; ;0135;126
01;001;0001 ;0026; ;9001;342
01;001;0001 ;0026; ;9002;264
01;001;0001 ;0026; ;9003;000
01;001;0001 ;0026; ;9004;005
01;001;0001 ;0026; ;9005;009
01;001;0001 ;0026; ;9006;000
01;001;0001 ;0026; ;0131;104
01;001;0001 ;0026; ;0135;146
01;001;0001 ;0027; ;9001;342
01;001;0001 ;0027; ;9002;273
01;001;0001 ;0027; ;9003;000
01;001;0001 ;0027; ;9004;007
01;001;0001 ;0027; ;9005;011
01;001;0001 ;0027; ;9006;000
01;001;0001 ;0027; ;0131;104
01;001;0001 ;0027; ;0135;151
01;001;0001 ;0028; ;9001;341
01;001;0001 ;0028; ;9002;269
01;001;0001 ;0028; ;9003;000
01;001;0001 ;0028; ;9004;011
01;001;0001 ;0028; ;9005;005
01;001;0001 ;0028; ;9006;000
01;001;0001 ;0028; ;0131;118
01;001;0001 ;0028; ;0135;135
01;001;0001 ;0029; ;9001;342
01;001;0001 ;0029; ;9002;253
01;001;0001 ;0029; ;9003;000
01;001;0001 ;0029; ;9004;005
01;001;0001 ;0029; ;9005;007
01;001;0001 ;0029; ;9006;000
01;001;0001 ;0029; ;0131;103
01;001;0001 ;0029; ;0135;138
01;001;0001 ;0030; ;9001;343
01;001;0001 ;0030; ;9002;257
01;001;0001 ;0030; ;9003;000
01;001;0001 ;0030; ;9004;004
01;001;0001 ;0030; ;9005;006
01;001;0001 ;0030; ;9006;000
01;001;0001 ;0030; ;0131;111
01;001;0001 ;0030; ;0135;136
01;001;0001 ;0031; ;9001;342
01;001;0001 ;0031; ;9002;000
01;001;0001 ;0031; ;9003;000
01;001;0001 ;0031; ;9004;003
01;001;0001 ;0031; ;9005;002
01;001;0001 ;0031; ;9006;000
01;001;0001 ;0031; ;0131;123
01;001;0001 ;0031; ;0135;123
01;001;0002 ;0032; ;9001;348
01;001;0002 ;0032; ;9002;250
01;001;0002 ;0032; ;9003;000
01;001;0002 ;0032; ;9004;007
01;001;0002 ;0032; ;9005;071
01;001;0002 ;0032; ;9006;001
01;001;0002 ;0032; ;0131;120
01;001;0002 ;0032; ;0135;111
01;001;0002 ;0033; ;9001;349
01;001;0002 ;0033; ;9002;244
01;001;0002 ;0033; ;9003;000
01;001;0002 ;0033; ;9004;011
01;001;0002 ;0033; ;9005;006
01;001;0002 ;0033; ;9006;000
01;001;0002 ;0033; ;0131;109
01;001;0002 ;0033; ;0135;118
01;001;0002 ;0034; ;9001;349
01;001;0002 ;0034; ;9002;261
01;001;0002 ;0034; ;9003;000
01;001;0002 ;0034; ;9004;008
