Codigo Partido	Denominacion	Lista Interna	Agrupación
0131	FRENTE PARA LA VICTORIA		0131
0135	CAMBIEMOS		0135
9001	ELECTORES		9001
9002	VOTANTES		9002
9003	VOTOS IMPUGNADOS		9003
9004	VOTOS BLANCOS		9004
9005	VOTOS NULOS		9005
9006	VOTOS RECURRIDOS		9006
