datetime,latitude,longitude
2018-09-06 06:14:05,40.4192124,-3.6997998
2018-09-06 06:14:21,40.4192189,-3.6997946
2018-09-06 06:14:36,40.4192207,-3.6997941
2018-09-06 06:14:52,40.4192194,-3.6997914
2018-09-06 06:15:08,40.4192208,-3.6997909
2018-09-06 06:15:23,40.4192215,-3.6997913
2018-09-06 06:15:38,40.4192588,-3.6999542
2018-09-06 06:15:53,40.4193163,-3.7001619
2018-09-06 06:16:09,40.4193061,-3.7001942
2018-09-06 06:16:19,40.4193292,-3.7002142
2018-09-06 06:58:00,40.4193979,-3.7003243
2018-09-06 06:58:41,40.4193977,-3.7003268
2018-09-06 06:59:07,40.4194281,-3.7003019
2018-09-06 07:02:13,40.419415,-3.7002957
2018-09-06 07:04:30,40.4193991,-3.7003339
2018-09-06 07:06:43,40.4193894,-3.7003515
2018-09-06 07:07:32,40.4194196,-3.7002891
2018-09-06 07:08:14,40.4194195,-3.7002883
2018-09-06 07:09:00,40.4193977,-3.7003246
2018-09-06 07:09:52,40.4194211,-3.7002872
2018-09-06 07:10:56,40.4194209,-3.7002875
2018-09-06 07:11:55,40.4194195,-3.7002897
2018-09-06 07:12:57,40.4194191,-3.7002891
2018-09-06 07:13:24,40.4193995,-3.7003749
2018-09-06 07:16:40,40.4193985,-3.7002937
2018-09-06 07:17:24,40.4193902,-3.7003371
2018-09-06 07:17:46,40.419397,-3.7003263
2018-09-06 07:18:52,40.4193975,-3.7003249
2018-09-06 07:25:54,40.4193891,-3.7003385
2018-09-06 07:32:08,40.4194176,-3.700296
2018-09-06 10:25:06,40.4198695,-3.7028025
2018-09-06 10:25:34,40.4198695,-3.7028025
2018-09-06 10:26:01,40.4198279,-3.7028223
2018-09-06 10:26:20,40.4198279,-3.7028223
2018-09-06 10:27:04,40.4198279,-3.7028223
2018-09-06 10:37:44,40.4207045,-3.7030163
2018-09-06 10:38:04,40.4207046,-3.7030171
2018-09-06 10:38:24,40.420704,-3.7030171
2018-09-06 11:33:36,40.4194385,-3.7001417
2018-09-06 11:54:02,40.4194657,-3.7001342
2018-09-06 11:54:53,40.4194618,-3.7001405
2018-09-06 11:56:16,40.419441,-3.7001441
2018-09-06 11:56:36,40.4194597,-3.7001419
2018-09-06 12:00:01,40.4194384,-3.7001402
2018-09-06 12:04:44,40.4194646,-3.7001333
2018-09-06 12:06:04,40.4193873,-3.7003078
2018-09-06 12:18:10,40.4194204,-3.7002879
2018-09-06 12:18:46,40.4194016,-3.7003168
2018-09-06 12:19:16,40.4192405,-3.7003986
2018-09-06 12:24:39,40.4194181,-3.7003046
2018-09-06 12:24:58,40.4193891,-3.7003266
2018-09-06 12:25:17,40.4194057,-3.7003307
2018-09-06 12:26:16,40.4193985,-3.7003338
2018-09-06 12:26:56,40.4193811,-3.7003387
2018-09-06 12:29:13,40.4193775,-3.7003477
2018-09-06 13:32:33,40.4194041,-3.700317
2018-09-06 13:32:56,40.4194043,-3.7003165
2018-09-06 13:33:30,40.4194245,-3.7002914
2018-09-06 13:34:10,40.4193363,-3.7003364
2018-09-06 13:37:42,40.419335,-3.7002956
2018-09-06 13:38:12,40.4194227,-3.7002948
2018-09-06 13:41:29,40.41942,-3.7002904
2018-09-06 13:42:04,40.4194352,-3.7002436
2018-09-06 13:50:35,40.4194264,-3.7003
2018-09-06 13:51:13,40.419425,-3.700298
2018-09-06 14:17:52,40.4194271,-3.7002995
2018-09-06 14:18:13,40.4194209,-3.7002874
2018-09-06 14:20:19,40.4193622,-3.7003444
2018-09-06 14:21:10,40.4193896,-3.7003515
2018-09-06 14:21:12,40.4193896,-3.7003515
2018-09-06 14:21:35,40.4193985,-3.7003253
2018-09-06 14:21:51,40.4193956,-3.7003287
2018-09-06 14:22:07,40.4194023,-3.7003276
2018-09-06 14:22:28,40.4193981,-3.7003243
2018-09-06 14:22:43,40.4193894,-3.7003359
2018-09-06 14:22:59,40.4193964,-3.7003271
2018-09-06 14:23:16,40.419395,-3.7003311
2018-09-06 14:23:32,40.4193969,-3.7003268
2018-09-06 14:23:49,40.4193981,-3.7003252
2018-09-06 14:24:14,40.4193981,-3.7003249
2018-09-06 14:24:29,40.4194024,-3.7003167
2018-09-06 14:24:44,40.4194028,-3.7003174
2018-09-06 14:24:59,40.4194031,-3.7003169
2018-09-06 14:25:21,40.4194026,-3.7003165
2018-09-06 14:25:31,40.4193996,-3.7003269
2018-09-06 14:25:47,40.4194097,-3.7003251
2018-09-06 14:26:03,40.4194098,-3.7003252
2018-09-06 14:26:19,40.4194096,-3.7003253
2018-09-06 14:36:28,40.4194245,-3.7003059
2018-09-06 14:36:44,40.4194089,-3.700324
2018-09-06 14:36:50,40.4193981,-3.7003241
2018-09-06 14:39:40,40.4194001,-3.7003506
2018-09-06 14:40:15,40.4193864,-3.700406
2018-09-06 14:40:25,40.4193764,-3.7003816
2018-09-06 14:43:25,40.4194017,-3.700338
2018-09-06 15:05:09,40.4193977,-3.7002917
2018-09-06 15:11:10,40.4193995,-3.7002868
2018-09-06 15:17:11,40.4193922,-3.7003016
2018-09-06 15:22:41,40.4191095,-3.6997828
2018-09-06 15:28:52,40.4188786,-3.6996202
2018-09-06 15:36:49,40.4164159,-3.6943996
2018-09-06 15:37:06,40.4166949,-3.694877
2018-09-06 15:37:22,40.4166383,-3.6950086
2018-09-06 15:37:37,40.4165554,-3.6950069
2018-09-06 15:37:52,40.4165504,-3.695005
2018-09-06 15:38:07,40.4165505,-3.6950016
2018-09-06 15:38:22,40.4163767,-3.6950244
2018-09-06 15:38:38,40.4161672,-3.6948112
2018-09-06 15:47:36,40.4139268,-3.6925328
2018-09-06 15:47:53,40.4139313,-3.6926739
2018-09-06 22:00:58,40.4193934,-3.7002902
2018-09-06 22:02:41,40.4193841,-3.7003606
2018-09-06 22:03:02,40.419401,-3.7003225
2018-09-06 22:03:35,40.4194174,-3.7002947
2018-09-07 06:00:44,40.4194227,-3.7002938
2018-09-07 06:01:19,40.4194231,-3.700293
2018-09-07 06:01:39,40.4194225,-3.700311
2018-09-07 06:03:10,40.4193947,-3.7003294
2018-09-07 06:04:51,40.4194235,-3.7003056
2018-09-07 06:06:57,40.4194058,-3.700338
2018-09-07 06:08:32,40.4193895,-3.7003255
2018-09-07 06:09:29,40.4193878,-3.700336
2018-09-07 06:10:26,40.4193857,-3.7003443
2018-09-07 06:11:06,40.4193893,-3.7003371
2018-09-07 06:11:58,40.4193897,-3.7003361
2018-09-07 06:12:21,40.4194187,-3.7003256
2018-09-07 06:12:50,40.4194155,-3.7003245
2018-09-07 06:14:05,40.4194183,-3.7003256
2018-09-07 06:15:20,40.4194157,-3.700318
2018-09-07 06:18:58,40.4194042,-3.7003514
2018-09-07 06:19:40,40.419385,-3.7003555
2018-09-07 06:20:34,40.4193847,-3.7003455
2018-09-07 06:21:09,40.4194241,-3.7002958
2018-09-07 06:25:11,40.4193833,-3.7003466
2018-09-07 06:28:38,40.4193698,-3.7003148
2018-09-07 06:31:29,40.4193845,-3.7003704
2018-09-07 06:37:26,40.4194247,-3.700302
2018-09-07 06:39:11,40.4194071,-3.7003302
2018-09-07 06:39:41,40.4193997,-3.7003471
2018-09-07 06:43:54,40.419422,-3.7002983
2018-09-07 06:47:46,40.4193869,-3.7003537
2018-09-07 06:51:13,40.4193883,-3.7003393
2018-09-07 06:54:49,40.4194113,-3.7003324
2018-09-07 06:55:41,40.419389,-3.7003447
2018-09-07 06:58:00,40.4194244,-3.7002986
2018-09-07 06:58:41,40.4194178,-3.7004199
2018-09-07 07:03:26,40.4194249,-3.7002964
2018-09-07 07:04:00,40.4193897,-3.7003358
2018-09-07 07:20:40,40.4194025,-3.7002823
2018-09-07 07:27:35,40.4194094,-3.7003095
2018-09-07 07:42:20,40.4193976,-3.7002848
2018-09-07 07:42:37,40.41942,-3.7002889
2018-09-07 07:42:58,40.4194085,-3.7003209
2018-09-07 07:43:14,40.4193986,-3.7003253
2018-09-07 07:43:32,40.4194141,-3.7003104
2018-09-07 07:43:49,40.4194087,-3.7003244
2018-09-07 07:44:06,40.4193984,-3.7003241
2018-09-07 07:44:23,40.419421,-3.7002879
2018-09-07 07:44:45,40.4193978,-3.7003235
2018-09-07 07:45:01,40.4194202,-3.7002884
2018-09-07 07:45:21,40.4193975,-3.7003245
2018-09-07 07:45:31,40.4193898,-3.7003361
2018-09-07 07:45:47,40.4194202,-3.7003027
2018-09-07 07:45:53,40.4194095,-3.7003095
2018-09-07 07:46:10,40.4194189,-3.7003045
2018-09-07 07:46:27,40.4194121,-3.7003092
2018-09-07 07:46:45,40.4194018,-3.7003159
2018-09-07 07:47:04,40.419409,-3.700285
2018-09-07 07:47:38,40.4194196,-3.7002911
2018-09-07 07:52:38,40.4193984,-3.7003252
2018-09-07 07:52:45,40.4193984,-3.7003252
2018-09-07 07:55:32,40.4193909,-3.7003379
2018-09-07 07:55:53,40.4193981,-3.7003267
2018-09-07 07:58:52,40.4194098,-3.7002717
