fecha	carrera
10-02-2012	Lic.en Administración y Sistemas
27-07-2001	Ingeniería Industrial
14-08-1998	Ingeniería Industrial
18-12-2015	Lic.en Administración y Sistemas
25-08-2014	Ingeniería Química
07-06-1999	Ingeniería en Informática
30-08-2007	Ingeniería Industrial
23-07-1999	Ingeniería Industrial
29-03-2006	Ingeniería Mecánica
29-06-2004	Ingeniería Industrial
06-09-2011	Ingeniería Industrial
03-07-1995	Licenciatura en Informática
26-08-2014	Ingeniería Industrial
28-08-2009	Ingeniería Electrónica
25-06-2001	Ingeniería Química
18-12-1996	Ingeniería Mecánica
21-12-1988	Ingeniería Mecánica
19-12-2014	Ingeniería Industrial
23-04-2012	Ingeniería Electrónica
01-12-1986	Licenciatura en Oceanografía
23-03-2005	Ingeniería Electrónica
23-06-1988	Ingeniería Industrial
18-08-1992	Licenciatura en Informática
16-04-2003	Ingeniería en Informática
26-07-2012	Ingeniería Industrial
20-08-1999	Ingeniería Química
10-03-2006	Ingeniería Química
15-07-2013	Lic.en Administración y Sistemas
21-07-1988	Ingeniería Electrónica
01-08-2001	Ingeniería Industrial
28-08-1996	Licenciatura en Oceanografía
27-11-2014	Ingeniería Electrónica
20-05-1992	Ingeniería Industrial
22-12-1999	Ingeniería Industrial
20-08-2008	Ingeniería Industrial
06-08-1992	Ingeniería Industrial
20-07-2015	Ingeniería en Petróleo
25-08-2011	Ingeniería Industrial
11-02-2009	Lic.en Administración y Sistemas
18-12-2014	Lic.en Administración y Sistemas
25-11-1993	Ingeniería Industrial
27-03-2003	Ingeniería Industrial
31-08-2012	Ingeniería Industrial
27-05-2013	Ingeniería Química
28-08-2009	Ingeniería Mecánica
01-04-1967	Ingeniería Electrónica
01-04-1967	Ingeniería Metalúrgica
31-03-1984	Ingeniería Mecánica
02-08-1984	Ingeniería Industrial
29-08-2008	Ingeniería Electrónica
15-05-2015	Ingeniería Industrial
13-09-2011	Ingeniería Mecánica
23-03-1998	Ingeniería Industrial
16-11-1990	Licenciatura en Oceanografía
05-08-2002	Ingeniería Industrial
14-08-2015	Ingeniería Industrial
24-05-2007	Ingeniería Electrónica
14-08-2001	Ingeniería en Informática
01-12-1980	Ingeniería Electrónica
31-08-2012	Ingeniería Industrial
27-03-2015	Ingeniería Industrial
01-12-1975	Ingeniería Electrónica
27-12-1988	Ingeniería Electrónica
21-08-2009	Ingeniería Industrial
01-03-1982	Ingeniería Industrial
17-08-2011	Ingeniería Industrial
13-05-1987	Ingeniería Mecánica
14-07-2003	Ingeniería Electrónica
21-08-2002	Ingeniería Industrial
18-12-1990	Ingeniería Electrónica
23-08-2013	Ingeniería Industrial
01-03-1974	Ingeniería Industrial
20-03-2001	Ingeniería en Informática
22-12-1994	Ingeniería Industrial
26-07-2012	Ingeniería Industrial
06-02-2003	Ingeniería Industrial
01-09-2008	Ingeniería Mecánica
02-06-2005	Ingeniería Industrial
01-12-1978	Ingeniería Industrial
18-12-2000	Ingeniería Química
16-07-2003	Ingeniería en Informática
11-08-2015	Lic.en Administración y Sistemas
23-04-2013	Ingeniería Industrial
20-06-2001	Ingeniería Industrial
15-08-2014	Ingeniería Industrial
24-07-2000	Ingeniería Electrónica
02-06-2005	Ingeniería Industrial
18-09-2001	Ingeniería Industrial
14-07-1993	Ingeniería Industrial
18-07-2012	Ingeniería Industrial
23-06-1999	Ingeniería Industrial
04-07-2003	Ingeniería Industrial
19-07-2016	Ingeniería Industrial
20-12-1995	Licenciatura en Informática
01-12-1972	Ingeniería Industrial
15-04-1996	Ingeniería en Petróleo
23-12-1998	Ingeniería Industrial
10-03-1986	Ingeniería Naval
01-12-1969	Ingeniería Electrónica
08-07-2005	Ingeniería Industrial
01-12-1972	Ingeniería Electrónica
13-08-2015	Ingeniería Industrial
05-05-1998	Ingeniería Industrial
18-07-2001	Ingeniería Industrial
01-04-1971	Ingeniería Industrial
28-07-2014	Ingeniería Industrial
06-09-2011	Lic.en Administración y Sistemas
01-03-1981	Ingeniería Electrónica
28-12-2012	Ingeniería en Informática
29-04-1998	Ingeniería Industrial
28-07-1994	Ingeniería Industrial
18-12-2013	Ingeniería Industrial
13-07-1994	Ingeniería Industrial
28-09-2007	Ingeniería Electrónica
24-06-2014	Ingeniería Industrial
23-12-1992	Ingeniería Química
29-07-2009	Ingeniería en Informática
26-07-2004	Ingeniería Industrial
21-08-2007	Ingeniería en Informática
22-05-2003	Ingeniería Química
24-06-1994	Ingeniería Industrial
15-03-2012	Ingeniería en Petróleo
27-12-1995	Ingeniería Industrial
02-12-1987	Licenciatura en Análisis de Sistemas
20-12-1988	Ingeniería Electrónica
15-03-2004	Ingeniería Química
30-12-1987	Ingeniería Industrial
02-05-2007	Ingeniería en Informática
22-07-1993	Ingeniería Industrial
22-10-1999	Ingeniería Industrial
05-05-2003	Ingeniería Industrial
10-06-1994	Ingeniería Industrial
27-03-1998	Ingeniería en Petróleo
07-08-2014	Ingeniería en Informática
26-07-2013	Ingeniería Industrial
26-06-2002	Ingeniería Industrial
01-08-2011	Ingeniería Industrial
20-12-2008	Ingeniería Industrial
06-07-1999	Ingeniería Industrial
29-12-1988	Ingeniería Electrónica
22-12-1989	Ingeniería Electrónica
28-08-2009	Ingeniería Mecánica
01-09-2011	Ingeniería Mecánica
22-06-2000	Ingeniería en Informática
06-03-2002	Ingeniería Industrial
12-07-1995	Ingeniería Industrial
01-12-1970	Ingeniería Industrial
19-05-2016	Ingeniería Química
23-02-2001	Ingeniería Industrial
27-08-2012	Ingeniería en Informática
11-07-2012	Ingeniería Industrial
23-08-2012	Ingeniería Industrial
06-07-2011	Ingeniería Industrial
22-02-2013	Lic.en Administración y Sistemas
07-04-2005	Ingeniería Industrial
17-05-1993	Ingeniería Química
03-08-2006	Ingeniería Química
28-07-2010	Ingeniería Industrial
03-08-1984	Ingeniería Industrial
11-09-2014	Ingeniería Industrial
01-04-1973	Ingeniería Industrial
30-05-1995	Ingeniería Industrial
03-08-2016	Ingeniería Mecánica
04-08-1998	Ingeniería Industrial
16-08-2000	Ingeniería en Petróleo
21-12-2009	Ingeniería Industrial
19-07-2016	Ingeniería en Informática
03-11-1987	Licenciatura en Análisis de Sistemas
31-03-1995	Ingeniería en Petróleo
01-12-1970	Ingeniería Industrial
12-02-2010	Lic.en Administración y Sistemas
21-08-1997	Ingeniería Electrónica
22-07-2015	Ingeniería Industrial
01-07-2013	Ingeniería Mecánica
06-05-2004	Ingeniería Mecánica
01-06-1981	Ingeniería Eléctrica
01-03-1981	Ingeniería Mecánica
29-08-2009	Ingeniería en Informática
22-06-2005	Ingeniería Industrial
13-05-2003	Ingeniería Electrónica
14-02-2000	Ingeniería Electrónica
01-12-1982	Ingeniería Industrial
01-12-1982	Ingeniería Mecánica
24-02-2016	Ingeniería Industrial
02-12-1986	Licenciatura en Análisis de Sistemas
01-04-1981	Ingeniería Electrónica
14-08-2015	Ingeniería Química
21-07-1995	Ingeniería Electrónica
30-08-2011	Ingeniería en Informática
17-07-2015	Ingeniería Eléctrica
04-08-1998	Ingeniería en Informática
18-08-2006	Ingeniería Industrial
18-02-1992	Ingeniería Mecánica
30-08-2016	Ingeniería Electrónica
30-08-2011	Ingeniería Industrial
01-12-1977	Ingeniería Industrial
01-05-1988	Ingeniería Electrónica
14-08-1996	Ingeniería Electrónica
01-12-1970	Ingeniería Electrónica
23-06-1999	Ingeniería en Informática
20-07-2011	Ingeniería Electrónica
25-07-1995	Ingeniería Industrial
09-05-2014	Ingeniería Industrial
17-05-2001	Ingeniería Química
01-12-1987	Licenciatura en Oceanografía
24-07-1998	Ingeniería Industrial
02-12-1986	Licenciatura en Análisis de Sistemas
03-09-2008	Ingeniería Industrial
29-06-1994	Ingeniería Industrial
24-05-1989	Ingeniería Industrial
01-03-1969	Ingeniería Electrónica
01-12-1968	Ingeniería Industrial
01-08-1977	Ingeniería Industrial
15-08-1997	Ingeniería Electrónica
01-12-1968	Ingeniería Electrónica
10-12-1991	Licenciatura en Informática
08-07-1991	Ingeniería Industrial
27-11-2009	Ingeniería Industrial
17-06-1997	Ingeniería Industrial
22-12-2014	Ingeniería Electrónica
05-05-1994	Ingeniería Mecánica
25-04-2013	Ingeniería Mecánica
13-08-2003	Ingeniería Industrial
19-07-1995	Ingeniería Industrial
11-08-2015	Ingeniería Mecánica
17-08-2000	Ingeniería Química
22-08-2000	Ingeniería en Informática
06-07-2001	Ingeniería Industrial
28-06-1988	Ingeniería Industrial
03-08-2000	Ingeniería Industrial
05-05-2003	Ingeniería Industrial
21-04-1997	Ingeniería Electrónica
07-08-2015	Ingeniería Química
06-12-2011	Lic.en Administración y Sistemas
30-07-1997	Ingeniería Electrónica
02-09-2005	Ingeniería Industrial
28-08-2009	Ingeniería Electrónica
01-07-1983	Ingeniería Industrial
21-12-2000	Ingeniería Mecánica
19-12-2014	Lic.en Administración y Sistemas
12-08-2016	Ingeniería en Informática
30-07-2015	Ingeniería en Petróleo
21-11-2006	Ingeniería Industrial
07-08-2007	Ingeniería Electrónica
01-07-2010	Ingeniería Industrial
01-04-1982	Ingeniería Industrial
21-12-2015	Ingeniería Industrial
31-08-2012	Ingeniería Mecánica
26-03-2014	Ingeniería Industrial
01-08-2016	Ingeniería Mecánica
19-07-1995	Ingeniería Industrial
16-06-1993	Ingeniería Electrónica
21-05-1981	Licenciatura en Hidrografía
01-04-1978	Ingeniería Electrónica
18-12-2015	Lic.en Administración y Sistemas
01-03-1981	Ingeniería Electrónica
12-06-1985	Ingeniería Industrial
24-05-2012	Ingeniería Industrial
10-08-2009	Ingeniería Industrial
27-03-1995	Ingeniería en Petróleo
21-07-2016	Ingeniería Industrial
31-07-2015	Ingeniería Industrial
18-10-2012	Ingeniería Industrial
13-08-2003	Ingeniería Industrial
29-12-1997	Ingeniería Industrial
02-09-2010	Ingeniería en Informática
13-08-2001	Ingeniería Industrial
25-04-2008	Ingeniería Industrial
08-07-2013	Ingeniería Electrónica
01-03-1980	Ingeniería Electrónica
02-09-2016	Ingeniería en Informática
19-12-2014	Lic.en Administración y Sistemas
01-08-1995	Ingeniería Industrial
06-10-2006	Ingeniería Electrónica
31-08-1998	Ingeniería Electrónica
19-12-2013	Ingeniería Industrial
12-02-2016	Ingeniería Industrial
17-08-2010	Ingeniería en Petróleo
17-08-2000	Ingeniería Química
01-12-1979	Ingeniería Electrónica
01-08-1977	Ingeniería Industrial
17-07-1993	Ingeniería Electrónica
28-08-2009	Ingeniería Electrónica
07-07-1987	Licenciatura en Análisis de Sistemas
03-03-2016	Ingeniería Industrial
11-09-2008	Ingeniería en Petróleo
11-02-2004	Ingeniería Industrial
30-08-2011	Ingeniería Industrial
21-08-2012	Ingeniería Industrial
01-07-1981	Ingeniería Electrónica
17-07-1993	Ingeniería Industrial
22-08-2001	Ingeniería Industrial
14-12-1987	Ingeniería Industrial
28-08-2007	Ingeniería Química
25-04-2003	Ingeniería en Informática
01-12-1994	Ingeniería Industrial
13-08-2003	Ingeniería Industrial
26-05-2009	Ingeniería Industrial
13-08-1991	Ingeniería Industrial
30-07-1992	Ingeniería Industrial
14-07-1993	Ingeniería Industrial
08-02-1995	Licenciatura en Informática
14-06-2002	Ingeniería Electrónica
22-12-1994	Ingeniería Química
23-03-2012	Ingeniería Industrial
26-09-2014	Lic.en Administración y Sistemas
24-06-1998	Ingeniería Industrial
20-09-2002	Ingeniería Industrial
22-12-1995	Licenciatura en Informática
13-07-2004	Ingeniería en Informática
06-10-1993	Ingeniería Electrónica
26-07-2004	Ingeniería Industrial
27-08-2012	Ingeniería en Informática
01-12-1969	Ingeniería Industrial
01-01-1971	Licenciatura en Oceanografía
19-07-1994	Ingeniería Industrial
02-07-1996	Ingeniería Industrial
08-08-1984	Ingeniería Electrónica
29-12-1997	Ingeniería Industrial
29-08-2000	Ingeniería Industrial
15-06-2005	Ingeniería en Informática
30-08-2005	Ingeniería Industrial
26-12-2007	Ingeniería Electrónica
08-09-2011	Ingeniería Industrial
17-08-2000	Ingeniería Química
01-12-1972	Ingeniería Industrial
17-07-1996	Ingeniería Industrial
17-08-2000	Ingeniería Química
27-06-1989	Ingeniería Electrónica
17-12-1996	Ingeniería Mecánica
04-07-2014	Ingeniería Química
15-02-2012	Lic.en Administración y Sistemas
20-07-2010	Ingeniería en Petróleo
15-08-2009	Ingeniería en Petróleo
16-08-2013	Ingeniería Industrial
20-12-2013	Lic.en Administración y Sistemas
16-03-1999	Ingeniería Industrial
28-12-2004	Ingeniería en Petróleo
09-12-2014	Ingeniería Industrial
14-07-1993	Ingeniería Electrónica
18-06-1999	Ingeniería Industrial
11-07-2000	Ingeniería Industrial
18-07-2001	Ingeniería Industrial
11-07-1988	Ingeniería Naval
01-03-1982	Ingeniería Electrónica
13-08-2012	Ingeniería Industrial
26-07-2005	Ingeniería Industrial
18-02-2010	Lic.en Administración y Sistemas
27-07-1990	Licenciatura en Oceanografía
30-09-1988	Licenciatura en Oceanografía
30-07-1997	Ingeniería Electrónica
11-04-2013	Ingeniería Industrial
24-06-1982	Ingeniería Naval
04-08-2011	Ingeniería Química
22-10-2010	Ingeniería Industrial
16-08-2000	Ingeniería Industrial
01-09-1981	Ingeniería Química
28-08-2007	Ingeniería Química
16-07-2003	Ingeniería Electrónica
24-02-1997	Ingeniería Industrial
01-09-1984	Ingeniería Industrial
19-07-2000	Ingeniería Industrial
04-03-1991	Ingeniería Industrial
27-08-2008	Ingeniería Industrial
05-09-1984	Ingeniería Industrial
19-12-2008	Ingeniería Mecánica
16-12-1997	Ingeniería Industrial
10-07-2000	Ingeniería Industrial
01-04-1967	Ingeniería en Armas
21-07-1995	Ingeniería Electrónica
06-03-2002	Ingeniería Mecánica
01-12-1980	Ingeniería Naval
05-06-1996	Ingeniería Industrial
05-08-2014	Ingeniería Química
31-12-2001	Ingeniería Industrial
18-07-2006	Ingeniería Industrial
01-12-1978	Ingeniería Electrónica
14-02-2008	Lic.en Administración y Sistemas
13-02-2015	Ingeniería Mecánica
29-12-2008	Ingeniería Industrial
19-12-2014	Ingeniería Industrial
14-06-2011	Ingeniería en Petróleo
22-03-2004	Ingeniería Industrial
08-06-1999	Ingeniería Electrónica
02-12-1986	Licenciatura en Análisis de Sistemas
23-06-2015	Ingeniería Química
02-01-2015	Ingeniería Industrial
24-07-1987	Ingeniería Electrónica
04-07-2003	Ingeniería Industrial
05-08-2003	Ingeniería Industrial
05-03-2003	Ingeniería Mecánica
01-06-2001	Ingeniería Mecánica
18-07-1989	Ingeniería Eléctrica
02-12-1986	Licenciatura en Análisis de Sistemas
19-02-1999	Ingeniería Industrial
19-12-2012	Lic.en Administración y Sistemas
26-03-2007	Ingeniería en Informática
07-11-1988	Ingeniería Eléctrica
01-12-1979	Ingeniería Electrónica
09-08-2012	Ingeniería Química
04-04-2002	Ingeniería Electrónica
01-10-1986	Licenciatura en Oceanografía
06-04-1984	Ingeniería Electrónica
20-09-2013	Ingeniería Industrial
05-02-1992	Ingeniería Industrial
21-12-1988	Ingeniería Industrial
24-07-1992	Ingeniería Industrial
20-06-1997	Ingeniería Industrial
18-07-2003	Ingeniería Industrial
20-05-2011	Ingeniería Industrial
10-06-1999	Ingeniería Electrónica
02-09-2016	Ingeniería en Informática
06-10-2016	Lic.en Administración y Sistemas
21-07-2006	Ingeniería Electrónica
28-09-2004	Ingeniería Industrial
01-12-1971	Ingeniería Industrial
04-08-1999	Ingeniería Electrónica
24-07-2000	Ingeniería Industrial
04-05-1999	Ingeniería Industrial
16-12-1999	Ingeniería Industrial
11-07-1992	Ingeniería Industrial
14-02-2000	Ingeniería Industrial
05-08-2002	Ingeniería Industrial
20-08-1999	Ingeniería Química
26-06-2002	Ingeniería Industrial
06-03-1990	Ingeniería Industrial
05-07-2012	Ingeniería Mecánica
29-08-2000	Ingeniería Industrial
31-07-2013	Ingeniería Industrial
29-08-2012	Ingeniería Industrial
02-07-2014	Ingeniería Industrial
02-09-2011	Ingeniería Industrial
23-12-1998	Ingeniería Industrial
23-12-1971	Ingeniería Industrial
18-06-2014	Ingeniería Electrónica
01-12-1975	Licenciatura en Oceanografía
08-07-2015	Ingeniería Mecánica
21-12-1995	Ingeniería Industrial
24-04-2015	Ingeniería Mecánica
21-07-1997	Ingeniería Industrial
16-12-2015	Lic.en Administración y Sistemas
25-07-2003	Ingeniería Electrónica
16-02-2010	Lic.en Administración y Sistemas
10-03-2008	Ingeniería en Informática
26-07-2012	Ingeniería Industrial
29-05-2002	Ingeniería Química
10-07-1998	Ingeniería Industrial
01-03-1970	Ingeniería Industrial
01-04-1967	Ingeniería Industrial
01-12-1985	Ingeniería Mecánica
26-07-2004	Ingeniería Industrial
28-08-2002	Ingeniería en Informática
23-07-1999	Ingeniería Electrónica
07-08-2015	Ingeniería Industrial
01-03-1973	Ingeniería Industrial
24-12-1999	Ingeniería Industrial
01-04-1971	Ingeniería Industrial
16-07-2012	Ingeniería Industrial
15-08-1997	Ingeniería Industrial
04-09-2006	Ingeniería en Petróleo
12-12-2001	Ingeniería Industrial
30-07-2014	Ingeniería Industrial
12-04-2012	Lic.en Administración y Sistemas
25-02-2013	Ingeniería Eléctrica
13-08-2013	Ingeniería Industrial
20-12-2012	Ingeniería Industrial
02-07-2001	Ingeniería Industrial
03-03-2000	Ingeniería en Informática
21-12-1988	Ingeniería Industrial
16-03-2004	Ingeniería Industrial
18-08-1992	Licenciatura en Informática
06-11-2015	Ingeniería Industrial
29-08-2011	Ingeniería Mecánica
22-12-1992	Ingeniería Electrónica
10-02-2012	Lic.en Administración y Sistemas
30-08-2011	Ingeniería Industrial
14-12-1987	Ingeniería Industrial
22-08-2001	Ingeniería Industrial
23-06-1999	Ingeniería Industrial
01-12-1974	Ingeniería Industrial
27-06-1997	Ingeniería Química
18-12-2013	Ingeniería Industrial
16-07-2012	Ingeniería Industrial
11-07-2012	Ingeniería Industrial
01-03-1969	Ingeniería en Armas
06-08-2012	Ingeniería Industrial
02-12-1986	Licenciatura en Análisis de Sistemas
19-12-1994	Ingeniería Industrial
04-07-1989	Licenciatura en Análisis de Sistemas
11-08-2011	Ingeniería Industrial
18-12-2009	Lic.en Administración y Sistemas
01-12-1976	Ingeniería Electrónica
22-06-2000	Ingeniería en Informática
01-03-1966	Ingeniería en Armas
24-09-2001	Ingeniería Industrial
08-08-2014	Ingeniería Industrial
01-04-1982	Ingeniería Naval
20-07-2007	Ingeniería Electrónica
29-03-1993	Ingeniería Electrónica
18-12-2014	Lic.en Administración y Sistemas
15-04-2016	Ingeniería Industrial
22-10-2010	Ingeniería en Informática
13-12-2013	Lic.en Administración y Sistemas
05-08-2015	Ingeniería Mecánica
01-12-1982	Ingeniería Electrónica
31-07-2013	Ingeniería Industrial
21-04-1997	Ingeniería Industrial
23-04-1990	Ingeniería Naval
03-09-2012	Ingeniería Mecánica
28-08-2012	Ingeniería Industrial
30-04-2001	Ingeniería en Informática
01-12-1983	Ingeniería Industrial
01-12-1983	Ingeniería Mecánica
16-03-2004	Ingeniería Industrial
08-10-2002	Ingeniería Electrónica
17-07-1997	Ingeniería Industrial
09-12-1994	Licenciatura en Oceanografía
24-05-2012	Ingeniería Industrial
03-04-1986	Ingeniería Naval
08-07-1993	Ingeniería Electrónica
17-04-1995	Ingeniería en Petróleo
21-08-1996	Ingeniería Química
23-02-1999	Ingeniería en Petróleo
01-05-1976	Ingeniería Electrónica
24-08-2004	Ingeniería Electrónica
13-02-2002	Ingeniería Industrial
01-08-2001	Ingeniería Electrónica
15-12-1995	Licenciatura en Informática
26-06-1989	Ingeniería Mecánica
20-12-2012	Ingeniería Industrial
03-08-1999	Ingeniería Electrónica
23-07-1999	Ingeniería Electrónica
04-07-2014	Lic.en Administración y Sistemas
18-02-2010	Lic.en Administración y Sistemas
01-03-1979	Ingeniería Química
07-08-2009	Ingeniería Mecánica
19-11-2008	Ingeniería Industrial
01-01-1978	Ingeniería Naval
01-08-2012	Ingeniería Industrial
01-03-1980	Ingeniería Industrial
01-12-1979	Ingeniería Mecánica
26-05-2016	Lic.en Administración y Sistemas
21-05-1998	Ingeniería Electrónica
16-03-1992	Ingeniería Industrial
15-02-2012	Lic.en Administración y Sistemas
18-07-1989	Ingeniería Mecánica
20-07-1988	Ingeniería Industrial
10-07-2015	Lic.en Administración y Sistemas
23-07-2003	Ingeniería Química
01-12-1973	Ingeniería Electrónica
18-08-1992	Licenciatura en Informática
29-12-1997	Ingeniería Industrial
05-03-2014	Ingeniería Industrial
14-02-2011	Lic.en Administración y Sistemas
19-02-2016	Lic.en Administración y Sistemas
13-10-1993	Ingeniería Electrónica
05-06-1996	Ingeniería Industrial
01-04-1967	Ingeniería Electrónica
19-05-1985	Ingeniería Industrial
20-08-1999	Ingeniería Química
14-04-2011	Ingeniería Química
01-03-1979	Ingeniería Industrial
18-06-2014	Ingeniería Electrónica
23-12-1996	Ingeniería Industrial
22-12-1992	Ingeniería Industrial
04-01-2013	Ingeniería Mecánica
13-06-2011	Ingeniería Industrial
06-07-1999	Ingeniería Industrial
20-07-2007	Ingeniería Electrónica
24-05-2007	Ingeniería Electrónica
04-08-1998	Ingeniería en Informática
14-05-2012	Ingeniería Química
21-08-2012	Ingeniería Industrial
02-09-1996	Ingeniería Industrial
01-12-1971	Ingeniería Industrial
20-06-2008	Ingeniería Industrial
14-03-1996	Licenciatura en Informática
30-12-1986	Ingeniería Industrial
01-12-1979	Ingeniería Industrial
24-07-1996	Ingeniería Electrónica
21-02-1996	Ingeniería Industrial
18-12-1995	Ingeniería Mecánica
12-09-2014	Ingeniería Industrial
13-08-2015	Ingeniería Industrial
14-07-1993	Ingeniería Industrial
24-09-2010	Ingeniería Industrial
28-07-2008	Ingeniería Industrial
08-06-2010	Ingeniería en Informática
14-05-2004	Ingeniería Industrial
01-12-1978	Ingeniería Eléctrica
01-12-1978	Ingeniería Mecánica
01-09-1984	Ingeniería Química
28-06-1994	Ingeniería Industrial
22-07-1992	Ingeniería Electrónica
29-12-1982	Ingeniería Eléctrica
18-02-1992	Ingeniería Química
31-08-2010	Ingeniería en Informática
19-07-1994	Ingeniería en Petróleo
31-03-2016	Ingeniería Mecánica
31-01-2012	Ingeniería en Petróleo
30-08-2005	Ingeniería Industrial
17-07-2002	Ingeniería Industrial
01-09-2008	Ingeniería Mecánica
07-07-1987	Licenciatura en Análisis de Sistemas
29-06-1989	Ingeniería Eléctrica
29-09-1987	Licenciatura en Análisis de Sistemas
16-07-2015	Ingeniería en Petróleo
03-08-1996	Ingeniería Industrial
01-06-1999	Ingeniería Industrial
16-04-2003	Ingeniería en Informática
01-12-1976	Ingeniería Industrial
16-07-2015	Ingeniería Industrial
06-05-1985	Ingeniería Mecánica
02-06-2005	Ingeniería Industrial
28-06-1994	Ingeniería Electrónica
03-08-2001	Ingeniería Electrónica
30-03-2000	Ingeniería Industrial
22-10-1992	Licenciatura en Informática
02-12-1987	Licenciatura en Análisis de Sistemas
19-02-2001	Ingeniería Industrial
21-08-2009	Ingeniería Química
26-12-2006	Ingeniería Industrial
11-06-2004	Ingeniería en Informática
02-12-1986	Licenciatura en Análisis de Sistemas
01-04-1968	Ingeniería Industrial
02-12-1986	Licenciatura en Análisis de Sistemas
09-08-1999	Ingeniería Electrónica
03-08-1999	Ingeniería Industrial
29-05-2003	Ingeniería Electrónica
17-07-2015	Ingeniería en Petróleo
25-08-1999	Ingeniería Industrial
13-03-2009	Ingeniería Mecánica
23-06-2014	Ingeniería Electrónica
13-02-2015	Lic.en Administración y Sistemas
18-12-1996	Licenciatura en Informática
17-07-2002	Ingeniería Industrial
03-08-2015	Ingeniería Mecánica
07-08-2012	Ingeniería Química
14-03-1995	Ingeniería Industrial
18-06-2009	Ingeniería Industrial
01-12-1978	Ingeniería Industrial
01-04-1979	Ingeniería Química
21-03-1994	Ingeniería Industrial
04-05-1993	Ingeniería Electrónica
26-03-2014	Ingeniería Industrial
04-05-1993	Ingeniería Electrónica
20-08-1998	Ingeniería Industrial
18-08-2006	Ingeniería Mecánica
12-08-2015	Ingeniería Industrial
27-07-2004	Ingeniería Industrial
09-09-1998	Ingeniería Industrial
01-05-1983	Ingeniería Industrial
12-02-1999	Ingeniería en Petróleo
29-12-2008	Ingeniería Industrial
26-05-2010	Ingeniería en Petróleo
30-04-2013	Lic.en Administración y Sistemas
22-12-2008	Lic.en Administración y Sistemas
12-02-1999	Ingeniería en Petróleo
09-08-2011	Ingeniería Industrial
01-12-1978	Ingeniería Eléctrica
22-07-1992	Ingeniería Química
01-05-1979	Ingeniería en Armas
10-05-2013	Ingeniería Industrial
01-03-1977	Ingeniería Industrial
05-07-2010	Lic.en Administración y Sistemas
30-08-2011	Ingeniería Industrial
25-06-2003	Ingeniería Química
07-08-2015	Ingeniería Química
14-03-1996	Ingeniería Industrial
01-04-1968	Ingeniería Industrial
27-06-1997	Ingeniería Química
21-12-1993	Ingeniería Química
15-05-1995	Ingeniería Industrial
01-12-1970	Ingeniería Industrial
28-07-2008	Ingeniería en Petróleo
24-05-1989	Ingeniería Industrial
27-10-2006	Ingeniería Industrial
29-05-2007	Ingeniería Industrial
06-02-2015	Lic.en Administración y Sistemas
11-08-2008	Ingeniería Electrónica
02-05-1996	Ingeniería Industrial
29-06-1994	Ingeniería Industrial
21-08-1996	Ingeniería Química
01-10-1966	Ingeniería Electrónica
30-03-2006	Ingeniería Industrial
28-07-2006	Ingeniería en Informática
30-07-1997	Ingeniería Electrónica
26-12-2003	Ingeniería Electrónica
13-10-2016	Ingeniería Industrial
31-08-2010	Ingeniería Industrial
14-07-2010	Ingeniería Electrónica
14-05-2004	Ingeniería Industrial
29-05-1986	Ingeniería Mecánica
01-05-1982	Licenciatura en Oceanografía
22-02-2012	Ingeniería Industrial
26-06-2007	Ingeniería Electrónica
18-02-2013	Ingeniería Química
27-11-2009	Ingeniería Industrial
22-12-1998	Ingeniería en Petróleo
30-07-1992	Ingeniería Electrónica
22-08-2001	Ingeniería Mecánica
28-08-2009	Ingeniería Electrónica
14-05-2004	Ingeniería Industrial
01-04-1984	Ingeniería Electrónica
08-07-2013	Ingeniería Electrónica
06-09-2011	Ingeniería Química
18-07-1995	Ingeniería Industrial
01-05-1987	Licenciatura en Oceanografía
10-06-1988	Ingeniería Naval
17-07-1993	Ingeniería Industrial
22-07-1995	Ingeniería Industrial
15-07-2003	Ingeniería Industrial
25-08-1998	Ingeniería Industrial
01-03-1969	Ingeniería Industrial
19-08-2008	Ingeniería Mecánica
25-07-1995	Ingeniería Electrónica
03-04-2007	Ingeniería Industrial
26-12-2000	Ingeniería Química
03-08-1999	Ingeniería Industrial
21-12-2013	Ingeniería Industrial
30-07-1997	Ingeniería Electrónica
21-08-2007	Ingeniería en Informática
01-12-1981	Ingeniería Electrónica
17-07-2002	Ingeniería Industrial
01-12-1975	Ingeniería Industrial
25-08-2008	Ingeniería Mecánica
01-03-1978	Ingeniería Electrónica
21-07-2016	Ingeniería Electrónica
21-07-1995	Ingeniería Electrónica
10-08-1995	Ingeniería Mecánica
13-02-2007	Ingeniería en Petróleo
17-06-1997	Ingeniería Química
27-02-2008	Ingeniería Mecánica
01-03-1980	Ingeniería Industrial
13-04-2000	Ingeniería Industrial
07-04-1999	Ingeniería Industrial
17-07-1993	Ingeniería Industrial
29-08-2012	Ingeniería Industrial
28-05-2008	Ingeniería Mecánica
01-12-1972	Licenciatura en Oceanografía
20-05-2016	Ingeniería en Informática
22-12-2015	Ingeniería Industrial
10-08-1998	Ingeniería Electrónica
01-06-1982	Licenciatura en Oceanografía
19-06-1992	Ingeniería Industrial
20-09-2005	Ingeniería Electrónica
12-08-1986	Ingeniería Química
01-12-1977	Ingeniería Electrónica
18-02-2010	Lic.en Administración y Sistemas
15-08-1997	Ingeniería Electrónica
07-04-2014	Ingeniería Industrial
01-12-1978	Ingeniería Industrial
