Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007	Electores 2011	Electores 2013	Electores 2015	Electores 2017
1	9A	CAPITAL	LA FRANCE	4984	4990	5088	4942	4987
1	11M	CAPITAL	VALLE ESCONDIDO	423	1509	2764	3960	4742
1	11	CAPITAL	AERONAUTICO	3379	3751	4117	4503	4728
1	5F	CAPITAL	RENACIMIENTO	3131	3635	4087	4482	4715
1	14N	CAPITAL	VILLA CORNU	3918	5431	6469	5269	4679
1	14H	CAPITAL	MERCANTIL	892	1002	1211	3606	4663
1	4C	CAPITAL	INAUDI	3114	3487	3922	4300	4652
1	12C	CAPITAL	CORONEL OLMEDO	4048	4143	4362	4524	4632
1	8A	CAPITAL	PALMAR	2756	3327	3617	3931	4073
1	5E	CAPITAL	VILLA BUSTOS (En 2007 era PRIMERO DE MAYO)	10232	5294	4345	4055	4072
1	14K	CAPITAL	VILLA ALLENDE PARQUE	2913	3335	3618	3600	3658
1	14P	CAPITAL	VILLA RIVERA INDARTE	2887	3335	3699	3697	3545
1	10D	CAPITAL	CONGRESO	2455	2811	3086	3290	3496
1	11L	CAPITAL	COUNTRYS DEL OESTE	1007	1603	2224	2576	2772
1	13D	CAPITAL	JARDIN ARENALES	1515	1859	2199	2553	2733
1	4F	CAPITAL	CIUDAD OBISPO ANGELELLI	880	1355	1735	2325	2679
1	4E	CAPITAL	NUESTRO HOGAR III	260	976	1512	2135	2596
1	12I	CAPITAL	CIUDAD DE MIS SUEÑOS	813	1359	1719	2326	2535
1	13K	CAPITAL	VILLA ESQUIU	1560	1644	1845	2110	2307
1	6E	CAPITAL	LA FLORESTA SUD	852	1308	1677	2121	2291
1	4D	CAPITAL	VILLA EUCARISTICA	795	981	1451	1942	2225
1	5H	CAPITAL	VILLA BOEDO	596	1030	1527	1742	1944
1	5B	CAPITAL	DEAN FUNES	1868	1874	1905	1892	1888
1	10M	CAPITAL	AMPLIACION CABILDO		575	982	1555	1868
1	13O	CAPITAL	CHACHAPOYAS	382	682	904	1265	1382
1	14Q	CAPITAL	VILLA WARCALDE	724	883	1028	1168	1266
1	13E	CAPITAL	LA DOROTEA	1008	1164	1251	1215	1263
1	8	CAPITAL	LA FLORESTA NORTE	412	523	598	702	784
1	13L	CAPITAL	VILLA GRAN PARQUE	223	301	372	420	461
1	13M	CAPITAL	CAMINO A COLONIA TIROLESA (En 2007 era Villa Retiro)	735	642	618	460	431
1	6A	CAPITAL	BAJADA DE PIEDRA	792	614	500	340	294
1	6B	CAPITAL	CHACRA DE LA MERCED	304	279	280	244	216
1	13B	CAPITAL	EL GATEADO	118	162	162	146	128
1	7	CAPITAL	AEROPUERTO	403	298	260	150	112
1	7C	CAPITAL	CNO. A PAJAS BLANCAS	22	25	11	11	8
